Percentage pairwise identity , Number of Identities from4371 pairwise identity, Propotion
1,0, 0 
2,0, 0 
3,0, 0 
4,0, 0 
5,0, 0 
6,0, 0 
7,0, 0 
8,0, 0 
9,0, 0 
10,0, 0 
11,0, 0 
12,0, 0 
13,0, 0 
14,0, 0 
15,0, 0 
16,0, 0 
17,0, 0 
18,0, 0 
19,0, 0 
20,0, 0 
21,0, 0 
22,0, 0 
23,0, 0 
24,0, 0 
25,0, 0 
26,0, 0 
27,0, 0 
28,0, 0 
29,0, 0 
30,0, 0 
31,0, 0 
32,0, 0 
33,0, 0 
34,0, 0 
35,0, 0 
36,0, 0 
37,0, 0 
38,0, 0 
39,0, 0 
40,0, 0 
41,0, 0 
42,0, 0 
43,0, 0 
44,0, 0 
45,0, 0 
46,0, 0 
47,0, 0 
48,1, 2.287806E-04 
49,9, 2.059025E-03 
50,24, 5.490734E-03 
51,53, 1.212537E-02 
52,125, 2.859757E-02 
53,136, 3.111416E-02 
54,194, 4.438344E-02 
55,257, 5.879661E-02 
56,260, 5.948295E-02 
57,190, 4.346832E-02 
58,68, 1.555708E-02 
59,50, 1.143903E-02 
60,57, 1.304049E-02 
61,97, 2.219172E-02 
62,15, 3.431709E-03 
63,19, 4.346831E-03 
64,31, 7.092198E-03 
65,50, 1.143903E-02 
66,170, 0.0388927 
67,417, 9.540151E-02 
68,363, 8.304736E-02 
69,298, 6.817662E-02 
70,182, 4.163807E-02 
71,181, 4.140929E-02 
72,267, 6.108442E-02 
73,37, 8.464882E-03 
74,21, 4.804393E-03 
75,2, 4.575612E-04 
76,25, 5.719515E-03 
77,79, 1.807367E-02 
78,3, 6.863418E-04 
79,3, 6.863418E-04 
80,6, 1.372684E-03 
81,12, 2.745367E-03 
82,3, 6.863418E-04 
83,0, 0 
84,0, 0 
85,3, 6.863418E-04 
86,2, 4.575612E-04 
87,0, 0 
88,2, 4.575612E-04 
89,2, 4.575612E-04 
90,3, 6.863418E-04 
91,8, 1.830245E-03 
92,30, 6.863418E-03 
93,29, 6.634637E-03 
94,11, 2.516587E-03 
95,20, 4.575612E-03 
96,131, 2.997026E-02 
97,236, 5.399222E-02 
98,124, 2.836879E-02 
99,49, 1.121025E-02 
100,16, 3.66049E-03 
