"","x"
"D29630.1",NA
"LC107517",NA
"KU697313",NA
"AY800279",NA
"LC155795",NA
"KT717325",NA
"KU159093",NA
"KX196173",NA
"MF978248",NA
"JX524226",TRUE
"LC107515",TRUE
"MH423501",NA
"FJ822136",NA
"GQ179646",NA
"AY863024",NA
"GQ179647",NA
"AY366209",NA
"KY348771",NA
"KU854931",NA
"KU854929",TRUE
"SRR11190802C",NA
"KP090203",TRUE
"AY366207",NA
"SRR11190798C",NA
"SRR11190801C",NA
"SRR11603189C",NA
"SRR11603187C",NA
"SRR11603183B",NA
"SRR11603184B",NA
"MG210801",TRUE
"SRR11190800B",TRUE
"SRR11190791B",TRUE
"SRR11190802D",NA
"SRR11190801D",TRUE
"SRR11190798D",NA
"SRR11190795D",TRUE
"JF930327",TRUE
"SRR11603182B",NA
"SRR11603184C",NA
"SRR11603183C",NA
"SRR11190793B",TRUE
"SRR11190796D",TRUE
"SRR11190797D",NA
"SRR11603191C",NA
"SRR11603189D",TRUE
"SRR11603187D",TRUE
"SRR11603186C",TRUE
"SRR11603190C",NA
"KM288845",NA
"SRR11190798B",TRUE
"SRR11190801B",TRUE
"SRR11190802B",TRUE
"SRR11190796B",TRUE
"SRR11190797B",TRUE
"AY366208",TRUE
"KM288844",NA
"JF930326",TRUE
"KM288843",NA
"KM288842",NA
"SRR11603191B",TRUE
"SRR11603189B",TRUE
"SRR11603187B",TRUE
"SRR11603186B",TRUE
"SRR11603190B",TRUE
"JF937699",TRUE
"KM288846",NA
"KX883791",TRUE
"KM288847",NA
"15H03_cons",TRUE
"19JSF_sty",TRUE
"15H04_cons",TRUE
"15H06_cons",TRUE
"LC128411",TRUE
"SRR11603186A",TRUE
"SRR11603190A",TRUE
"SRR11603191A",TRUE
"SRR11603187A",TRUE
"SRR11603189A",TRUE
"SRR11190793A",TRUE
"KM365479",NA
"SRR11190792A",TRUE
"SRR11603183A",TRUE
"SRR11190795A",TRUE
"AF308158",TRUE
"SRR11190802A",TRUE
"SRR11190796A",TRUE
"SRR11190797A",TRUE
"SRR11603184A",TRUE
"SRR11603182A",TRUE
"SRR11190798A",TRUE
"SRR11190801A",TRUE
"SRR11190799A",TRUE
"SRR11190791A",TRUE
"SRR11190800A",TRUE
