Percentage pairwise identity , Number of Identities from4371 pairwise identity, Propotion
1,0, 0 
2,0, 0 
3,0, 0 
4,0, 0 
5,0, 0 
6,0, 0 
7,0, 0 
8,0, 0 
9,0, 0 
10,0, 0 
11,0, 0 
12,0, 0 
13,0, 0 
14,0, 0 
15,0, 0 
16,0, 0 
17,0, 0 
18,0, 0 
19,0, 0 
20,0, 0 
21,0, 0 
22,0, 0 
23,0, 0 
24,0, 0 
25,0, 0 
26,0, 0 
27,0, 0 
28,0, 0 
29,0, 0 
30,0, 0 
31,0, 0 
32,0, 0 
33,0, 0 
34,0, 0 
35,0, 0 
36,0, 0 
37,0, 0 
38,0, 0 
39,0, 0 
40,0, 0 
41,0, 0 
42,0, 0 
43,0, 0 
44,0, 0 
45,0, 0 
46,0, 0 
47,0, 0 
48,0, 0 
49,0, 0 
50,0, 0 
51,2, 4.575612E-04 
52,10, 2.287806E-03 
53,39, 8.922444E-03 
54,81, 1.853123E-02 
55,272, 6.222832E-02 
56,466, 0.1066118 
57,327, 7.481126E-02 
58,120, 2.745367E-02 
59,3, 6.863418E-04 
60,6, 1.372684E-03 
61,1, 2.287806E-04 
62,18, 4.118051E-03 
63,32, 7.320979E-03 
64,161, 3.683368E-02 
65,186, 4.255319E-02 
66,51, 1.166781E-02 
67,136, 3.111416E-02 
68,386, 8.830931E-02 
69,599, 0.1370396 
70,174, 3.980782E-02 
71,106, 2.425074E-02 
72,154, 3.523221E-02 
73,233, 5.330588E-02 
74,9, 2.059025E-03 
75,0, 0 
76,12, 2.745367E-03 
77,66, 1.509952E-02 
78,34, 7.77854E-03 
79,6, 1.372684E-03 
80,0, 0 
81,3, 6.863418E-04 
82,10, 2.287806E-03 
83,6, 1.372684E-03 
84,0, 0 
85,1, 2.287806E-04 
86,2, 4.575612E-04 
87,2, 4.575612E-04 
88,0, 0 
89,1, 2.287806E-04 
90,12, 2.745367E-03 
91,0, 0 
92,8, 1.830245E-03 
93,15, 3.431709E-03 
94,46, 1.052391E-02 
95,84, 1.921757E-02 
96,138, 3.157172E-02 
97,156, 3.568977E-02 
98,141, 3.225806E-02 
99,38, 8.693662E-03 
100,18, 4.118051E-03 
