,Group,Dist
2,Cactus Virus X Variant A,0.00330033
3,Cactus Virus X Variant A,0.00330033
4,Cactus Virus X Variant A,0.00990099
5,Cactus Virus X Variant A,0.00660066
6,Cactus Virus X Variant A,0.00660066
7,Cactus Virus X Variant A,0.00660066
8,Cactus Virus X Variant A,0.00660066
9,Cactus Virus X Variant A,0.00660066
10,Cactus Virus X Variant A,0.00660066
11,Cactus Virus X Variant A,0.02970297
12,Cactus Virus X Variant A,0.00660066
13,Cactus Virus X Variant A,0.00660066
14,Cactus Virus X Variant A,0.00660066
15,Cactus Virus X Variant A,0.075907591
16,Cactus Virus X Variant A,0.00660066
17,Cactus Virus X Variant A,0.00660066
18,Cactus Virus X Variant A,0.00660066
19,Cactus Virus X Variant A,0.00660066
20,Cactus Virus X Variant A,0.00660066
21,Cactus Virus X Variant A,0.00660066
22,Cactus Virus X Variant A,0.00660066
23,Cactus Virus X Variant A,0.00660066
24,Cactus Virus X Variant A,0.00660066
25,Cactus Virus X Variant A,0.00660066
26,Cactus Virus X Variant A,0.00330033
27,Cactus Virus X Variant A,0.00330033
28,Cactus Virus X Variant A,0.00990099
29,Cactus Virus X Variant A,0.00660066
30,Cactus Virus X Variant A,0.00660066
31,Cactus Virus X Variant A,0.00660066
32,Cactus Virus X Variant A,0.00660066
33,Cactus Virus X Variant A,0.00660066
34,Cactus Virus X Variant A,0.00660066
35,Cactus Virus X Variant A,0.02970297
36,Cactus Virus X Variant A,0.00660066
37,Cactus Virus X Variant A,0.00660066
38,Cactus Virus X Variant A,0.00660066
39,Cactus Virus X Variant A,0.075907591
40,Cactus Virus X Variant A,0.00660066
41,Cactus Virus X Variant A,0.00660066
42,Cactus Virus X Variant A,0.00660066
43,Cactus Virus X Variant A,0.00660066
44,Cactus Virus X Variant A,0.00660066
45,Cactus Virus X Variant A,0.00660066
46,Cactus Virus X Variant A,0.00660066
47,Cactus Virus X Variant A,0.00660066
48,Cactus Virus X Variant A,0.00660066
49,Cactus Virus X Variant A,0.00660066
50,Cactus Virus X Variant A,0.01320132
51,Cactus Virus X Variant A,0.00990099
52,Cactus Virus X Variant A,0.00990099
53,Cactus Virus X Variant A,0.00990099
54,Cactus Virus X Variant A,0.00990099
55,Cactus Virus X Variant A,0.00990099
56,Cactus Virus X Variant A,0.00990099
57,Cactus Virus X Variant A,0.0330033
58,Cactus Virus X Variant A,0.00990099
59,Cactus Virus X Variant A,0.00990099
60,Cactus Virus X Variant A,0.00990099
61,Cactus Virus X Variant A,0.079207921
62,Cactus Virus X Variant A,0.00990099
63,Cactus Virus X Variant A,0.00990099
64,Cactus Virus X Variant A,0.00990099
65,Cactus Virus X Variant A,0.00990099
66,Cactus Virus X Variant A,0.00990099
67,Cactus Virus X Variant A,0.00990099
68,Cactus Virus X Variant A,0.00990099
69,Cactus Virus X Variant A,0.00990099
70,Cactus Virus X Variant A,0.00990099
71,Cactus Virus X Variant A,0.00990099
72,Cactus Virus X Variant A,0.01320132
73,Cactus Virus X Variant A,0.00990099
74,Cactus Virus X Variant A,0.00990099
75,Cactus Virus X Variant A,0.00990099
76,Cactus Virus X Variant A,0.00990099
77,Cactus Virus X Variant A,0.00990099
78,Cactus Virus X Variant A,0.00990099
79,Cactus Virus X Variant A,0.0330033
80,Cactus Virus X Variant A,0.00990099
81,Cactus Virus X Variant A,0.00990099
82,Cactus Virus X Variant A,0.00990099
83,Cactus Virus X Variant A,0.079207921
84,Cactus Virus X Variant A,0.00990099
85,Cactus Virus X Variant A,0.00990099
86,Cactus Virus X Variant A,0.00990099
87,Cactus Virus X Variant A,0.00990099
88,Cactus Virus X Variant A,0.00990099
89,Cactus Virus X Variant A,0.00990099
90,Cactus Virus X Variant A,0.00990099
91,Cactus Virus X Variant A,0.00990099
92,Cactus Virus X Variant A,0.00990099
93,Cactus Virus X Variant A,0.00990099
94,Cactus Virus X Variant A,0.00330033
