,Group,Dist
2,Cactus Virus X Variant A,98.101
3,Cactus Virus X Variant A,97.801
4,Cactus Virus X Variant A,97.801
5,Cactus Virus X Variant A,96.701
6,Cactus Virus X Variant A,96.401
7,Cactus Virus X Variant A,96.701
8,Cactus Virus X Variant A,96.401
9,Cactus Virus X Variant A,96.001
10,Cactus Virus X Variant A,96.401
11,Cactus Virus X Variant A,96.701
12,Cactus Virus X Variant A,96.301
13,Cactus Virus X Variant A,95.401
14,Cactus Virus X Variant A,95.601
15,Cactus Virus X Variant A,96.901
16,Cactus Virus X Variant A,96.101
17,Cactus Virus X Variant A,95.901
18,Cactus Virus X Variant A,95.701
19,Cactus Virus X Variant A,94.801
20,Cactus Virus X Variant A,96.101
21,Cactus Virus X Variant A,96.301
22,Cactus Virus X Variant A,95.601
23,Cactus Virus X Variant A,95.601
24,Cactus Virus X Variant A,96.001
25,Cactus Virus X Variant A,95.901
26,Cactus Virus X Variant A,96.001
27,Cactus Virus X Variant A,97.601
28,Cactus Virus X Variant A,97.801
29,Cactus Virus X Variant A,96.601
30,Cactus Virus X Variant A,96.301
31,Cactus Virus X Variant A,96.601
32,Cactus Virus X Variant A,96.301
33,Cactus Virus X Variant A,95.901
34,Cactus Virus X Variant A,96.301
35,Cactus Virus X Variant A,96.601
36,Cactus Virus X Variant A,96.301
37,Cactus Virus X Variant A,95.601
38,Cactus Virus X Variant A,95.701
39,Cactus Virus X Variant A,97.001
40,Cactus Virus X Variant A,93.601
41,Cactus Virus X Variant A,96.001
42,Cactus Virus X Variant A,95.901
43,Cactus Virus X Variant A,95.001
44,Cactus Virus X Variant A,96.001
45,Cactus Virus X Variant A,96.101
46,Cactus Virus X Variant A,95.701
47,Cactus Virus X Variant A,95.701
48,Cactus Virus X Variant A,96.101
49,Cactus Virus X Variant A,96.001
50,Cactus Virus X Variant A,96.101
51,Cactus Virus X Variant A,99.301
52,Cactus Virus X Variant A,96.901
53,Cactus Virus X Variant A,96.401
54,Cactus Virus X Variant A,96.701
55,Cactus Virus X Variant A,96.601
56,Cactus Virus X Variant A,96.101
57,Cactus Virus X Variant A,96.601
58,Cactus Virus X Variant A,96.601
59,Cactus Virus X Variant A,96.401
60,Cactus Virus X Variant A,95.001
61,Cactus Virus X Variant A,95.701
62,Cactus Virus X Variant A,96.701
63,Cactus Virus X Variant A,96.301
64,Cactus Virus X Variant A,96.001
65,Cactus Virus X Variant A,95.601
66,Cactus Virus X Variant A,95.101
67,Cactus Virus X Variant A,96.101
68,Cactus Virus X Variant A,96.401
69,Cactus Virus X Variant A,95.701
70,Cactus Virus X Variant A,95.701
71,Cactus Virus X Variant A,96.101
72,Cactus Virus X Variant A,96.001
73,Cactus Virus X Variant A,96.101
74,Cactus Virus X Variant A,96.601
75,Cactus Virus X Variant A,96.301
76,Cactus Virus X Variant A,96.601
77,Cactus Virus X Variant A,96.301
78,Cactus Virus X Variant A,95.901
79,Cactus Virus X Variant A,96.301
80,Cactus Virus X Variant A,96.601
81,Cactus Virus X Variant A,96.401
82,Cactus Virus X Variant A,95.001
83,Cactus Virus X Variant A,95.401
84,Cactus Virus X Variant A,96.701
85,Cactus Virus X Variant A,96.001
86,Cactus Virus X Variant A,95.701
87,Cactus Virus X Variant A,95.601
88,Cactus Virus X Variant A,94.801
89,Cactus Virus X Variant A,96.301
90,Cactus Virus X Variant A,96.101
91,Cactus Virus X Variant A,95.401
92,Cactus Virus X Variant A,95.401
93,Cactus Virus X Variant A,95.901
94,Cactus Virus X Variant A,95.701
95,Cactus Virus X Variant A,95.901
96,Cactus Virus X Variant A,98.701
97,Cactus Virus X Variant A,98.701
98,Cactus Virus X Variant A,98.401
99,Cactus Virus X Variant A,98.101
100,Cactus Virus X Variant A,98.501
101,Cactus Virus X Variant A,97.601
102,Cactus Virus X Variant A,97.501
103,Cactus Virus X Variant A,95.901
104,Cactus Virus X Variant A,96.701
105,Cactus Virus X Variant A,97.501
106,Cactus Virus X Variant A,97.301
107,Cactus Virus X Variant A,96.701
108,Cactus Virus X Variant A,96.301
109,Cactus Virus X Variant A,95.901
110,Cactus Virus X Variant A,97.001
111,Cactus Virus X Variant A,97.501
112,Cactus Virus X Variant A,96.901
113,Cactus Virus X Variant A,97.201
114,Cactus Virus X Variant A,97.201
115,Cactus Virus X Variant A,97.001
116,Cactus Virus X Variant A,97.201
117,Cactus Virus X Variant A,99.601
118,Cactus Virus X Variant A,98.501
119,Cactus Virus X Variant A,98.201
120,Cactus Virus X Variant A,98.701
121,Cactus Virus X Variant A,97.801
