"","D29630.1","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","SRR11190802C","KP090203","AY366207","SRR11190798C","SRR11190801C","SRR11603189C","SRR11603187C","SRR11603183B","SRR11603184B","MG210801","SRR11190800B","SRR11190791B","SRR11190802D","SRR11190801D","SRR11190798D","SRR11190795D","JF930327","SRR11603182B","SRR11603184C","SRR11603183C","SRR11190793B","SRR11190796D","SRR11190797D","SRR11603191C","SRR11603189D","SRR11603187D","SRR11603186C","SRR11603190C","KM288845","SRR11190798B","SRR11190801B","SRR11190802B","SRR11190796B","SRR11190797B","AY366208","KM288844","JF930326","KM288842","SRR11603191B","SRR11603189B","SRR11603187B","SRR11603186B","SRR11603190B","JF937699","KM288846","KX883791","15H03_cons","19JSF_sty","15H04_cons","15H06_cons","LC128411","SRR11603186A","SRR11603190A","SRR11603191A","SRR11603187A","SRR11603189A","SRR11190793A","KM365479","SRR11190792A","SRR11603183A","SRR11190795A","AF308158","SRR11190802A","SRR11190796A","SRR11190797A","SRR11603184A","SRR11603182A","SRR11190798A","SRR11190801A","SRR11190799A","SRR11190791A","SRR11190800A"
"D29630.1",0,0.366336633663366,0.363036303630363,0.366336633663366,0.353135313531353,0.366336633663366,0.36963696369637,0.316831683168317,0.303630363036304,0.313531353135314,0.313531353135314,0.32013201320132,0.32013201320132,0.32013201320132,0.316831683168317,0.316831683168317,0.33993399339934,0.33993399339934,0.33993399339934,0.323432343234323,0.32013201320132,0.323432343234323,0.316831683168317,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.333333333333333,0.33993399339934,0.33993399339934,0.33993399339934,0.343234323432343,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.333333333333333,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.326732673267327,0.33003300330033,0.326732673267327,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.326732673267327,0.336633663366337,0.33003300330033,0.323432343234323,0.323432343234323,0.32013201320132,0.32013201320132,0.326732673267327,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.33003300330033,0.323432343234323,0.323432343234323,0.323432343234323,0.336633663366337,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323
"LC107517",0.366336633663366,0,0.277227722772277,0.273927392739274,0.283828382838284,0.273927392739274,0.280528052805281,0.333333333333333,0.336633663366337,0.32013201320132,0.33003300330033,0.333333333333333,0.336633663366337,0.33993399339934,0.33993399339934,0.343234323432343,0.34983498349835,0.34983498349835,0.34983498349835,0.33003300330033,0.353135313531353,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.326732673267327,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.316831683168317,0.323432343234323,0.326732673267327,0.326732673267327,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.326732673267327,0.326732673267327,0.33993399339934,0.33993399339934,0.343234323432343,0.343234323432343,0.343234323432343,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.343234323432343,0.33993399339934,0.33993399339934,0.33993399339934,0.353135313531353,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934
"KU697313",0.363036303630363,0.277227722772277,0,0.0792079207920792,0.0726072607260726,0.0429042904290429,0.0429042904290429,0.356435643564356,0.346534653465347,0.34983498349835,0.326732673267327,0.323432343234323,0.316831683168317,0.316831683168317,0.313531353135314,0.32013201320132,0.36963696369637,0.36963696369637,0.36963696369637,0.336633663366337,0.343234323432343,0.346534653465347,0.343234323432343,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.343234323432343,0.34983498349835,0.34983498349835,0.34983498349835,0.353135313531353,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.34983498349835,0.33993399339934,0.356435643564356,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.33993399339934,0.343234323432343,0.336633663366337,0.326732673267327,0.326732673267327,0.33003300330033,0.33003300330033,0.323432343234323,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.333333333333333,0.32013201320132,0.32013201320132,0.32013201320132,0.33993399339934,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132
"AY800279",0.366336633663366,0.273927392739274,0.0792079207920792,0,0.0627062706270627,0.105610561056106,0.099009900990099,0.36963696369637,0.343234323432343,0.33003300330033,0.323432343234323,0.326732673267327,0.326732673267327,0.323432343234323,0.323432343234323,0.326732673267327,0.353135313531353,0.353135313531353,0.353135313531353,0.343234323432343,0.34983498349835,0.34983498349835,0.353135313531353,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.356435643564356,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.353135313531353,0.346534653465347,0.353135313531353,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.346534653465347,0.353135313531353,0.343234323432343,0.34983498349835,0.34983498349835,0.346534653465347,0.346534653465347,0.353135313531353,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.356435643564356,0.34983498349835,0.34983498349835,0.34983498349835,0.366336633663366,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835
"LC155795",0.353135313531353,0.283828382838284,0.0726072607260726,0.0627062706270627,0,0.099009900990099,0.102310231023102,0.36963696369637,0.333333333333333,0.333333333333333,0.343234323432343,0.33003300330033,0.326732673267327,0.326732673267327,0.323432343234323,0.33003300330033,0.372937293729373,0.372937293729373,0.372937293729373,0.353135313531353,0.346534653465347,0.346534653465347,0.34983498349835,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.35973597359736,0.363036303630363,0.363036303630363,0.363036303630363,0.363036303630363,0.363036303630363,0.35973597359736,0.36963696369637,0.366336633663366,0.36963696369637,0.363036303630363,0.363036303630363,0.363036303630363,0.363036303630363,0.363036303630363,0.356435643564356,0.35973597359736,0.353135313531353,0.343234323432343,0.343234323432343,0.33993399339934,0.33993399339934,0.346534653465347,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.35973597359736,0.343234323432343,0.343234323432343,0.343234323432343,0.356435643564356,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343
"KT717325",0.366336633663366,0.273927392739274,0.0429042904290429,0.105610561056106,0.099009900990099,0,0.0066006600660066,0.366336633663366,0.35973597359736,0.346534653465347,0.336633663366337,0.316831683168317,0.31023102310231,0.323432343234323,0.326732673267327,0.32013201320132,0.36963696369637,0.36963696369637,0.36963696369637,0.336633663366337,0.34983498349835,0.356435643564356,0.34983498349835,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.346534653465347,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.336633663366337,0.34983498349835,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.34983498349835,0.353135313531353,0.346534653465347,0.346534653465347,0.346534653465347,0.34983498349835,0.34983498349835,0.343234323432343,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.356435643564356,0.33993399339934,0.33993399339934,0.33993399339934,0.353135313531353,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934
"KU159093",0.36963696369637,0.280528052805281,0.0429042904290429,0.099009900990099,0.102310231023102,0.0066006600660066,0,0.366336633663366,0.35973597359736,0.34983498349835,0.336633663366337,0.32013201320132,0.313531353135314,0.326732673267327,0.323432343234323,0.323432343234323,0.372937293729373,0.372937293729373,0.372937293729373,0.33993399339934,0.34983498349835,0.356435643564356,0.34983498349835,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.353135313531353,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.356435643564356,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.343234323432343,0.333333333333333,0.34983498349835,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.356435643564356,0.35973597359736,0.353135313531353,0.34983498349835,0.34983498349835,0.353135313531353,0.353135313531353,0.346534653465347,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.356435643564356,0.343234323432343,0.343234323432343,0.343234323432343,0.356435643564356,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343
"KX196173",0.316831683168317,0.333333333333333,0.356435643564356,0.36963696369637,0.36963696369637,0.366336633663366,0.366336633663366,0,0.171617161716172,0.188118811881188,0.207920792079208,0.217821782178218,0.214521452145215,0.201320132013201,0.207920792079208,0.204620462046205,0.386138613861386,0.386138613861386,0.386138613861386,0.35973597359736,0.366336633663366,0.363036303630363,0.363036303630363,0.366336633663366,0.366336633663366,0.366336633663366,0.366336633663366,0.366336633663366,0.366336633663366,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.33003300330033,0.323432343234323,0.323432343234323,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33993399339934,0.333333333333333,0.33993399339934,0.326732673267327,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.333333333333333,0.333333333333333,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.336633663366337,0.326732673267327,0.326732673267327,0.326732673267327,0.333333333333333,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327
"MF978248",0.303630363036304,0.336633663366337,0.346534653465347,0.343234323432343,0.333333333333333,0.35973597359736,0.35973597359736,0.171617161716172,0,0.168316831683168,0.184818481848185,0.174917491749175,0.174917491749175,0.171617161716172,0.171617161716172,0.174917491749175,0.356435643564356,0.356435643564356,0.356435643564356,0.333333333333333,0.323432343234323,0.316831683168317,0.323432343234323,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.336633663366337,0.336633663366337,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.3003300330033,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.31023102310231,0.306930693069307,0.303630363036304,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.323432343234323,0.323432343234323,0.326732673267327,0.31023102310231,0.31023102310231,0.31023102310231,0.31023102310231,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.316831683168317,0.313531353135314,0.313531353135314,0.313531353135314,0.316831683168317,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314
"JX524226",0.313531353135314,0.32013201320132,0.34983498349835,0.33003300330033,0.333333333333333,0.346534653465347,0.34983498349835,0.188118811881188,0.168316831683168,0,0.174917491749175,0.174917491749175,0.178217821782178,0.171617161716172,0.174917491749175,0.174917491749175,0.31023102310231,0.31023102310231,0.31023102310231,0.31023102310231,0.326732673267327,0.326732673267327,0.32013201320132,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.32013201320132,0.32013201320132,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.293729372937294,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.3003300330033,0.303630363036304,0.3003300330033,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.31023102310231,0.31023102310231,0.313531353135314,0.3003300330033,0.3003300330033,0.297029702970297,0.297029702970297,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.313531353135314,0.303630363036304,0.303630363036304,0.303630363036304,0.32013201320132,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304
