"","D29630.1","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","SRR11190802C","KP090203","AY366207","SRR11190798C","SRR11190801C","SRR11603189C","SRR11603187C","SRR11603183B","SRR11603184B","MG210801","SRR11190800B","SRR11190791B","SRR11190802D","SRR11190801D","SRR11190798D","SRR11190795D","JF930327","SRR11603182B","SRR11603184C","SRR11190793B","SRR11190796D","SRR11190797D","SRR11603191C","SRR11603189D","SRR11603187D","SRR11603186C","SRR11603190C","KM288845","SRR11190798B","SRR11190801B","SRR11190802B","SRR11190796B","SRR11190797B","AY366208","KM288844","JF930326","KM288843","KM288842","SRR11603191B","SRR11603189B","SRR11603186B","SRR11603190B","JF937699","KM288846","KX883791","KM288847","15H03_cons","19JSF_sty","15H04_cons","15H06_cons","LC128411","SRR11603186A","SRR11603190A","SRR11603191A","SRR11603187A","SRR11603189A","SRR11190793A","KM365479","SRR11190792A","SRR11603183A","SRR11190795A","AF308158","SRR11190802A","SRR11190796A","SRR11190797A","SRR11603184A","SRR11603182A","SRR11190798A","SRR11190801A","SRR11190799A","SRR11190791A"
"D29630.1",0,0.34070796460177,0.376106194690265,0.36283185840708,0.420353982300885,0.389380530973451,0.384955752212389,0.393805309734513,0.411504424778761,0.380530973451327,0.376106194690265,0.367256637168142,0.36283185840708,0.371681415929204,0.358407079646018,0.371681415929204,0.420353982300885,0.424778761061947,0.424778761061947,0.371681415929204,0.358407079646018,0.367256637168142,0.353982300884956,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.367256637168142,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.389380530973451,0.367256637168142,0.367256637168142,0.367256637168142,0.36283185840708,0.36283185840708,0.371681415929204,0.36283185840708,0.367256637168142,0.371681415929204,0.36283185840708,0.367256637168142,0.367256637168142,0.367256637168142,0.367256637168142,0.367256637168142,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.376106194690265,0.376106194690265,0.376106194690265,0.380530973451327,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.380530973451327,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265
"LC107517",0.34070796460177,0,0.389380530973451,0.367256637168142,0.407079646017699,0.407079646017699,0.407079646017699,0.433628318584071,0.460176991150442,0.433628318584071,0.424778761061947,0.429203539823009,0.424778761061947,0.433628318584071,0.420353982300885,0.433628318584071,0.415929203539823,0.411504424778761,0.411504424778761,0.398230088495575,0.384955752212389,0.389380530973451,0.393805309734513,0.389380530973451,0.389380530973451,0.389380530973451,0.389380530973451,0.389380530973451,0.389380530973451,0.353982300884956,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.36283185840708,0.36283185840708,0.36283185840708,0.36283185840708,0.36283185840708,0.389380530973451,0.353982300884956,0.353982300884956,0.358407079646018,0.358407079646018,0.358407079646018,0.371681415929204,0.367256637168142,0.349557522123894,0.358407079646018,0.358407079646018,0.367256637168142,0.367256637168142,0.367256637168142,0.367256637168142,0.393805309734513,0.389380530973451,0.398230088495575,0.402654867256637,0.384955752212389,0.380530973451327,0.380530973451327,0.380530973451327,0.384955752212389,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.376106194690265,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.384955752212389,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327
"KU697313",0.376106194690265,0.389380530973451,0,0.13716814159292,0.15929203539823,0.154867256637168,0.15929203539823,0.420353982300885,0.535398230088496,0.486725663716814,0.446902654867257,0.415929203539823,0.433628318584071,0.424778761061947,0.429203539823009,0.424778761061947,0.424778761061947,0.429203539823009,0.429203539823009,0.438053097345133,0.424778761061947,0.424778761061947,0.429203539823009,0.424778761061947,0.424778761061947,0.424778761061947,0.424778761061947,0.424778761061947,0.424778761061947,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.442477876106195,0.451327433628319,0.451327433628319,0.455752212389381,0.455752212389381,0.455752212389381,0.464601769911504,0.451327433628319,0.451327433628319,0.455752212389381,0.455752212389381,0.460176991150442,0.460176991150442,0.460176991150442,0.460176991150442,0.442477876106195,0.438053097345133,0.446902654867257,0.442477876106195,0.455752212389381,0.451327433628319,0.451327433628319,0.451327433628319,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.451327433628319,0.455752212389381,0.455752212389381,0.451327433628319,0.460176991150442,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381
"AY800279",0.36283185840708,0.367256637168142,0.13716814159292,0,0.146017699115044,0.128318584070796,0.132743362831858,0.415929203539823,0.495575221238938,0.455752212389381,0.420353982300885,0.415929203539823,0.420353982300885,0.415929203539823,0.420353982300885,0.415929203539823,0.380530973451327,0.384955752212389,0.384955752212389,0.420353982300885,0.411504424778761,0.411504424778761,0.415929203539823,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.424778761061947,0.429203539823009,0.429203539823009,0.433628318584071,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.411504424778761,0.407079646017699,0.415929203539823,0.411504424778761,0.429203539823009,0.424778761061947,0.424778761061947,0.424778761061947,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.433628318584071,0.433628318584071,0.429203539823009,0.429203539823009,0.424778761061947,0.433628318584071,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009
"LC155795",0.420353982300885,0.407079646017699,0.15929203539823,0.146017699115044,0,0.150442477876106,0.154867256637168,0.402654867256637,0.486725663716814,0.464601769911504,0.411504424778761,0.376106194690265,0.380530973451327,0.380530973451327,0.384955752212389,0.380530973451327,0.389380530973451,0.393805309734513,0.393805309734513,0.411504424778761,0.420353982300885,0.415929203539823,0.420353982300885,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.424778761061947,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.393805309734513,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.424778761061947,0.429203539823009,0.429203539823009,0.438053097345133,0.433628318584071,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.433628318584071,0.429203539823009,0.438053097345133,0.433628318584071,0.47787610619469,0.473451327433628,0.473451327433628,0.473451327433628,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.473451327433628,0.47787610619469,0.47787610619469,0.473451327433628,0.482300884955752,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469
"KT717325",0.389380530973451,0.407079646017699,0.154867256637168,0.128318584070796,0.150442477876106,0,0.0132743362831858,0.420353982300885,0.473451327433628,0.424778761061947,0.433628318584071,0.433628318584071,0.446902654867257,0.424778761061947,0.438053097345133,0.424778761061947,0.376106194690265,0.380530973451327,0.380530973451327,0.402654867256637,0.402654867256637,0.411504424778761,0.407079646017699,0.402654867256637,0.402654867256637,0.402654867256637,0.402654867256637,0.402654867256637,0.402654867256637,0.398230088495575,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.464601769911504,0.438053097345133,0.438053097345133,0.442477876106195,0.442477876106195,0.442477876106195,0.433628318584071,0.433628318584071,0.438053097345133,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.420353982300885,0.424778761061947,0.424778761061947,0.420353982300885,0.446902654867257,0.442477876106195,0.442477876106195,0.442477876106195,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.433628318584071,0.442477876106195,0.438053097345133,0.438053097345133,0.442477876106195,0.442477876106195,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133
"KU159093",0.384955752212389,0.407079646017699,0.15929203539823,0.132743362831858,0.154867256637168,0.0132743362831858,0,0.415929203539823,0.486725663716814,0.433628318584071,0.446902654867257,0.429203539823009,0.451327433628319,0.429203539823009,0.433628318584071,0.429203539823009,0.371681415929204,0.376106194690265,0.376106194690265,0.407079646017699,0.407079646017699,0.415929203539823,0.411504424778761,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.402654867256637,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.469026548672566,0.442477876106195,0.442477876106195,0.446902654867257,0.446902654867257,0.446902654867257,0.438053097345133,0.438053097345133,0.442477876106195,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.424778761061947,0.429203539823009,0.429203539823009,0.424778761061947,0.451327433628319,0.446902654867257,0.446902654867257,0.446902654867257,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.438053097345133,0.446902654867257,0.442477876106195,0.442477876106195,0.446902654867257,0.446902654867257,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195
"KX196173",0.393805309734513,0.433628318584071,0.420353982300885,0.415929203539823,0.402654867256637,0.420353982300885,0.415929203539823,0,0.393805309734513,0.349557522123894,0.31858407079646,0.283185840707965,0.283185840707965,0.287610619469027,0.283185840707965,0.287610619469027,0.411504424778761,0.407079646017699,0.407079646017699,0.438053097345133,0.420353982300885,0.420353982300885,0.424778761061947,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.389380530973451,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.398230088495575,0.407079646017699,0.407079646017699,0.402654867256637,0.402654867256637,0.402654867256637,0.407079646017699,0.402654867256637,0.411504424778761,0.415929203539823,0.407079646017699,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.415929203539823,0.420353982300885,0.420353982300885,0.424778761061947,0.415929203539823,0.411504424778761,0.411504424778761,0.411504424778761,0.420353982300885,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.411504424778761,0.415929203539823,0.415929203539823,0.411504424778761,0.420353982300885,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823
"MF978248",0.411504424778761,0.460176991150442,0.535398230088496,0.495575221238938,0.486725663716814,0.473451327433628,0.486725663716814,0.393805309734513,0,0.336283185840708,0.367256637168142,0.353982300884956,0.353982300884956,0.336283185840708,0.345132743362832,0.336283185840708,0.438053097345133,0.442477876106195,0.442477876106195,0.389380530973451,0.398230088495575,0.407079646017699,0.402654867256637,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.429203539823009,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.438053097345133,0.429203539823009,0.429203539823009,0.424778761061947,0.424778761061947,0.424778761061947,0.415929203539823,0.429203539823009,0.424778761061947,0.420353982300885,0.420353982300885,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.438053097345133,0.442477876106195,0.442477876106195,0.442477876106195,0.455752212389381,0.451327433628319,0.451327433628319,0.451327433628319,0.455752212389381,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.455752212389381,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319
"JX524226",0.380530973451327,0.433628318584071,0.486725663716814,0.455752212389381,0.464601769911504,0.424778761061947,0.433628318584071,0.349557522123894,0.336283185840708,0,0.323008849557522,0.384955752212389,0.389380530973451,0.376106194690265,0.380530973451327,0.376106194690265,0.473451327433628,0.469026548672566,0.469026548672566,0.389380530973451,0.380530973451327,0.393805309734513,0.380530973451327,0.384955752212389,0.384955752212389,0.384955752212389,0.384955752212389,0.384955752212389,0.384955752212389,0.407079646017699,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.438053097345133,0.429203539823009,0.429203539823009,0.424778761061947,0.424778761061947,0.424778761061947,0.429203539823009,0.429203539823009,0.429203539823009,0.433628318584071,0.424778761061947,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.446902654867257,0.451327433628319,0.451327433628319,0.455752212389381,0.451327433628319,0.446902654867257,0.446902654867257,0.446902654867257,0.451327433628319,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.442477876106195,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257
