,Group,Dist
2,Cactus Virus X Variant A,0.012884044
3,Cactus Virus X Variant A,0.006937562
4,Cactus Virus X Variant A,0.010901883
5,Cactus Virus X Variant A,0.012884044
6,Cactus Virus X Variant A,0.013875124
7,Cactus Virus X Variant A,0.002973241
8,Cactus Virus X Variant A,0.001982161
9,Cactus Virus X Variant A,0.002973241
10,Cactus Virus X Variant A,0.002973241
11,Cactus Virus X Variant A,0.002973241
12,Cactus Virus X Variant A,0.004955401
13,Cactus Virus X Variant A,0.001982161
14,Cactus Virus X Variant A,0.001982161
15,Cactus Virus X Variant A,0.001982161
16,Cactus Virus X Variant A,0.002973241
17,Cactus Virus X Variant A,0.002973241
18,Cactus Virus X Variant A,0.001982161
19,Cactus Virus X Variant A,0.001982161
20,Cactus Virus X Variant A,0.002973241
21,Cactus Virus X Variant A,0.002973241
22,Cactus Virus X Variant A,0.001982161
23,Cactus Virus X Variant A,0.001982161
24,Cactus Virus X Variant A,0.002973241
25,Cactus Virus X Variant A,0.008919722
26,Cactus Virus X Variant A,0.001982161
27,Cactus Virus X Variant A,0.015857284
28,Cactus Virus X Variant A,0.019821606
29,Cactus Virus X Variant A,0.021803766
30,Cactus Virus X Variant A,0.022794846
31,Cactus Virus X Variant A,0.011892963
32,Cactus Virus X Variant A,0.010901883
33,Cactus Virus X Variant A,0.011892963
34,Cactus Virus X Variant A,0.011892963
35,Cactus Virus X Variant A,0.011892963
36,Cactus Virus X Variant A,0.013875124
37,Cactus Virus X Variant A,0.010901883
38,Cactus Virus X Variant A,0.010901883
39,Cactus Virus X Variant A,0.010901883
40,Cactus Virus X Variant A,0.011892963
41,Cactus Virus X Variant A,0.011892963
42,Cactus Virus X Variant A,0.010901883
43,Cactus Virus X Variant A,0.010901883
44,Cactus Virus X Variant A,0.011892963
45,Cactus Virus X Variant A,0.011892963
46,Cactus Virus X Variant A,0.010901883
47,Cactus Virus X Variant A,0.010901883
48,Cactus Virus X Variant A,0.011892963
49,Cactus Virus X Variant A,0.017839445
50,Cactus Virus X Variant A,0.010901883
51,Cactus Virus X Variant A,0.011892963
52,Cactus Virus X Variant A,0.013875124
53,Cactus Virus X Variant A,0.014866204
54,Cactus Virus X Variant A,0.003964321
55,Cactus Virus X Variant A,0.004955401
56,Cactus Virus X Variant A,0.005946482
57,Cactus Virus X Variant A,0.005946482
58,Cactus Virus X Variant A,0.005946482
59,Cactus Virus X Variant A,0.007928642
60,Cactus Virus X Variant A,0.004955401
61,Cactus Virus X Variant A,0.004955401
62,Cactus Virus X Variant A,0.004955401
63,Cactus Virus X Variant A,0.003964321
64,Cactus Virus X Variant A,0.005946482
65,Cactus Virus X Variant A,0.004955401
66,Cactus Virus X Variant A,0.004955401
67,Cactus Virus X Variant A,0.003964321
68,Cactus Virus X Variant A,0.003964321
69,Cactus Virus X Variant A,0.004955401
70,Cactus Virus X Variant A,0.004955401
71,Cactus Virus X Variant A,0.003964321
72,Cactus Virus X Variant A,0.009910803
73,Cactus Virus X Variant A,0.004955401
74,Cactus Virus X Variant A,0.001982161
75,Cactus Virus X Variant A,0.006937562
76,Cactus Virus X Variant A,0.009910803
77,Cactus Virus X Variant A,0.008919722
78,Cactus Virus X Variant A,0.009910803
79,Cactus Virus X Variant A,0.009910803
80,Cactus Virus X Variant A,0.009910803
81,Cactus Virus X Variant A,0.009910803
82,Cactus Virus X Variant A,0.008919722
83,Cactus Virus X Variant A,0.008919722
84,Cactus Virus X Variant A,0.008919722
85,Cactus Virus X Variant A,0.009910803
86,Cactus Virus X Variant A,0.009910803
87,Cactus Virus X Variant A,0.008919722
88,Cactus Virus X Variant A,0.008919722
89,Cactus Virus X Variant A,0.009910803
90,Cactus Virus X Variant A,0.009910803
91,Cactus Virus X Variant A,0.008919722
92,Cactus Virus X Variant A,0.008919722
93,Cactus Virus X Variant A,0.009910803
94,Cactus Virus X Variant A,0.001982161
95,Cactus Virus X Variant A,0.008919722
96,Cactus Virus X Variant A,0.008919722
97,Cactus Virus X Variant A,0.011892963
98,Cactus Virus X Variant A,0.010901883
99,Cactus Virus X Variant A,0.011892963
100,Cactus Virus X Variant A,0.011892963
101,Cactus Virus X Variant A,0.011892963
102,Cactus Virus X Variant A,0.011892963
103,Cactus Virus X Variant A,0.010901883
104,Cactus Virus X Variant A,0.010901883
105,Cactus Virus X Variant A,0.010901883
106,Cactus Virus X Variant A,0.011892963
107,Cactus Virus X Variant A,0.011892963
108,Cactus Virus X Variant A,0.010901883
109,Cactus Virus X Variant A,0.010901883
110,Cactus Virus X Variant A,0.011892963
111,Cactus Virus X Variant A,0.011892963
112,Cactus Virus X Variant A,0.010901883
113,Cactus Virus X Variant A,0.010901883
114,Cactus Virus X Variant A,0.011892963
115,Cactus Virus X Variant A,0.003964321
116,Cactus Virus X Variant A,0.010901883
117,Cactus Virus X Variant A,0.012884044
118,Cactus Virus X Variant A,0.011892963
119,Cactus Virus X Variant A,0.012884044
120,Cactus Virus X Variant A,0.012884044
121,Cactus Virus X Variant A,0.012884044
122,Cactus Virus X Variant A,0.012884044
123,Cactus Virus X Variant A,0.011892963
124,Cactus Virus X Variant A,0.011892963
125,Cactus Virus X Variant A,0.011892963
126,Cactus Virus X Variant A,0.012884044
127,Cactus Virus X Variant A,0.012884044
128,Cactus Virus X Variant A,0.011892963
129,Cactus Virus X Variant A,0.011892963
130,Cactus Virus X Variant A,0.012884044
131,Cactus Virus X Variant A,0.012884044
132,Cactus Virus X Variant A,0.011892963
133,Cactus Virus X Variant A,0.011892963
134,Cactus Virus X Variant A,0.012884044
135,Cactus Virus X Variant A,0.004955401
136,Cactus Virus X Variant A,0.011892963
137,Cactus Virus X Variant A,0.00099108
138,Cactus Virus X Variant A,0.001982161
139,Cactus Virus X Variant A,0.001982161
140,Cactus Virus X Variant A,0.001982161
141,Cactus Virus X Variant A,0.003964321
142,Cactus Virus X Variant A,0.00099108
143,Cactus Virus X Variant A,0.00099108
144,Cactus Virus X Variant A,0.00099108
145,Cactus Virus X Variant A,0.001982161
146,Cactus Virus X Variant A,0.00099108
147,Cactus Virus X Variant A,0.00099108
148,Cactus Virus X Variant A,0.00099108
149,Cactus Virus X Variant A,0.00099108
150,Cactus Virus X Variant A,0.007928642
151,Cactus Virus X Variant A,0.00099108
152,Cactus Virus X Variant A,0.00099108
153,Cactus Virus X Variant A,0.00099108
154,Cactus Virus X Variant A,0.00099108
155,Cactus Virus X Variant A,0.002973241
156,Cactus Virus X Variant A,0.00099108
157,Cactus Virus X Variant A,0.00099108
158,Cactus Virus X Variant A,0.00099108
159,Cactus Virus X Variant A,0.00099108
160,Cactus Virus X Variant A,0.00099108
161,Cactus Virus X Variant A,0.006937562
162,Cactus Virus X Variant A,0.003964321
163,Cactus Virus X Variant A,0.00099108
164,Cactus Virus X Variant A,0.00099108
165,Cactus Virus X Variant A,0.00099108
166,Cactus Virus X Variant A,0.001982161
167,Cactus Virus X Variant A,0.001982161
168,Cactus Virus X Variant A,0.00099108
169,Cactus Virus X Variant A,0.00099108
170,Cactus Virus X Variant A,0.001982161
171,Cactus Virus X Variant A,0.001982161
172,Cactus Virus X Variant A,0.00099108
173,Cactus Virus X Variant A,0.00099108
174,Cactus Virus X Variant A,0.001982161
175,Cactus Virus X Variant A,0.007928642
176,Cactus Virus X Variant A,0.00099108
177,Cactus Virus X Variant A,0.003964321
178,Cactus Virus X Variant A,0.00099108
179,Cactus Virus X Variant A,0.00099108
180,Cactus Virus X Variant A,0.00099108
181,Cactus Virus X Variant A,0.001982161
182,Cactus Virus X Variant A,0.001982161
183,Cactus Virus X Variant A,0.00099108
184,Cactus Virus X Variant A,0.00099108
185,Cactus Virus X Variant A,0.001982161
186,Cactus Virus X Variant A,0.001982161
187,Cactus Virus X Variant A,0.00099108
188,Cactus Virus X Variant A,0.00099108
189,Cactus Virus X Variant A,0.001982161
190,Cactus Virus X Variant A,0.007928642
191,Cactus Virus X Variant A,0.00099108
192,Cactus Virus X Variant A,0.003964321
193,Cactus Virus X Variant A,0.00099108
194,Cactus Virus X Variant A,0.00099108
195,Cactus Virus X Variant A,0.00099108
196,Cactus Virus X Variant A,0.001982161
197,Cactus Virus X Variant A,0.001982161
198,Cactus Virus X Variant A,0.00099108
199,Cactus Virus X Variant A,0.00099108
200,Cactus Virus X Variant A,0.001982161
201,Cactus Virus X Variant A,0.001982161
202,Cactus Virus X Variant A,0.00099108
203,Cactus Virus X Variant A,0.00099108
204,Cactus Virus X Variant A,0.001982161
205,Cactus Virus X Variant A,0.007928642
206,Cactus Virus X Variant A,0.00099108
207,Cactus Virus X Variant A,0.002973241
208,Cactus Virus X Variant A,0.002973241
209,Cactus Virus X Variant A,0.002973241
210,Cactus Virus X Variant A,0.003964321
211,Cactus Virus X Variant A,0.003964321
212,Cactus Virus X Variant A,0.002973241
213,Cactus Virus X Variant A,0.002973241
214,Cactus Virus X Variant A,0.003964321
215,Cactus Virus X Variant A,0.003964321
216,Cactus Virus X Variant A,0.002973241
217,Cactus Virus X Variant A,0.002973241
218,Cactus Virus X Variant A,0.003964321
219,Cactus Virus X Variant A,0.007928642
220,Cactus Virus X Variant A,0.002973241
221,Cactus Virus X Variant A,0.00099108
222,Cactus Virus X Variant A,0.00099108
223,Cactus Virus X Variant A,0.00099108
224,Cactus Virus X Variant A,0.00099108
225,Cactus Virus X Variant A,0.00099108
226,Cactus Virus X Variant A,0.006937562
227,Cactus Virus X Variant A,0.00099108
228,Cactus Virus X Variant A,0.00099108
229,Cactus Virus X Variant A,0.00099108
230,Cactus Virus X Variant A,0.00099108
231,Cactus Virus X Variant A,0.00099108
232,Cactus Virus X Variant A,0.006937562
233,Cactus Virus X Variant A,0.00099108
234,Cactus Virus X Variant A,0.00099108
235,Cactus Virus X Variant A,0.00099108
236,Cactus Virus X Variant A,0.00099108
237,Cactus Virus X Variant A,0.00099108
238,Cactus Virus X Variant A,0.006937562
239,Cactus Virus X Variant A,0.001982161
240,Cactus Virus X Variant A,0.00099108
241,Cactus Virus X Variant A,0.00099108
242,Cactus Virus X Variant A,0.00099108
243,Cactus Virus X Variant A,0.00099108
244,Cactus Virus X Variant A,0.007928642
245,Cactus Virus X Variant A,0.00099108
246,Cactus Virus X Variant A,0.00099108
247,Cactus Virus X Variant A,0.00099108
248,Cactus Virus X Variant A,0.001982161
249,Cactus Virus X Variant A,0.001982161
250,Cactus Virus X Variant A,0.00099108
251,Cactus Virus X Variant A,0.00099108
252,Cactus Virus X Variant A,0.001982161
253,Cactus Virus X Variant A,0.007928642
254,Cactus Virus X Variant A,0.00099108
255,Cactus Virus X Variant A,0.00099108
256,Cactus Virus X Variant A,0.00099108
257,Cactus Virus X Variant A,0.00099108
258,Cactus Virus X Variant A,0.006937562
259,Cactus Virus X Variant A,0.00099108
260,Cactus Virus X Variant A,0.00099108
261,Cactus Virus X Variant A,0.00099108
262,Cactus Virus X Variant A,0.006937562
263,Cactus Virus X Variant A,0.00099108
264,Cactus Virus X Variant A,0.00099108
265,Cactus Virus X Variant A,0.007928642
266,Cactus Virus X Variant A,0.00099108
267,Cactus Virus X Variant A,0.00099108
268,Cactus Virus X Variant A,0.00099108
269,Cactus Virus X Variant A,0.007928642
270,Cactus Virus X Variant A,0.00099108
271,Cactus Virus X Variant A,0.00099108
272,Cactus Virus X Variant A,0.006937562
273,Cactus Virus X Variant A,0.00099108
274,Cactus Virus X Variant A,0.006937562
