Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7905834,2018-12-29 00:16:14,2018-09-26 23:29:34,23536515,5931201780,23536515,252,2782,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR7905834/SRR7905834.1,SRX4742023,Run_1724_Sample_72924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP162684,PRJNA493215,,493215,SRS3823336,SAMN10132121,simple,130095,Ariocarpus retusus,Arre20,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA784280,,public,48C46DD16CCD7B7749FDDBE536942FDE,FD01711B427F25C5091C01FEB52B3940
SRR7905835,2018-12-29 00:16:14,2018-09-26 23:32:17,26859072,6768486144,26859072,252,3355,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR7905835/SRR7905835.1,SRX4742022,Run_1724_Sample_72921,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP162684,PRJNA493215,,493215,SRS3823333,SAMN10132122,simple,362977,Astrophytum asterias,Asas15,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA784280,,public,A9D114FA344D85476D15224065856AE1,7790B86A3560475D3D9D19E930A15B58
SRR7905836,2018-12-29 00:16:14,2018-09-26 23:33:05,29142254,7343848008,29142254,252,3674,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR7905836/SRR7905836.1,SRX4742021,Run_1724_Sample_72916,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP162684,PRJNA493215,,493215,SRS3823335,SAMN10132123,simple,130098,Astrophytum myriostigma,Asmy08,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA784280,,public,E6DD7F12DBA55C865DD8EF3E5A5281CC,89778B6CC55F8293A5A7F0D3C9A65724
SRR11190794,2020-02-26 20:57:43,2020-02-26 20:46:00,41176485,12352945500,41176485,300,3845,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/010928/SRR11190794,SRX7810982,BR-1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP250877,PRJNA608981,,608981,SRS6223553,SAMN14217447,simple,176265,Hylocereus undatus,BR-1,,,,,not collected,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCE,SRA1048613,,public,2A53DAFB00235CE485D83994C14B2052,F754D138B4038FEE35EBBEC30EC4B80D
SRR11190793,2020-02-26 21:05:32,2020-02-26 21:01:25,27850856,8355256800,27850856,300,2557,,https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/010928/SRR11190793,SRX7810983,BR-2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP250877,PRJNA608981,,608981,SRS6223554,SAMN14217448,simple,176265,Hylocereus undatus,BR-2,,,,,not collected,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCE,SRA1048613,,public,95C9CCE7A3C86948FCA3C1D557C8AF19,7FBC9A93E1F4F6ABA5621CE04612A106
SRR11190792,2020-02-26 20:57:43,2020-02-26 20:46:09,29806707,8942012100,29806707,300,2777,,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/010928/SRR11190792,SRX7810984,BR-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP250877,PRJNA608981,,608981,SRS6223555,SAMN14217449,simple,176265,Hylocereus undatus,BR-3,,,,,not collected,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCE,SRA1048613,,public,64D7F48DCAA1CA27120A3B65F7AA84A1,64D39C0529CD96CE02A6554E3F7C42EE
SRR11190791,2020-02-26 20:57:43,2020-02-26 20:39:14,29169699,8750909700,29169699,300,2799,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/010928/SRR11190791,SRX7810985,BSJ-1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP250877,PRJNA608981,,608981,SRS6223556,SAMN14217450,simple,176265,Hylocereus undatus,BSJ-1,,,,,not collected,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCE,SRA1048613,,public,1CA32AB6DAD635BAB067034DBAB23BA9,224720D1F56FCD2D2D43460EC2C24609
SRR11190800,2020-02-26 20:57:43,2020-02-26 20:43:14,31943693,9583107900,31943693,300,3062,,https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/010928/SRR11190800,SRX7810976,BSJ-2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP250877,PRJNA608981,,608981,SRS6223547,SAMN14217451,simple,176265,Hylocereus undatus,BSJ-2,,,,,not collected,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCE,SRA1048613,,public,E72954CA8D1FA1C6B8DACBFF07087130,C31D791E0091125A462B8CD8E05BCB24
SRR11190799,2020-02-26 21:10:30,2020-02-26 20:52:44,40403859,12121157700,40403859,300,3879,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/010928/SRR11190799,SRX7810977,BSJ-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP250877,PRJNA608981,,608981,SRS6223548,SAMN14217452,simple,176265,Hylocereus undatus,BSJ-3,,,,,not collected,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCE,SRA1048613,,public,6FB796C3D9A6DB2B8490E67E81C2D663,5513A2A18B5DA35C1329B8CD2A39666C
SRR5605365,2018-05-22 00:07:38,2017-05-25 13:07:50,2250862,395921741,2247881,175,233,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5605365/SRR5605365.1,SRX2857968,Blossfeldia_liliputana_204,OTHER,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108044,PRJNA387599,,387599,SRS2228698,SAMN07159084,simple,154411,Blossfeldia liliputana,Blossfeldia_liliputana_204,,,,,,,no,,,,,"UNIVERSITY OF OKLAHOMA, MPBIO DEPT.",SRA566526,,public,319D63E8ABAF56338BA0E2B27ED8B28B,F1DB0BA4DB47F33A93235242CFF8B30F
SRR7905856,2018-12-29 00:16:13,2018-09-26 20:56:40,21864113,5509756476,21864113,252,2657,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR7905856/SRR7905856.1,SRX4742001,Run_1724_Sample_72923,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP162684,PRJNA493215,,493215,SRS3823314,SAMN10132124,simple,2358336,Stenocereus yunckeri,Ceyu18,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA784280,,public,7040124B3B4C9EA9444D2F1E26804DF4,E7547CDF68D98655A7F0D5DAF1289FDD
SRR7905838,2018-12-29 00:16:14,2018-09-26 21:07:16,36182990,9118113480,36182990,252,4833,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR7905838/SRR7905838.1,SRX4742019,Run_1691_Sample_72686,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP162684,PRJNA493215,,493215,SRS3823332,SAMN10132125,simple,1677709,Copiapoa desertorum,Code1013,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA784280,,public,126D262FBC20B82BE9F2C367182F982D,8DB634A140081765A8D0C065301E65E0
SRR7905839,2018-12-29 00:16:14,2018-09-26 23:31:02,28212910,7109653320,28212910,252,3305,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR7905839/SRR7905839.1,SRX4742018,Run_1724_Sample_72929,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP162684,PRJNA493215,,493215,SRS3823330,SAMN10132126,simple,866957,Coryphantha maiz-tablasensis,Coma28,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA784280,,public,4628F67BB834A0A7E5EC3C1097953596,C05CDDA1FE748FF478E1E41F3E5875C1
