sample,shortened_name,reads,viral_reads,mean_coverage,assembled_to,tissue_type
Schlumbergera_truncata_15H01_pol,,4841466,,,,
Schlumbergera_truncata_15H01_sty,,6769308,,,,
Schlumbergera_truncata_15H02_pol,,4888079,,,,
Schlumbergera_truncata_15H02_sty,,6173982,,,,
Schlumbergera_truncata_15H03_pol,15H-03_pol_S48,6983951,2197900,49410.42758,NC_002815,pollen
Schlumbergera_truncata_15H03_sty_1,15H3_sty_S73,9183100,1609915,83075.62806,NC_002815,style
Schlumbergera_truncata_15H03_sty_2,15H3_s_S50,7147068,3817127,34661.91639,NC_002815,style
Schlumbergera_truncata_15H04_pol,15H4P_p_S51,8392597,1766341,38484.62474,NC_002815,pollen
Schlumbergera_truncata_15H04_ptl,15H4PET_petal_S52,5120713,3196987,69832.7153,NC_002815,petal
Schlumbergera_truncata_15H04_sty,15H4S_s_S53,5240352,1250893,27345.47415,NC_002815,style
Schlumbergera_truncata_15H05_pol,15H5P_p_S54,6347070,1322,28.34048987,NC_002815,pollen
Schlumbergera_truncata_15H05_sty_1,,9618084,,,,
Schlumbergera_truncata_15H05_sty_2,,5043649,,,,
Schlumbergera_truncata_15H06_pol,15H6P_p_S56,6850087,5479866,119987.3793,NC_002815,pollen
Schlumbergera_truncata_15H06_sty,15H6S_s_S57,6632382,5887193,128599.7464,NC_002815,style
Schlumbergera_truncata_15H07_pol,,4513581,,,,
Schlumbergera_truncata_15H07_sty,,6411850,,,,
Schlumbergera_truncata_15H08_pol,,5106699,,,,
Schlumbergera_truncata_15H08_sty,,4521102,,,,
Schlumbergera_truncata_15H09_pol,,4645325,,,,
Schlumbergera_truncata_15H09_root,,6653640,,,,
Schlumbergera_truncata_15H09_stem,,8275870,,,,
Schlumbergera_truncata_15H09_sty,,6363556,,,,
Schlumbergera_truncata_19H10_sty,,2846832,,,,
Schlumbergera_truncata_19H11_sty,,3378246,,,,
Schlumbergera_truncata_19H12_sty,,3131561,,,,
Schlumbergera_truncata_19H13_sty,,3474548,,,,
Schlumbergera_truncata_19SF1_sty,SF19-1_sty_S45,4022583,40497,904.8444209,NC_002815,style
Matucana_madisoniorum_HBG13_sty,,4148932,,,,
SRR11190791 Plant BSJ-1 NC_002815,SRR11190791A,,452784,10097.06199,NC_002815,pulp
SRR11190791 Plant BSJ-1 NC_024458,SRR11190791B,,183824,4064.588588,NC_024458,pulp
SRR11190792 Plant BR-3 NC_002815,SRR11190792A,,48082,1079.404143,NC_002815,pulp
SRR11190792 Plant BR-3 NC_024458,SRR11190792B,,3054,67.93230493,NC_024458,pulp
SRR11190793 Plant BR-2 NC_002815,SRR11190793A,,112772,2536.704868,NC_002815,pulp
