Position,Coverage
1,0.00
2,0.00
3,0.00
4,0.00
5,1.00
6,4.00
7,5.00
8,5.00
9,13.00
10,44.00
11,81.00
12,203.00
13,218.00
14,230.00
15,322.00
16,370.00
17,388.00
18,413.00
19,443.00
20,470.00
21,478.00
22,484.00
23,507.00
24,522.00
25,531.00
26,564.00
27,566.00
28,574.00
29,574.00
30,588.00
31,588.00
32,590.00
33,592.00
34,599.00
35,601.00
36,601.00
37,601.00
38,602.00
39,609.00
40,609.00
41,612.00
42,612.00
43,613.00
44,613.00
45,625.00
46,632.00
47,640.00
48,642.00
49,647.00
50,649.00
51,655.00
52,667.00
53,675.00
54,685.00
55,687.00
56,690.00
57,696.00
58,697.00
59,698.00
60,699.00
61,702.00
62,706.00
63,708.00
64,733.00
65,746.00
66,755.00
67,762.00
68,776.00
69,782.00
70,782.00
71,785.00
72,798.00
73,807.00
74,818.00
75,827.00
76,835.00
77,852.00
78,870.00
79,882.00
80,887.00
81,895.00
82,901.00
83,901.00
84,905.00
85,905.00
86,906.00
87,910.00
88,912.00
89,924.00
90,926.00
91,927.00
92,927.00
93,930.00
94,933.00
95,937.00
96,938.00
97,947.00
98,952.00
99,953.00
100,959.00
101,963.00
102,972.00
103,972.00
104,971.00
105,974.00
106,974.00
107,972.00
108,972.00
109,973.00
110,972.00
111,973.00
112,974.00
113,979.00
114,978.00
115,969.00
116,967.00
117,963.00
118,962.00
119,961.00
120,961.00
121,964.00
122,957.00
123,955.00
124,942.00
125,944.00
126,943.00
127,945.00
128,947.00
129,948.00
130,947.00
131,937.00
132,936.00
133,932.00
134,933.00
135,935.00
136,935.00
137,935.00
138,931.00
139,926.00
140,923.00
141,914.00
142,908.00
143,910.00
144,910.00
145,912.00
146,913.00
147,914.00
148,915.00
149,908.00
150,907.00
151,900.00
152,897.00
153,906.00
154,896.00
155,896.00
156,891.00
157,886.00
158,881.00
159,881.00
160,873.00
161,848.00
162,813.00
163,739.00
164,728.00
165,715.00
166,663.00
167,637.00
168,626.00
169,609.00
170,582.00
171,566.00
172,563.00
173,557.00
174,541.00
175,530.00
176,523.00
177,501.00
178,504.00
