,Name,host,Formal taxon,new,mPTP,bPTP,phyname
1,AF308158,Selenicereus undatus,Cactus virus X,no,6,6,AF308158
2,AY366207,Schlumbergera bridgesii,Schlumbergera virus X,no,7,7,AY366207
3,AY366208,Schlumbergera truncata,Zygocactus virus X,no,1,1,AY366208
4,AY366209,Opuntia sp.,Opuntia virus X,no,10,10,AY366209
5,AY800279,,,no,NA,NA,AY800279
6,AY863024,Phlox stolonifera cv. Sherwood Purple,,no,NA,NA,AY863024
7,CYMRNA,,,no,NA,NA,CYMRNA
8,FJ822136,Portulaca grandiflora,,no,NA,NA,FJ822136
9,GQ179646,Phlox stolonifera cv. Sherwood Purple,,no,NA,NA,GQ179646
10,GQ179647,Phlox stolonifera cv. Sherwood Purple,,no,NA,NA,GQ179647
11,JF930326,Selenicereus sp.,Zygocactus virus X,no,1,1,JF930326
12,JF930327,Selenicereus sp.,Pitaya virus X,no,9,9,JF930327
13,JF937699,Selenicereus sp.,Cactus virus X,no,2,2,JF937699
14,JX524226,Carica papaya,,no,NA,NA,JX524226
15,KM288842,Selenicereus sp. (pitaya),Zygocactus virus X,no,1,1,KM288842
16,KM288843,Selenicereus sp. (pitaya),Zygocactus virus X,no,1,1,KM288843
17,KM288844,Selenicereus sp. (pitaya),Zygocactus virus X,no,1,1,KM288844
18,KM288845,Selenicereus sp. (pitaya),Zygocactus virus X,no,1,1,KM288845
19,KM288846,Selenicereus sp. (pitaya),Cactus virus X,no,2,2,KM288846
20,KM288847,Selenicereus sp. (pitaya),Cactus virus X,no,2,2,KM288847
21,KM365479,Selenicereus sp. (pitaya),Cactus virus X,no,6,6,KM365479
22,KP090203,Opuntia cochenillifera,Schlumbergera virus X,no,7,7,KP090203
23,KT717325,Lilium sp.,,no,NA,NA,KT717325
24,KU159093,lily,,no,NA,NA,KU159093
25,KU697313,Plantago asiatica,,no,NA,NA,KU697313
26,KU854929,Opuntia ficus-indica,Schlumbergera virus X,no,8,8,KU854929
27,KU854931,Opuntia ficus-indica,Opuntia virus X,no,10,10,KU854931
28,KX196173,Senna occidentalis,,no,NA,NA,KX196173
29,KX883791,Diptera,Cactus virus X,no,2,2,KX883791
30,KY348771,Opuntia albicarpa cv. nopal tunero,Opuntia virus X,no,10,10,KY348771
31,LC107515,Achyranthes bidentata,,no,NA,NA,LC107515
32,LC107517,Hydrangea macrophylla,,no,NA,NA,LC107517
33,LC128411,Selenicereus undatus,Cactus virus X,no,6,6,LC128411
34,LC155795,Nandina domestica,,no,NA,NA,LC155795
35,MF978248,Vasconcellea x heilbornii,,no,NA,NA,MF978248
36,MG210801,Mytilus coruscus,Mytcor virus 1,no,9,9,MG210801
37,MH423501,Epiphyllum sp. cv. Dragon Heart,,no,NA,NA,MH423501
