"","CYMRNA","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","Hylocereus_polyrhizus_SRR11190802__NC_011659","KP090203","AY366207","Hylocereus_polyrhizus_SRR11190798__NC_011659","Hylocereus_polyrhizus_SRR11190801__NC_011659","Hylocereus_undatus_SRR11603189__NC_011659","Hylocereus_undatus_SRR11603187__NC_011659","Hylocereus_undatus_SRR11603183__NC_011659","Hylocereus_undatus_SRR11603184__NC_011659","MG210801","Hylocereus_undatus_SRR11190800__NC_024458","Hylocereus_undatus_SRR11190791__NC_024458","Hylocereus_undatus_SRR11190799__NC_024458","Hylocereus_polyrhizus_SRR11190802__NC_024458","Hylocereus_polyrhizus_SRR11190801__NC_024458","Hylocereus_polyrhizus_SRR11190798__NC_024458","Hylocereus_polyrhizus_SRR11190795__NC_024458","JF930327","Hylocereus_undatus_SRR11603182__NC_024458","Hylocereus_undatus_SRR11603184__NC_024458","Hylocereus_undatus_SRR11603183__NC_024458","Hylocereus_undatus_SRR11190793__NC_024458","Hylocereus_polyrhizus_SRR11190796__NC_024458","Hylocereus_polyrhizus_SRR11190797__NC_024458","Hylocereus_undatus_SRR11603191__NC_024458","Hylocereus_undatus_SRR11603189__NC_024458","Hylocereus_undatus_SRR11603187__NC_024458","Hylocereus_undatus_SRR11603186__NC_024458","Hylocereus_undatus_SRR11603190__NC_024458","KM288845","Hylocereus_polyrhizus_SRR11190798__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_006059","Hylocereus_polyrhizus_SRR11190802__NC_006059","Hylocereus_polyrhizus_SRR11190796__NC_006059","Hylocereus_polyrhizus_SRR11190797__NC_006059","AY366208","KM288844","JF930326","KM288843","KM288842","Hylocereus_undatus_SRR11603191__NC_006059","Hylocereus_undatus_SRR11603189__NC_006059","Hylocereus_undatus_SRR11603187__NC_006059","Hylocereus_undatus_SRR11603186__NC_006059","Hylocereus_undatus_SRR11603190__NC_006059","JF937699","KM288846","KX883791","KM288847","Schlumbergera_truncata_15H03__cons","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_15H04__cons","Schlumbergera_truncata_15H06__cons","LC128411","Hylocereus_undatus_SRR11603186__NC_002815","Hylocereus_undatus_SRR11603190__NC_002815","Hylocereus_undatus_SRR11603191__NC_002815","Hylocereus_undatus_SRR11603187__NC_002815","Hylocereus_undatus_SRR11603189__NC_002815","Hylocereus_undatus_SRR11190793__NC_002815","KM365479","Hylocereus_undatus_SRR11190792__NC_002815","Hylocereus_undatus_SRR11603183__NC_002815","Hylocereus_polyrhizus_SRR11190795__NC_002815","AF308158","Hylocereus_polyrhizus_SRR11190802__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_002815","Hylocereus_polyrhizus_SRR11190797__NC_002815","Hylocereus_undatus_SRR11603184__NC_002815","Hylocereus_undatus_SRR11603182__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_002815","Hylocereus_polyrhizus_SRR11190801__NC_002815","Hylocereus_undatus_SRR11190799__NC_002815","Hylocereus_undatus_SRR11190791__NC_002815","Hylocereus_undatus_SRR11190800__NC_002815"
"CYMRNA",0,0.339285714285714,0.375,0.361607142857143,0.419642857142857,0.388392857142857,0.388392857142857,0.392857142857143,0.410714285714286,0.379464285714286,0.375,0.366071428571429,0.361607142857143,0.370535714285714,0.357142857142857,0.370535714285714,0.424107142857143,0.428571428571429,0.428571428571429,0.370535714285714,0.357142857142857,0.366071428571429,0.352678571428571,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.366071428571429,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.388392857142857,0.366071428571429,0.366071428571429,0.366071428571429,0.361607142857143,0.361607142857143,0.370535714285714,0.361607142857143,0.366071428571429,0.370535714285714,0.361607142857143,0.366071428571429,0.366071428571429,0.366071428571429,0.366071428571429,0.366071428571429,0.366071428571429,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.375,0.375,0.375,0.379464285714286,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.379464285714286,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
"LC107517",0.339285714285714,0,0.392857142857143,0.370535714285714,0.410714285714286,0.410714285714286,0.40625,0.4375,0.464285714285714,0.4375,0.428571428571429,0.433035714285714,0.428571428571429,0.4375,0.424107142857143,0.4375,0.415178571428571,0.410714285714286,0.410714285714286,0.401785714285714,0.388392857142857,0.392857142857143,0.397321428571429,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.357142857142857,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.361607142857143,0.366071428571429,0.366071428571429,0.366071428571429,0.366071428571429,0.366071428571429,0.392857142857143,0.357142857142857,0.357142857142857,0.361607142857143,0.361607142857143,0.361607142857143,0.375,0.370535714285714,0.352678571428571,0.361607142857143,0.361607142857143,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.370535714285714,0.397321428571429,0.392857142857143,0.401785714285714,0.40625,0.388392857142857,0.383928571428571,0.383928571428571,0.383928571428571,0.388392857142857,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.379464285714286,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.388392857142857,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571,0.383928571428571
"KU697313",0.375,0.392857142857143,0,0.138392857142857,0.160714285714286,0.15625,0.15625,0.424107142857143,0.540178571428571,0.491071428571429,0.450892857142857,0.419642857142857,0.4375,0.428571428571429,0.433035714285714,0.428571428571429,0.424107142857143,0.428571428571429,0.428571428571429,0.441964285714286,0.428571428571429,0.428571428571429,0.433035714285714,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.446428571428571,0.455357142857143,0.455357142857143,0.459821428571429,0.459821428571429,0.459821428571429,0.46875,0.455357142857143,0.455357142857143,0.459821428571429,0.459821428571429,0.464285714285714,0.464285714285714,0.464285714285714,0.464285714285714,0.464285714285714,0.446428571428571,0.441964285714286,0.450892857142857,0.446428571428571,0.459821428571429,0.455357142857143,0.455357142857143,0.455357142857143,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.455357142857143,0.459821428571429,0.459821428571429,0.455357142857143,0.464285714285714,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429,0.459821428571429
"AY800279",0.361607142857143,0.370535714285714,0.138392857142857,0,0.147321428571429,0.129464285714286,0.129464285714286,0.419642857142857,0.5,0.459821428571429,0.424107142857143,0.419642857142857,0.424107142857143,0.419642857142857,0.424107142857143,0.419642857142857,0.379464285714286,0.383928571428571,0.383928571428571,0.424107142857143,0.415178571428571,0.415178571428571,0.419642857142857,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.410714285714286,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.428571428571429,0.433035714285714,0.433035714285714,0.4375,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.415178571428571,0.410714285714286,0.419642857142857,0.415178571428571,0.433035714285714,0.428571428571429,0.428571428571429,0.428571428571429,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.4375,0.4375,0.433035714285714,0.433035714285714,0.428571428571429,0.4375,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714
"LC155795",0.419642857142857,0.410714285714286,0.160714285714286,0.147321428571429,0,0.151785714285714,0.151785714285714,0.40625,0.491071428571429,0.46875,0.415178571428571,0.379464285714286,0.383928571428571,0.383928571428571,0.388392857142857,0.383928571428571,0.388392857142857,0.392857142857143,0.392857142857143,0.415178571428571,0.424107142857143,0.419642857142857,0.424107142857143,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.428571428571429,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.397321428571429,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.428571428571429,0.433035714285714,0.433035714285714,0.441964285714286,0.4375,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.4375,0.433035714285714,0.441964285714286,0.4375,0.482142857142857,0.477678571428571,0.477678571428571,0.477678571428571,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.477678571428571,0.482142857142857,0.482142857142857,0.477678571428571,0.486607142857143,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857,0.482142857142857
"KT717325",0.388392857142857,0.410714285714286,0.15625,0.129464285714286,0.151785714285714,0,0.00892857142857143,0.424107142857143,0.477678571428571,0.428571428571429,0.4375,0.4375,0.450892857142857,0.428571428571429,0.441964285714286,0.428571428571429,0.375,0.379464285714286,0.379464285714286,0.40625,0.40625,0.415178571428571,0.410714285714286,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.401785714285714,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.46875,0.441964285714286,0.441964285714286,0.446428571428571,0.446428571428571,0.446428571428571,0.4375,0.4375,0.441964285714286,0.446428571428571,0.446428571428571,0.446428571428571,0.446428571428571,0.446428571428571,0.446428571428571,0.446428571428571,0.424107142857143,0.428571428571429,0.428571428571429,0.424107142857143,0.450892857142857,0.446428571428571,0.446428571428571,0.446428571428571,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.4375,0.446428571428571,0.441964285714286,0.441964285714286,0.446428571428571,0.446428571428571,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286
"KU159093",0.388392857142857,0.40625,0.15625,0.129464285714286,0.151785714285714,0.00892857142857143,0,0.415178571428571,0.486607142857143,0.433035714285714,0.446428571428571,0.428571428571429,0.450892857142857,0.428571428571429,0.433035714285714,0.428571428571429,0.375,0.379464285714286,0.379464285714286,0.40625,0.40625,0.415178571428571,0.410714285714286,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.401785714285714,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.46875,0.441964285714286,0.441964285714286,0.446428571428571,0.446428571428571,0.446428571428571,0.4375,0.4375,0.441964285714286,0.446428571428571,0.446428571428571,0.446428571428571,0.446428571428571,0.446428571428571,0.446428571428571,0.446428571428571,0.424107142857143,0.428571428571429,0.428571428571429,0.424107142857143,0.450892857142857,0.446428571428571,0.446428571428571,0.446428571428571,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.4375,0.446428571428571,0.441964285714286,0.441964285714286,0.446428571428571,0.446428571428571,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286,0.441964285714286
"KX196173",0.392857142857143,0.4375,0.424107142857143,0.419642857142857,0.40625,0.424107142857143,0.415178571428571,0,0.397321428571429,0.352678571428571,0.321428571428571,0.285714285714286,0.285714285714286,0.290178571428571,0.285714285714286,0.290178571428571,0.410714285714286,0.40625,0.40625,0.441964285714286,0.424107142857143,0.424107142857143,0.428571428571429,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.424107142857143,0.392857142857143,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.397321428571429,0.401785714285714,0.410714285714286,0.410714285714286,0.40625,0.40625,0.40625,0.410714285714286,0.40625,0.415178571428571,0.419642857142857,0.410714285714286,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.419642857142857,0.424107142857143,0.424107142857143,0.428571428571429,0.419642857142857,0.415178571428571,0.415178571428571,0.415178571428571,0.424107142857143,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.415178571428571,0.419642857142857,0.419642857142857,0.415178571428571,0.424107142857143,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857,0.419642857142857
"MF978248",0.410714285714286,0.464285714285714,0.540178571428571,0.5,0.491071428571429,0.477678571428571,0.486607142857143,0.397321428571429,0,0.339285714285714,0.370535714285714,0.357142857142857,0.357142857142857,0.339285714285714,0.348214285714286,0.339285714285714,0.4375,0.441964285714286,0.441964285714286,0.392857142857143,0.401785714285714,0.410714285714286,0.40625,0.401785714285714,0.401785714285714,0.401785714285714,0.401785714285714,0.401785714285714,0.401785714285714,0.433035714285714,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.441964285714286,0.433035714285714,0.433035714285714,0.428571428571429,0.428571428571429,0.428571428571429,0.419642857142857,0.433035714285714,0.428571428571429,0.424107142857143,0.424107142857143,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.433035714285714,0.441964285714286,0.446428571428571,0.446428571428571,0.446428571428571,0.459821428571429,0.455357142857143,0.455357142857143,0.455357142857143,0.459821428571429,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.459821428571429,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143,0.455357142857143
"JX524226",0.379464285714286,0.4375,0.491071428571429,0.459821428571429,0.46875,0.428571428571429,0.433035714285714,0.352678571428571,0.339285714285714,0,0.325892857142857,0.388392857142857,0.392857142857143,0.379464285714286,0.383928571428571,0.379464285714286,0.473214285714286,0.46875,0.46875,0.392857142857143,0.383928571428571,0.397321428571429,0.383928571428571,0.388392857142857,0.388392857142857,0.388392857142857,0.388392857142857,0.388392857142857,0.388392857142857,0.410714285714286,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.415178571428571,0.441964285714286,0.433035714285714,0.433035714285714,0.428571428571429,0.428571428571429,0.428571428571429,0.433035714285714,0.433035714285714,0.433035714285714,0.4375,0.428571428571429,0.4375,0.4375,0.4375,0.4375,0.4375,0.450892857142857,0.455357142857143,0.455357142857143,0.459821428571429,0.455357142857143,0.450892857142857,0.450892857142857,0.450892857142857,0.455357142857143,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.446428571428571,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857,0.450892857142857
