,Name,Name_updated,host,formal_tax,ftax_number,bPTP,mPTP,new,controversial
1,AY863024,AY863024,Phlox stolonifera cv. Sherwood Purple,,,,,no,NA
2,FJ822136,FJ822136,Portulaca grandiflora,,,,,no,NA
3,GQ179646,GQ179646,Phlox stolonifera cv. Sherwood Purple,,,,,no,NA
4,GQ179647,GQ179647,Phlox stolonifera cv. Sherwood Purple,,,,,no,NA
5,LC107515,LC107515,Achyranthes bidentata,,,,,no,TRUE
6,MH423501,MH423501,Epiphyllum sp. cv. Dragon Heart,,,,,no,NA
7,MF978248,MF978248,Vasconcellea x heilbornii,,,,,no,NA
8,AF308158,AF308158,Selenicereus undatus,Cactus virus X,7,7,7,no,TRUE
9,JF937699,JF937699,Selenicereus sp.,Cactus virus X,7,6,6,no,TRUE
10,KM288846,KM288846,Selenicereus sp.,Cactus virus X,7,6,6,no,NA
11,KM288847,KM288847,Selenicereus sp.,Cactus virus X,7,6,6,no,NA
12,KM365479,KM365479,Selenicereus sp.,Cactus virus X,7,7,7,no,NA
13,KX883791,KX883791,Diptera,Cactus virus X,7,6,6,no,TRUE
14,LC128411,LC128411,Selenicereus undatus,Cactus virus X,7,7,7,no,TRUE
15,'D29630.1',D29630.1,Pisum sp.,,,,,no,NA
16,LC107517,LC107517,Hydrangea macrophylla,,,,,no,NA
17,MG210801.1',MG210801,Crassostrea gigas,,3,3,3,no,TRUE
18,AY800279,AY800279,Nandina domestica,,,,,no,NA
19,KU854931,KU854931,Opuntia ficus-indica,Opuntia virus X,1,1,1,no,NA
20,KY348771,KY348771,Opuntia albicarpa cv. nopal tunero,Opuntia virus X,1,1,1,no,NA
21,AY366209,AY366209,Opuntia sp.,Opuntia virus X,1,1,1,no,NA
22,JX524226,JX524226,Carica papaya,,,,,no,TRUE
23,JF930327,JF930327,Selenicereus sp.,Pitaya virus X,3,3,3,no,TRUE
24,KT717325,KT717325,Lilium sp.,,,,,no,NA
25,KU159093,KU159093,Lilium sp.,,,,,no,NA
26,KU697313,KU697313,Plantago asiatica,,,,,no,NA
27,LC155795,LC155795,Nandina domestica,,,,,no,NA
28,KP090203,KP090203,Opuntia cochenillifera,Schlumbergera virus X,2,2,2,no,TRUE
29,KU854929,KU854929,Opuntia ficus-indica,Schlumbergera virus X,2,8,2,no,TRUE
30,AY366207,AY366207,Schlumbergera bridgesii,Schlumbergera virus X,2,2,2,no,NA
31,KX196173,KX196173,Senna occidentalis,,,,,no,NA
32,Schlumbergera_truncata_15H-03_pol_S48_potexvirus_-_NC_002815_consensus_sequence,15H-03_pol_S48,Schlumbergera truncata,,,7,7,yes,NA
33,Schlumbergera_truncata__15H3__s_S50_potexvirus_-_NC_002815_consensus_sequence,15H3_s_S50,Schlumbergera truncata,,,7,7,yes,NA
34,Schlumbergera_truncata_15H3_sty_S73_potexvirus_-_NC_002815_consensus_sequence,15H3_sty_S73,Schlumbergera truncata,,,7,7,yes,NA
35,Schlumbergera_truncata__15H4P__p_S51_potexvirus_-_NC_002815_consensus_sequence,15H4P_p_S51,Schlumbergera truncata,,,7,7,yes,NA
36,Schlumbergera_truncata__15H4PET__petal_S52_potexvirus_-_NC_002815_consensus_sequence,15H4PET_petal_S52,Schlumbergera truncata,,,7,7,yes,NA
37,Schlumbergera_truncata__15H4S__s_S53_potexvirus_-_NC_002815_consensus_sequence,15H4S_s_S53,Schlumbergera truncata,,,7,7,yes,NA
38,Schlumbergera_truncata__15H5P__p_S54_potexvirus_-_NC_002815_consensus_sequence,15H5P_p_S54,Schlumbergera truncata,,,7,7,yes,NA
39,Schlumbergera_truncata__15H6P__p_S56_potexvirus_-_NC_002815_consensus_sequence,15H6P_p_S56,Schlumbergera truncata,,,7,7,yes,NA
40,Schlumbergera_truncata__15H6S__s_S57_potexvirus_-_NC_002815_consensus_sequence,15H6S_s_S57,Schlumbergera truncata,,,7,7,yes,NA
41,Schlumbergera_SF19-1_sty_S45_potexvirus_-_NC_002815_consensus_sequence,SF19-1_sty_S45,Schlumbergera sp.,,,7,7,yes,NA
42,Hylocereus_undatus_176265_SRR11190791_potexvirus_-_NC_002815_consensus_sequence,SRR11190791A,Selenicereus undatus,,,7,7,yes,TRUE
43,Hylocereus_undatus_176265_SRR11190791_potexvirus_-_NC_024458_consensus_sequence,SRR11190791B,Selenicereus undatus,,,3,3,yes,TRUE
44,Hylocereus_undatus_176265_SRR11190792_potexvirus_-_NC_002815_consensus_sequence,SRR11190792A,Selenicereus undatus,,,7,7,yes,TRUE
45,Hylocereus_undatus_176265_SRR11190792_potexvirus_-_NC_024458_consensus_sequence,SRR11190792B,Selenicereus undatus,,,3,3,yes,NA
46,Hylocereus_undatus_176265_SRR11190793_potexvirus_-_NC_002815_consensus_sequence,SRR11190793A,Selenicereus undatus,,,7,7,yes,TRUE
47,Hylocereus_undatus_176265_SRR11190793_potexvirus_-_NC_024458_consensus_sequence,SRR11190793B,Selenicereus undatus,,,3,3,yes,TRUE
48,Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus_-_NC_002815_consensus_sequence,SRR11190795A,Selenicereus polyrhizus,,,7,7,yes,TRUE
49,Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus_-_NC_006059_consensus_sequence,SRR11190795B,Selenicereus polyrhizus,,,4,4,yes,NA
50,Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus_-_NC_011659_consensus_sequence,SRR11190795C,Selenicereus polyrhizus,,,2,2,yes,NA
51,Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus_-_NC_024458_consensus_sequence,SRR11190795D,Selenicereus polyrhizus,,,3,3,yes,TRUE
52,Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus_-_NC_002815_consensus_sequence,SRR11190796A,Selenicereus polyrhizus,,,7,7,yes,TRUE
53,Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus_-_NC_006059_consensus_sequence,SRR11190796B,Selenicereus polyrhizus,,,4,4,yes,TRUE
