"","MG210801_-_RdRp_CDS","AY800279_-_viral_replicase_CDS","KT717325_-_RdRP_CDS","KU159093_-_RNA-dependent_RNA_polymerase_CDS","KU697313_-_RNA-dependent_RNA_polymerase_CDS","LC107517_-_RdRp_CDS","LC155795_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_19JSF_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190796__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190801__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190792__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603182__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603186__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603189__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_a_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H06_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190802__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190791__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190793__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190799__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190800__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190797__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190795__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190798__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pet__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_b_-_RNA-dependent_RNA_polymerase_CDS","KX196173_-_RdRp_CDS","MF978248_-_RdRp_CDS","Schlumbergera_truncata_15H05_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AY863024_-_ORF1_CDS","FJ822136_-_RdRp_CDS","GQ179646_-_replicase_CDS","GQ179647_-_replicase_CDS","LC107515_-_RdRp_CDS","MH423501_-_replicase_CDS","Schlumbergera_truncata_15H06_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603190__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603191__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","JF937699_-_RNA-dependent_RNA_polymerase_CDS","KX883791_-_ORF1_CDS","LC128411_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603183__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603184__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AF308158_-_RNA-dependent_RNA_polymerase_CDS","AY366208_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190796__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603189__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_006059_-_RdRp_CDS","JF930326_-_RdRp_CDS","AY366207_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190801__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190802__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603183__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603184__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603187__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603189__NC_011659_-_replication-associated_protein_CDS","KP090203_-_ORF1_CDS","KU854929_-_RdRp_CDS","JX524226_-_CDS","AY366209_-_replication-associated_protein_CDS","KU854931_-_RdRp_CDS","KY348771_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190795__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190796__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190791__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190792__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190793__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190799__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11190800__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603182__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603183__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603184__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603189__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_024458_-_RdRp_CDS","JF930327_-_similar_to_RdRp","CYMRNA_-_replicase_CDS"
"MG210801_-_RdRp_CDS",100,54.6269612552033,55.1756885090218,55.0490661601773,54.992125984252,57.6803482587065,53.511811023622,70.6309324399777,69.7285440087743,70.207399103139,69.7368421052632,69.8739035087719,69.9531809418893,70.7289614410357,69.7052401746725,69.8278218092375,69.9644711669855,69.5770804911323,69.7490452809602,70.1101928374656,69.573485465906,69.7035626869731,69.5841261212286,69.546318935072,70.5210365004179,69.6161176150286,69.6705690171522,69.9285321605278,69.6379594075699,69.5652173913043,55.6420233463035,53.8119087367835,69.6930111038537,55.9921962095875,56.3266443701226,56.9119286510591,56.1036789297659,56.2727018720313,56.4102564102564,69.8986579019447,69.9069003285871,69.8824815523367,69.7084233261339,69.816414686825,69.6144513345915,70.5865921787709,69.9289229086933,69.0129449838188,68.8137412775094,70.0926705981466,69.5846110956231,69.4436906377205,69.374492282697,69.6555494805905,68.8360788549824,68.798710024187,68.9014539579968,68.9021092482423,68.8984881209503,68.8506981740064,70.4679935449166,73.7704918032787,73.93476344402,70.4232946885953,71.2414733969986,73.3526850507983,73.2910297086819,72.0201454952434,70.5771305285868,70.7638515330823,54.9084858569052,65.6484458735263,65.9163987138264,65.7288317256163,97.9661912308505,98.4932593180016,98.4932593180016,99.1924629878869,99.2227284910212,99.1655450874832,98.6001056524036,98.4944532488114,98.4944532488114,98.6001056524036,98.6001056524036,99.1386271870794,99.1393222162453,99.138163210342,98.6761980407731,98.5960264900662,98.5963983050847,98.7019867549669,98.7240829346092,98.0982567353407,53.2780305057533
"AY800279_-_viral_replicase_CDS",54.6269612552033,100,76.7595307917888,77.0039100684262,78.2173382173382,61.7337778917671,77.5992208424641,56.1132561132561,55.8444837162333,56.1340206185567,55.8303886925795,56.027293404094,56.0913705583756,56.581329195759,55.9185725056547,55.6086519114688,55.7067271352986,55.9326294620412,55.9547738693467,56.0678996706359,55.819774718398,55.8617234468938,55.8087130696044,55.7947434292866,56.3925185754548,55.920722528851,55.7228915662651,56.0932353686344,55.8585858585859,55.9445843828715,55.2491778396155,54.6659994996247,56.2198649951784,56.8765743073048,56.8765743073048,57.0025188916877,56.624685138539,56.9156991418476,57.0025188916877,55.9586797682036,55.6171284634761,55.4213836477987,55.3976564447769,55.4475193218649,55.3318419090231,56.2307692307692,55.9023408004027,55.0584141188168,56.4761667082605,57.9002350483155,57.5184016824395,57.1283869334009,57.0454545454545,57.4408547443399,56.920371765888,56.8357910522369,56.835252879319,56.9168968114487,57.0210631895687,56.6791510611735,54.6789447486312,56.9773706896552,57.0424439037578,54.9102691924227,55.2724520686176,57.0775026910657,56.9350929167789,55.7398289712361,55.1422865701448,55.6993529118965,56.3940238034946,55.3869121672058,55.5859666583727,55.7601393381438,55.4057428214732,55.6778389194597,55.69176882662,56.015228426396,55.9493670886076,55.9593392630241,55.7303370786517,54.525928198834,55.5305867665418,55.7303370786517,55.7303370786517,55.9248921593504,55.9107052257737,55.9705284552846,55.7085628442664,55.6724267468069,55.6445556946183,55.7114228456914,55.7590966122961,55.5555555555556,55.5198814522104
"KT717325_-_RdRP_CDS",55.1756885090218,76.7595307917888,100,98.6965966690804,77.8746066327766,62.1621621621622,75.6939415882211,56.2755102040816,55.5166374781086,56.2308478038815,55.5027513756878,55.8727773603807,56.0110663983903,56.4293032786885,56.0149439601494,55.8075772681954,55.8551810237204,55.8545092177379,55.6274900398406,56.0632688927944,55.9910692135946,55.6852035749752,55.9801488833747,55.9662614735798,56.3197969543147,55.8428642466435,55.6965174129353,56.0381621893046,55.5055055055055,55.8662006989516,54.9260466282276,54.5995536821225,55.830950111217,56.1907139291063,56.6650024962556,56.7149276085871,56.3654518222666,56.6033016508254,56.8647029455816,55.6554307116105,55.8662006989516,55.8713537771129,55.5967383246849,55.4978996787744,55.4323725055432,56.4565327910524,55.9630738522954,55.1367331855137,56.8142468464012,57.7042399172699,57.4479166666667,57.2898368883312,57.2822822822823,57.1968742122511,57.2566591984068,57.0720832301214,57.12158808933,57.2281662105001,57.331013916501,56.6443949517446,54.7853971386285,56.9292389853137,56.9131832797428,54.70719051149,55.5,56.9333333333333,56.8376068376068,55.9435173299101,55.0717466600693,55.1800690675876,56.0100376411543,54.949395211059,54.9247099481609,55.0481362626512,55.7535263548627,55.7759048091225,55.7897346888172,56.125786163522,56.1606022584693,56.0453400503778,55.6545409552091,55.0227617602428,55.7040336550359,55.6545409552091,55.6545409552091,56.3018867924528,56.2625754527163,56.3476070528967,55.7816377171216,55.7210225862497,55.7181840734309,55.8093346573982,55.8208955223881,55.902004454343,55.8384332925337
"KU159093_-_RNA-dependent_RNA_polymerase_CDS",55.0490661601773,77.0039100684262,98.6965966690804,100,78.1650931977729,62.1876593574707,75.9111754767077,56.3265306122449,55.6167125344008,56.3329928498468,55.6028014007004,55.9479088404708,56.0865191146881,56.4805327868852,56.0896637608966,55.8823529411765,55.9300873907615,55.9541604384654,55.7270916334661,56.113482299774,56.0158769536095,55.759682224429,56.0049627791563,55.9910692135946,56.3959390862944,55.942317255097,55.7462686567164,56.113482299774,55.6056056056056,55.9660509236146,55.0513913261469,54.4259856186462,55.9580552907531,56.0908637044433,56.5401897154269,56.6400399400899,56.2905641537693,56.5782891445723,56.7898152770844,55.7553058676654,55.9410883674488,55.9461480927449,55.4484803558191,55.3496417099086,55.5062823355506,56.5073716319268,56.0379241516966,55.1613697955161,56.9873856047489,57.8076525336091,57.5,57.4153074027603,57.4074074074074,57.2472901436854,57.4060243963157,57.2207084468665,57.2704714640198,57.3774570788753,57.5298210735586,56.7681267013116,54.8840651208683,56.9826435246996,56.9667738478028,54.6824808500123,55.525,56.9333333333333,56.8910256410256,55.99486521181,55.1212271152895,55.1307350764677,55.7841907151819,55.0975067884473,54.9987657368551,55.1468773142434,55.6545409552091,55.7263262270699,55.7401438135383,56.0251572327044,56.060225846926,55.9445843828715,55.6050482553823,54.9924127465857,55.6792873051225,55.6050482553823,55.6050482553823,56.2264150943396,56.1871227364185,56.272040302267,55.7568238213399,55.6962025316456,55.693376333416,55.7845084409136,55.8208955223881,55.7535263548627,55.9363525091799
"KU697313_-_RNA-dependent_RNA_polymerase_CDS",54.992125984252,78.2173382173382,77.8746066327766,78.1650931977729,100,64.0355329949239,76.7172812725958,57.2808132147395,56.5163219536506,57.0229007633588,56.5022421524664,57.0466450486406,57.0533700826861,57.7590607452782,56.8345323741007,56.5541211519364,56.6525739865705,56.6749379652606,56.5724206349206,57.2,56.7828020756116,57.0227497527201,56.7721206129511,56.7580924141339,57.3414202678797,56.6617137196632,56.8384539147671,57.0535267633817,56.5054835493519,56.6882148184983,56.0799001248439,54.1121264509756,57.5719253872905,56.0169070114371,56.3898557931377,56.2904027846842,55.9174540029836,56.9257598405581,56.6882148184983,56.6277045511067,56.5887618100448,56.4440029798858,56.091557962097,56.1653950283042,56.2453987730061,57.3924050632911,56.8091451292247,56.2944785276074,57.2308450357231,58.1185567010309,57.7172503242542,57.7355661084729,57.6769690927218,58.0215917650013,57.500619885941,57.438934122872,57.4641621354424,57.5216852540273,57.5,57.3330046832635,54.8402948402948,56.6834972096731,56.7466666666667,54.5902042825498,55.253984063745,56.687898089172,56.7438148443735,55.6890820761953,54.9038935436175,55.2579852579853,55.8360409897526,55.5146155735691,55.7602554654876,55.7602554654876,55.829430613754,56,56.0138305754507,56.4237415477085,56.4217891054473,56.4334085778781,55.9526743899433,54.9682875264271,55.9280256347054,55.9526743899433,55.9526743899433,56.563126252505,56.5489606811921,56.5838976674191,56.1047948591201,56.0800790904597,56.0770750988142,56.1186650185414,56.1803319296507,55.9033768794676,55.9697855750487
"LC107517_-_RdRp_CDS",57.6803482587065,61.7337778917671,62.1621621621622,62.1876593574707,64.0355329949239,100,61.6302691721686,58.3144082765582,57.8360980440703,58.4428715874621,57.8217821782178,58.1516352824579,58.0283793876027,58.6014694704839,57.8999260537343,57.685664939551,57.7075098814229,57.914201183432,57.8610152784623,58.1262425447316,57.9425484900565,57.8378378378378,57.9322200392927,57.9179965627302,58.4839357429719,57.8986220472441,57.9763663220089,58.0019880715706,57.8504210004953,57.9051383399209,56.9067587567834,55.7244422652611,58.5871271585557,57.3996552573258,57.4981531642453,57.6459000246245,57.4489042107855,58.179126572909,57.8921447919232,57.9090459713297,57.6970595502842,57.5936883629191,57.3378839590444,57.0453437347635,57.5225554742746,58.440251572327,57.9609972846211,57.4981711777615,58.3109592384672,59.2128801431127,59.1516709511568,59.1483040356524,59.0617283950617,58.9156926137777,58.85531810366,58.7530562347188,58.7904015670911,58.8654223968566,58.6418239764648,58.1929181929182,56.3033406486223,58.102035421623,58.2493368700265,56.1797752808989,56.4970355731225,58.051742344245,57.9878531819382,56.8348972863302,56.4930300807043,56.693489392831,57.1463836089854,57.0697220867869,57.2647489029742,57.0697220867869,57.5158613958028,57.7364947445612,57.7506112469438,58.0277502477701,58.00395256917,58.0109126984127,57.393850658858,57.3090692124105,57.6134699853587,57.393850658858,57.393850658858,58.0069410014874,57.9925650557621,57.9796475552246,57.7685343772939,57.6847772883015,57.6565557729941,57.7685343772939,57.7875889134167,57.5646656905808,56.3472762645914
"LC155795_-_RdRp_CDS",53.511811023622,77.5992208424641,75.6939415882211,75.9111754767077,76.7172812725958,61.6302691721686,100,56.5294715447154,56.4166459008223,56.7175572519084,56.4025909317389,56.1736093788975,55.975945878226,56.6471038530237,55.8670305135202,56.0079443892751,56.1054464063666,56.1538461538462,56.4236111111111,56.2390597649412,56.1156412157153,55.9099901088032,56.1047948591201,56.0909315542377,56.4348925410872,56.1168895492818,55.8721506442022,55.9779889944972,56.4307078763709,56.2158130283441,54.7315855181024,54.5813781180538,56.1492254189061,55.4450522128294,55.8925907508702,55.74341123819,55.0969666832422,55.8046836073742,56.141223272004,56.4784879383238,56.0417702635505,55.997020114229,55.0332266797933,54.8117154811715,55.7791411042945,56.46999240314,56.0884691848907,55.5337423312883,56.4917467356492,57.2790517907756,57.1317427385892,56.5858535366159,56.4805583250249,57.017323625408,56.7071658814778,56.6247224278312,56.6732575383094,56.728624535316,56.7079207920792,56.7907320680306,54.5208845208845,56.8882978723404,56.8721643981852,54.3440807285257,55.1543824701195,56.6533864541833,56.436170212766,55.510099718742,55.1503203548546,54.7911547911548,56.0609847538115,54.8759518545812,54.9496438221567,54.8759518545812,54.5230465861474,54.4938271604938,54.5072857495678,54.9736908043097,54.9612596850787,55.1179126944305,54.5230465861474,53.4581697372395,54.5230465861474,54.5230465861474,54.5230465861474,54.9987471811576,54.9599198396794,55.017561465128,54.6218487394958,54.610630407911,54.5836422041018,54.6241345202769,54.6828543111992,54.6709391175746,55.214424951267
"Hylocereus_undatus_SRR11603187__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",70.6309324399777,56.1132561132561,56.2755102040816,56.3265306122449,57.2808132147395,58.3144082765582,56.5294715447154,100,96.9615124915598,97.7262287551677,96.962196219622,99.211889214141,98.9359293638216,99.6783088235294,98.6316733961418,99.9775381850854,100,96.9703770197487,96.9513561981618,99.4813979706877,98.1667784484686,98.1879194630872,98.1879194630872,98.1887298747764,99.4516792323509,96.9527223840466,99.0800987211128,98.9371325192221,96.9410706252812,96.9669737137722,54.9006010171059,54.6272790214632,98.3937967322071,56.2052230182575,56.4132193205454,56.7367691241045,56.2976658192743,56.9608524438267,56.9909868269008,97.1672661870504,99.9775230388851,100,79.0833520557178,79.0159514715794,99.2178770949721,99.5908160945669,98.8998652896273,98.1895395619133,74.7749774977498,76.0966455547736,75.666745338683,75.3870673952641,75.2783458304931,75.2457142857143,75.0339520144862,75.0112663361875,75.1524734583239,75.0282997509622,75.1356238698011,74.921206663665,68.8458070333634,71.5612020522844,71.656050955414,68.9787618617262,69.2307692307692,71.2408759124088,71.120793996611,69.8342283446183,68.8206055128785,69.1839495040577,56.6011560693642,66.1797752808989,66.1797752808989,66.1348314606742,71.1746174617462,71.1711711711712,71.1711711711712,71.6605672461116,71.5784671532847,71.7002749770852,71.3771377137714,70.5200754513608,71.2421242124212,71.3771377137714,71.3771377137714,71.6411078049897,71.6312056737589,71.644525881814,71.1096075778079,71.1512415349887,71.1030904579292,71.1191335740072,71.2700928231831,71.2646264626463,55.3330333033303
"Schlumbergera_truncata_15H04_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",69.7285440087743,55.8444837162333,55.5166374781086,55.6167125344008,56.5163219536506,57.8360980440703,56.4166459008223,96.9615124915598,100,99.3717747363698,100,96.7285587975243,96.4079822616408,97.3236561578589,96.1098901098901,95.7057916758423,95.7727873183619,98.1156879929886,99.8247535596933,96.7605946305747,95.8388085851949,95.8799035722113,95.8369851007888,95.8388085851949,97.1248876909254,98.1156879929886,96.416794899978,96.3684676705049,100,98.1156879929886,54.4733861834655,54.0253279059249,96.6585825922932,55.673839184598,55.7191392978482,56.0815402038505,55.7191392978482,56.5039727582293,56.4892412231031,99.8461200263794,95.7249889819304,95.7488986784141,78.0321373541713,77.9220779220779,95.6864462447997,97.0132494947227,96.3020030816641,95.2912833990364,73.8977072310406,75.3336401288541,74.8726262158407,74.5762711864407,74.5045646849254,74.5067264573991,74.3123336291038,74.2989622433208,74.4191192741757,74.3231247225921,74.368630926008,74.2611380679312,67.8374199248951,70.4654510556622,70.5726660250241,67.7954847277556,68.1350626118068,70.2031063321386,70.1595618004287,68.8731103985341,67.796234772979,68.4559310801856,56.0616360752323,65.3600528517948,65.3820744329443,65.2059017837481,70.4079382579934,70.3466548907044,70.3621908127209,70.9670181736594,70.8948545861298,70.9662921348314,70.7166482910695,69.6801480306635,70.4740904079383,70.7166482910695,70.7166482910695,70.8641975308642,70.8707360861759,70.882947652213,70.3801945181256,70.4203539823009,70.3736458103029,70.3892083149049,70.5412599822538,70.4740904079383,54.5093715545755
"Schlumbergera_truncata_19JSF_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",70.207399103139,56.1340206185567,56.2308478038815,56.3329928498468,57.0229007633588,58.4428715874621,56.7175572519084,97.7262287551677,99.3717747363698,100,99.3717747363698,97.4717832957111,97.2398190045249,98.0804810360777,96.9676549865229,96.4904386951631,96.6029246344207,98.9921612541993,99.4402149574563,97.5769927536232,96.70920080591,96.7293906810036,96.7084639498433,96.70920080591,97.8689275893675,98.9921612541993,97.1922731356694,97.1983732489833,99.3716337522442,98.9912575655683,54.9768518518519,54.6127167630058,97.3539140022051,56.1444110159685,56.2832677620921,56.5841240453599,56.2138393890303,56.761772210624,57.0238370747512,99.6406109613657,96.5113661940131,96.5587044534413,78.830146231721,78.785151856018,96.4637421665174,97.7996791198717,97.0978627671541,96.1047683008731,74.8704079332882,76.2755701857512,75.8220960492075,75.5357957136343,75.4665452890305,75.3606594916419,75.4139260603311,75.3780185059806,75.50327980095,75.425459496256,75.4473386183465,75.1972942502819,68.4804696319711,71.1448884530522,71.2635201573255,68.5449196650826,68.882796435915,70.8638360175696,70.710992477554,69.487958849661,68.4472612041648,69.1578234364416,56.5438962242298,65.8338960162053,65.8338960162053,65.6538374971866,70.9873760144274,70.886932972241,70.9029345372461,71.4744324696171,71.4318389752974,71.5204409738172,71.2128043282236,70.0810810810811,70.9648331830478,71.2128043282236,71.2128043282236,71.3859568609454,71.3761467889908,71.40560404226,70.8992318120199,70.9567971047274,70.9086799276673,70.9086799276673,71.0562103354488,71.0324616771867,55.1397655545537
