"","CYMRNA","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","Hylocereus_polyrhizus_SRR11190802__NC_011659","KP090203","AY366207","Hylocereus_polyrhizus_SRR11190798__NC_011659","Hylocereus_polyrhizus_SRR11190801__NC_011659","Hylocereus_undatus_SRR11603189__NC_011659","Hylocereus_undatus_SRR11603187__NC_011659","Hylocereus_undatus_SRR11603183__NC_011659","Hylocereus_undatus_SRR11603184__NC_011659","MG210801","Hylocereus_undatus_SRR11190800__NC_024458","Hylocereus_undatus_SRR11190791__NC_024458","Hylocereus_undatus_SRR11190799__NC_024458","Hylocereus_polyrhizus_SRR11190802__NC_024458","Hylocereus_polyrhizus_SRR11190801__NC_024458","Hylocereus_polyrhizus_SRR11190798__NC_024458","Hylocereus_polyrhizus_SRR11190795__NC_024458","JF930327","Hylocereus_undatus_SRR11603182__NC_024458","Hylocereus_undatus_SRR11603184__NC_024458","Hylocereus_undatus_SRR11603183__NC_024458","Hylocereus_undatus_SRR11190793__NC_024458","Hylocereus_polyrhizus_SRR11190796__NC_024458","Hylocereus_polyrhizus_SRR11190797__NC_024458","Hylocereus_undatus_SRR11603191__NC_024458","Hylocereus_undatus_SRR11603189__NC_024458","Hylocereus_undatus_SRR11603187__NC_024458","Hylocereus_undatus_SRR11603186__NC_024458","Hylocereus_undatus_SRR11603190__NC_024458","KM288845","Hylocereus_polyrhizus_SRR11190798__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_006059","Hylocereus_polyrhizus_SRR11190802__NC_006059","Hylocereus_polyrhizus_SRR11190796__NC_006059","Hylocereus_polyrhizus_SRR11190797__NC_006059","AY366208","KM288844","JF930326","KM288842","Hylocereus_undatus_SRR11603191__NC_006059","Hylocereus_undatus_SRR11603189__NC_006059","Hylocereus_undatus_SRR11603187__NC_006059","Hylocereus_undatus_SRR11603186__NC_006059","Hylocereus_undatus_SRR11603190__NC_006059","JF937699","KM288846","KX883791","Schlumbergera_truncata_15H03__cons","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_15H04__cons","Schlumbergera_truncata_15H06__cons","LC128411","Hylocereus_undatus_SRR11603186__NC_002815","Hylocereus_undatus_SRR11603190__NC_002815","Hylocereus_undatus_SRR11603191__NC_002815","Hylocereus_undatus_SRR11603187__NC_002815","Hylocereus_undatus_SRR11603189__NC_002815","Hylocereus_undatus_SRR11190793__NC_002815","KM365479","Hylocereus_undatus_SRR11190792__NC_002815","Hylocereus_undatus_SRR11603183__NC_002815","Hylocereus_polyrhizus_SRR11190795__NC_002815","AF308158","Hylocereus_polyrhizus_SRR11190802__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_002815","Hylocereus_polyrhizus_SRR11190797__NC_002815","Hylocereus_undatus_SRR11603184__NC_002815","Hylocereus_undatus_SRR11603182__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_002815","Hylocereus_polyrhizus_SRR11190801__NC_002815","Hylocereus_undatus_SRR11190799__NC_002815","Hylocereus_undatus_SRR11190791__NC_002815","Hylocereus_undatus_SRR11190800__NC_002815"
"CYMRNA",0,0.366336633663366,0.363036303630363,0.366336633663366,0.353135313531353,0.366336633663366,0.36963696369637,0.316831683168317,0.303630363036304,0.313531353135314,0.313531353135314,0.32013201320132,0.32013201320132,0.32013201320132,0.316831683168317,0.316831683168317,0.33993399339934,0.33993399339934,0.33993399339934,0.323432343234323,0.32013201320132,0.323432343234323,0.316831683168317,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.333333333333333,0.33993399339934,0.33993399339934,0.33993399339934,0.343234323432343,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.333333333333333,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.326732673267327,0.33003300330033,0.326732673267327,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.326732673267327,0.336633663366337,0.33003300330033,0.323432343234323,0.323432343234323,0.32013201320132,0.32013201320132,0.326732673267327,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.33003300330033,0.323432343234323,0.323432343234323,0.323432343234323,0.336633663366337,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323
"LC107517",0.366336633663366,0,0.277227722772277,0.273927392739274,0.283828382838284,0.273927392739274,0.280528052805281,0.333333333333333,0.336633663366337,0.32013201320132,0.33003300330033,0.333333333333333,0.336633663366337,0.33993399339934,0.33993399339934,0.343234323432343,0.34983498349835,0.34983498349835,0.34983498349835,0.33003300330033,0.353135313531353,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.326732673267327,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.316831683168317,0.323432343234323,0.326732673267327,0.326732673267327,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.326732673267327,0.326732673267327,0.33993399339934,0.33993399339934,0.343234323432343,0.343234323432343,0.343234323432343,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.343234323432343,0.33993399339934,0.33993399339934,0.33993399339934,0.353135313531353,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934
"KU697313",0.363036303630363,0.277227722772277,0,0.0792079207920792,0.0726072607260726,0.0429042904290429,0.0429042904290429,0.356435643564356,0.346534653465347,0.34983498349835,0.326732673267327,0.323432343234323,0.316831683168317,0.316831683168317,0.313531353135314,0.32013201320132,0.36963696369637,0.36963696369637,0.36963696369637,0.336633663366337,0.343234323432343,0.346534653465347,0.343234323432343,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.343234323432343,0.34983498349835,0.34983498349835,0.34983498349835,0.353135313531353,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.34983498349835,0.33993399339934,0.356435643564356,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.33993399339934,0.343234323432343,0.336633663366337,0.326732673267327,0.326732673267327,0.33003300330033,0.33003300330033,0.323432343234323,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.333333333333333,0.32013201320132,0.32013201320132,0.32013201320132,0.33993399339934,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132
"AY800279",0.366336633663366,0.273927392739274,0.0792079207920792,0,0.0627062706270627,0.105610561056106,0.099009900990099,0.36963696369637,0.343234323432343,0.33003300330033,0.323432343234323,0.326732673267327,0.326732673267327,0.323432343234323,0.323432343234323,0.326732673267327,0.353135313531353,0.353135313531353,0.353135313531353,0.343234323432343,0.34983498349835,0.34983498349835,0.353135313531353,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.356435643564356,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.353135313531353,0.346534653465347,0.353135313531353,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.346534653465347,0.353135313531353,0.343234323432343,0.34983498349835,0.34983498349835,0.346534653465347,0.346534653465347,0.353135313531353,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.356435643564356,0.34983498349835,0.34983498349835,0.34983498349835,0.366336633663366,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835,0.34983498349835
"LC155795",0.353135313531353,0.283828382838284,0.0726072607260726,0.0627062706270627,0,0.099009900990099,0.102310231023102,0.36963696369637,0.333333333333333,0.333333333333333,0.343234323432343,0.33003300330033,0.326732673267327,0.326732673267327,0.323432343234323,0.33003300330033,0.372937293729373,0.372937293729373,0.372937293729373,0.353135313531353,0.346534653465347,0.346534653465347,0.34983498349835,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.346534653465347,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.35973597359736,0.363036303630363,0.363036303630363,0.363036303630363,0.363036303630363,0.363036303630363,0.35973597359736,0.36963696369637,0.366336633663366,0.36963696369637,0.363036303630363,0.363036303630363,0.363036303630363,0.363036303630363,0.363036303630363,0.356435643564356,0.35973597359736,0.353135313531353,0.343234323432343,0.343234323432343,0.33993399339934,0.33993399339934,0.346534653465347,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.35973597359736,0.343234323432343,0.343234323432343,0.343234323432343,0.356435643564356,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343
"KT717325",0.366336633663366,0.273927392739274,0.0429042904290429,0.105610561056106,0.099009900990099,0,0.0066006600660066,0.366336633663366,0.35973597359736,0.346534653465347,0.336633663366337,0.316831683168317,0.31023102310231,0.323432343234323,0.326732673267327,0.32013201320132,0.36963696369637,0.36963696369637,0.36963696369637,0.336633663366337,0.34983498349835,0.356435643564356,0.34983498349835,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.346534653465347,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.353135313531353,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.336633663366337,0.34983498349835,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.34983498349835,0.353135313531353,0.346534653465347,0.346534653465347,0.346534653465347,0.34983498349835,0.34983498349835,0.343234323432343,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.356435643564356,0.33993399339934,0.33993399339934,0.33993399339934,0.353135313531353,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934
"KU159093",0.36963696369637,0.280528052805281,0.0429042904290429,0.099009900990099,0.102310231023102,0.0066006600660066,0,0.366336633663366,0.35973597359736,0.34983498349835,0.336633663366337,0.32013201320132,0.313531353135314,0.326732673267327,0.323432343234323,0.323432343234323,0.372937293729373,0.372937293729373,0.372937293729373,0.33993399339934,0.34983498349835,0.356435643564356,0.34983498349835,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.356435643564356,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.353135313531353,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.35973597359736,0.356435643564356,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.343234323432343,0.333333333333333,0.34983498349835,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.336633663366337,0.356435643564356,0.35973597359736,0.353135313531353,0.34983498349835,0.34983498349835,0.353135313531353,0.353135313531353,0.346534653465347,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.356435643564356,0.343234323432343,0.343234323432343,0.343234323432343,0.356435643564356,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343,0.343234323432343
"KX196173",0.316831683168317,0.333333333333333,0.356435643564356,0.36963696369637,0.36963696369637,0.366336633663366,0.366336633663366,0,0.171617161716172,0.188118811881188,0.207920792079208,0.217821782178218,0.214521452145215,0.201320132013201,0.207920792079208,0.204620462046205,0.386138613861386,0.386138613861386,0.386138613861386,0.35973597359736,0.366336633663366,0.363036303630363,0.363036303630363,0.366336633663366,0.366336633663366,0.366336633663366,0.366336633663366,0.366336633663366,0.366336633663366,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.33003300330033,0.323432343234323,0.323432343234323,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33993399339934,0.333333333333333,0.33993399339934,0.326732673267327,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.33003300330033,0.333333333333333,0.333333333333333,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.336633663366337,0.326732673267327,0.326732673267327,0.326732673267327,0.333333333333333,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327,0.326732673267327
"MF978248",0.303630363036304,0.336633663366337,0.346534653465347,0.343234323432343,0.333333333333333,0.35973597359736,0.35973597359736,0.171617161716172,0,0.168316831683168,0.184818481848185,0.174917491749175,0.174917491749175,0.171617161716172,0.171617161716172,0.174917491749175,0.356435643564356,0.356435643564356,0.356435643564356,0.333333333333333,0.323432343234323,0.316831683168317,0.323432343234323,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.32013201320132,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.336633663366337,0.336633663366337,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.33993399339934,0.3003300330033,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.31023102310231,0.306930693069307,0.303630363036304,0.306930693069307,0.306930693069307,0.306930693069307,0.306930693069307,0.323432343234323,0.323432343234323,0.326732673267327,0.31023102310231,0.31023102310231,0.31023102310231,0.31023102310231,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.316831683168317,0.313531353135314,0.313531353135314,0.313531353135314,0.316831683168317,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314,0.313531353135314
"JX524226",0.313531353135314,0.32013201320132,0.34983498349835,0.33003300330033,0.333333333333333,0.346534653465347,0.34983498349835,0.188118811881188,0.168316831683168,0,0.174917491749175,0.174917491749175,0.178217821782178,0.171617161716172,0.174917491749175,0.174917491749175,0.31023102310231,0.31023102310231,0.31023102310231,0.31023102310231,0.326732673267327,0.326732673267327,0.32013201320132,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.323432343234323,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.32013201320132,0.32013201320132,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.316831683168317,0.293729372937294,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.3003300330033,0.303630363036304,0.3003300330033,0.297029702970297,0.297029702970297,0.297029702970297,0.297029702970297,0.31023102310231,0.31023102310231,0.313531353135314,0.3003300330033,0.3003300330033,0.297029702970297,0.297029702970297,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.313531353135314,0.303630363036304,0.303630363036304,0.303630363036304,0.32013201320132,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304,0.303630363036304
