"","MG210801","AY800279","KT717325","KU159093","KU697313","LC155795","LC107517","LC107515","AY863024","GQ179646","GQ179647","FJ822136","MH423501","AF308158","AY366207","KP090203","KU854929","LC128411","AY366208","JF930326","JX524226","KX196173","JF937699","KX883791","Schlumbergera_truncata_15H02_sty__NC_002815","MF978248","JF930327","AY366209","KU854931","KY348771","Hylocereus_polyrhizus_SRR11190795__NC_011659","Hylocereus_polyrhizus_SRR11190797__NC_011659","Schlumbergera_truncata_15H05_pol__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_011659","Hylocereus_polyrhizus_SRR11190795__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_002815","Schlumbergera_truncata_19JSF_sty__NC_002815","Hylocereus_undatus_SRR11190792__NC_002815","Hylocereus_polyrhizus_SRR11190802__NC_002815","Hylocereus_undatus_SRR11190793__NC_002815","Schlumbergera_truncata_15H04_sty__NC_002815","Hylocereus_undatus_SRR11603190__NC_002815","Schlumbergera_truncata_15H04_pol__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_006059","Hylocereus_undatus_SRR11190799__NC_002815","Hylocereus_undatus_SRR11603187__NC_002815","Hylocereus_undatus_SRR11603191__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_002815","Hylocereus_polyrhizus_SRR11190797__NC_002815","Hylocereus_undatus_SRR11603182__NC_002815","Hylocereus_undatus_SRR11603186__NC_002815","Hylocereus_undatus_SRR11603189__NC_002815","Schlumbergera_truncata_15H03_sty__NC_002815_a","Schlumbergera_truncata_15H06_pol__NC_002815","Hylocereus_undatus_SRR11190791__NC_002815","Hylocereus_undatus_SRR11190800__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_002815","Hylocereus_undatus_SRR11603183__NC_002815","Hylocereus_undatus_SRR11603184__NC_002815","Schlumbergera_truncata_15H03_pol__NC_002815","Hylocereus_polyrhizus_SRR11190795__NC_002815","Schlumbergera_truncata_15H03_sty__NC_002815_b","Schlumbergera_truncata_15H04_pet__NC_002815","Hylocereus_polyrhizus_SRR11190802__NC_006059","Schlumbergera_truncata_15H06_sty__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_006059","Hylocereus_polyrhizus_SRR11190797__NC_006059","Hylocereus_polyrhizus_SRR11190798__NC_011659","Hylocereus_polyrhizus_SRR11190802__NC_011659","Hylocereus_polyrhizus_SRR11190801__NC_011659","Hylocereus_undatus_SRR11603187__NC_011659","Hylocereus_undatus_SRR11603184__NC_011659","Hylocereus_undatus_SRR11603186__NC_006059","Hylocereus_undatus_SRR11603187__NC_006059","Hylocereus_undatus_SRR11603190__NC_006059","Hylocereus_undatus_SRR11603183__NC_011659","Hylocereus_undatus_SRR11603189__NC_006059","Hylocereus_undatus_SRR11603191__NC_006059","Hylocereus_undatus_SRR11603189__NC_011659","Hylocereus_undatus_SRR11190793__NC_024458","Hylocereus_undatus_SRR11190792__NC_024458","Hylocereus_polyrhizus_SRR11190797__NC_024458","Hylocereus_undatus_SRR11190799__NC_024458","Hylocereus_polyrhizus_SRR11190802__NC_024458","Hylocereus_undatus_SRR11190800__NC_024458","Hylocereus_undatus_SRR11603191__NC_024458","Hylocereus_undatus_SRR11190791__NC_024458","Hylocereus_undatus_SRR11603184__NC_024458","Hylocereus_undatus_SRR11603189__NC_024458","Hylocereus_polyrhizus_SRR11190795__NC_024458","Hylocereus_undatus_SRR11603183__NC_024458","Hylocereus_polyrhizus_SRR11190796__NC_024458","Hylocereus_polyrhizus_SRR11190798__NC_024458","Hylocereus_polyrhizus_SRR11190801__NC_024458","Hylocereus_undatus_SRR11603182__NC_024458","Hylocereus_undatus_SRR11603186__NC_024458","Hylocereus_undatus_SRR11603187__NC_024458","Hylocereus_undatus_SRR11603190__NC_024458","CYMRNA"
"MG210801",100,53.6640592836558,53.7895812053115,53.8917262512768,53.673926317932,52.6958290946083,56.0891590678825,55.4659666229139,54.970979217375,55.5139486987456,55.120763901891,55.1291651067016,55.054286783976,68.6978599927457,69.9147160225005,70.2255365587486,69.9872981310107,68.738673432403,68.0455202312139,67.8532706902783,53.6567164179105,53.7366548042705,69.2154375792716,69.4147490487407,68.1818181818182,53.3868259003546,98.2264421354353,64.0727272727273,64.2909090909091,64.2181818181818,71.9392850009986,70.8108108108108,69.409282700422,70.9483568075117,71.3794926004228,69.169594969484,69.3503089309118,70.0018843037498,69.3587137312881,68.9100219458669,68.8256880733945,68.9288334556126,68.8130618235186,69.375,68.8264281803249,69.6715192235909,68.9825847846013,69.1544117647059,69.6862159133358,68.8518586339498,68.8770837149661,68.9869939549368,68.7545787545788,68.8551572787125,68.8252462604889,68.7887632251003,69.1725157000369,69.7791916167665,69.0471819350101,68.7957540263543,68.9875730994152,68.758026050266,68.7752108544188,68.6665447228827,69.0484937545922,68.8347379992671,68.7877125617115,69.0283781244127,73.1457800511509,69.9436670906778,73.3306993283287,72.6812159002338,72.7059742288169,68.2669576286598,68.2163531114327,68.2554120429325,70.7842415316642,68.2608695652174,68.2453275267647,71.5500945179584,98.423504120387,98.40232389252,98.4389018481967,98.4951630240057,99.1590493601463,98.4951630240057,98.6476739992788,98.4951630240057,99.1953182150695,98.4911083168673,98.1906126836259,99.1960533528229,98.3859397417504,99.1794310722101,99.2002908033442,99.1953182150695,98.6168492904616,98.4908372260151,98.6340762041697,52.1890456127496
"AY800279",53.6640592836558,100,77.4626095925735,77.5829465360151,78.2929761291431,77.7587681779299,60.0070163129276,55.1874455100262,54.8055119483691,55.0148264433979,54.7706261991976,54.7785141262644,54.9877921171957,53.7253533414762,54.0059347181009,54.0777038851943,54.9135974864723,53.8716428322288,54.8353371667538,54.5739675901725,54.106111013833,53.3193936225823,54.5343564701779,54.3773979769794,43.9393939393939,53.0608695652174,54.3031358885017,54.2777487367137,54.4345704826625,54.5565429517338,54.4825072886297,53.9000876424189,55.6830031282586,53.8515529040182,56.6398390342052,54.5017793594306,54.8108108108108,55.032585083273,54.622892635315,54.3359718557608,54.5181786092481,54.0645388820314,54.5085583200988,55.8296783625731,54.2120042120042,54.5029660255258,53.9450510743219,54.4489651512471,54.7264573991031,54.3148996125396,54.060243086137,54.107898448519,54.5470567500881,54.5742434904996,54.2105263157895,54.2120042120042,54.5050648658255,54.6875,54.4683857294242,54.5438534695315,54.2480211081794,54.5358277444405,54.5149911816578,55.2887162281476,54.590395480226,55.118668083599,55.0883392226148,55.5311355311355,55.7964184731385,54.0290159063101,55.8394851410184,56.0211400528501,55.8585668610119,55.1657603929135,55.0357828591377,55.1446099912358,54.3782062621617,55.0332051730164,55.1398601398601,54.9254816430389,54.2508710801394,53.5728786033293,54.5311681508643,54.5470383275261,54.8066690315715,54.5470383275261,54.499299719888,54.5470383275261,54.8501507359461,54.3850454227813,54.3205574912892,54.801559177888,54.5200698080279,54.7303271441203,54.6497264866773,54.7775217160078,54.4294950200944,54.4040545263894,54.4405594405594,54.6199442119944
"KT717325",53.7895812053115,77.4626095925735,100,98.8303102220715,78.1833616298811,76.0862186014936,60.273492286115,54.806859518448,54.6005891526599,54.9471495408075,54.8951654825853,54.9029799029799,55.1108801108801,53.9008321775312,53.927518640541,54.0507649513213,54.1182590601699,53.9941084734015,55.3419913419913,54.961038961039,53.8929440389294,52.9330333967814,53.9421244151793,53.8208282793277,45.4545454545455,52.4047578003792,54.422710749524,53.8581314878893,54.0484429065744,54.1695501730104,54.4502617801047,53.9439317429915,55.0994061451072,53.9306257625937,56.4038796319324,54.5165281951564,54.7700017898693,54.9541449379608,54.6288132604479,54.2991960852849,54.1294055760126,54.3272599859846,54.1199158485274,55.8380243326675,54.4027898866609,54.7563805104408,54.3386983904829,54.4288224956063,54.765722430073,54.5056867891514,54.2877143857193,54.3607705779335,54.3512519698827,54.2387694459011,54.3838242984138,54.4027898866609,54.5550847457627,54.9330954504906,54.6060712405685,54.3482064741907,54.2817196784341,54.3398211467649,54.1265113019099,55.3605895771188,54.2711804946501,55.5614220344949,55.565308988764,55.6344438376115,55.7926258656186,53.794061469005,55.7414019921068,55.6722295143447,55.6779977586851,55.5071453468107,55.2818733738075,55.468477882271,54.2435424354244,55.3335649756776,55.4802848705923,54.8014440433213,54.3534706595119,53.8182550876486,54.4587092297016,54.45733079453,54.784140969163,54.45733079453,54.3826086956522,54.45733079453,54.8529152721508,54.3561263450191,54.3707806820149,54.7870468145019,54.4477197849835,54.7434996486297,54.7239263803681,54.7983799964783,54.4097222222222,54.3670776176419,54.4018058690745,54.036729036729
"KU159093",53.8917262512768,77.5829465360151,98.8303102220715,100,78.3870967741936,76.2219959266802,60.2910238429172,54.8241815347306,54.6352451914746,54.8951654825853,54.9124935019927,54.8856548856549,55.1282051282051,53.9181692094313,53.9795387549853,54.1376912378303,54.135599098318,54.0287645122163,55.5670995670996,55.1861471861472,53.7886687521724,53.036857587818,53.8728123375498,53.7515162016981,45.4545454545455,52.3358041716945,54.4919508395361,54.1003460207613,54.2387543252595,54.3771626297578,54.3961003791298,53.8916942364618,55.2285050348567,53.8783336238452,56.5282268092514,54.5518826232986,54.7879004832647,54.9901096925014,54.6640804090989,54.3166724921356,54.1644748378047,54.3622985283812,54.1549789621318,56.0377701107681,54.4376634699215,54.7742280920935,54.3736878936319,54.4991212653779,54.819169784429,54.5406824146982,54.3227161358068,54.3957968476357,54.3862721064612,54.2737283691662,54.4186857242461,54.4376634699215,54.590395480226,54.9687778768956,54.6411651166871,54.3832020997375,54.2991960852849,54.3748904085569,54.1615559838794,55.5185120196526,54.3062620592878,55.7374164026751,55.7408707865169,55.7800837429456,55.8862062511698,53.794061469005,55.8353692914866,55.7659853740859,55.7340306313037,55.7337051237365,55.5247181266262,55.7122953674678,54.2962572482868,55.5767894371091,55.7234670835505,54.85559566787,54.45733079453,53.9592988112029,54.5454545454545,54.5785009520512,54.9074889867841,54.5785009520512,54.5217391304348,54.5785009520512,54.9586048969526,54.4602568552586,54.5092608620391,54.8926434354101,54.5344199757239,54.8489107519325,54.829097283085,54.9040324000704,54.5486111111111,54.4712623719396,54.5407188748047,54.1753291753292
"KU697313",53.673926317932,78.2929761291431,78.1833616298811,78.3870967741936,100,76.7339325080549,61.6931957320273,55.7914724667702,54.7088301365129,54.9507516848108,54.6051494729566,55.286800276434,55.1658604008293,54.9429657794677,53.8222068488412,53.9101786023929,54.0816326530612,55.0526861288651,55.8067299396031,55.6341673856773,53.5596743460939,54.1048637461194,55.0354119882536,54.9317671445846,45.4545454545455,52.2195457673778,54.3917169974116,53.9562144457852,54.2147905533529,54.232028960524,54.5897204688909,53.9944425147621,56.6692367000771,54,57.1605550049554,55.5770925110132,55.735950044603,56.2130177514793,55.6864123747583,55.5052264808362,55.2350987589582,55.2567237163814,55.2429220552254,56.5406187805319,55.3276551364505,55.852009960868,55.1796302755493,55.4932538987209,55.7647894830343,55.4082344731333,55.2163293789253,55.3596368715084,55.4023389771339,55.2883777661614,55.3258036490009,55.3276551364505,55.5966209081309,55.8598612840121,55.5885954171768,55.3811268096982,55.4355400696864,55.3924139136515,55.2314410480349,56.2860639972023,55.3768141283441,56.2083479480884,56.1931420573828,56.1944494830401,55.6572068707991,53.6543124350537,55.7367829021372,55.7217651458489,55.7771151695863,56.0611323376172,55.9377700950735,56.0569246789309,54.2937259025587,55.9729916897507,56.0498528648087,54.7434743474347,54.3226919758412,53.7241517767516,54.5313040470425,54.495254529767,54.9973651853153,54.495254529767,54.6116504854369,54.495254529767,54.9956101843723,54.4809688581315,54.4779982743745,54.9473684210526,54.5203111495246,54.8686514886165,54.7964354359602,54.9157303370786,54.5344409830391,54.5092608620391,54.5265708845422,55.0664595201105
"LC155795",52.6958290946083,77.7587681779299,76.0862186014936,76.2219959266802,76.7339325080549,100,59.542916957432,54.5752762430939,54.3177892918826,54.5250431778929,54.0932642487047,54.7401139699534,54.6883094456916,54.0082930200415,53.7849982716903,54.1327326286605,53.8714137573453,54.2566050768434,55.1414768806073,55.1932367149758,53.74479889043,52.7605244996549,53.8249007079952,53.5831462614402,45.4545454545455,52.7983468228001,53.4931861307573,54.0027605244997,54.0890269151139,54.1062801932367,54.1388638412985,53.4883720930233,54.9704597996404,53.4746351633079,56.4038796319324,54.5006165228113,55.101676774884,55.037647902474,54.6828325426112,54.4932079414838,54.7964354359602,54.4168994413408,54.7868623340321,55.744526868102,54.4569939183319,54.8559231590181,54.3853530950305,54.553415061296,54.7504883679631,54.4202266782912,54.3773979769794,54.4677137870855,54.7548420868958,54.7988155373628,54.4901858606913,54.4569939183319,54.521463757917,54.925320056899,54.6424200034971,54.7340889276373,54.3538836642285,54.7789620828237,54.7756242360747,55.4020979020979,54.8855095263066,55.0587410135017,54.9938779079937,55.5857816467175,55.785740948115,53.6171685704396,55.7721139430285,55.6344608484395,55.6341963121624,55.4359152483501,55.3231939163498,55.414786532454,54.2907180385289,55.3574519646876,55.3651782623745,54.7940277028242,53.4069346213559,52.6791089704997,53.5788381742739,53.5276867345179,54.0137010363605,53.5276867345179,53.6754507628294,53.5276867345179,53.8542581211589,53.6066424494032,53.4241849232362,53.8070175438597,53.5683428373942,53.8178633975482,53.7829809540451,53.8177988414955,53.5813148788927,53.6344755970924,53.5745196468755,53.8926290350423
"LC107517",56.0891590678825,60.0070163129276,60.273492286115,60.2910238429172,61.6931957320273,59.542916957432,100,56.7562909341606,56.1778390487679,56.4363260382561,56.1778390487679,56.5644383184011,56.6850447966919,55.7160048134777,54.8891562124076,55.0827015851137,55.4906341295755,55.5670103092784,56.343347639485,56.3261802575107,55.7187284035936,54.8614696265703,55.7424892703863,55.4678111587983,42.4242424242424,54.6749013552925,56.1973525872443,55.691196698762,55.9662998624484,55.8459422283356,55.5257030270464,55.1747890477011,57.2167615106053,55.1629029477676,57.8232971372162,56.0813179109709,56.4739269244413,56.6131907308378,56.2510928484001,55.8828625888061,56.0500695410292,55.706096925482,56.0403267860247,57.0503597122302,55.9820193637621,56.320821529745,55.7445331482124,56.0975609756098,56.4618644067797,56.047197640118,55.6828040950894,55.7408372416189,56.2152777777778,56.1005199306759,55.9550561797753,55.9820193637621,56.0826185891826,56.5463552724699,56.14889546008,56.1936155447606,56.0041587246578,56.1891515994437,56.0458651841557,56.8719554627697,56.1739130434783,56.9684283969998,56.9190600522193,57.0449215226412,56.7717996289425,55.0929112181693,56.8740685543964,56.7662892147763,56.7672653212368,56.713322965267,56.5852819807428,56.6914177171473,55.3058024046001,56.5673954208986,56.5966241818808,55.7265569076593,56.3004985387657,56.0902555910543,56.3846286403584,56.1973525872443,56.830122591944,56.1973525872443,56.4044943820225,56.1973525872443,56.7676413938014,56.3006378210653,56.2317345710847,56.7529741077677,56.3630101601515,56.7015706806283,56.6602820825353,56.7401960784314,56.3793103448276,56.3297688858227,56.3912368466448,55.5003427004798
"LC107515",55.4659666229139,55.1874455100262,54.806859518448,54.8241815347306,55.7914724667702,54.5752762430939,56.7562909341606,100,78.6939417781275,78.4107002360346,78.1589299763965,78.9018250471995,78.6815607300189,55.6057428617519,54.0885585003232,54.0903936497651,54.2824822236587,55.8439464775109,55.0787528126004,54.9983927997428,65.7133828408911,64.1111111111111,54.7960664194745,54.7638239561502,54.5454545454545,65.6020440753753,55.3930236296415,54.5923300032227,54.2056074766355,54.2056074766355,55.2095808383233,54.6895424836601,56.6024436090226,54.7615145058187,57.2949431405759,56.0598585758921,56.2489598934931,56.750418760469,56.0919540229885,55.8101738989111,55.9250203748981,55.9667427453538,55.9159061277705,56.1920808761584,55.8150851581509,56.4119601328904,55.8469055374593,56.1896974652494,56.4741035856574,55.95703125,55.9446254071661,55.8957654723127,55.8847468663519,55.9817945383615,55.8203631647211,55.8294146262364,56.0611038107753,56.3974742439349,56.0287159406102,55.8971856190011,56.0793237971391,55.8924205378973,55.9211597980127,55.6061838893409,56.1500815660685,55.7695446384854,55.7166123778502,56.1012658227848,56.2957795605162,54.2394822006472,56.3550420168067,56.1226267200836,55.9519665854507,55.5411745672221,55.5537669027688,55.5645422193465,54.5171849427169,55.5304740406321,55.5412163252137,55.1805205709488,55.3287252853239,55.3045732271802,55.444587628866,55.4412473878798,55.9160930842347,55.4412473878798,55.5519637950541,55.4412473878798,55.8997050147493,55.4319793681496,55.3287252853239,55.8794628234523,55.4178071164064,55.7224489795918,55.6858911697621,55.8577748648206,55.4964539007092,55.4587969682309,55.5071762618932,55.0650184620324
"AY863024",54.970979217375,54.8055119483691,54.6005891526599,54.6352451914746,54.7088301365129,54.3177892918826,56.1778390487679,78.6939417781275,100,94.6766870205104,96.0857992797871,93.878190073587,94.7549710349147,54.7194082649944,53.9700434852633,54.0200193735873,53.9539378321791,54.9252771974932,54.6767206802503,54.4768934531451,65.3852238569847,64.0165368103037,54.6754498714653,54.5629820051414,53.030303030303,64.2891335567257,55.1452881682453,54.1767262192178,54.160630935136,54.160630935136,54.7586442998973,54.1585127201566,55.4335125029212,54.2198233562316,56.6553727008712,55.344262295082,55.5813567755847,55.8096828046745,55.3518821603928,54.9975700631784,55.1259138911454,55.0373740656484,55.1169590643275,55.5761143818335,55.1333872271625,55.5629139072848,54.9675324675325,55.2730236348818,55.551878206189,55.0454250486697,54.9837662337662,55,55.0056790524095,55.1847051198963,55.1228183581125,55.1155648941329,55.3463238906173,55.6475654190129,55.2284924377948,55.0024323009567,55.2819183408944,54.995938261576,55.1225848352005,55.0519818063678,55.3243375060966,55.1645487129358,55.1780198341733,55.239218328841,56.0793181422856,54.0396710208031,56.1103351955307,56.1805555555556,55.8175827986822,54.7157622739018,54.6681664791901,54.7142395866968,54.526178437449,54.6917753098342,54.7270091802223,55.1799163179916,55.0489645207899,55.0378997966352,55.1480051480052,55.1452881682453,55.5973813420622,55.1452881682453,55.2775984506133,55.1452881682453,55.5482815057283,55.0869285254346,55.0971263445176,55.528295714753,55.137481910275,55.4704060003261,55.425410769481,55.5391916216659,55.1996136509981,55.1135448542438,55.2101787727492,54.4870765772997
"GQ179646",55.5139486987456,55.0148264433979,54.9471495408075,54.8951654825853,54.9507516848108,54.5250431778929,56.4363260382561,78.4107002360346,94.6766870205104,100,95.9762016596211,95.5064975731956,93.8938468764678,54.9445248432224,54.3565791592849,54.6335163061027,54.0988887099372,55.262735015266,55.0617680089844,54.8459563543004,65.3694035753836,64.2550484973764,54.8521850899743,54.6754498714653,53.030303030303,64.2731769586724,55.4663669930968,54.4825366167713,54.4664413326895,54.434250764526,55.2208147894557,54.6640574037834,55.8074316429072,54.7268563951586,56.9941916747338,55.6885245901639,55.8965002487975,56.126878130217,55.6301145662848,55.3377612182083,55.450852965069,55.4111147221319,55.4418453541261,55.946173254836,55.408245755861,55.9105960264901,55.3896103896104,55.6316218418908,55.9159357934801,55.2563270603504,55.3733766233766,55.4058441558442,55.2815187408729,55.4763447828905,55.3813833225598,55.3903345724907,55.7065662354675,55.8959920503478,55.5700113839649,55.2780930760499,55.5897602073882,55.272136474411,55.4473128754668,55.230669265757,55.6332303690457,55.4903877484523,55.503170216225,55.5929919137466,56.3750217429118,54.7976132881793,56.4245810055866,56.2847222222222,56.0603433327553,55.1356589147287,55.0859713964326,55.1178559896674,54.59142064916,55.0941574118783,55.1618618134965,55.2803347280335,55.3860972868839,55.592530966907,55.4214929214929,55.3860972868839,55.8592471358429,55.3860972868839,55.5358295674629,55.3860972868839,55.7937806873977,55.3766902768835,55.2897736394285,55.7736342819758,55.4108377552661,55.7149845100277,55.6857003416301,55.8010145639012,55.4893754024469,55.3873409566758,55.5000805282654,54.9205329908492
