,Clover_yellow_mosaic_virus,Hydrangea_ringspot_virus,Plantago_asiatica_mosaic_virus_KU697313,Nandina_mosaic_virus,Plantago_asiatica_mosaic_virus_LC155795,Plantago_asiatica_mosaic_virus_KT717325,Plantago_asiatica_mosaic_virus_KU159093,Senna_mosaic_virus,Babaco_mosaic_virus,Papaya_mosaic_virus,Alternanthera_mosaic_virus_LC107515,Alternanthera_mosaic_virus_MH423501,Alternanthera_mosaic_virus_FJ822136,Alternanthera_mosaic_virus_GQ179646,Alternanthera_mosaic_virus_AY863024,Alternanthera_mosaic_virus_GQ179647,Opuntia_virus_Strain_CC10,Opuntia_virus_X_KY348771,Opuntia_virus_X_KU854931,Schlumbergera_virus_X_KU854929,SRR11190802_Plant_DH-1_NC_011659,Schlumbergera_virus_X_KP090203,Schlumbergera_virus_X_Strain_K11,SRR11190798_Plant_DH-3_NC_011659,SRR11190801_Plant_DH-2_NC_011659,SRR11603189_RR-peel-3_NC_011659,SRR11603187_RR-pulp-2_NC_011659,SRR11603183_GW-peel-2_NC_011659,SRR11603184_GW-peel-1_NC_011659,MG210801,SRR11190800_Plant_BSJ-2_NC_024458,SRR11190791_Plant_BSJ-1_NC_024458,SRR11190799_Plant_BSJ-3_NC_024458,SRR11190802_Plant_DH-1_NC_024458,SRR11190801_Plant_DH-2_NC_024458,SRR11190798_Plant_DH-3_NC_024458,SRR11190795_Plant_FR-3_NC_024458,Pitaya_virus_X,SRR11603182_GW-peel-3_NC_024458,SRR11603184_GW-peel-1_NC_024458,SRR11603183_GW-peel-2_NC_024458,SRR11190793_Plant_BR-2_NC_024458,SRR11190796_Plant_FR-2_NC_024458,SRR11190797_Plant_FR-1_NC_024458,SRR11603191_RR-peel-1_NC_024458,SRR11603189_RR-peel-3_NC_024458,SRR11603187_RR-pulp-2_NC_024458,SRR11603186_RR-pulp-3_NC_024458,SRR11603190_RR-peel-2_NC_024458,KM288845,SRR11190798_Plant_DH-3_NC_006059,SRR11190801_Plant_DH-2_NC_006059,SRR11190802_Plant_DH-1_NC_006059,SRR11190796_Plant_FR-2_NC_006059,SRR11190797_Plant_FR-1_NC_006059,Zygocactus_virus_X_Strain_B1,KM288844,Zygocactus_virus_X_JF930326.1,KM288842,SRR11603191_RR-peel-1_NC_006059,SRR11603189_RR-peel-3_NC_006059,SRR11603187_RR-pulp-2_NC_006059,SRR11603186_RR-pulp-3_NC_006059,SRR11603190_RR-peel-2_NC_006059,Cactus_virus_X_JF937699.1,Cactus_virus_ X_KM288846.1,Cactus_virus_ X_SCM51431,Schlumbergera_truncata_15H03_cons,Schlumbergera_truncata_19JSF_sty_NC_002815,Schlumbergera_truncata_15H04_cons,Schlumbergera_truncata_15H06_cons,Cactus_virus_ X_LC128411.1,SRR11603186_RR-pulp-3_NC_002815,SRR11603190_RR-peel-2_NC_002815,SRR11603191_RR-peel-1_NC_002815,SRR11603187_RR-pulp-2_NC_002815,SRR11603189_RR-peel-3_NC_002815,SRR11190793_Plant_BR-2_NC_002815,Cactus_virus_ X_KM365479.1,SRR11190792_Plant_BR-3_NC_002815,SRR11603183_GW-peel-2_NC_002815,SRR11190795_Plant_FR-3_NC_002815,Cactus_virus_ X_AF308158.2,SRR11190802_Plant_DH-1_NC_002815,SRR11190796_Plant_FR-2_NC_002815,SRR11190797_Plant_FR-1_NC_002815,SRR11603184_GW-peel-1_NC_002815,SRR11603182_GW-peel-3_NC_002815,SRR11190798_Plant_DH-3_NC_002815,SRR11190801_Plant_DH-2_NC_002815,SRR11190799_Plant_BSJ-3_NC_002815,SRR11190791_Plant_BSJ-1_NC_002815,SRR11190800_Plant_BSJ-2_NC_002815
Clover_yellow_mosaic_virus,0,0.366336634,0.363036304,0.366336634,0.353135314,0.366336634,0.369636964,0.316831683,0.303630363,0.313531353,0.313531353,0.320132013,0.320132013,0.320132013,0.316831683,0.316831683,0.339933993,0.339933993,0.339933993,0.323432343,0.320132013,0.323432343,0.316831683,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.333333333,0.339933993,0.339933993,0.339933993,0.343234323,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.333333333,0.330033003,0.330033003,0.330033003,0.330033003,0.330033003,0.326732673,0.330033003,0.326732673,0.330033003,0.330033003,0.330033003,0.330033003,0.330033003,0.330033003,0.326732673,0.336633663,0.330033003,0.323432343,0.323432343,0.320132013,0.320132013,0.326732673,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.330033003,0.323432343,0.323432343,0.323432343,0.336633663,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343
Hydrangea_ringspot_virus,0.366336634,0,0.277227723,0.273927393,0.283828383,0.273927393,0.280528053,0.333333333,0.336633663,0.320132013,0.330033003,0.333333333,0.336633663,0.339933993,0.339933993,0.343234323,0.349834983,0.349834983,0.349834983,0.330033003,0.353135314,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.326732673,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.316831683,0.323432343,0.326732673,0.326732673,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.326732673,0.326732673,0.339933993,0.339933993,0.343234323,0.343234323,0.343234323,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.343234323,0.339933993,0.339933993,0.339933993,0.353135314,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993
Plantago_asiatica_mosaic_virus_KU697313,0.363036304,0.277227723,0,0.079207921,0.072607261,0.04290429,0.04290429,0.356435644,0.346534653,0.349834983,0.326732673,0.323432343,0.316831683,0.316831683,0.313531353,0.320132013,0.369636964,0.369636964,0.369636964,0.336633663,0.343234323,0.346534653,0.343234323,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.343234323,0.349834983,0.349834983,0.349834983,0.353135314,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.336633663,0.336633663,0.336633663,0.336633663,0.336633663,0.336633663,0.349834983,0.339933993,0.356435644,0.336633663,0.336633663,0.336633663,0.336633663,0.336633663,0.339933993,0.343234323,0.336633663,0.326732673,0.326732673,0.330033003,0.330033003,0.323432343,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.333333333,0.320132013,0.320132013,0.320132013,0.339933993,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013
Nandina_mosaic_virus,0.366336634,0.273927393,0.079207921,0,0.062706271,0.105610561,0.099009901,0.369636964,0.343234323,0.330033003,0.323432343,0.326732673,0.326732673,0.323432343,0.323432343,0.326732673,0.353135314,0.353135314,0.353135314,0.343234323,0.349834983,0.349834983,0.353135314,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.356435644,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.353135314,0.346534653,0.353135314,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.346534653,0.353135314,0.343234323,0.349834983,0.349834983,0.346534653,0.346534653,0.353135314,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.356435644,0.349834983,0.349834983,0.349834983,0.366336634,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983
Plantago_asiatica_mosaic_virus_LC155795,0.353135314,0.283828383,0.072607261,0.062706271,0,0.099009901,0.102310231,0.369636964,0.333333333,0.333333333,0.343234323,0.330033003,0.326732673,0.326732673,0.323432343,0.330033003,0.372937294,0.372937294,0.372937294,0.353135314,0.346534653,0.346534653,0.349834983,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.359735974,0.363036304,0.363036304,0.363036304,0.363036304,0.363036304,0.359735974,0.369636964,0.366336634,0.369636964,0.363036304,0.363036304,0.363036304,0.363036304,0.363036304,0.356435644,0.359735974,0.353135314,0.343234323,0.343234323,0.339933993,0.339933993,0.346534653,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.359735974,0.343234323,0.343234323,0.343234323,0.356435644,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323
Plantago_asiatica_mosaic_virus_KT717325,0.366336634,0.273927393,0.04290429,0.105610561,0.099009901,0,0.00660066,0.366336634,0.359735974,0.346534653,0.336633663,0.316831683,0.310231023,0.323432343,0.326732673,0.320132013,0.369636964,0.369636964,0.369636964,0.336633663,0.349834983,0.356435644,0.349834983,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.346534653,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.353135314,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.336633663,0.349834983,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.349834983,0.353135314,0.346534653,0.346534653,0.346534653,0.349834983,0.349834983,0.343234323,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.356435644,0.339933993,0.339933993,0.339933993,0.353135314,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993
Plantago_asiatica_mosaic_virus_KU159093,0.369636964,0.280528053,0.04290429,0.099009901,0.102310231,0.00660066,0,0.366336634,0.359735974,0.349834983,0.336633663,0.320132013,0.313531353,0.326732673,0.323432343,0.323432343,0.372937294,0.372937294,0.372937294,0.339933993,0.349834983,0.356435644,0.349834983,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.353135314,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.359735974,0.356435644,0.336633663,0.336633663,0.336633663,0.336633663,0.336633663,0.336633663,0.343234323,0.333333333,0.349834983,0.336633663,0.336633663,0.336633663,0.336633663,0.336633663,0.356435644,0.359735974,0.353135314,0.349834983,0.349834983,0.353135314,0.353135314,0.346534653,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.356435644,0.343234323,0.343234323,0.343234323,0.356435644,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323,0.343234323
Senna_mosaic_virus,0.316831683,0.333333333,0.356435644,0.369636964,0.369636964,0.366336634,0.366336634,0,0.171617162,0.188118812,0.207920792,0.217821782,0.214521452,0.201320132,0.207920792,0.204620462,0.386138614,0.386138614,0.386138614,0.359735974,0.366336634,0.363036304,0.363036304,0.366336634,0.366336634,0.366336634,0.366336634,0.366336634,0.366336634,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.330033003,0.323432343,0.323432343,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.330033003,0.330033003,0.330033003,0.330033003,0.330033003,0.330033003,0.339933993,0.333333333,0.339933993,0.326732673,0.330033003,0.330033003,0.330033003,0.330033003,0.330033003,0.333333333,0.333333333,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.336633663,0.326732673,0.326732673,0.326732673,0.333333333,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673
Babaco_mosaic_virus,0.303630363,0.336633663,0.346534653,0.343234323,0.333333333,0.359735974,0.359735974,0.171617162,0,0.168316832,0.184818482,0.174917492,0.174917492,0.171617162,0.171617162,0.174917492,0.356435644,0.356435644,0.356435644,0.333333333,0.323432343,0.316831683,0.323432343,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.336633663,0.336633663,0.339933993,0.339933993,0.339933993,0.339933993,0.339933993,0.300330033,0.306930693,0.306930693,0.306930693,0.306930693,0.306930693,0.306930693,0.306930693,0.310231023,0.306930693,0.303630363,0.306930693,0.306930693,0.306930693,0.306930693,0.323432343,0.323432343,0.326732673,0.310231023,0.310231023,0.310231023,0.310231023,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.316831683,0.313531353,0.313531353,0.313531353,0.316831683,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353
Papaya_mosaic_virus,0.313531353,0.320132013,0.349834983,0.330033003,0.333333333,0.346534653,0.349834983,0.188118812,0.168316832,0,0.174917492,0.174917492,0.178217822,0.171617162,0.174917492,0.174917492,0.310231023,0.310231023,0.310231023,0.310231023,0.326732673,0.326732673,0.320132013,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.320132013,0.320132013,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.293729373,0.297029703,0.297029703,0.297029703,0.297029703,0.297029703,0.297029703,0.297029703,0.300330033,0.303630363,0.300330033,0.297029703,0.297029703,0.297029703,0.297029703,0.310231023,0.310231023,0.313531353,0.300330033,0.300330033,0.297029703,0.297029703,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363,0.313531353,0.303630363,0.303630363,0.303630363,0.320132013,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363,0.303630363
