"","KX196173_-_CP_CDS","AY800279_-_coat_protein_CDS","AY863024_-_CP_CDS","FJ822136_-_CP_CDS","GQ179646_-_coat_protein_CDS","GQ179647_-_coat_protein_CDS","KT717325_-_CP_CDS","KU159093_-_coat_protein_CDS","KU697313_-_coat_protein_CDS","LC107515_-_CP_CDS","LC155795_-_CP_CDS","MH423501_-_coat_protein_CDS","CYMRNA_-_coat_protein_CDS","JX524226_-_capsid_protein_CDS","MF978248_-_CP_CDS","AF308158_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190795__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190796__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190797__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190801__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190802__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190791__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190792__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190793__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190799__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190800__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603182__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603183__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603184__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603186__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603187__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603189__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603190__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603191__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H03_pol__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_a_-_coat_protein_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_b_-_coat_protein_CDS","Schlumbergera_truncata_15H04_pet__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H04_pol__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H04_sty__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H06_pol__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H06_sty__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_19JSF_sty__NC_002815_-_coat_protein_CDS","AY366207_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190795__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190796__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190797__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190798__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190801__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190802__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190791__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190792__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190793__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190799__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190800__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603182__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603183__NC_011659_-_ORF5_CDS","Hylocereus_undatus_SRR11603183__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603184__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603186__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603187__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603189__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603190__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603191__NC_024458_-_CP_CDS","JF930327_-_CP_CDS","KM365479_-_coat_protein_CDS","KP090203_-_ORF5_CDS","KU854929_-_CP_CDS","LC107517_-_CP_CDS","LC128411_-_coat_protein_CDS","MG210801_-_CP_CDS","AY366208_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_006059_-_CP_CDS","Hylocereus_polyrhizus_SRR11190801__NC_006059_-_CP_CDS","Hylocereus_polyrhizus_SRR11190802__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603186__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603187__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603189__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603190__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603191__NC_006059_-_CP_CDS","JF930326_-_CP_CDS","KM288842_-_CP_CDS","KM288843_-_CP_CDS","KM288844_-_CP_CDS","KM288845_extraction","JF937699_-_coat_protein_CDS","KM288846_-_ORF3_CDS","KM288847_-_ORF3_CDS","KX883791_-_ORF3_CDS","AY366209_-_coat_protein_CDS","KU854931_-_CP_CDS","KY348771_-_CP_CDS"
"KX196173_-_CP_CDS",100,51.5447154471545,69.57928802589,69.4174757281553,69.7411003236246,69.57928802589,51.0569105691057,50.8943089430894,53.0081300813008,70.0647249190939,50.0813008130081,69.9029126213592,52.6829268292683,70.2265372168285,68.1229773462783,51.6339869281046,51.3157894736842,51.7470881863561,51.6778523489933,51.4950166112957,51.3245033112583,51.5702479338843,51.3157894736842,52.027027027027,51.1475409836066,51.3157894736842,51.3157894736842,51.1513157894737,51.4190317195325,51.5806988352745,50.9868421052632,51.0743801652893,51.0708401976936,50.9031198686371,50.9868421052632,50.6600660066007,50.7389162561576,50.7389162561576,50.9836065573771,51.0673234811166,51.0673234811166,50.9868421052632,51.2396694214876,51.1627906976744,51.3821138211382,52.1951219512195,51.628664495114,51.7128874388254,52.2240527182867,52.1381578947368,52.5,52.3577235772358,51.5447154471545,51.5447154471545,52.3577235772358,52.3577235772358,52.8239202657807,50.9803921568627,52.7363184079602,52.9021558872305,51.8760195758564,51.628664495114,51.628664495114,51.797385620915,51.797385620915,52.0325203252032,50.5691056910569,50.7340946166395,50.2439024390244,53.8211382113821,50.8943089430894,52.3577235772358,52.8455284552846,52.901023890785,52.991452991453,52.3577235772358,52.9411764705882,52.9315960912052,52.6916802610114,52.9411764705882,52.7777777777778,53.0081300813008,53.0081300813008,53.4959349593496,52.6829268292683,52.520325203252,51.869918699187,52.1951219512195,52.3577235772358,51.3821138211382,52.2875816993464,52.2875816993464,52.2875816993464
"AY800279_-_coat_protein_CDS",51.5447154471545,100,49.9186991869919,50.4065040650407,50.2439024390244,50.5691056910569,78.0448717948718,77.8846153846154,79.6474358974359,51.5447154471545,80.1282051282051,50.5691056910569,48.7179487179487,50.1618122977346,52.588996763754,50.0810372771475,49.5921696574225,50.1650165016502,49.7504159733777,49.7528830313015,49.5894909688013,50.327868852459,49.5921696574225,50.1677852348993,49.4308943089431,49.5921696574225,49.5921696574225,49.9184339314845,50.1655629139073,50.3300330033003,49.1027732463295,49.5894909688013,49.3464052287582,49.185667752443,49.2659053833605,48.772504091653,48.8599348534202,48.8599348534202,49.5934959349593,49.6742671009772,49.6742671009772,49.5921696574225,49.5081967213115,49.4233937397035,48.0645161290323,47.741935483871,47.9806138933764,48.0582524271845,47.875816993464,47.7977161500816,48.2644628099174,47.9032258064516,47.0967741935484,47.0967741935484,47.9032258064516,47.9032258064516,47.7759472817133,48.1361426256078,48.0263157894737,48.1907894736842,47.411003236246,47.3344103392569,47.3344103392569,47.3257698541329,47.4878444084279,47.5806451612903,49.1935483870968,47.5728155339806,49.3548387096774,57.741935483871,49.1935483870968,48.0645161290323,51.5297906602255,50.3378378378378,50.4230118443316,49.597423510467,50.3236245954693,50.3225806451613,50.2423263327948,50.3236245954693,50.4854368932039,49.9194847020934,51.0466988727858,50.8856682769726,50.0805152979066,47.9871175523349,48.0645161290323,48.3870967741936,48.0645161290323,47.258064516129,50.9708737864078,51.1326860841424,51.1326860841424
"AY863024_-_CP_CDS",69.57928802589,49.9186991869919,100,95.0320512820513,96.3141025641026,96.3141025641026,49.1056910569106,48.9430894308943,50.0813008130081,79.1666666666667,49.1056910569106,93.9102564102564,51.6908212560387,70.1923076923077,67.7884615384615,55.3398058252427,55.8631921824104,55.8484349258649,55.9800664451827,55.921052631579,55.7377049180328,55.6464811783961,55.8631921824104,56.5217391304348,56.0064935064935,55.8631921824104,55.8631921824104,55.3745928338762,55.702479338843,56.1779242174629,55.2117263843648,55.6464811783961,55.4649265905383,55.2845528455285,55.3745928338762,55.2287581699346,55.2845528455285,55.2845528455285,55.6818181818182,55.7723577235772,55.7723577235772,56.0260586319218,56.3011456628478,56.0855263157895,53.9452495974235,53.9452495974235,54.3548387096774,54.4426494345719,53.9967373572594,53.9087947882736,53.960396039604,53.4621578099839,53.6231884057971,53.6231884057971,53.4621578099839,53.4621578099839,54.6952224052718,53.5598705501618,54.6052631578947,54.6052631578947,53.9579967689822,53.7096774193548,53.7096774193548,53.8834951456311,54.0584415584416,53.7842190016103,55.2334943639291,54.281098546042,54.1062801932367,54.7504025764895,54.9114331723027,54.5893719806763,54.4283413848631,54.8986486486487,54.9915397631134,53.6231884057971,54.2071197411003,54.1935483870968,54.1195476575121,54.2071197411003,54.5307443365696,53.7842190016103,53.7842190016103,54.1062801932367,53.9452495974235,53.1400966183575,55.877616747182,55.3945249597424,55.5555555555556,55.5555555555556,52.4271844660194,54.0453074433657,54.0453074433657
"FJ822136_-_CP_CDS",69.4174757281553,50.4065040650407,95.0320512820513,100,93.5897435897436,93.5897435897436,49.1056910569106,48.9430894308943,50.7317073170732,79.8076923076923,49.7560975609756,93.5897435897436,51.5297906602255,70.0320512820513,67.948717948718,55.0161812297735,55.5374592833876,55.5189456342669,55.4817275747508,55.5921052631579,55.4098360655738,55.3191489361702,55.5374592833876,56.1872909698997,55.6818181818182,55.5374592833876,55.5374592833876,55.2117263843648,55.3719008264463,55.8484349258649,55.0488599348534,55.4828150572831,55.3017944535073,55.1219512195122,55.2117263843648,54.2483660130719,54.3089430894309,54.3089430894309,55.0324675324675,55.1219512195122,55.1219512195122,55.3745928338762,55.6464811783961,55.4276315789474,54.4283413848631,53.9452495974235,54.1935483870968,54.281098546042,53.9967373572594,53.9087947882736,53.960396039604,53.4621578099839,53.4621578099839,53.4621578099839,53.4621578099839,53.4621578099839,54.6952224052718,54.3689320388349,54.7697368421053,54.9342105263158,54.281098546042,54.0322580645161,54.0322580645161,54.2071197411003,54.2207792207792,53.7842190016103,55.0724637681159,54.9273021001615,54.2673107890499,54.7504025764895,54.7504025764895,54.5893719806763,53.6231884057971,53.7162162162162,53.8071065989848,52.9790660225443,53.0744336569579,53.0645161290323,52.827140549273,53.0744336569579,53.2362459546926,52.9790660225443,52.6570048309179,52.9790660225443,53.3011272141707,52.8180354267311,56.0386473429952,55.3945249597424,55.877616747182,55.877616747182,52.1035598705502,53.2362459546926,53.2362459546926
"GQ179646_-_coat_protein_CDS",69.7411003236246,50.2439024390244,96.3141025641026,93.5897435897436,100,99.3589743589744,49.4308943089431,49.2682926829268,49.5934959349593,79.0064102564102,48.9430894308943,92.4679487179487,52.1739130434783,70.5128205128205,66.9871794871795,55.1779935275081,55.700325732899,55.8484349258649,55.8139534883721,55.7565789473684,55.5737704918033,55.6464811783961,55.700325732899,56.3545150501672,55.8441558441558,55.700325732899,55.700325732899,54.885993485342,55.3719008264463,56.1779242174629,55.0488599348534,55.4828150572831,55.3017944535073,55.1219512195122,55.2117263843648,54.7385620915033,54.7967479674797,54.7967479674797,55.5194805194805,55.609756097561,55.609756097561,55.700325732899,55.9738134206219,55.5921052631579,54.1062801932367,54.1062801932367,54.5161290322581,54.6042003231018,54.1598694942904,54.071661237785,54.2904290429043,53.6231884057971,53.7842190016103,53.7842190016103,53.6231884057971,53.6231884057971,54.8599670510708,54.0453074433657,54.7697368421053,54.7697368421053,54.1195476575121,53.8709677419355,53.8709677419355,54.0453074433657,54.2207792207792,53.9452495974235,55.0724637681159,55.0888529886914,54.4283413848631,53.9452495974235,54.7504025764895,54.7504025764895,53.9452495974235,54.0540540540541,54.1455160744501,53.1400966183575,54.0453074433657,54.0322580645161,53.7964458804523,54.0453074433657,54.2071197411003,53.3011272141707,53.3011272141707,53.6231884057971,52.9790660225443,52.3349436392915,55.3945249597424,54.9114331723027,55.2334943639291,55.0724637681159,51.9417475728155,53.5598705501618,53.5598705501618
"GQ179647_-_coat_protein_CDS",69.57928802589,50.5691056910569,96.3141025641026,93.5897435897436,99.3589743589744,100,49.7560975609756,49.5934959349593,49.5934959349593,78.8461538461538,48.780487804878,92.4679487179487,52.1739130434783,70.5128205128205,66.9871794871795,55.1779935275081,55.700325732899,55.8484349258649,55.8139534883721,55.7565789473684,55.5737704918033,55.6464811783961,55.700325732899,56.3545150501672,55.8441558441558,55.700325732899,55.700325732899,54.885993485342,55.3719008264463,56.1779242174629,55.0488599348534,55.4828150572831,55.3017944535073,55.1219512195122,55.2117263843648,54.7385620915033,54.7967479674797,54.7967479674797,55.5194805194805,55.609756097561,55.609756097561,55.700325732899,55.9738134206219,55.5921052631579,54.2673107890499,53.7842190016103,54.1935483870968,54.281098546042,53.8336052202284,53.7459283387622,53.960396039604,53.3011272141707,53.4621578099839,53.4621578099839,53.3011272141707,53.3011272141707,54.5304777594728,54.2071197411003,54.4407894736842,54.4407894736842,53.7964458804523,53.5483870967742,53.5483870967742,53.7216828478964,53.8961038961039,53.6231884057971,55.0724637681159,55.2504038772213,54.4283413848631,54.1062801932367,54.7504025764895,54.4283413848631,54.1062801932367,54.222972972973,54.3147208121827,53.3011272141707,53.8834951456311,53.8709677419355,53.6348949919225,53.8834951456311,54.0453074433657,53.4621578099839,53.4621578099839,53.7842190016103,53.1400966183575,52.3349436392915,55.5555555555556,55.0724637681159,55.3945249597424,55.2334943639291,51.9417475728155,53.5598705501618,53.5598705501618
"KT717325_-_CP_CDS",51.0569105691057,78.0448717948718,49.1056910569106,49.1056910569106,49.4308943089431,49.7560975609756,100,99.8397435897436,80.448717948718,51.869918699187,75.3205128205128,50.0813008130081,51.6025641025641,51.294498381877,49.5145631067961,51.2155591572123,50.5709624796085,51.4851485148515,51.5806988352745,51.0708401976936,50.9031198686371,51.3114754098361,51.0603588907015,51.1744966442953,50.7317073170732,51.2234910277325,51.2234910277325,51.2234910277325,51.4900662251656,51.3201320132013,50.7340946166395,51.3957307060755,51.1437908496732,50.814332247557,51.0603588907015,50.7364975450082,50.814332247557,50.814332247557,50.7317073170732,50.6514657980456,50.6514657980456,50.7340946166395,50.8196721311475,50.5766062602965,48.0645161290323,51.4516129032258,51.0500807754443,51.1326860841424,51.9607843137255,51.8760195758564,52.396694214876,51.7741935483871,50.9677419354839,50.9677419354839,51.7741935483871,51.7741935483871,51.5650741350906,48.1361426256078,51.6447368421053,51.8092105263158,50.9708737864078,50.8885298869144,50.8885298869144,50.8914100486224,50.8914100486224,51.2903225806452,50.9677419354839,49.0291262135922,49.3548387096774,57.5806451612903,50.4838709677419,51.1290322580645,52.9790660225443,51.8581081081081,51.9458544839255,50.8856682769726,51.294498381877,51.4516129032258,51.373182552504,51.294498381877,51.4563106796116,51.0466988727858,51.207729468599,50.8856682769726,51.5297906602255,49.7584541062802,50.3225806451613,49.6774193548387,49.6774193548387,49.6774193548387,48.5436893203884,48.705501618123,48.705501618123
"KU159093_-_coat_protein_CDS",50.8943089430894,77.8846153846154,48.9430894308943,48.9430894308943,49.2682926829268,49.5934959349593,99.8397435897436,100,80.6089743589744,51.869918699187,75.4807692307692,49.9186991869919,51.4423076923077,51.294498381877,49.5145631067961,51.3776337115073,50.7340946166395,51.6501650165016,51.7470881863561,51.2355848434926,51.0673234811166,51.4754098360656,51.2234910277325,51.3422818791946,50.8943089430894,51.3866231647635,51.3866231647635,51.3866231647635,51.6556291390728,51.4851485148515,50.8972267536705,51.559934318555,51.3071895424837,50.9771986970684,51.2234910277325,50.9001636661211,50.9771986970684,50.9771986970684,50.8943089430894,50.814332247557,50.814332247557,50.8972267536705,50.9836065573771,50.7413509060955,48.2258064516129,51.6129032258064,51.2116316639742,51.294498381877,52.1241830065359,52.0391517128874,52.5619834710744,51.9354838709677,51.1290322580645,51.1290322580645,51.9354838709677,51.9354838709677,51.7298187808896,48.2982171799028,51.8092105263158,51.9736842105263,51.1326860841424,51.0500807754443,51.0500807754443,51.0534846029173,51.0534846029173,51.4516129032258,51.1290322580645,49.1909385113269,49.5161290322581,57.5806451612903,50.6451612903226,51.2903225806452,52.8180354267311,51.6891891891892,51.7766497461929,50.7246376811594,51.4563106796116,51.6129032258064,51.5347334410339,51.4563106796116,51.6181229773463,50.8856682769726,51.0466988727858,50.7246376811594,51.3687600644122,49.597423510467,50.4838709677419,49.8387096774194,49.8387096774194,49.8387096774194,48.705501618123,48.8673139158576,48.8673139158576
"KU697313_-_coat_protein_CDS",53.0081300813008,79.6474358974359,50.0813008130081,50.7317073170732,49.5934959349593,49.5934959349593,80.448717948718,80.6089743589744,100,53.3333333333333,78.0448717948718,50.0813008130081,51.7628205128205,50,52.1035598705502,51.2155591572123,50.5709624796085,50.6600660066007,50.5823627287854,50.7413509060955,50.5747126436782,50.9836065573771,50.8972267536705,51.1744966442953,50.7317073170732,50.8972267536705,50.8972267536705,50.8972267536705,51.3245033112583,51.4851485148515,50.7340946166395,51.559934318555,51.3071895424837,50.814332247557,51.2234910277325,50.9001636661211,50.9771986970684,50.9771986970684,51.0569105691057,50.9771986970684,50.9771986970684,51.0603588907015,51.1475409836066,50.9060955518946,48.7096774193548,48.8709677419355,48.9499192245557,49.0291262135922,49.3464052287582,49.2659053833605,49.5867768595041,49.0322580645161,48.5483870967742,48.5483870967742,49.0322580645161,49.0322580645161,48.9291598023064,48.6223662884927,49.1776315789474,49.3421052631579,48.3818770226537,48.3037156704362,48.3037156704362,48.2982171799028,48.6223662884927,48.7096774193548,50.3225806451613,49.0291262135922,49.1935483870968,58.2258064516129,50.6451612903226,49.0322580645161,52.8180354267311,52.1959459459459,52.2842639593909,51.0466988727858,52.1035598705502,52.0967741935484,52.0193861066236,52.1035598705502,52.1035598705502,51.6908212560387,52.0128824476651,51.8518518518519,51.0466988727858,50.2415458937198,50.8064516129032,50.1612903225806,50.1612903225806,50.3225806451613,48.8673139158576,49.3527508090615,49.3527508090615
"LC107515_-_CP_CDS",70.0647249190939,51.5447154471545,79.1666666666667,79.8076923076923,79.0064102564102,78.8461538461538,51.869918699187,51.869918699187,53.3333333333333,100,50.5691056910569,79.8076923076923,53.6231884057971,71.9551282051282,69.8717948717949,54.3689320388349,54.3973941368078,54.3657331136738,54.6511627906977,54.9342105263158,54.7540983606557,54.5008183306056,54.5602605863192,55.0167224080268,54.8701298701299,54.7231270358306,54.7231270358306,54.7231270358306,54.5454545454545,54.5304777594728,54.3973941368078,54.5008183306056,54.3230016313214,54.3089430894309,54.3973941368078,54.0849673202614,54.1463414634146,54.1463414634146,54.8701298701299,54.7967479674797,54.7967479674797,54.885993485342,55.3191489361702,55.0986842105263,51.5297906602255,55.2334943639291,55.1612903225806,55.2504038772213,55.6280587275693,55.5374592833876,56.2706270627063,55.5555555555556,54.5893719806763,54.5893719806763,55.5555555555556,55.5555555555556,56.0131795716639,51.4563106796116,56.0855263157895,56.25,55.5735056542811,55.1612903225806,55.1612903225806,55.5016181229773,55.5194805194805,55.3945249597424,54.2673107890499,51.5347334410339,52.4959742351047,54.5893719806763,54.5893719806763,55.3945249597424,56.1996779388084,56.7567567567568,56.8527918781726,55.0724637681159,55.663430420712,55.8064516129032,55.5735056542811,55.663430420712,55.9870550161812,55.2334943639291,55.877616747182,55.877616747182,55.7165861513688,54.2673107890499,56.0386473429952,55.877616747182,56.3607085346216,55.7165861513688,50.3236245954693,50.3236245954693,50.3236245954693
