"","MG210801","AY800279","KT717325","KU159093","KU697313","LC155795","LC107517","LC107515","AY863024","GQ179646","GQ179647","FJ822136","MH423501","AF308158","AY366207","KP090203","KU854929","LC128411","AY366208","JF930326","JX524226","KX196173","JF937699","KX883791","Schlumbergera_truncata_15H02_sty__NC_002815","MF978248","JF930327","AY366209","KU854931","KY348771","Hylocereus_polyrhizus_SRR11190795__NC_011659","Hylocereus_polyrhizus_SRR11190797__NC_011659","Schlumbergera_truncata_15H05_pol__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_011659","Hylocereus_polyrhizus_SRR11190795__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_002815","Schlumbergera_truncata_19JSF_sty__NC_002815","Hylocereus_undatus_SRR11190792__NC_002815","Hylocereus_polyrhizus_SRR11190802__NC_002815","Hylocereus_undatus_SRR11190793__NC_002815","Schlumbergera_truncata_15H04_sty__NC_002815","Hylocereus_undatus_SRR11603190__NC_002815","Schlumbergera_truncata_15H04_pol__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_006059","Hylocereus_undatus_SRR11190799__NC_002815","Hylocereus_undatus_SRR11603187__NC_002815","Hylocereus_undatus_SRR11603191__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_002815","Hylocereus_polyrhizus_SRR11190797__NC_002815","Hylocereus_undatus_SRR11603182__NC_002815","Hylocereus_undatus_SRR11603186__NC_002815","Hylocereus_undatus_SRR11603189__NC_002815","Schlumbergera_truncata_15H03_sty__NC_002815_a","Schlumbergera_truncata_15H06_pol__NC_002815","Hylocereus_undatus_SRR11190791__NC_002815","Hylocereus_undatus_SRR11190800__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_002815","Hylocereus_undatus_SRR11603183__NC_002815","Hylocereus_undatus_SRR11603184__NC_002815","Schlumbergera_truncata_15H03_pol__NC_002815","Hylocereus_polyrhizus_SRR11190795__NC_002815","Schlumbergera_truncata_15H03_sty__NC_002815_b","Schlumbergera_truncata_15H04_pet__NC_002815","Hylocereus_polyrhizus_SRR11190802__NC_006059","Schlumbergera_truncata_15H06_sty__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_006059","Hylocereus_polyrhizus_SRR11190797__NC_006059","Hylocereus_polyrhizus_SRR11190798__NC_011659","Hylocereus_polyrhizus_SRR11190802__NC_011659","Hylocereus_polyrhizus_SRR11190801__NC_011659","Hylocereus_undatus_SRR11603187__NC_011659","Hylocereus_undatus_SRR11603184__NC_011659","Hylocereus_undatus_SRR11603186__NC_006059","Hylocereus_undatus_SRR11603187__NC_006059","Hylocereus_undatus_SRR11603190__NC_006059","Hylocereus_undatus_SRR11603183__NC_011659","Hylocereus_undatus_SRR11603189__NC_006059","Hylocereus_undatus_SRR11603191__NC_006059","Hylocereus_undatus_SRR11603189__NC_011659","Hylocereus_undatus_SRR11190793__NC_024458","Hylocereus_undatus_SRR11190792__NC_024458","Hylocereus_polyrhizus_SRR11190797__NC_024458","Hylocereus_undatus_SRR11190799__NC_024458","Hylocereus_polyrhizus_SRR11190802__NC_024458","Hylocereus_undatus_SRR11190800__NC_024458","Hylocereus_undatus_SRR11603191__NC_024458","Hylocereus_undatus_SRR11190791__NC_024458","Hylocereus_undatus_SRR11603184__NC_024458","Hylocereus_undatus_SRR11603189__NC_024458","Hylocereus_polyrhizus_SRR11190795__NC_024458","Hylocereus_undatus_SRR11603183__NC_024458","Hylocereus_polyrhizus_SRR11190796__NC_024458","Hylocereus_polyrhizus_SRR11190798__NC_024458","Hylocereus_polyrhizus_SRR11190801__NC_024458","Hylocereus_undatus_SRR11603182__NC_024458","Hylocereus_undatus_SRR11603186__NC_024458","Hylocereus_undatus_SRR11603187__NC_024458","Hylocereus_undatus_SRR11603190__NC_024458","CYMRNA"
"MG210801",0,0.463359407163442,0.462104187946885,0.461082737487232,0.46326073682068,0.473041709053917,0.439108409321175,0.445340333770861,0.45029020782625,0.444860513012544,0.44879236098109,0.448708348932984,0.44945713216024,0.313021400072543,0.300852839774995,0.297744634412514,0.300127018689893,0.31261326567597,0.319544797687861,0.321467293097217,0.463432835820896,0.462633451957295,0.307845624207284,0.305852509512593,0.318181818181818,0.466131740996455,0.0177355786456467,0.359272727272727,0.357090909090909,0.357818181818182,0.280607149990014,0.291891891891892,0.305907172995781,0.290516431924883,0.286205073995772,0.30830405030516,0.306496910690882,0.299981156962502,0.306412862687119,0.310899780541331,0.311743119266055,0.310711665443874,0.311869381764814,0.30625,0.311735718196751,0.303284807764091,0.310174152153987,0.308455882352941,0.303137840866642,0.311481413660502,0.311229162850339,0.310130060450632,0.312454212454212,0.311448427212875,0.311747537395111,0.312112367748997,0.308274842999631,0.302208083832335,0.309528180649899,0.312042459736457,0.310124269005848,0.31241973949734,0.312247891455812,0.313334552771173,0.309515062454078,0.311652620007329,0.312122874382885,0.309716218755873,0.268542199488491,0.300563329093222,0.266693006716713,0.273187840997662,0.272940257711831,0.317330423713402,0.317836468885673,0.317445879570675,0.292157584683358,0.317391304347826,0.317546724732353,0.284499054820416,0.0157649587961304,0.0159767610748003,0.0156109815180334,0.0150483697599427,0.00840950639853748,0.0150483697599427,0.0135232600072124,0.0150483697599427,0.00804681784930505,0.0150889168313275,0.0180938731637406,0.00803946647177051,0.0161406025824964,0.00820568927789934,0.00799709196655761,0.00804681784930505,0.0138315070953835,0.0150916277398491,0.0136592379583034,0.478109543872504
"AY800279",0.463359407163442,0,0.225373904074265,0.224170534639849,0.217070238708569,0.222412318220701,0.399929836870724,0.448125544899738,0.451944880516309,0.449851735566021,0.452293738008024,0.452214858737356,0.450122078828043,0.462746466585238,0.459940652818991,0.459222961148057,0.450864025135277,0.461283571677712,0.451646628332462,0.454260324098275,0.45893888986167,0.466806063774177,0.454656435298221,0.456226020230206,0.560606060606061,0.469391304347826,0.456968641114983,0.457222512632863,0.455654295173375,0.454434570482663,0.455174927113703,0.460999123575811,0.443169968717414,0.461484470959818,0.433601609657948,0.454982206405694,0.451891891891892,0.44967414916727,0.45377107364685,0.456640281442392,0.454818213907519,0.459354611179686,0.454914416799012,0.441703216374269,0.457879957879958,0.454970339744742,0.460549489256781,0.455510348487529,0.452735426008969,0.456851003874604,0.45939756913863,0.45892101551481,0.454529432499119,0.454257565095004,0.457894736842105,0.457879957879958,0.454949351341745,0.453125,0.455316142705758,0.454561465304685,0.457519788918206,0.454641722555595,0.454850088183422,0.447112837718524,0.45409604519774,0.44881331916401,0.449116607773852,0.444688644688645,0.442035815268615,0.459709840936899,0.441605148589816,0.439788599471499,0.441414331389882,0.448342396070865,0.449642171408623,0.448553900087642,0.456217937378383,0.449667948269836,0.448601398601399,0.450745183569611,0.457491289198606,0.464271213966707,0.454688318491357,0.454529616724739,0.451933309684285,0.454529616724739,0.45500700280112,0.454529616724739,0.451498492640539,0.456149545772187,0.456794425087108,0.45198440822112,0.454799301919721,0.452696728558798,0.453502735133227,0.452224782839922,0.455705049799056,0.455959454736106,0.455594405594406,0.453800557880056
"KT717325",0.462104187946885,0.225373904074265,0,0.0116968977792846,0.218166383701188,0.239137813985065,0.39726507713885,0.451931404815521,0.453994108473401,0.450528504591925,0.451048345174147,0.450970200970201,0.448891198891199,0.460991678224688,0.46072481359459,0.459492350486787,0.458817409398301,0.460058915265985,0.446580086580087,0.45038961038961,0.461070559610706,0.470669666032186,0.460578755848207,0.461791717206723,0.545454545454545,0.475952421996208,0.45577289250476,0.461418685121107,0.459515570934256,0.458304498269896,0.455497382198953,0.460560682570085,0.449005938548928,0.460693742374063,0.435961203680676,0.454834718048436,0.452299982101307,0.450458550620392,0.453711867395521,0.457008039147151,0.458705944239874,0.456727400140154,0.458800841514726,0.441619756673325,0.455972101133391,0.452436194895592,0.456613016095171,0.455711775043937,0.45234277569927,0.454943132108486,0.457122856142807,0.456392294220666,0.456487480301173,0.457612305540989,0.456161757015862,0.455972101133391,0.454449152542373,0.450669045495094,0.453939287594315,0.456517935258093,0.457182803215659,0.456601788532351,0.458734886980901,0.446394104228812,0.457288195053499,0.444385779655051,0.44434691011236,0.443655561623885,0.442073741343814,0.46205938530995,0.442585980078933,0.443277704856554,0.443220022413149,0.444928546531893,0.447181266261925,0.44531522117729,0.457564575645756,0.446664350243224,0.445197151294077,0.451985559566787,0.456465293404881,0.461817449123514,0.455412907702984,0.4554266920547,0.45215859030837,0.4554266920547,0.456173913043478,0.4554266920547,0.451470847278492,0.456438736549809,0.456292193179851,0.452129531854981,0.455522802150165,0.452565003513703,0.452760736196319,0.452016200035217,0.455902777777778,0.45632922382358,0.455981941309255,0.45963270963271
"KU159093",0.461082737487232,0.224170534639849,0.0116968977792846,0,0.216129032258065,0.237780040733198,0.397089761570827,0.451758184652694,0.453647548085254,0.451048345174147,0.450875064980073,0.451143451143451,0.448717948717949,0.460818307905687,0.460204612450147,0.458623087621697,0.45864400901682,0.459712354877837,0.444329004329004,0.448138528138528,0.462113312478276,0.46963142412182,0.461271876624502,0.462484837983019,0.545454545454545,0.476641958283055,0.455080491604639,0.458996539792388,0.457612456747405,0.456228373702422,0.456038996208702,0.461083057635382,0.447714949651433,0.461216663761548,0.434717731907486,0.454481173767014,0.452120995167353,0.450098903074987,0.453359195909011,0.456833275078644,0.458355251621953,0.456377014716188,0.458450210378682,0.439622298892319,0.455623365300785,0.452257719079065,0.456263121063681,0.455008787346221,0.45180830215571,0.454593175853018,0.456772838641932,0.456042031523643,0.456137278935388,0.457262716308338,0.455813142757539,0.455623365300785,0.45409604519774,0.450312221231044,0.453588348833129,0.456167979002625,0.457008039147151,0.456251095914431,0.458384440161206,0.444814879803474,0.456937379407122,0.442625835973249,0.442591292134831,0.442199162570544,0.441137937488302,0.46205938530995,0.441646307085134,0.442340146259141,0.442659693686963,0.442662948762635,0.444752818733738,0.442877046325322,0.457037427517132,0.444232105628909,0.442765329164495,0.4514440433213,0.4554266920547,0.460407011887971,0.454545454545455,0.454214990479488,0.450925110132159,0.454214990479488,0.454782608695652,0.454214990479488,0.450413951030474,0.455397431447414,0.454907391379609,0.451073565645899,0.454655800242761,0.451510892480675,0.45170902716915,0.450959675999296,0.454513888888889,0.455287376280604,0.454592811251953,0.458246708246708
"KU697313",0.46326073682068,0.217070238708569,0.218166383701188,0.216129032258065,0,0.232660674919451,0.383068042679727,0.442085275332298,0.452911698634871,0.450492483151892,0.453948505270434,0.44713199723566,0.448341395991707,0.450570342205323,0.461777931511588,0.460898213976071,0.459183673469388,0.449473138711349,0.441932700603969,0.443658326143227,0.464403256539061,0.458951362538806,0.449645880117464,0.450682328554154,0.545454545454545,0.477804542326222,0.456082830025884,0.460437855542148,0.457852094466471,0.45767971039476,0.454102795311091,0.460055574852379,0.433307632999229,0.46,0.428394449950446,0.444229074889868,0.44264049955397,0.437869822485207,0.443135876252417,0.444947735191638,0.447649012410418,0.447432762836186,0.447570779447746,0.434593812194681,0.446723448635495,0.44147990039132,0.448203697244506,0.445067461012791,0.442352105169657,0.445917655268667,0.447836706210747,0.446403631284916,0.445976610228661,0.447116222338386,0.446741963509991,0.446723448635495,0.444033790918691,0.441401387159879,0.444114045828232,0.446188731903018,0.445644599303136,0.446075860863485,0.447685589519651,0.437139360027977,0.446231858716559,0.437916520519116,0.438068579426172,0.438055505169599,0.443427931292009,0.463456875649463,0.442632170978628,0.442782348541511,0.442228848304137,0.439388676623828,0.440622299049265,0.439430753210691,0.457062740974413,0.440270083102493,0.439501471351913,0.452565256525653,0.456773080241588,0.462758482232483,0.454686959529575,0.45504745470233,0.450026348146847,0.45504745470233,0.453883495145631,0.45504745470233,0.450043898156277,0.455190311418685,0.455220017256255,0.450526315789474,0.454796888504754,0.451313485113835,0.452035645640398,0.450842696629214,0.454655590169609,0.454907391379609,0.454734291154578,0.449335404798895
"LC155795",0.473041709053917,0.222412318220701,0.239137813985065,0.237780040733198,0.232660674919451,0,0.40457083042568,0.454247237569061,0.456822107081174,0.454749568221071,0.459067357512953,0.452598860300466,0.453116905543084,0.459917069799585,0.462150017283097,0.458672673713395,0.461285862426547,0.457433949231566,0.448585231193927,0.448067632850242,0.4625520110957,0.472394755003451,0.461750992920048,0.464168537385598,0.545454545454545,0.472016531771999,0.465068138692427,0.459972394755003,0.459109730848861,0.458937198067633,0.458611361587015,0.465116279069767,0.450295402003596,0.465253648366921,0.435961203680676,0.454993834771887,0.448983232251159,0.44962352097526,0.453171674573889,0.455067920585162,0.452035645640398,0.455831005586592,0.452131376659679,0.44255473131898,0.455430060816681,0.451440768409819,0.456146469049695,0.45446584938704,0.452495116320369,0.455797733217088,0.456226020230206,0.455322862129145,0.452451579131042,0.452011844626372,0.455098141393087,0.455430060816681,0.45478536242083,0.45074679943101,0.453575799965029,0.452659110723627,0.456461163357715,0.452210379171763,0.452243757639253,0.445979020979021,0.451144904736934,0.449412589864983,0.450061220920063,0.444142183532826,0.44214259051885,0.463828314295604,0.442278860569715,0.443655391515605,0.443658036878376,0.445640847516499,0.446768060836502,0.44585213467546,0.457092819614711,0.446425480353124,0.446348217376255,0.452059722971758,0.465930653786441,0.473208910295003,0.464211618257261,0.464723132654821,0.459862989636396,0.464723132654821,0.463245492371706,0.464723132654821,0.461457418788411,0.463933575505968,0.465758150767638,0.461929824561404,0.464316571626058,0.461821366024518,0.462170190459549,0.461822011585045,0.464186851211073,0.463655244029076,0.464254803531245,0.461073709649577
"LC107517",0.439108409321175,0.399929836870724,0.39726507713885,0.397089761570827,0.383068042679727,0.40457083042568,0,0.432437090658394,0.438221609512321,0.435636739617439,0.438221609512321,0.434355616815989,0.433149552033081,0.442839951865223,0.451108437875924,0.449172984148863,0.445093658704245,0.444329896907216,0.43656652360515,0.436738197424893,0.442812715964064,0.451385303734297,0.442575107296137,0.445321888412017,0.575757575757576,0.453250986447075,0.438026474127557,0.44308803301238,0.440337001375516,0.441540577716644,0.444742969729536,0.448252109522989,0.427832384893947,0.448370970522324,0.421767028627838,0.439186820890291,0.435260730755587,0.433868092691622,0.437489071515999,0.441171374111939,0.439499304589708,0.44293903074518,0.439596732139753,0.429496402877698,0.440179806362379,0.43679178470255,0.442554668517876,0.439024390243902,0.435381355932203,0.43952802359882,0.443171959049106,0.442591627583811,0.437847222222222,0.438994800693241,0.440449438202247,0.440179806362379,0.439173814108174,0.434536447275301,0.4385110453992,0.438063844552394,0.439958412753422,0.438108484005563,0.439541348158443,0.431280445372303,0.438260869565217,0.430315716030002,0.430809399477807,0.429550784773588,0.432282003710575,0.449070887818307,0.431259314456036,0.432337107852237,0.432327346787632,0.43286677034733,0.434147180192572,0.433085822828527,0.446941975953999,0.434326045791014,0.434033758181192,0.442734430923407,0.436995014612343,0.439097444089457,0.436153713596416,0.438026474127557,0.43169877408056,0.438026474127557,0.435955056179775,0.438026474127557,0.432323586061986,0.436993621789347,0.437682654289152,0.432470258922323,0.436369898398485,0.432984293193717,0.433397179174647,0.432598039215686,0.436206896551724,0.436702311141773,0.436087631533552,0.444996572995202
"LC107515",0.445340333770861,0.448125544899738,0.451931404815521,0.451758184652694,0.442085275332298,0.454247237569061,0.432437090658394,0,0.213060582218725,0.215892997639654,0.218410700236035,0.210981749528005,0.213184392699811,0.443942571382481,0.459114414996768,0.459096063502349,0.457175177763413,0.441560535224891,0.449212471873995,0.450016072002572,0.342866171591089,0.358888888888889,0.452039335805256,0.452361760438498,0.454545454545455,0.343979559246247,0.446069763703585,0.454076699967773,0.457943925233645,0.457943925233645,0.447904191616766,0.453104575163399,0.433975563909774,0.452384854941813,0.427050568594241,0.439401414241079,0.437510401065069,0.43249581239531,0.439080459770115,0.441898261010889,0.440749796251019,0.440332572546462,0.440840938722295,0.438079191238416,0.441849148418491,0.435880398671096,0.441530944625407,0.438103025347506,0.435258964143426,0.4404296875,0.440553745928339,0.441042345276873,0.441152531336481,0.440182054616385,0.441796368352789,0.441705853737636,0.439388961892247,0.436025257560651,0.439712840593898,0.441028143809989,0.439206762028609,0.441075794621027,0.440788402019873,0.443938161106591,0.438499184339315,0.442304553615146,0.442833876221498,0.438987341772152,0.437042204394838,0.457605177993528,0.436449579831933,0.438773732799164,0.440480334145493,0.444588254327779,0.444462330972312,0.444354577806535,0.454828150572831,0.444695259593679,0.444587836747863,0.448194794290512,0.446712747146761,0.446954267728198,0.44555412371134,0.445587526121202,0.440839069157653,0.445587526121202,0.444480362049459,0.445587526121202,0.441002949852507,0.445680206318504,0.446712747146761,0.441205371765477,0.445821928835936,0.442775510204082,0.443141088302379,0.441422251351794,0.445035460992908,0.445412030317691,0.444928237381068,0.449349815379676
"AY863024",0.45029020782625,0.451944880516309,0.453994108473401,0.453647548085254,0.452911698634871,0.456822107081174,0.438221609512321,0.213060582218725,0,0.0532331297948959,0.0391420072021293,0.0612180992641303,0.0524502896508533,0.452805917350056,0.460299565147367,0.459799806264127,0.460460621678209,0.450747228025068,0.453232793197497,0.455231065468549,0.346147761430153,0.359834631896963,0.453245501285347,0.454370179948586,0.46969696969697,0.357108664432743,0.448547118317547,0.458232737807822,0.45839369064864,0.45839369064864,0.452413557001027,0.458414872798434,0.445664874970788,0.457801766437684,0.433446272991288,0.44655737704918,0.444186432244153,0.441903171953255,0.446481178396072,0.450024299368216,0.448740861088546,0.449626259343516,0.448830409356725,0.444238856181665,0.448666127728375,0.444370860927152,0.450324675324675,0.447269763651182,0.44448121793811,0.449545749513303,0.450162337662338,0.45,0.449943209475905,0.448152948801037,0.448771816418875,0.448844351058671,0.446536761093827,0.443524345809871,0.447715075622052,0.449975676990433,0.447180816591056,0.45004061738424,0.448774151647995,0.449480181936322,0.446756624939034,0.448354512870642,0.448219801658267,0.44760781671159,0.439206818577144,0.459603289791969,0.438896648044693,0.438194444444444,0.441824172013178,0.452842377260982,0.453318335208099,0.452857604133032,0.45473821562551,0.453082246901658,0.452729908197777,0.448200836820084,0.449510354792101,0.449621002033648,0.448519948519949,0.448547118317547,0.444026186579378,0.448547118317547,0.447224015493867,0.448547118317547,0.444517184942717,0.449130714745654,0.449028736554824,0.44471704285247,0.44862518089725,0.445295939996739,0.44574589230519,0.444608083783341,0.448003863490019,0.448864551457562,0.447898212272508,0.455129234227003
"GQ179646",0.444860513012544,0.449851735566021,0.450528504591925,0.451048345174147,0.450492483151892,0.454749568221071,0.435636739617439,0.215892997639654,0.0532331297948959,0,0.0402379834037889,0.0449350242680445,0.0610615312353218,0.450554751567776,0.456434208407151,0.453664836938973,0.459011112900628,0.44737264984734,0.449382319910156,0.451540436456996,0.346305964246164,0.357449515026236,0.451478149100257,0.453245501285347,0.46969696969697,0.357268230413276,0.445336330069032,0.455174633832287,0.455335586673105,0.45565749235474,0.447791852105443,0.453359425962166,0.441925683570928,0.452731436048413,0.430058083252662,0.443114754098361,0.441034997512025,0.43873121869783,0.443698854337152,0.446622387817917,0.44549147034931,0.445888852778681,0.445581546458739,0.44053826745164,0.44591754244139,0.440894039735099,0.446103896103896,0.443683781581092,0.440840642065199,0.447436729396496,0.446266233766234,0.445941558441558,0.44718481259127,0.445236552171095,0.446186166774402,0.446096654275093,0.442934337645325,0.441040079496522,0.444299886160351,0.447219069239501,0.444102397926118,0.44727863525589,0.445526871245332,0.44769330734243,0.443667696309543,0.445096122515477,0.44496829783775,0.444070080862534,0.436249782570882,0.452023867118207,0.435754189944134,0.437152777777778,0.439396566672447,0.448643410852713,0.449140286035674,0.448821440103326,0.4540857935084,0.449058425881217,0.448381381865035,0.447196652719665,0.446139027131161,0.44407469033093,0.445785070785071,0.446139027131161,0.441407528641571,0.446139027131161,0.444641704325371,0.446139027131161,0.442062193126023,0.446233097231165,0.447102263605715,0.442263657180242,0.445891622447339,0.442850154899723,0.443142996583699,0.441989854360988,0.445106245975531,0.446126590433242,0.444999194717346,0.450794670091507
