"","CYMRNA","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","Hylocereus_polyrhizus_SRR11190802__NC_011659","KP090203","AY366207","Hylocereus_polyrhizus_SRR11190798__NC_011659","Hylocereus_polyrhizus_SRR11190801__NC_011659","Hylocereus_undatus_SRR11603189__NC_011659","Hylocereus_undatus_SRR11603187__NC_011659","Hylocereus_undatus_SRR11603183__NC_011659","Hylocereus_undatus_SRR11603184__NC_011659","MG210801","Hylocereus_undatus_SRR11190800__NC_024458","Hylocereus_undatus_SRR11190791__NC_024458","Hylocereus_undatus_SRR11190799__NC_024458","Hylocereus_polyrhizus_SRR11190802__NC_024458","Hylocereus_polyrhizus_SRR11190801__NC_024458","Hylocereus_polyrhizus_SRR11190798__NC_024458","Hylocereus_polyrhizus_SRR11190795__NC_024458","JF930327","Hylocereus_undatus_SRR11603182__NC_024458","Hylocereus_undatus_SRR11603184__NC_024458","Hylocereus_undatus_SRR11603183__NC_024458","Hylocereus_undatus_SRR11190793__NC_024458","Hylocereus_polyrhizus_SRR11190796__NC_024458","Hylocereus_polyrhizus_SRR11190797__NC_024458","Hylocereus_undatus_SRR11603191__NC_024458","Hylocereus_undatus_SRR11603189__NC_024458","Hylocereus_undatus_SRR11603187__NC_024458","Hylocereus_undatus_SRR11603186__NC_024458","Hylocereus_undatus_SRR11603190__NC_024458","KM288845","Hylocereus_polyrhizus_SRR11190798__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_006059","Hylocereus_polyrhizus_SRR11190802__NC_006059","Hylocereus_polyrhizus_SRR11190796__NC_006059","Hylocereus_polyrhizus_SRR11190797__NC_006059","AY366208","KM288844","JF930326","KM288843","KM288842","Hylocereus_undatus_SRR11603191__NC_006059","Hylocereus_undatus_SRR11603189__NC_006059","Hylocereus_undatus_SRR11603187__NC_006059","Hylocereus_undatus_SRR11603186__NC_006059","Hylocereus_undatus_SRR11603190__NC_006059","JF937699","KM288846","KX883791","KM288847","Schlumbergera_truncata_15H03__cons","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_15H04__cons","Schlumbergera_truncata_15H06__cons","LC128411","Hylocereus_undatus_SRR11603186__NC_002815","Hylocereus_undatus_SRR11603190__NC_002815","Hylocereus_undatus_SRR11603191__NC_002815","Hylocereus_undatus_SRR11603187__NC_002815","Hylocereus_undatus_SRR11603189__NC_002815","Hylocereus_undatus_SRR11190793__NC_002815","KM365479","Hylocereus_undatus_SRR11190792__NC_002815","Hylocereus_undatus_SRR11603183__NC_002815","Hylocereus_polyrhizus_SRR11190795__NC_002815","AF308158","Hylocereus_polyrhizus_SRR11190802__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_002815","Hylocereus_polyrhizus_SRR11190797__NC_002815","Hylocereus_undatus_SRR11603184__NC_002815","Hylocereus_undatus_SRR11603182__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_002815","Hylocereus_polyrhizus_SRR11190801__NC_002815","Hylocereus_undatus_SRR11190799__NC_002815","Hylocereus_undatus_SRR11190791__NC_002815","Hylocereus_undatus_SRR11190800__NC_002815"
"CYMRNA",0,0.34070796460177,0.376106194690265,0.36283185840708,0.420353982300885,0.389380530973451,0.384955752212389,0.393805309734513,0.411504424778761,0.380530973451327,0.376106194690265,0.367256637168142,0.36283185840708,0.371681415929204,0.358407079646018,0.371681415929204,0.420353982300885,0.424778761061947,0.424778761061947,0.371681415929204,0.358407079646018,0.367256637168142,0.353982300884956,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.367256637168142,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.389380530973451,0.367256637168142,0.367256637168142,0.367256637168142,0.36283185840708,0.36283185840708,0.371681415929204,0.36283185840708,0.367256637168142,0.371681415929204,0.36283185840708,0.367256637168142,0.367256637168142,0.367256637168142,0.367256637168142,0.367256637168142,0.367256637168142,0.371681415929204,0.371681415929204,0.371681415929204,0.371681415929204,0.376106194690265,0.376106194690265,0.376106194690265,0.380530973451327,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.380530973451327,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265,0.376106194690265
"LC107517",0.34070796460177,0,0.389380530973451,0.367256637168142,0.407079646017699,0.407079646017699,0.407079646017699,0.433628318584071,0.460176991150442,0.433628318584071,0.424778761061947,0.429203539823009,0.424778761061947,0.433628318584071,0.420353982300885,0.433628318584071,0.415929203539823,0.411504424778761,0.411504424778761,0.398230088495575,0.384955752212389,0.389380530973451,0.393805309734513,0.389380530973451,0.389380530973451,0.389380530973451,0.389380530973451,0.389380530973451,0.389380530973451,0.353982300884956,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.358407079646018,0.36283185840708,0.36283185840708,0.36283185840708,0.36283185840708,0.36283185840708,0.389380530973451,0.353982300884956,0.353982300884956,0.358407079646018,0.358407079646018,0.358407079646018,0.371681415929204,0.367256637168142,0.349557522123894,0.358407079646018,0.358407079646018,0.367256637168142,0.367256637168142,0.367256637168142,0.367256637168142,0.367256637168142,0.393805309734513,0.389380530973451,0.398230088495575,0.402654867256637,0.384955752212389,0.380530973451327,0.380530973451327,0.380530973451327,0.384955752212389,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.376106194690265,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.384955752212389,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327,0.380530973451327
"KU697313",0.376106194690265,0.389380530973451,0,0.13716814159292,0.15929203539823,0.154867256637168,0.15929203539823,0.420353982300885,0.535398230088496,0.486725663716814,0.446902654867257,0.415929203539823,0.433628318584071,0.424778761061947,0.429203539823009,0.424778761061947,0.424778761061947,0.429203539823009,0.429203539823009,0.438053097345133,0.424778761061947,0.424778761061947,0.429203539823009,0.424778761061947,0.424778761061947,0.424778761061947,0.424778761061947,0.424778761061947,0.424778761061947,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.442477876106195,0.451327433628319,0.451327433628319,0.455752212389381,0.455752212389381,0.455752212389381,0.464601769911504,0.451327433628319,0.451327433628319,0.455752212389381,0.455752212389381,0.460176991150442,0.460176991150442,0.460176991150442,0.460176991150442,0.460176991150442,0.442477876106195,0.438053097345133,0.446902654867257,0.442477876106195,0.455752212389381,0.451327433628319,0.451327433628319,0.451327433628319,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.451327433628319,0.455752212389381,0.455752212389381,0.451327433628319,0.460176991150442,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381,0.455752212389381
"AY800279",0.36283185840708,0.367256637168142,0.13716814159292,0,0.146017699115044,0.128318584070796,0.132743362831858,0.415929203539823,0.495575221238938,0.455752212389381,0.420353982300885,0.415929203539823,0.420353982300885,0.415929203539823,0.420353982300885,0.415929203539823,0.380530973451327,0.384955752212389,0.384955752212389,0.420353982300885,0.411504424778761,0.411504424778761,0.415929203539823,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.424778761061947,0.429203539823009,0.429203539823009,0.433628318584071,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.411504424778761,0.407079646017699,0.415929203539823,0.411504424778761,0.429203539823009,0.424778761061947,0.424778761061947,0.424778761061947,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.433628318584071,0.433628318584071,0.429203539823009,0.429203539823009,0.424778761061947,0.433628318584071,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009
"LC155795",0.420353982300885,0.407079646017699,0.15929203539823,0.146017699115044,0,0.150442477876106,0.154867256637168,0.402654867256637,0.486725663716814,0.464601769911504,0.411504424778761,0.376106194690265,0.380530973451327,0.380530973451327,0.384955752212389,0.380530973451327,0.389380530973451,0.393805309734513,0.393805309734513,0.411504424778761,0.420353982300885,0.415929203539823,0.420353982300885,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.424778761061947,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.393805309734513,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.424778761061947,0.429203539823009,0.429203539823009,0.438053097345133,0.433628318584071,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.433628318584071,0.429203539823009,0.438053097345133,0.433628318584071,0.47787610619469,0.473451327433628,0.473451327433628,0.473451327433628,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.473451327433628,0.47787610619469,0.47787610619469,0.473451327433628,0.482300884955752,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469,0.47787610619469
"KT717325",0.389380530973451,0.407079646017699,0.154867256637168,0.128318584070796,0.150442477876106,0,0.0132743362831858,0.420353982300885,0.473451327433628,0.424778761061947,0.433628318584071,0.433628318584071,0.446902654867257,0.424778761061947,0.438053097345133,0.424778761061947,0.376106194690265,0.380530973451327,0.380530973451327,0.402654867256637,0.402654867256637,0.411504424778761,0.407079646017699,0.402654867256637,0.402654867256637,0.402654867256637,0.402654867256637,0.402654867256637,0.402654867256637,0.398230088495575,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.464601769911504,0.438053097345133,0.438053097345133,0.442477876106195,0.442477876106195,0.442477876106195,0.433628318584071,0.433628318584071,0.438053097345133,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.420353982300885,0.424778761061947,0.424778761061947,0.420353982300885,0.446902654867257,0.442477876106195,0.442477876106195,0.442477876106195,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.433628318584071,0.442477876106195,0.438053097345133,0.438053097345133,0.442477876106195,0.442477876106195,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133,0.438053097345133
"KU159093",0.384955752212389,0.407079646017699,0.15929203539823,0.132743362831858,0.154867256637168,0.0132743362831858,0,0.415929203539823,0.486725663716814,0.433628318584071,0.446902654867257,0.429203539823009,0.451327433628319,0.429203539823009,0.433628318584071,0.429203539823009,0.371681415929204,0.376106194690265,0.376106194690265,0.407079646017699,0.407079646017699,0.415929203539823,0.411504424778761,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.407079646017699,0.402654867256637,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.469026548672566,0.442477876106195,0.442477876106195,0.446902654867257,0.446902654867257,0.446902654867257,0.438053097345133,0.438053097345133,0.442477876106195,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.424778761061947,0.429203539823009,0.429203539823009,0.424778761061947,0.451327433628319,0.446902654867257,0.446902654867257,0.446902654867257,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.438053097345133,0.446902654867257,0.442477876106195,0.442477876106195,0.446902654867257,0.446902654867257,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195,0.442477876106195
"KX196173",0.393805309734513,0.433628318584071,0.420353982300885,0.415929203539823,0.402654867256637,0.420353982300885,0.415929203539823,0,0.393805309734513,0.349557522123894,0.31858407079646,0.283185840707965,0.283185840707965,0.287610619469027,0.283185840707965,0.287610619469027,0.411504424778761,0.407079646017699,0.407079646017699,0.438053097345133,0.420353982300885,0.420353982300885,0.424778761061947,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.420353982300885,0.389380530973451,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.393805309734513,0.398230088495575,0.407079646017699,0.407079646017699,0.402654867256637,0.402654867256637,0.402654867256637,0.407079646017699,0.402654867256637,0.411504424778761,0.415929203539823,0.407079646017699,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.415929203539823,0.420353982300885,0.420353982300885,0.424778761061947,0.415929203539823,0.411504424778761,0.411504424778761,0.411504424778761,0.420353982300885,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.411504424778761,0.415929203539823,0.415929203539823,0.411504424778761,0.420353982300885,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823,0.415929203539823
"MF978248",0.411504424778761,0.460176991150442,0.535398230088496,0.495575221238938,0.486725663716814,0.473451327433628,0.486725663716814,0.393805309734513,0,0.336283185840708,0.367256637168142,0.353982300884956,0.353982300884956,0.336283185840708,0.345132743362832,0.336283185840708,0.438053097345133,0.442477876106195,0.442477876106195,0.389380530973451,0.398230088495575,0.407079646017699,0.402654867256637,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.398230088495575,0.429203539823009,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.438053097345133,0.429203539823009,0.429203539823009,0.424778761061947,0.424778761061947,0.424778761061947,0.415929203539823,0.429203539823009,0.424778761061947,0.420353982300885,0.420353982300885,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.429203539823009,0.438053097345133,0.442477876106195,0.442477876106195,0.442477876106195,0.455752212389381,0.451327433628319,0.451327433628319,0.451327433628319,0.455752212389381,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.455752212389381,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319,0.451327433628319
"JX524226",0.380530973451327,0.433628318584071,0.486725663716814,0.455752212389381,0.464601769911504,0.424778761061947,0.433628318584071,0.349557522123894,0.336283185840708,0,0.323008849557522,0.384955752212389,0.389380530973451,0.376106194690265,0.380530973451327,0.376106194690265,0.473451327433628,0.469026548672566,0.469026548672566,0.389380530973451,0.380530973451327,0.393805309734513,0.380530973451327,0.384955752212389,0.384955752212389,0.384955752212389,0.384955752212389,0.384955752212389,0.384955752212389,0.407079646017699,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.411504424778761,0.438053097345133,0.429203539823009,0.429203539823009,0.424778761061947,0.424778761061947,0.424778761061947,0.429203539823009,0.429203539823009,0.429203539823009,0.433628318584071,0.424778761061947,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.433628318584071,0.446902654867257,0.451327433628319,0.451327433628319,0.455752212389381,0.451327433628319,0.446902654867257,0.446902654867257,0.446902654867257,0.451327433628319,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.442477876106195,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257,0.446902654867257
