"","D29630.1","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","SRR11190802C","KP090203","AY366207","SRR11190798C","SRR11190801C","SRR11603189C","SRR11603187C","SRR11603183B","SRR11603184B","MG210801","SRR11190800B","SRR11190791B","SRR11190802D","SRR11190801D","SRR11190798D","SRR11190795D","JF930327","SRR11603182B","SRR11603184C","SRR11603183C","SRR11190793B","SRR11190796D","SRR11190797D","SRR11603191C","SRR11603189D","SRR11603187D","SRR11603186C","SRR11603190C","KM288845","SRR11190798B","SRR11190801B","SRR11190802B","SRR11190796B","SRR11190797B","AY366208","KM288844","JF930326","KM288843","KM288842","SRR11603191B","SRR11603189B","SRR11603187B","SRR11603186B","SRR11603190B","JF937699","KM288846","KX883791","KM288847","15H03_cons","19JSF_sty","15H04_cons","15H06_cons","LC128411","SRR11603186A","SRR11603190A","SRR11603191A","SRR11603187A","SRR11603189A","SRR11190793A","KM365479","SRR11190792A","SRR11603183A","SRR11190795A","AF308158","SRR11190802A","SRR11190796A","SRR11190797A","SRR11603184A","SRR11603182A","SRR11190798A","SRR11190801A","SRR11190799A","SRR11190791A"
"D29630.1",0,0.437299035369775,0.418006430868167,0.421221864951768,0.421221864951768,0.421221864951768,0.418006430868167,0.463022508038585,0.463022508038585,0.437299035369775,0.453376205787781,0.446945337620579,0.446945337620579,0.437299035369775,0.453376205787781,0.440514469453376,0.42443729903537,0.42443729903537,0.42443729903537,0.430868167202572,0.418006430868167,0.414790996784566,0.418006430868167,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.440514469453376,0.446945337620579,0.446945337620579,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.453376205787781,0.440514469453376,0.440514469453376,0.430868167202572,0.437299035369775,0.437299035369775,0.437299035369775,0.434083601286174,0.443729903536977,0.437299035369775,0.430868167202572,0.427652733118971,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.411575562700965,0.408360128617363,0.411575562700965,0.414790996784566,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.405144694533762,0.411575562700965,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363
"LC107517",0.437299035369775,0,0.385852090032154,0.395498392282958,0.405144694533762,0.398713826366559,0.401929260450161,0.437299035369775,0.440514469453376,0.395498392282958,0.382636655948553,0.421221864951768,0.421221864951768,0.421221864951768,0.411575562700965,0.418006430868167,0.421221864951768,0.421221864951768,0.421221864951768,0.408360128617363,0.411575562700965,0.408360128617363,0.411575562700965,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.414790996784566,0.414790996784566,0.414790996784566,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.385852090032154,0.398713826366559,0.398713826366559,0.385852090032154,0.392282958199357,0.392282958199357,0.395498392282958,0.398713826366559,0.395498392282958,0.389067524115756,0.392282958199357,0.389067524115756,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.385852090032154,0.385852090032154,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.389067524115756,0.385852090032154,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553
"KU697313",0.418006430868167,0.385852090032154,0,0.12540192926045,0.154340836012862,0.128617363344051,0.135048231511254,0.440514469453376,0.453376205787781,0.453376205787781,0.385852090032154,0.418006430868167,0.414790996784566,0.408360128617363,0.414790996784566,0.405144694533762,0.437299035369775,0.440514469453376,0.440514469453376,0.395498392282958,0.408360128617363,0.405144694533762,0.408360128617363,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.392282958199357,0.385852090032154,0.385852090032154,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.392282958199357,0.37620578778135,0.37620578778135,0.379421221864952,0.382636655948553,0.382636655948553,0.392282958199357,0.382636655948553,0.385852090032154,0.382636655948553,0.385852090032154,0.37620578778135,0.37620578778135,0.37620578778135,0.37620578778135,0.37620578778135,0.389067524115756,0.392282958199357,0.389067524115756,0.392282958199357,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.385852090032154,0.389067524115756,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357
"AY800279",0.421221864951768,0.395498392282958,0.12540192926045,0,0.144694533762058,0.154340836012862,0.160771704180064,0.453376205787781,0.453376205787781,0.443729903536977,0.411575562700965,0.434083601286174,0.434083601286174,0.427652733118971,0.434083601286174,0.42443729903537,0.437299035369775,0.440514469453376,0.440514469453376,0.408360128617363,0.427652733118971,0.42443729903537,0.427652733118971,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.401929260450161,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.421221864951768,0.411575562700965,0.411575562700965,0.408360128617363,0.411575562700965,0.411575562700965,0.414790996784566,0.408360128617363,0.414790996784566,0.414790996784566,0.418006430868167,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.405144694533762,0.398713826366559,0.405144694533762,0.42443729903537,0.42443729903537,0.42443729903537,0.427652733118971,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.414790996784566,0.421221864951768,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167
"LC155795",0.421221864951768,0.405144694533762,0.154340836012862,0.144694533762058,0,0.160771704180064,0.154340836012862,0.440514469453376,0.434083601286174,0.430868167202572,0.389067524115756,0.427652733118971,0.430868167202572,0.418006430868167,0.414790996784566,0.414790996784566,0.411575562700965,0.418006430868167,0.418006430868167,0.408360128617363,0.418006430868167,0.414790996784566,0.418006430868167,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.405144694533762,0.395498392282958,0.395498392282958,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.427652733118971,0.414790996784566,0.414790996784566,0.401929260450161,0.408360128617363,0.408360128617363,0.418006430868167,0.408360128617363,0.414790996784566,0.405144694533762,0.408360128617363,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.398713826366559,0.398713826366559,0.401929260450161,0.401929260450161,0.395498392282958,0.395498392282958,0.395498392282958,0.398713826366559,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.398713826366559,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958
"KT717325",0.421221864951768,0.398713826366559,0.128617363344051,0.154340836012862,0.160771704180064,0,0.0128617363344051,0.437299035369775,0.459807073954984,0.453376205787781,0.405144694533762,0.421221864951768,0.421221864951768,0.430868167202572,0.430868167202572,0.427652733118971,0.421221864951768,0.42443729903537,0.42443729903537,0.408360128617363,0.42443729903537,0.414790996784566,0.42443729903537,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.395498392282958,0.389067524115756,0.389067524115756,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.418006430868167,0.405144694533762,0.405144694533762,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.411575562700965,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.392282958199357,0.392282958199357,0.392282958199357,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.392282958199357,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.389067524115756,0.392282958199357,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958
"KU159093",0.418006430868167,0.401929260450161,0.135048231511254,0.160771704180064,0.154340836012862,0.0128617363344051,0,0.437299035369775,0.45016077170418,0.459807073954984,0.401929260450161,0.427652733118971,0.427652733118971,0.437299035369775,0.437299035369775,0.434083601286174,0.418006430868167,0.421221864951768,0.421221864951768,0.418006430868167,0.427652733118971,0.418006430868167,0.427652733118971,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.395498392282958,0.389067524115756,0.389067524115756,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.418006430868167,0.401929260450161,0.401929260450161,0.405144694533762,0.405144694533762,0.405144694533762,0.411575562700965,0.405144694533762,0.408360128617363,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.408360128617363,0.398713826366559,0.398713826366559,0.398713826366559,0.395498392282958,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.392282958199357,0.395498392282958,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559
"KX196173",0.463022508038585,0.437299035369775,0.440514469453376,0.453376205787781,0.440514469453376,0.437299035369775,0.437299035369775,0,0.385852090032154,0.392282958199357,0.398713826366559,0.389067524115756,0.389067524115756,0.392282958199357,0.398713826366559,0.389067524115756,0.440514469453376,0.446945337620579,0.446945337620579,0.421221864951768,0.418006430868167,0.421221864951768,0.418006430868167,0.42443729903537,0.42443729903537,0.42443729903537,0.42443729903537,0.42443729903537,0.42443729903537,0.430868167202572,0.437299035369775,0.437299035369775,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.430868167202572,0.434083601286174,0.434083601286174,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.437299035369775,0.443729903536977,0.437299035369775,0.437299035369775,0.437299035369775,0.437299035369775,0.437299035369775,0.414790996784566,0.418006430868167,0.418006430868167,0.418006430868167,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.411575562700965,0.401929260450161,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762
"MF978248",0.463022508038585,0.440514469453376,0.453376205787781,0.453376205787781,0.434083601286174,0.459807073954984,0.45016077170418,0.385852090032154,0,0.366559485530547,0.356913183279743,0.347266881028939,0.340836012861736,0.337620578778135,0.331189710610932,0.334405144694534,0.430868167202572,0.440514469453376,0.440514469453376,0.408360128617363,0.437299035369775,0.427652733118971,0.437299035369775,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.411575562700965,0.42443729903537,0.42443729903537,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.405144694533762,0.418006430868167,0.418006430868167,0.408360128617363,0.414790996784566,0.414790996784566,0.411575562700965,0.411575562700965,0.421221864951768,0.414790996784566,0.414790996784566,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.414790996784566,0.414790996784566,0.414790996784566,0.418006430868167,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.395498392282958,0.395498392282958,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357
"JX524226",0.437299035369775,0.395498392282958,0.453376205787781,0.443729903536977,0.430868167202572,0.453376205787781,0.459807073954984,0.392282958199357,0.366559485530547,0,0.37620578778135,0.379421221864952,0.37620578778135,0.372990353697749,0.379421221864952,0.369774919614148,0.440514469453376,0.443729903536977,0.443729903536977,0.42443729903537,0.430868167202572,0.427652733118971,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.418006430868167,0.421221864951768,0.421221864951768,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.42443729903537,0.434083601286174,0.434083601286174,0.430868167202572,0.430868167202572,0.430868167202572,0.421221864951768,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.427652733118971,0.42443729903537,0.42443729903537,0.42443729903537,0.42443729903537,0.408360128617363,0.408360128617363,0.408360128617363,0.411575562700965,0.408360128617363,0.408360128617363,0.408360128617363,0.411575562700965,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.398713826366559,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958
