,Clover_yellow_mosaic_virus,Hydrangea_ringspot_virus,Plantago_asiatica_mosaic_virus_KU697313,Nandina_mosaic_virus,Plantago_asiatica_mosaic_virus_LC155795,Plantago_asiatica_mosaic_virus_KT717325,Plantago_asiatica_mosaic_virus_KU159093,Senna_mosaic_virus,Babaco_mosaic_virus,Papaya_mosaic_virus,Alternanthera_mosaic_virus_LC107515,Alternanthera_mosaic_virus_MH423501,Alternanthera_mosaic_virus_FJ822136,Alternanthera_mosaic_virus_GQ179646,Alternanthera_mosaic_virus_AY863024,Alternanthera_mosaic_virus_GQ179647,Opuntia_virus_Strain_CC10,Opuntia_virus_X_KY348771,Opuntia_virus_X_KU854931,Schlumbergera_virus_X_KU854929,SRR11190802_Plant_DH-1_NC_011659,Schlumbergera_virus_X_KP090203,Schlumbergera_virus_X_Strain_K11,SRR11190798_Plant_DH-3_NC_011659,SRR11190801_Plant_DH-2_NC_011659,SRR11603189_RR-peel-3_NC_011659,SRR11603187_RR-pulp-2_NC_011659,SRR11603183_GW-peel-2_NC_011659,SRR11603184_GW-peel-1_NC_011659,MG210801,SRR11190800_Plant_BSJ-2_NC_024458,SRR11190791_Plant_BSJ-1_NC_024458,SRR11190799_Plant_BSJ-3_NC_024458,SRR11190802_Plant_DH-1_NC_024458,SRR11190801_Plant_DH-2_NC_024458,SRR11190798_Plant_DH-3_NC_024458,SRR11190795_Plant_FR-3_NC_024458,Pitaya_virus_X,SRR11603182_GW-peel-3_NC_024458,SRR11603184_GW-peel-1_NC_024458,SRR11603183_GW-peel-2_NC_024458,SRR11190793_Plant_BR-2_NC_024458,SRR11190796_Plant_FR-2_NC_024458,SRR11190797_Plant_FR-1_NC_024458,SRR11603191_RR-peel-1_NC_024458,SRR11603189_RR-peel-3_NC_024458,SRR11603187_RR-pulp-2_NC_024458,SRR11603186_RR-pulp-3_NC_024458,SRR11603190_RR-peel-2_NC_024458,KM288845,SRR11190798_Plant_DH-3_NC_006059,SRR11190801_Plant_DH-2_NC_006059,SRR11190802_Plant_DH-1_NC_006059,SRR11190796_Plant_FR-2_NC_006059,SRR11190797_Plant_FR-1_NC_006059,Zygocactus_virus_X_Strain_B1,KM288844,Zygocactus_virus_X_JF930326.1,KM288843,KM288842,SRR11603191_RR-peel-1_NC_006059,SRR11603189_RR-peel-3_NC_006059,SRR11603187_RR-pulp-2_NC_006059,SRR11603186_RR-pulp-3_NC_006059,SRR11603190_RR-peel-2_NC_006059,Cactus_virus_X_JF937699.1,Cactus_virus_X_KM288846.1,Cactus_virus_X_SCM51431,Cactus_virus_X_KM288847.1,Schlumbergera_truncata_15H03_cons,Schlumbergera_truncata_19JSF_sty_NC_002815,Schlumbergera_truncata_15H04_cons,Schlumbergera_truncata_15H06_cons,Cactus_virus_X_LC128411.1,SRR11603186_RR-pulp-3_NC_002815,SRR11603190_RR-peel-2_NC_002815,SRR11603191_RR-peel-1_NC_002815,SRR11603187_RR-pulp-2_NC_002815,SRR11603189_RR-peel-3_NC_002815,SRR11190793_Plant_BR-2_NC_002815,Cactus_virus_X_KM365479.1,SRR11190792_Plant_BR-3_NC_002815,SRR11603183_GW-peel-2_NC_002815,SRR11190795_Plant_FR-3_NC_002815,Cactus_virus_X_AF308158.2,SRR11190802_Plant_DH-1_NC_002815,SRR11190796_Plant_FR-2_NC_002815,SRR11190797_Plant_FR-1_NC_002815,SRR11603184_GW-peel-1_NC_002815,SRR11603182_GW-peel-3_NC_002815,SRR11190798_Plant_DH-3_NC_002815,SRR11190801_Plant_DH-2_NC_002815,SRR11190799_Plant_BSJ-3_NC_002815,SRR11190791_Plant_BSJ-1_NC_002815,SRR11190800_Plant_BSJ-2_NC_002815
Clover_yellow_mosaic_virus,0,0.399038462,0.466346154,0.46875,0.466346154,0.461538462,0.461538462,0.420673077,0.432692308,0.447115385,0.399038462,0.408653846,0.403846154,0.403846154,0.408653846,0.403846154,0.425480769,0.418269231,0.418269231,0.439903846,0.432692308,0.439903846,0.442307692,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.435096154,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.463942308,0.454326923,0.454326923,0.456730769,0.454326923,0.454326923,0.447115385,0.451923077,0.456730769,0.456730769,0.461538462,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.439903846,0.439903846,0.4375,0.4375,0.442307692,0.439903846,0.435096154,0.435096154,0.444711538,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.439903846,0.442307692,0.442307692,0.442307692,0.454326923,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692
Hydrangea_ringspot_virus,0.399038462,0,0.401442308,0.391826923,0.403846154,0.384615385,0.384615385,0.415865385,0.444711538,0.423076923,0.403846154,0.403846154,0.403846154,0.396634615,0.396634615,0.394230769,0.403846154,0.387019231,0.387019231,0.408653846,0.403846154,0.411057692,0.413461538,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.413461538,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.442307692,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.423076923,0.435096154,0.432692308,0.432692308,0.432692308,0.430288462,0.430288462,0.430288462,0.430288462,0.430288462,0.40625,0.399038462,0.403846154,0.40625,0.396634615,0.399038462,0.394230769,0.394230769,0.40625,0.403846154,0.403846154,0.403846154,0.403846154,0.403846154,0.401442308,0.399038462,0.401442308,0.401442308,0.401442308,0.40625,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308
Plantago_asiatica_mosaic_virus_KU697313,0.466346154,0.401442308,0,0.149038462,0.15625,0.134615385,0.134615385,0.425480769,0.432692308,0.471153846,0.4375,0.447115385,0.444711538,0.447115385,0.442307692,0.447115385,0.471153846,0.46875,0.46875,0.449519231,0.466346154,0.463942308,0.459134615,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.456730769,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.461538462,0.459134615,0.459134615,0.459134615,0.463942308,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.451923077,0.454326923,0.454326923,0.456730769,0.454326923,0.454326923,0.444711538,0.456730769,0.456730769,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.451923077,0.456730769,0.456730769,0.456730769,0.461538462,0.463942308,0.459134615,0.459134615,0.471153846,0.46875,0.46875,0.46875,0.46875,0.46875,0.466346154,0.463942308,0.466346154,0.466346154,0.466346154,0.473557692,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154
Nandina_mosaic_virus,0.46875,0.391826923,0.149038462,0,0.115384615,0.141826923,0.141826923,0.449519231,0.435096154,0.461538462,0.451923077,0.442307692,0.442307692,0.442307692,0.444711538,0.4375,0.449519231,0.454326923,0.454326923,0.459134615,0.461538462,0.463942308,0.461538462,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.473557692,0.478365385,0.478365385,0.478365385,0.478365385,0.478365385,0.478365385,0.478365385,0.480769231,0.478365385,0.478365385,0.478365385,0.485576923,0.478365385,0.478365385,0.480769231,0.480769231,0.480769231,0.480769231,0.480769231,0.456730769,0.461538462,0.461538462,0.459134615,0.454326923,0.454326923,0.444711538,0.459134615,0.456730769,0.451923077,0.451923077,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.459134615,0.451923077,0.463942308,0.459134615,0.456730769,0.456730769,0.451923077,0.451923077,0.463942308,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.459134615,0.456730769,0.459134615,0.459134615,0.459134615,0.463942308,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615
Plantago_asiatica_mosaic_virus_LC155795,0.466346154,0.403846154,0.15625,0.115384615,0,0.151442308,0.151442308,0.444711538,0.439903846,0.451923077,0.451923077,0.447115385,0.451923077,0.447115385,0.447115385,0.449519231,0.466346154,0.463942308,0.463942308,0.449519231,0.454326923,0.451923077,0.449519231,0.451923077,0.451923077,0.451923077,0.451923077,0.451923077,0.451923077,0.456730769,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.463942308,0.461538462,0.461538462,0.461538462,0.46875,0.461538462,0.461538462,0.459134615,0.459134615,0.459134615,0.459134615,0.459134615,0.444711538,0.447115385,0.447115385,0.451923077,0.447115385,0.447115385,0.4375,0.442307692,0.444711538,0.447115385,0.447115385,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.459134615,0.456730769,0.461538462,0.459134615,0.447115385,0.447115385,0.442307692,0.442307692,0.451923077,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.447115385,0.449519231,0.449519231,0.449519231,0.461538462,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231
Plantago_asiatica_mosaic_virus_KT717325,0.461538462,0.384615385,0.134615385,0.141826923,0.151442308,0,0,0.451923077,0.480769231,0.46875,0.459134615,0.456730769,0.456730769,0.459134615,0.456730769,0.454326923,0.466346154,0.46875,0.46875,0.463942308,0.46875,0.471153846,0.46875,0.471153846,0.471153846,0.471153846,0.471153846,0.471153846,0.471153846,0.46875,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.466346154,0.463942308,0.463942308,0.463942308,0.46875,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.451923077,0.447115385,0.447115385,0.447115385,0.449519231,0.449519231,0.439903846,0.444711538,0.451923077,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.456730769,0.454326923,0.451923077,0.447115385,0.451923077,0.449519231,0.449519231,0.459134615,0.456730769,0.456730769,0.456730769,0.456730769,0.456730769,0.454326923,0.451923077,0.454326923,0.454326923,0.454326923,0.461538462,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923
Plantago_asiatica_mosaic_virus_KU159093,0.461538462,0.384615385,0.134615385,0.141826923,0.151442308,0,0,0.451923077,0.480769231,0.46875,0.459134615,0.456730769,0.456730769,0.459134615,0.456730769,0.454326923,0.466346154,0.46875,0.46875,0.463942308,0.46875,0.471153846,0.46875,0.471153846,0.471153846,0.471153846,0.471153846,0.471153846,0.471153846,0.46875,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.463942308,0.466346154,0.463942308,0.463942308,0.463942308,0.46875,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.466346154,0.451923077,0.447115385,0.447115385,0.447115385,0.449519231,0.449519231,0.439903846,0.444711538,0.451923077,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.449519231,0.456730769,0.454326923,0.451923077,0.447115385,0.451923077,0.449519231,0.449519231,0.459134615,0.456730769,0.456730769,0.456730769,0.456730769,0.456730769,0.454326923,0.451923077,0.454326923,0.454326923,0.454326923,0.461538462,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923,0.454326923
Senna_mosaic_virus,0.420673077,0.415865385,0.425480769,0.449519231,0.444711538,0.451923077,0.451923077,0,0.247596154,0.223557692,0.221153846,0.237980769,0.242788462,0.237980769,0.235576923,0.240384615,0.423076923,0.425480769,0.425480769,0.411057692,0.425480769,0.423076923,0.418269231,0.425480769,0.425480769,0.425480769,0.425480769,0.425480769,0.425480769,0.40625,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.413461538,0.413461538,0.413461538,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.418269231,0.415865385,0.415865385,0.413461538,0.408653846,0.408653846,0.401442308,0.413461538,0.411057692,0.40625,0.411057692,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.403846154,0.403846154,0.408653846,0.40625,0.423076923,0.425480769,0.427884615,0.427884615,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.420673077,0.423076923,0.423076923,0.423076923,0.432692308,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923
Babaco_mosaic_virus,0.432692308,0.444711538,0.432692308,0.435096154,0.439903846,0.480769231,0.480769231,0.247596154,0,0.233173077,0.223557692,0.247596154,0.254807692,0.252403846,0.252403846,0.252403846,0.432692308,0.430288462,0.430288462,0.430288462,0.432692308,0.430288462,0.425480769,0.432692308,0.432692308,0.432692308,0.432692308,0.432692308,0.432692308,0.418269231,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.423076923,0.427884615,0.420673077,0.420673077,0.425480769,0.425480769,0.425480769,0.425480769,0.425480769,0.425480769,0.413461538,0.413461538,0.413461538,0.413461538,0.413461538,0.40625,0.415865385,0.415865385,0.415865385,0.418269231,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.425480769,0.432692308,0.427884615,0.423076923,0.442307692,0.439903846,0.4375,0.4375,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.439903846,0.442307692,0.442307692,0.442307692,0.451923077,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692,0.442307692
Papaya_mosaic_virus,0.447115385,0.423076923,0.471153846,0.461538462,0.451923077,0.46875,0.46875,0.223557692,0.233173077,0,0.194711538,0.209134615,0.206730769,0.211538462,0.209134615,0.211538462,0.427884615,0.430288462,0.430288462,0.432692308,0.432692308,0.430288462,0.430288462,0.432692308,0.432692308,0.432692308,0.432692308,0.432692308,0.432692308,0.391826923,0.399038462,0.399038462,0.399038462,0.399038462,0.399038462,0.399038462,0.399038462,0.399038462,0.399038462,0.399038462,0.399038462,0.40625,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.40625,0.415865385,0.415865385,0.413461538,0.411057692,0.411057692,0.408653846,0.408653846,0.413461538,0.413461538,0.415865385,0.413461538,0.413461538,0.413461538,0.413461538,0.413461538,0.435096154,0.432692308,0.435096154,0.430288462,0.423076923,0.423076923,0.418269231,0.418269231,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.418269231,0.420673077,0.420673077,0.420673077,0.427884615,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077
