"","Clover_yellow_mosaic_virus","Hydrangea_ringspot_virus","Plantago_asiatica_mosaic_virus__KU697313","Nandina_mosaic_virus","Plantago_asiatica_mosaic_virus__LC155795","Plantago_asiatica_mosaic_virus__KT717325","Plantago_asiatica_mosaic_virus__KU159093","Senna_mosaic_virus","Babaco_mosaic_virus","Papaya_mosaic_virus","Alternanthera_mosaic_virus__LC107515","Alternanthera_mosaic_virus__MH423501","Alternanthera_mosaic_virus__FJ822136","Alternanthera_mosaic_virus__GQ179646","Alternanthera_mosaic_virus__AY863024","Alternanthera_mosaic_virus__GQ179647","Opuntia_virus__Strain_CC10","Opuntia_virus_X__KY348771","Opuntia_virus_X__KU854931","Schlumbergera_virus_X__KU854929","SRR11190802_Plant__DH-1_NC_011659","Schlumbergera_virus_X__KP090203","Schlumbergera_virus_X__Strain_K11","SRR11190798_Plant__DH-3_NC_011659","SRR11190801_Plant__DH-2_NC_011659","SRR11603189_RR-peel-3_NC_011659","SRR11603187_RR-pulp-2_NC_011659","SRR11603183_GW-peel-2_NC_011659","SRR11603184_GW-peel-1_NC_011659","MG210801","SRR11190800_Plant__BSJ-2_NC_024458","SRR11190791_Plant__BSJ-1_NC_024458","SRR11190799_Plant__BSJ-3_NC_024458","SRR11190802_Plant__DH-1_NC_024458","SRR11190801_Plant__DH-2_NC_024458","SRR11190798_Plant__DH-3_NC_024458","SRR11190795_Plant__FR-3_NC_024458","Pitaya_virus_X","SRR11603182_GW-peel-3_NC_024458","SRR11603184_GW-peel-1_NC_024458","SRR11603183_GW-peel-2_NC_024458","SRR11190793_Plant__BR-2_NC_024458","SRR11190796_Plant__FR-2_NC_024458","SRR11190797_Plant__FR-1_NC_024458","SRR11603191_RR-peel-1_NC_024458","SRR11603189_RR-peel-3_NC_024458","SRR11603187_RR-pulp-2_NC_024458","SRR11603186_RR-pulp-3_NC_024458","SRR11603190_RR-peel-2_NC_024458","KM288845","SRR11190798_Plant__DH-3_NC_006059","SRR11190801_Plant__DH-2_NC_006059","SRR11190802_Plant__DH-1_NC_006059","SRR11190796_Plant__FR-2_NC_006059","SRR11190797_Plant__FR-1_NC_006059","Zygocactus_virus_X__Strain_B1","KM288844","Zygocactus_virus_X__JF930326.1","KM288843","KM288842","SRR11603191_RR-peel-1_NC_006059","SRR11603189_RR-peel-3_NC_006059","SRR11603187_RR-pulp-2_NC_006059","SRR11603186_RR-pulp-3_NC_006059","SRR11603190_RR-peel-2_NC_006059","Cactus_virus_X__JF937699.1","Cactus_virus_X__KM288846.1","Cactus_virus_X__SCM51431","Cactus_virus_X__KM288847.1","Schlumbergera_truncata_15H03__cons","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_15H04__cons","Schlumbergera_truncata_15H06__cons","Cactus_virus_X__LC128411.1","SRR11603186_RR-pulp-3_NC_002815","SRR11603190_RR-peel-2_NC_002815","SRR11603191_RR-peel-1_NC_002815","SRR11603187_RR-pulp-2_NC_002815","SRR11603189_RR-peel-3_NC_002815","SRR11190793_Plant__BR-2_NC_002815","Cactus_virus_X__KM365479.1","SRR11190792_Plant__BR-3_NC_002815","SRR11603183_GW-peel-2_NC_002815","SRR11190795_Plant__FR-3_NC_002815","Cactus_virus_X__AF308158.2","SRR11190802_Plant__DH-1_NC_002815","SRR11190796_Plant__FR-2_NC_002815","SRR11190797_Plant__FR-1_NC_002815","SRR11603184_GW-peel-1_NC_002815","SRR11603182_GW-peel-3_NC_002815","SRR11190798_Plant__DH-3_NC_002815","SRR11190801_Plant__DH-2_NC_002815","SRR11190799_Plant__BSJ-3_NC_002815","SRR11190791_Plant__BSJ-1_NC_002815","SRR11190800_Plant__BSJ-2_NC_002815"
"Clover_yellow_mosaic_virus",0,0.524193548387097,0.612903225806452,0.564516129032258,0.588709677419355,0.612903225806452,0.588709677419355,0.57258064516129,0.612903225806452,0.612903225806452,0.564516129032258,0.532258064516129,0.540322580645161,0.532258064516129,0.540322580645161,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.548387096774194,0.540322580645161,0.548387096774194,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.556451612903226,0.540322580645161,0.540322580645161,0.540322580645161,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.588709677419355,0.588709677419355,0.580645161290323,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.596774193548387,0.588709677419355,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.604838709677419,0.604838709677419,0.604838709677419,0.596774193548387,0.629032258064516,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.629032258064516,0.629032258064516,0.629032258064516
"Hydrangea_ringspot_virus",0.524193548387097,0,0.629032258064516,0.548387096774194,0.604838709677419,0.604838709677419,0.612903225806452,0.604838709677419,0.620967741935484,0.516129032258065,0.540322580645161,0.548387096774194,0.564516129032258,0.564516129032258,0.580645161290323,0.564516129032258,0.604838709677419,0.604838709677419,0.604838709677419,0.645161290322581,0.629032258064516,0.637096774193548,0.637096774193548,0.629032258064516,0.629032258064516,0.629032258064516,0.629032258064516,0.629032258064516,0.629032258064516,0.57258064516129,0.580645161290323,0.580645161290323,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.548387096774194,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.588709677419355,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.580645161290323,0.580645161290323,0.580645161290323,0.57258064516129,0.564516129032258,0.57258064516129,0.57258064516129,0.57258064516129,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.580645161290323,0.580645161290323,0.580645161290323
"Plantago_asiatica_mosaic_virus__KU697313",0.612903225806452,0.629032258064516,0,0.217741935483871,0.169354838709677,0.17741935483871,0.185483870967742,0.637096774193548,0.661290322580645,0.604838709677419,0.588709677419355,0.620967741935484,0.620967741935484,0.637096774193548,0.637096774193548,0.637096774193548,0.483870967741935,0.491935483870968,0.491935483870968,0.491935483870968,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.459677419354839,0.475806451612903,0.475806451612903,0.475806451612903,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.524193548387097,0.540322580645161,0.540322580645161,0.524193548387097,0.540322580645161,0.540322580645161,0.532258064516129,0.540322580645161,0.540322580645161,0.548387096774194,0.540322580645161,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.548387096774194,0.548387096774194,0.548387096774194
"Nandina_mosaic_virus",0.564516129032258,0.548387096774194,0.217741935483871,0,0.25,0.217741935483871,0.233870967741935,0.629032258064516,0.645161290322581,0.612903225806452,0.556451612903226,0.596774193548387,0.596774193548387,0.596774193548387,0.596774193548387,0.596774193548387,0.508064516129032,0.516129032258065,0.516129032258065,0.483870967741935,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.411290322580645,0.435483870967742,0.435483870967742,0.435483870967742,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.532258064516129,0.548387096774194,0.548387096774194,0.532258064516129,0.548387096774194,0.548387096774194,0.540322580645161,0.548387096774194,0.548387096774194,0.556451612903226,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.516129032258065,0.516129032258065,0.516129032258065,0.524193548387097,0.556451612903226,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.532258064516129,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.548387096774194,0.548387096774194,0.548387096774194
"Plantago_asiatica_mosaic_virus__LC155795",0.588709677419355,0.604838709677419,0.169354838709677,0.25,0,0.169354838709677,0.17741935483871,0.620967741935484,0.612903225806452,0.604838709677419,0.596774193548387,0.57258064516129,0.556451612903226,0.588709677419355,0.596774193548387,0.588709677419355,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.491935483870968,0.5,0.5,0.5,0.5,0.5,0.491935483870968,0.5,0.5,0.508064516129032,0.5,0.491935483870968,0.491935483870968,0.491935483870968,0.491935483870968,0.491935483870968,0.508064516129032,0.508064516129032,0.508064516129032,0.5,0.540322580645161,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.516129032258065,0.516129032258065,0.516129032258065
"Plantago_asiatica_mosaic_virus__KT717325",0.612903225806452,0.604838709677419,0.17741935483871,0.217741935483871,0.169354838709677,0,0.0241935483870968,0.604838709677419,0.629032258064516,0.612903225806452,0.57258064516129,0.612903225806452,0.604838709677419,0.620967741935484,0.629032258064516,0.620967741935484,0.467741935483871,0.467741935483871,0.467741935483871,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.524193548387097,0.5,0.5,0.5,0.5,0.5,0.491935483870968,0.5,0.5,0.508064516129032,0.5,0.491935483870968,0.491935483870968,0.491935483870968,0.491935483870968,0.491935483870968,0.508064516129032,0.508064516129032,0.508064516129032,0.5,0.524193548387097,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.508064516129032,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.524193548387097,0.524193548387097,0.524193548387097
"Plantago_asiatica_mosaic_virus__KU159093",0.588709677419355,0.612903225806452,0.185483870967742,0.233870967741935,0.17741935483871,0.0241935483870968,0,0.604838709677419,0.653225806451613,0.620967741935484,0.580645161290323,0.604838709677419,0.612903225806452,0.612903225806452,0.620967741935484,0.612903225806452,0.475806451612903,0.475806451612903,0.475806451612903,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.42741935483871,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.532258064516129,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.5,0.508064516129032,0.508064516129032,0.516129032258065,0.508064516129032,0.5,0.5,0.5,0.5,0.5,0.524193548387097,0.524193548387097,0.524193548387097,0.516129032258065,0.540322580645161,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.524193548387097,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.540322580645161,0.540322580645161,0.540322580645161
"Senna_mosaic_virus",0.57258064516129,0.604838709677419,0.637096774193548,0.629032258064516,0.620967741935484,0.604838709677419,0.604838709677419,0,0.508064516129032,0.580645161290323,0.475806451612903,0.379032258064516,0.387096774193548,0.379032258064516,0.379032258064516,0.379032258064516,0.516129032258065,0.532258064516129,0.532258064516129,0.612903225806452,0.604838709677419,0.612903225806452,0.612903225806452,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.588709677419355,0.57258064516129,0.57258064516129,0.580645161290323,0.57258064516129,0.57258064516129,0.588709677419355,0.57258064516129,0.57258064516129,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.612903225806452,0.612903225806452,0.612903225806452,0.604838709677419,0.612903225806452,0.604838709677419,0.604838709677419,0.604838709677419,0.596774193548387,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.612903225806452,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419
"Babaco_mosaic_virus",0.612903225806452,0.620967741935484,0.661290322580645,0.645161290322581,0.612903225806452,0.629032258064516,0.653225806451613,0.508064516129032,0,0.604838709677419,0.524193548387097,0.540322580645161,0.508064516129032,0.532258064516129,0.524193548387097,0.532258064516129,0.57258064516129,0.580645161290323,0.580645161290323,0.548387096774194,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.556451612903226,0.57258064516129,0.57258064516129,0.564516129032258,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.564516129032258,0.57258064516129,0.564516129032258,0.564516129032258,0.564516129032258,0.564516129032258,0.564516129032258,0.556451612903226,0.556451612903226,0.556451612903226,0.564516129032258,0.564516129032258,0.556451612903226,0.556451612903226,0.556451612903226,0.548387096774194,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.548387096774194,0.548387096774194,0.548387096774194
"Papaya_mosaic_virus",0.612903225806452,0.516129032258065,0.604838709677419,0.612903225806452,0.604838709677419,0.612903225806452,0.620967741935484,0.580645161290323,0.604838709677419,0,0.556451612903226,0.596774193548387,0.612903225806452,0.588709677419355,0.612903225806452,0.588709677419355,0.516129032258065,0.508064516129032,0.508064516129032,0.588709677419355,0.57258064516129,0.580645161290323,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.564516129032258,0.57258064516129,0.57258064516129,0.57258064516129,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.516129032258065,0.540322580645161,0.540322580645161,0.524193548387097,0.540322580645161,0.540322580645161,0.516129032258065,0.540322580645161,0.540322580645161,0.532258064516129,0.540322580645161,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.524193548387097,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.548387096774194,0.548387096774194,0.548387096774194
