"","D29630.1","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","SRR11190802C","KP090203","AY366207","SRR11190798C","SRR11190801C","SRR11603189C","SRR11603187C","SRR11603183B","SRR11603184B","MG210801","SRR11190800B","SRR11190791B","SRR11190802D","SRR11190801D","SRR11190798D","SRR11190795D","JF930327","SRR11603182B","SRR11603184C","SRR11603183C","SRR11190793B","SRR11190796D","SRR11190797D","SRR11603191C","SRR11603189D","SRR11603187D","SRR11603186C","SRR11603190C","KM288845","SRR11190798B","SRR11190801B","SRR11190802B","SRR11190796B","SRR11190797B","AY366208","KM288844","JF930326","KM288843","KM288842","SRR11603191B","SRR11603189B","SRR11603187B","SRR11603186B","SRR11603190B","JF937699","KM288846","KX883791","KM288847","15H03_cons","19JSF_sty","15H04_cons","15H06_cons","LC128411","SRR11603186A","SRR11603190A","SRR11603191A","SRR11603187A","SRR11603189A","SRR11190793A","KM365479","SRR11190792A","SRR11603183A","SRR11190795A","AF308158","SRR11190802A","SRR11190796A","SRR11190797A","SRR11603184A","SRR11603182A","SRR11190798A","SRR11190801A","SRR11190799A","SRR11190791A","SRR11190800A"
"D29630.1",0,0.399038461538462,0.466346153846154,0.46875,0.466346153846154,0.461538461538462,0.461538461538462,0.420673076923077,0.432692307692308,0.447115384615385,0.399038461538462,0.408653846153846,0.403846153846154,0.403846153846154,0.408653846153846,0.403846153846154,0.425480769230769,0.418269230769231,0.418269230769231,0.439903846153846,0.432692307692308,0.439903846153846,0.442307692307692,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.435096153846154,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.463942307692308,0.454326923076923,0.454326923076923,0.456730769230769,0.454326923076923,0.454326923076923,0.447115384615385,0.451923076923077,0.456730769230769,0.456730769230769,0.461538461538462,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.439903846153846,0.439903846153846,0.4375,0.4375,0.442307692307692,0.439903846153846,0.435096153846154,0.435096153846154,0.444711538461538,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.439903846153846,0.442307692307692,0.442307692307692,0.442307692307692,0.454326923076923,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692
"LC107517",0.399038461538462,0,0.401442307692308,0.391826923076923,0.403846153846154,0.384615384615385,0.384615384615385,0.415865384615385,0.444711538461538,0.423076923076923,0.403846153846154,0.403846153846154,0.403846153846154,0.396634615384615,0.396634615384615,0.394230769230769,0.403846153846154,0.387019230769231,0.387019230769231,0.408653846153846,0.403846153846154,0.411057692307692,0.413461538461538,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.413461538461538,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.442307692307692,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.423076923076923,0.435096153846154,0.432692307692308,0.432692307692308,0.432692307692308,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.40625,0.399038461538462,0.403846153846154,0.40625,0.396634615384615,0.399038461538462,0.394230769230769,0.394230769230769,0.40625,0.403846153846154,0.403846153846154,0.403846153846154,0.403846153846154,0.403846153846154,0.401442307692308,0.399038461538462,0.401442307692308,0.401442307692308,0.401442307692308,0.40625,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308
"KU697313",0.466346153846154,0.401442307692308,0,0.149038461538462,0.15625,0.134615384615385,0.134615384615385,0.425480769230769,0.432692307692308,0.471153846153846,0.4375,0.447115384615385,0.444711538461538,0.447115384615385,0.442307692307692,0.447115384615385,0.471153846153846,0.46875,0.46875,0.449519230769231,0.466346153846154,0.463942307692308,0.459134615384615,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.456730769230769,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.461538461538462,0.459134615384615,0.459134615384615,0.459134615384615,0.463942307692308,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.451923076923077,0.454326923076923,0.454326923076923,0.456730769230769,0.454326923076923,0.454326923076923,0.444711538461538,0.456730769230769,0.456730769230769,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.451923076923077,0.456730769230769,0.456730769230769,0.456730769230769,0.461538461538462,0.463942307692308,0.459134615384615,0.459134615384615,0.471153846153846,0.46875,0.46875,0.46875,0.46875,0.46875,0.466346153846154,0.463942307692308,0.466346153846154,0.466346153846154,0.466346153846154,0.473557692307692,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154
"AY800279",0.46875,0.391826923076923,0.149038461538462,0,0.115384615384615,0.141826923076923,0.141826923076923,0.449519230769231,0.435096153846154,0.461538461538462,0.451923076923077,0.442307692307692,0.442307692307692,0.442307692307692,0.444711538461538,0.4375,0.449519230769231,0.454326923076923,0.454326923076923,0.459134615384615,0.461538461538462,0.463942307692308,0.461538461538462,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.473557692307692,0.478365384615385,0.478365384615385,0.478365384615385,0.478365384615385,0.478365384615385,0.478365384615385,0.480769230769231,0.478365384615385,0.478365384615385,0.478365384615385,0.485576923076923,0.478365384615385,0.478365384615385,0.480769230769231,0.480769230769231,0.480769230769231,0.480769230769231,0.480769230769231,0.456730769230769,0.461538461538462,0.461538461538462,0.459134615384615,0.454326923076923,0.454326923076923,0.444711538461538,0.459134615384615,0.456730769230769,0.451923076923077,0.451923076923077,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.459134615384615,0.451923076923077,0.463942307692308,0.459134615384615,0.456730769230769,0.456730769230769,0.451923076923077,0.451923076923077,0.463942307692308,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.459134615384615,0.456730769230769,0.459134615384615,0.459134615384615,0.459134615384615,0.463942307692308,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615
"LC155795",0.466346153846154,0.403846153846154,0.15625,0.115384615384615,0,0.151442307692308,0.151442307692308,0.444711538461538,0.439903846153846,0.451923076923077,0.451923076923077,0.447115384615385,0.451923076923077,0.447115384615385,0.447115384615385,0.449519230769231,0.466346153846154,0.463942307692308,0.463942307692308,0.449519230769231,0.454326923076923,0.451923076923077,0.449519230769231,0.451923076923077,0.451923076923077,0.451923076923077,0.451923076923077,0.451923076923077,0.451923076923077,0.456730769230769,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.463942307692308,0.461538461538462,0.461538461538462,0.461538461538462,0.46875,0.461538461538462,0.461538461538462,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.444711538461538,0.447115384615385,0.447115384615385,0.451923076923077,0.447115384615385,0.447115384615385,0.4375,0.442307692307692,0.444711538461538,0.447115384615385,0.447115384615385,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.459134615384615,0.456730769230769,0.461538461538462,0.459134615384615,0.447115384615385,0.447115384615385,0.442307692307692,0.442307692307692,0.451923076923077,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.447115384615385,0.449519230769231,0.449519230769231,0.449519230769231,0.461538461538462,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231
"KT717325",0.461538461538462,0.384615384615385,0.134615384615385,0.141826923076923,0.151442307692308,0,0,0.451923076923077,0.480769230769231,0.46875,0.459134615384615,0.456730769230769,0.456730769230769,0.459134615384615,0.456730769230769,0.454326923076923,0.466346153846154,0.46875,0.46875,0.463942307692308,0.46875,0.471153846153846,0.46875,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.46875,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.466346153846154,0.463942307692308,0.463942307692308,0.463942307692308,0.46875,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.451923076923077,0.447115384615385,0.447115384615385,0.447115384615385,0.449519230769231,0.449519230769231,0.439903846153846,0.444711538461538,0.451923076923077,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.456730769230769,0.454326923076923,0.451923076923077,0.447115384615385,0.451923076923077,0.449519230769231,0.449519230769231,0.459134615384615,0.456730769230769,0.456730769230769,0.456730769230769,0.456730769230769,0.456730769230769,0.454326923076923,0.451923076923077,0.454326923076923,0.454326923076923,0.454326923076923,0.461538461538462,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923
"KU159093",0.461538461538462,0.384615384615385,0.134615384615385,0.141826923076923,0.151442307692308,0,0,0.451923076923077,0.480769230769231,0.46875,0.459134615384615,0.456730769230769,0.456730769230769,0.459134615384615,0.456730769230769,0.454326923076923,0.466346153846154,0.46875,0.46875,0.463942307692308,0.46875,0.471153846153846,0.46875,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.46875,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.466346153846154,0.463942307692308,0.463942307692308,0.463942307692308,0.46875,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.451923076923077,0.447115384615385,0.447115384615385,0.447115384615385,0.449519230769231,0.449519230769231,0.439903846153846,0.444711538461538,0.451923076923077,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.456730769230769,0.454326923076923,0.451923076923077,0.447115384615385,0.451923076923077,0.449519230769231,0.449519230769231,0.459134615384615,0.456730769230769,0.456730769230769,0.456730769230769,0.456730769230769,0.456730769230769,0.454326923076923,0.451923076923077,0.454326923076923,0.454326923076923,0.454326923076923,0.461538461538462,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923
"KX196173",0.420673076923077,0.415865384615385,0.425480769230769,0.449519230769231,0.444711538461538,0.451923076923077,0.451923076923077,0,0.247596153846154,0.223557692307692,0.221153846153846,0.237980769230769,0.242788461538462,0.237980769230769,0.235576923076923,0.240384615384615,0.423076923076923,0.425480769230769,0.425480769230769,0.411057692307692,0.425480769230769,0.423076923076923,0.418269230769231,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.40625,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.413461538461538,0.413461538461538,0.413461538461538,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.418269230769231,0.415865384615385,0.415865384615385,0.413461538461538,0.408653846153846,0.408653846153846,0.401442307692308,0.413461538461538,0.411057692307692,0.40625,0.411057692307692,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.403846153846154,0.403846153846154,0.408653846153846,0.40625,0.423076923076923,0.425480769230769,0.427884615384615,0.427884615384615,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.420673076923077,0.423076923076923,0.423076923076923,0.423076923076923,0.432692307692308,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923
"MF978248",0.432692307692308,0.444711538461538,0.432692307692308,0.435096153846154,0.439903846153846,0.480769230769231,0.480769230769231,0.247596153846154,0,0.233173076923077,0.223557692307692,0.247596153846154,0.254807692307692,0.252403846153846,0.252403846153846,0.252403846153846,0.432692307692308,0.430288461538462,0.430288461538462,0.430288461538462,0.432692307692308,0.430288461538462,0.425480769230769,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.418269230769231,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.427884615384615,0.420673076923077,0.420673076923077,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.413461538461538,0.413461538461538,0.413461538461538,0.413461538461538,0.413461538461538,0.40625,0.415865384615385,0.415865384615385,0.415865384615385,0.418269230769231,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.425480769230769,0.432692307692308,0.427884615384615,0.423076923076923,0.442307692307692,0.439903846153846,0.4375,0.4375,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.439903846153846,0.442307692307692,0.442307692307692,0.442307692307692,0.451923076923077,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692
"JX524226",0.447115384615385,0.423076923076923,0.471153846153846,0.461538461538462,0.451923076923077,0.46875,0.46875,0.223557692307692,0.233173076923077,0,0.194711538461538,0.209134615384615,0.206730769230769,0.211538461538462,0.209134615384615,0.211538461538462,0.427884615384615,0.430288461538462,0.430288461538462,0.432692307692308,0.432692307692308,0.430288461538462,0.430288461538462,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.391826923076923,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.40625,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.40625,0.415865384615385,0.415865384615385,0.413461538461538,0.411057692307692,0.411057692307692,0.408653846153846,0.408653846153846,0.413461538461538,0.413461538461538,0.415865384615385,0.413461538461538,0.413461538461538,0.413461538461538,0.413461538461538,0.413461538461538,0.435096153846154,0.432692307692308,0.435096153846154,0.430288461538462,0.423076923076923,0.423076923076923,0.418269230769231,0.418269230769231,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.418269230769231,0.420673076923077,0.420673076923077,0.420673076923077,0.427884615384615,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077
