"","AF308158","AY366207","AY366208","AY366209","AY800279","AY863024","CYMRNA","FJ822136","GQ179646","GQ179647","JF930326","JF930327","JF937699","JX524226","KM288842","KM288843","KM288844","KM288845","KM288846","KM288847","KM365479","KP090203","KT717325","KU159093","KU697313","KU854929","KU854931","KX196173","KX883791","KY348771","LC107515","LC107517","LC128411","LC155795","MF978248","MG210801","MH423501","Hylocereus_polyrhizus_SRR11190795__NC_002815","Hylocereus_polyrhizus_SRR11190795__NC_006059","Hylocereus_polyrhizus_SRR11190795__NC_011659","Hylocereus_polyrhizus_SRR11190795__NC_024458","Hylocereus_polyrhizus_SRR11190796__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_006059","Hylocereus_polyrhizus_SRR11190796__NC_011659","Hylocereus_polyrhizus_SRR11190796__NC_024458","Hylocereus_polyrhizus_SRR11190797__NC_002815","Hylocereus_polyrhizus_SRR11190797__NC_006059","Hylocereus_polyrhizus_SRR11190797__NC_011659","Hylocereus_polyrhizus_SRR11190797__NC_024458","Hylocereus_polyrhizus_SRR11190798__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_006059","Hylocereus_polyrhizus_SRR11190798__NC_011659","Hylocereus_polyrhizus_SRR11190798__NC_024458","Hylocereus_polyrhizus_SRR11190801__NC_002815","Hylocereus_polyrhizus_SRR11190801__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_011659","Hylocereus_polyrhizus_SRR11190801__NC_024458","Hylocereus_polyrhizus_SRR11190802__NC_002815","Hylocereus_polyrhizus_SRR11190802__NC_006059","Hylocereus_polyrhizus_SRR11190802__NC_011659","Hylocereus_polyrhizus_SRR11190802__NC_024458","Hylocereus_undatus_SRR11190791__NC_002815","Hylocereus_undatus_SRR11190791__NC_024458","Hylocereus_undatus_SRR11190792__NC_002815","Hylocereus_undatus_SRR11190792__NC_024458","Hylocereus_undatus_SRR11190793__NC_002815","Hylocereus_undatus_SRR11190793__NC_024458","Hylocereus_undatus_SRR11190799__NC_002815","Hylocereus_undatus_SRR11190799__NC_024458","Hylocereus_undatus_SRR11190800__NC_002815","Hylocereus_undatus_SRR11190800__NC_024458","Hylocereus_undatus_SRR11603182__NC_002815","Hylocereus_undatus_SRR11603182__NC_024458","Hylocereus_undatus_SRR11603183__NC_002815","Hylocereus_undatus_SRR11603183__NC_011659","Hylocereus_undatus_SRR11603183__NC_024458","Hylocereus_undatus_SRR11603184__NC_002815","Hylocereus_undatus_SRR11603184__NC_011659","Hylocereus_undatus_SRR11603184__NC_024458","Hylocereus_undatus_SRR11603186__NC_002815","Hylocereus_undatus_SRR11603186__NC_006059","Hylocereus_undatus_SRR11603186__NC_024458","Hylocereus_undatus_SRR11603187__NC_002815","Hylocereus_undatus_SRR11603187__NC_006059","Hylocereus_undatus_SRR11603187__NC_011659","Hylocereus_undatus_SRR11603187__NC_024458","Hylocereus_undatus_SRR11603189__NC_002815","Hylocereus_undatus_SRR11603189__NC_006059","Hylocereus_undatus_SRR11603189__NC_011659","Hylocereus_undatus_SRR11603189__NC_024458","Hylocereus_undatus_SRR11603190__NC_002815","Hylocereus_undatus_SRR11603190__NC_006059","Hylocereus_undatus_SRR11603190__NC_024458","Hylocereus_undatus_SRR11603191__NC_002815","Hylocereus_undatus_SRR11603191__NC_006059","Hylocereus_undatus_SRR11603191__NC_024458","Schlumbergera_truncata_15H02_sty__NC_002815","Schlumbergera_truncata_15H03_pol__NC_002815","Schlumbergera_truncata_15H03_pol__NC_006059","Schlumbergera_truncata_15H03_pol__NC_011659","Schlumbergera_truncata_15H03_sty__NC_002815_a","Schlumbergera_truncata_15H03_sty__NC_002815_b","Schlumbergera_truncata_15H03_sty__NC_006059_a","Schlumbergera_truncata_15H03_sty__NC_006059_b","Schlumbergera_truncata_15H03_sty__NC_011659","Schlumbergera_truncata_15H04_pet__NC_002815","Schlumbergera_truncata_15H04_pet__NC_006059","Schlumbergera_truncata_15H04_pol__NC_002815","Schlumbergera_truncata_15H04_pol__NC_006059","Schlumbergera_truncata_15H04_sty__NC_002815","Schlumbergera_truncata_15H04_sty__NC_006059","Schlumbergera_truncata_15H05_pol__NC_002815","Schlumbergera_truncata_15H06_pol__NC_002815","Schlumbergera_truncata_15H06_pol__NC_006059","Schlumbergera_truncata_15H06_pol__NC_011659","Schlumbergera_truncata_15H06_sty__NC_002815","Schlumbergera_truncata_15H06_sty__NC_006059","Schlumbergera_truncata_15H06_sty__NC_011659","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_19JSF_sty__NC_006059"
"AF308158",0,0.316942474389283,0.276937470762514,0.359552332912989,0.463098985659321,0.451524439425714,0.467683023662061,0.450967741935484,0.449588643329569,0.451847072108405,0.275464046170644,0.307824189526185,0.227428928459856,0.456748515487081,0.273447820343461,0.290637191157347,0.271686481726112,0.282694848084544,0.220607661822985,0.226918075422627,0.0343461030383091,0.315481832543444,0.460083304408192,0.460951058660187,0.453222453222453,0.317100078802206,0.360655737704918,0.466216216216216,0.22836613558263,0.361286254728878,0.44528484068233,0.443475286471695,0.0371926548397137,0.45991341991342,0.470786516853933,0.312771345875543,0.446774193548387,0.020078431372549,0.258341277407054,0.303647158608991,0.30751246882793,0.0171978542126854,0.263149297615158,0.312620734063104,0.30814861067749,0.0148990708106376,0.266884709730172,0.3128,0.307872539831303,0.0225039619651347,0.268914213358658,0.291460712459519,0.304278922345483,0.0230049182928764,0.269826224328594,0.2901625320787,0.304615871008536,0.0115634405195628,0.273832070707071,0.317708333333333,0.30127186009539,0.0298857768737287,0.308447630922693,0.00921733505821475,0.311270125223614,0.0338717265171711,0.307980049875312,0.0297432686286788,0.308447630922693,0.0298857768737287,0.308447630922693,0.0259108040201005,0.30302066772655,0.0104200064123116,0.314016602809706,0.303194025107262,0.0220368329922871,0.293047764745878,0.302798982188295,0.0350408548082967,0.273626373626374,0.307860603219253,0.0182663034770069,0.274558800562236,0.294447274579725,0.308005003126954,0.0334695160276556,0.27377972465582,0.306533486163419,0.308329426472886,0.0347593582887701,0.273583424894051,0.307848655409631,0.0345966346909891,0.273723770748512,0.306618569636135,0.151515151515152,0.0461610927932171,0.0804195804195804,0.0740740740740741,0.0461828463713478,0.0459191696807674,0.0833333333333333,0.08203125,0.0769230769230769,0.0446330347320446,0.0465116279069767,0.0444968553459119,0.0506329113924051,0.0443465953766315,0.0361990950226244,0.0322944896115628,0.0448557089084065,0.0645161290322581,0.04,0.0424996064851251,0.0563725490196078,0.0526315789473684,0.0369181380417336,0.215686274509804
"AY366207",0.316942474389283,0,0.317895400126024,0.356525836343647,0.462196612537105,0.460458360232408,0.475019825535289,0.453767952234952,0.458037443511943,0.456907682375726,0.318625906082572,0.298587127158556,0.31813880126183,0.458046987374141,0.310238305383936,0.341383812010444,0.310679611650485,0.307149161518094,0.300970873786408,0.321148825065274,0.304942630185349,0.0466095089633671,0.463177958759314,0.464390920117831,0.464279536412385,0.134681181959565,0.357468195382441,0.469006601191435,0.317507886435331,0.357311135542642,0.456381260096931,0.451728859979459,0.318947865805639,0.463347164591978,0.466314610337654,0.30226194819409,0.454736162659351,0.313959028108623,0.28867206092337,0.0750974741481607,0.297802197802198,0.312090720332215,0.303150255649019,0.0762548262548263,0.296272998899198,0.307081510290066,0.304297520661157,0.0768739012306217,0.295987411487018,0.311838306063523,0.30977130977131,0.0267902274641954,0.29211869814933,0.311546491087201,0.309865900383142,0.0250253635441326,0.292966263526416,0.309382518043304,0.311114654760006,0.0722741433021807,0.289052496798976,0.316806589577063,0.296860282574568,0.304369170348552,0.302489177489177,0.314335608826798,0.297331240188383,0.31648177496038,0.296860282574568,0.316648186282275,0.296860282574568,0.316006994118582,0.29033290653009,0.307430240103829,0.0481965663884076,0.290353543433051,0.314422310756972,0.026986255447536,0.290105667627281,0.315622017181037,0.314670896114195,0.295923185896427,0.307966899237384,0.316188071946986,0.0276289350301407,0.296220472440945,0.315781100859052,0.314999209736052,0.0418416801292407,0.296237997796317,0.315286624203822,0.314788397527342,0.295905511811024,0.315873268587805,0.316097406704617,0.294470774091627,0.303030303030303,0.314217633042097,0.212543554006969,0.0740740740740741,0.313940549992052,0.314071951607768,0.214532871972318,0.206225680933852,0.0769230769230769,0.316626889419252,0.173913043478261,0.316300541228908,0.176470588235294,0.31635089953829,0.175675675675676,0.315656565656566,0.315655763734519,0.183168316831683,0.0980392156862745,0.314053537284895,0.180929095354523,0.0769230769230769,0.310154346060114,0.215686274509804
"AY366208",0.276937470762514,0.317895400126024,0,0.35632183908046,0.450445726271631,0.452169704791095,0.466529187817259,0.452096774193548,0.448459428940152,0.449427326988224,0.0435120435120435,0.310436137071651,0.269164715066354,0.458039718129404,0.0460728389644581,0.0381877022653722,0.0469504168494954,0.187362878455463,0.269010989010989,0.288124594419208,0.27032967032967,0.315490288962577,0.447875108412836,0.447181266261925,0.443982683982684,0.313011972274732,0.356479294599276,0.471873995499839,0.270413739266198,0.357581483230987,0.448664306404892,0.439007698887938,0.27146641732897,0.451886465905158,0.465757818765036,0.316160520607375,0.447903225806452,0.270856245090338,0.0424673784104389,0.307340227157145,0.311370716510903,0.267383059418458,0.0367778681855167,0.314662803798487,0.310764430577223,0.26219512195122,0.0373024922625835,0.315300896286812,0.310490165469872,0.267259165211871,0.0452538631346578,0.290828503239004,0.305036426987646,0.267079758500159,0.0467495671336376,0.290212183436003,0.305687203791469,0.265905124543868,0.0485849056603774,0.319293263921754,0.302717304941999,0.270960664472653,0.310747663551402,0.258461538461538,0.315516624955309,0.270299984294016,0.31183800623053,0.270774537472562,0.310747663551402,0.271117379721047,0.310747663551402,0.270997168921044,0.304783092324805,0.26252408477842,0.31370671772778,0.304637865311309,0.268011981712124,0.293428425878757,0.304195804195804,0.27022348127164,0.0455114169533938,0.309698578791192,0.264163055689295,0.0465224832736891,0.294636795655126,0.30953125,0.271325149512118,0.0458229426433915,0.30556464811784,0.309698578791192,0.270321361058601,0.0451915559030493,0.30984375,0.271066309655064,0.0464898595943838,0.308680664368537,0.272727272727273,0.27095455260261,0.121951219512195,0.185185185185185,0.270925110132159,0.27122381477398,0.131487889273356,0.108949416342412,0.179487179487179,0.271367857705021,0.115942028985507,0.271338582677165,0.121848739495798,0.271381319892897,0.121621621621622,0.269762174405436,0.269871190700597,0.118811881188119,0.0980392156862745,0.26765447667087,0.114914425427873,0.0512820512820513,0.263183279742765,0.156862745098039
"AY366209",0.359552332912989,0.356525836343647,0.35632183908046,0,0.45812204930932,0.457207207207207,0.470225872689938,0.454560077207656,0.453828828828829,0.456081081081081,0.360844227437392,0.358644493253844,0.358728159924445,0.467418944691672,0.37466784765279,0.415354330708661,0.370682019486271,0.371567759078831,0.368024800708592,0.405511811023622,0.365810451727192,0.355006297229219,0.467985424258199,0.467638382786743,0.462497834747965,0.35448405842626,0.0329008341056534,0.470943156557637,0.360931843223674,0.0378436824219957,0.45583038869258,0.44718370142099,0.357435412728418,0.468663434903047,0.473659080057297,0.358353069775915,0.454077529354994,0.354398221657669,0.332298878013846,0.343415463041631,0.357860056479448,0.353833865814697,0.347073371805441,0.349506711952127,0.356851037083595,0.349538162372387,0.348091855278374,0.349775064267352,0.356761006289308,0.351997433017808,0.353900255754476,0.330219126889757,0.352209283777317,0.352071956312239,0.353757778841551,0.329185134674395,0.353119032463399,0.352950609364978,0.354797577303156,0.358288770053476,0.350352112676056,0.357097591888466,0.356134295575777,0.346688470973017,0.356692487840029,0.357517066200984,0.356448070285535,0.356950388334126,0.356134295575777,0.357097591888466,0.356134295575777,0.355007949125596,0.351736277804449,0.348954110588617,0.351519007475744,0.351727447216891,0.354638189352885,0.331811263318113,0.351472471190781,0.356347438752784,0.355523854810588,0.355356300141576,0.350584036340039,0.358246609902239,0.330627431084052,0.354422411079635,0.356404136833731,0.35776338651082,0.343775493555229,0.35456976561271,0.356050955414013,0.355671736375158,0.355209316965691,0.356153478745423,0.357041251778094,0.354064719810576,0.393939393939394,0.359752223634053,0.24390243902439,0.259259259259259,0.359821996185633,0.360019099156454,0.242214532871972,0.237354085603113,0.282051282051282,0.358688733290898,0.223188405797101,0.358382423181022,0.201680672268908,0.35828025477707,0.216216216216216,0.343492208982585,0.357789423535017,0.225247524752475,0.117647058823529,0.356232068855594,0.224938875305623,0.0769230769230769,0.354786283113928,0.245098039215686
"AY800279",0.463098985659321,0.462196612537105,0.450445726271631,0.45812204930932,0,0.452052401746725,0.453352004200945,0.451528384279476,0.449781659388646,0.452052401746725,0.451923076923077,0.45812204930932,0.456312379618281,0.46041412911084,0.474669100867184,0.502739726027397,0.473756275673209,0.483797352806937,0.468735737106344,0.493150684931507,0.48334094020995,0.46078431372549,0.226518391787853,0.225320786997434,0.219395595014513,0.454339095512485,0.456023780381186,0.465619546247818,0.457538084398529,0.454799790173107,0.447235304378162,0.398308071906944,0.461982170949135,0.223776223776224,0.469565217391304,0.465164358073186,0.45117903930131,0.458663846289441,0.433599600599101,0.459792709077913,0.45812204930932,0.456818584855471,0.440264268673151,0.46053328624404,0.456297074794185,0.453352507639763,0.442912300055157,0.46045197740113,0.456186470382054,0.455371459112774,0.448018482317398,0.444528159728762,0.454012784090909,0.455404923296468,0.448404255319149,0.444213313161876,0.454835281615303,0.454448398576512,0.446314670446492,0.46109459695751,0.452860452682231,0.458318677453394,0.456198636125197,0.450254175744372,0.465647298674822,0.456996827634826,0.458646616541353,0.458304011259676,0.456198636125197,0.458399296394019,0.456198636125197,0.457097457627119,0.454529275671828,0.453923686105112,0.458488228004957,0.454286730700818,0.4556715625553,0.443233082706767,0.453800961367278,0.460098870056497,0.447201689545935,0.457734128376008,0.455805580558056,0.448082647522325,0.442260442260442,0.457543859649123,0.45962184131472,0.447913012977902,0.452974349645261,0.457829212695073,0.46005655708731,0.44760900140647,0.457799613967363,0.461253309796999,0.44660704892162,0.456846545965899,0.515151515151515,0.457995058242146,0.412186379928315,0.296296296296296,0.457707928659721,0.457920792079208,0.408759124087591,0.411290322580645,0.333333333333333,0.457486300159095,0.355421686746988,0.457552175451008,0.357446808510638,0.457456217937378,0.365296803652968,0.443597160136734,0.456709575030859,0.359897172236504,0.529411764705882,0.456556361705893,0.360902255639098,0.461538461538462,0.454430608193467,0.352380952380952
"AY863024",0.451524439425714,0.460458360232408,0.452169704791095,0.457207207207207,0.452052401746725,0,0.453803042433947,0.0612180992641303,0.0532331297948959,0.0391420072021293,0.455381636275617,0.448359073359073,0.451540074181584,0.345062608971311,0.460353420933394,0.475220638153428,0.461259628454916,0.452650657000453,0.451379466304839,0.465132024373731,0.450385138196647,0.460281507846627,0.455364881261917,0.455884902062749,0.454230835784738,0.459328599096191,0.456563706563707,0.357495618926239,0.452830188679245,0.456563706563707,0.212326607818411,0.435169346561752,0.449782363372562,0.459529574541681,0.360855784469097,0.44801051051051,0.0524502896508533,0.446628757108042,0.432248664400194,0.450291395269112,0.448841698841699,0.446460683341507,0.444669707720899,0.456987475280158,0.448436996455043,0.443449419568823,0.446985094850949,0.458994925519725,0.448331452522973,0.445557562818197,0.448394495412844,0.440453356582389,0.444408109875736,0.445577112791845,0.448168737737083,0.440224050411343,0.444933920704846,0.44524708586439,0.449036262659262,0.459188621302732,0.442857142857143,0.447470817120623,0.447715572715573,0.440428380187416,0.448109710896961,0.449155295646524,0.448198198198198,0.447436729396496,0.447715572715573,0.447543376033728,0.447715572715573,0.448006509357201,0.444225721784777,0.442397078353254,0.456848643347499,0.44433513690769,0.446076031979116,0.443768468625065,0.444134536505332,0.44911252239049,0.453069178304644,0.447491530892079,0.442930719388603,0.45306188398772,0.440946251522004,0.448515171078115,0.448697068403909,0.452897377792166,0.450612107999329,0.448782061622842,0.448573757131214,0.453335497484175,0.447385409941898,0.449242300798436,0.452631578947368,0.446925566343042,0.424242424242424,0.447496749024707,0.428571428571429,0.148148148148148,0.447299934938191,0.447629907151002,0.41522491349481,0.416342412451362,0.205128205128205,0.447141228213064,0.379710144927536,0.447196870925684,0.34453781512605,0.447106764466178,0.351351351351351,0.444340285915163,0.446521456436931,0.378712871287129,0.568627450980392,0.44526023821178,0.393643031784841,0.58974358974359,0.442743009320905,0.519607843137255
"CYMRNA",0.467683023662061,0.475019825535289,0.466529187817259,0.470225872689938,0.453352004200945,0.453803042433947,0,0.451969260326609,0.449799839871898,0.452361889511609,0.469533481434465,0.475011824058017,0.470401523567688,0.45568814638027,0.484601449275362,0.513898305084746,0.484601449275362,0.497735507246377,0.478260869565217,0.498983050847458,0.473278985507246,0.473608903020668,0.454403335070349,0.453361125586243,0.447487001733102,0.474385408406027,0.468962249249724,0.461772232885477,0.470084113632757,0.469752013899858,0.4496,0.443127147766323,0.465322964608792,0.458578856152513,0.45761094321616,0.479399377403406,0.453089977585655,0.463914226276204,0.441552181248494,0.457895643189254,0.473592937096011,0.462825877051818,0.461014131338321,0.463834672789897,0.474731522425774,0.459238686489136,0.461961045446979,0.464960886571056,0.474399494310999,0.463390981089381,0.468513448220325,0.456544142906218,0.46993746993747,0.46326860841424,0.468971061093248,0.456128253749354,0.470738727214583,0.462122435793894,0.46972860125261,0.472915011914218,0.469614147909968,0.466241021548284,0.472804666561564,0.457439788848565,0.480772702653909,0.467092651757189,0.475957748699354,0.466145001596934,0.472804666561564,0.466241021548284,0.472804666561564,0.465235501441846,0.469926021228691,0.459879065206733,0.46931233933162,0.470020896961903,0.463465553235908,0.457015894718851,0.469433719433719,0.464411670407182,0.467816642708832,0.475422791212265,0.459954233409611,0.468223705115983,0.456859730052964,0.473908918406072,0.463930747034306,0.468406812032469,0.465062623599209,0.474000316105579,0.464142467511632,0.468380709038646,0.475490196078431,0.464549246069939,0.469013860124263,0.47405997144217,0.53030303030303,0.466826538768985,0.435540069686411,0.259259259259259,0.466954712754041,0.46739304598622,0.418685121107266,0.416342412451362,0.41025641025641,0.465287798621132,0.368115942028986,0.465190888675008,0.340336134453782,0.465105085833467,0.337837837837838,0.462188713730866,0.46432,0.376237623762376,0.411764705882353,0.463304962261121,0.383863080684597,0.384615384615385,0.461097461097461,0.476190476190476
"FJ822136",0.450967741935484,0.453767952234952,0.452096774193548,0.454560077207656,0.451528384279476,0.0612180992641303,0.451969260326609,0,0.0449350242680445,0.0707687490214498,0.453856082607293,0.447965256554608,0.447436310867462,0.345641838351822,0.464221014492754,0.485074626865672,0.463768115942029,0.451086956521739,0.447106690777577,0.463464140730717,0.450634057971014,0.451957295373665,0.453111457791645,0.454324839660253,0.447655303685759,0.458286267548814,0.454399227923436,0.356960815546352,0.44856497903902,0.454881775776098,0.210244286840032,0.433213613819052,0.447453255963894,0.456589415427188,0.357629535731263,0.44529930568587,0.0524420788979336,0.445094217024042,0.43505705268269,0.444215938303342,0.449412900112594,0.444589735207584,0.443412162162162,0.450650848574724,0.447075882068632,0.441386171447521,0.44623200677392,0.452700490998363,0.446969696969697,0.443185550082102,0.448157248157248,0.436192468619247,0.444008500899134,0.443202367253,0.447931992806932,0.435946797339867,0.444535073409462,0.443696651346028,0.449126245304589,0.452811893988365,0.442127729436874,0.44561517263738,0.447643557986167,0.438346996821148,0.445617935890309,0.446646093876888,0.447321859417726,0.445579886455799,0.447643557986167,0.445687418936446,0.447643557986167,0.44630654083957,0.443004756437592,0.440331950207469,0.453015198561857,0.443114754098361,0.443719412724307,0.438303788668752,0.442749343832021,0.446760013025073,0.452508524111057,0.445806451612903,0.440531561461794,0.452342487883683,0.43704347826087,0.446667742456027,0.446018563751832,0.452500404596213,0.446344735077129,0.446774193548387,0.446382007822686,0.452937358000649,0.445699532031628,0.446399478657543,0.451748704663212,0.445397184921534,0.409090909090909,0.445636274987811,0.43205574912892,0.185185185185185,0.44560091071719,0.445765472312704,0.41522491349481,0.416342412451362,0.230769230769231,0.445439739413681,0.376811594202899,0.445494541306827,0.340336134453782,0.445404172099087,0.346846846846847,0.442699789078978,0.444823663253697,0.373762376237624,0.549019607843137,0.443393148450245,0.386308068459658,0.564102564102564,0.440505907804959,0.509803921568627
"GQ179646",0.449588643329569,0.458037443511943,0.448459428940152,0.453828828828829,0.449781659388646,0.0532331297948959,0.449799839871898,0.0449350242680445,0,0.0402379834037889,0.451186057769889,0.44481981981982,0.448798580874053,0.345062608971311,0.45899410965111,0.476578411405295,0.462165835976439,0.451291345718169,0.45273631840796,0.473256601218687,0.451744449478931,0.455266138165345,0.452938117524701,0.454324839660253,0.450770029416854,0.458198837959974,0.453989703989704,0.354787318782858,0.45041122399613,0.454311454311454,0.21500630517024,0.43362983236401,0.447041753990005,0.458145970252508,0.360221870047544,0.442192192192192,0.0610615312353218,0.444029244516653,0.429334628460418,0.446348988687007,0.446589446589447,0.443354585581167,0.44061496874472,0.452208305866842,0.445053174347406,0.440464344941957,0.443089430894309,0.454411523981012,0.444945993873932,0.442601412382986,0.444790301441678,0.438709677419355,0.441792020928712,0.44278197961197,0.444571615434925,0.438298617188867,0.442160221895905,0.442948612707273,0.446912773603398,0.452885081622757,0.439901477832512,0.445363164721141,0.444980694980695,0.437751004016064,0.44236471460341,0.446393762183236,0.444658944658945,0.445165476963011,0.444980694980695,0.445273228474137,0.444980694980695,0.446379170056957,0.441272965879265,0.440405046480744,0.456685191238967,0.441547794720446,0.443628650677109,0.442377889796628,0.441345365053322,0.445692883895131,0.44835985709646,0.444265204065172,0.439940189400233,0.448376151236064,0.440424421638546,0.445448676565526,0.445114006514658,0.448365166720622,0.450109005534127,0.445555734795935,0.445313773431133,0.448628469404317,0.444157520981278,0.44565748737168,0.447611336032389,0.444012944983819,0.424242424242424,0.445221066319896,0.439024390243902,0.111111111111111,0.445022771633051,0.445349405440626,0.422145328719723,0.424124513618677,0.179487179487179,0.444209154585437,0.379710144927536,0.444263363754889,0.348739495798319,0.444172779136104,0.36036036036036,0.441059292242794,0.443758127438231,0.378712871287129,0.568627450980392,0.442486539402839,0.39119804400978,0.58974358974359,0.43991344873502,0.509803921568627
"GQ179647",0.451847072108405,0.456907682375726,0.449427326988224,0.456081081081081,0.452052401746725,0.0391420072021293,0.452361889511609,0.0707687490214498,0.0402379834037889,0,0.452154268194288,0.446106821106821,0.45250766005483,0.343953082897448,0.458087902129588,0.474541751527495,0.460353420933394,0.450385138196647,0.45273631840796,0.471225457007448,0.451744449478931,0.456560427115353,0.453284798058589,0.453978159126365,0.452500432600796,0.45916720464816,0.455759330759331,0.357973554245659,0.453959038864699,0.455920205920206,0.217843631778058,0.435853575094081,0.448976301789457,0.461086129367001,0.363074484944532,0.445195195195195,0.0648191639267262,0.44646628757108,0.429091792132103,0.447548851559822,0.447393822393822,0.445316331535066,0.442135495860787,0.45385629531971,0.446019980663874,0.442786069651741,0.444444444444444,0.456048453101981,0.445913267773658,0.445229101658729,0.446100917431193,0.437489102005231,0.442936559843035,0.445412693193029,0.445879659908437,0.437248380885699,0.443139174416707,0.44491873255623,0.447402809539366,0.455309519961209,0.440886699507389,0.44730869001297,0.446267696267696,0.439926372155288,0.444959229058562,0.448018193632229,0.445624195624196,0.446950032446463,0.446267696267696,0.447219069239501,0.446267696267696,0.447681041497152,0.442749343832021,0.442065073041169,0.454723765936581,0.44269552385637,0.445423396965247,0.442030245089518,0.442657916324856,0.447646963035336,0.449496589801884,0.44571705113728,0.441933876059146,0.449830344158992,0.439902591755088,0.446578437701743,0.447068403908795,0.449821948850761,0.449270501425457,0.446846265526698,0.447269763651182,0.449764648596007,0.445610071013557,0.44761284014991,0.449230769230769,0.444983818770227,0.424242424242424,0.447334200260078,0.435540069686411,0.148148148148148,0.447137280416396,0.447467014171689,0.422145328719723,0.424124513618677,0.205128205128205,0.446815442254439,0.385507246376812,0.446870925684485,0.352941176470588,0.44678076609617,0.36036036036036,0.445277712678697,0.44668400520156,0.383663366336634,0.568627450980392,0.44526023821178,0.396088019559902,0.58974358974359,0.442410119840213,0.519607843137255
