,SRR11190798_Plant_DH-3_NC_011659,SRR11190801_Plant_DH-2_NC_011659,SRR11190802_Plant_DH-1_NC_011659,SRR11603187_RR-pulp-2_NC_011659,SRR11603184_GW-peel-1_NC_011659,SRR11603189_RR-peel-3_NC_011659,SRR11603183_GW-peel-2_NC_011659,Schlumbergera_virus_X_Strain_K11,Schlumbergera_virus_X_KP090203,Schlumbergera_virus_X_KU854929,Opuntia_virus_X_KY348771,Plantago_asiatica_mosaic_virus_KT717325,Plantago_asiatica_mosaic_virus_KU159093,Hydrangea_ringspot_virus,SRR11603191_RR-peel-1_NC_024458,SRR11603186_RR-pulp-3_NC_024458,SRR11603190_RR-peel-2_NC_024458,SRR11190802_Plant_DH-1_NC_024458,SRR11190800_Plant_BSJ-2_NC_024458,SRR11603189_RR-peel-3_NC_024458,SRR11190796_Plant_FR-2_NC_024458,SRR11603187_RR-pulp-2_NC_024458,SRR11190791_Plant_BSJ-1_NC_024458,SRR11190798_Plant_DH-3_NC_024458,SRR11190801_Plant_DH-2_NC_024458,SRR11190797_Plant_FR-1_NC_024458,SRR11190799_Plant_BSJ-3_NC_024458,SRR11603184_GW-peel-1_NC_024458,SRR11190795_Plant_FR-3_NC_024458,SRR11190793_Plant_BR-2_NC_024458,SRR11603183_GW-peel-2_NC_024458,SRR11603182_GW-peel-3_NC_024458,Pitaya_virus_X,Clover_yellow_mosaic_virus,Cactus_virus_X_SCM51431,Alternanthera_mosaic_virus_AY863024,Alternanthera_mosaic_virus_GQ179647,Alternanthera_mosaic_virus_GQ179646,Alternanthera_mosaic_virus_FJ822136,Alternanthera_mosaic_virus_MH423501,Alternanthera_mosaic_virus_LC107515,Nandina_mosaic_virus,Plantago_asiatica_mosaic_virus_LC155795,Plantago_asiatica_mosaic_virus_KU697313,KM288843,Cactus_virus_X_KM288847.1,Cactus_virus_X_KM365479.1,Cactus_virus_X_KM288846.1,KM288842,KM288844,KM288845,Cactus_virus_X_AF308158.2,Cactus_virus_X_LC128411.1,Schlumbergera_truncata_15H04_cons,Schlumbergera_truncata_15H06_cons,Schlumbergera_truncata_15H03_cons,SRR11603186_RR-pulp-3_NC_006059,SRR11603186_RR-pulp-3_NC_002815,SRR11603182_GW-peel-3_NC_002815,SRR11190791_Plant_BSJ-1_NC_002815,SRR11190800_Plant_BSJ-2_NC_002815,SRR11190799_Plant_BSJ-3_NC_002815,SRR11190795_Plant_FR-3_NC_002815,SRR11190798_Plant_DH-3_NC_002815,SRR11190796_Plant_FR-2_NC_002815,SRR11190797_Plant_FR-1_NC_002815,SRR11603191_RR-peel-1_NC_002815,SRR11190793_Plant_BR-2_NC_002815,SRR11190802_Plant_DH-1_NC_002815,SRR11190801_Plant_DH-2_NC_002815,SRR11603190_RR-peel-2_NC_002815,SRR11603189_RR-peel-3_NC_006059,SRR11603187_RR-pulp-2_NC_006059,SRR11603190_RR-peel-2_NC_006059,SRR11603191_RR-peel-1_NC_006059,SRR11603187_RR-pulp-2_NC_002815,SRR11603184_GW-peel-1_NC_002815,SRR11603183_GW-peel-2_NC_002815,SRR11603189_RR-peel-3_NC_002815,Schlumbergera_truncata_19JSF_sty_NC_002815,SRR11190792_Plant_BR-3_NC_002815,SRR11190796_Plant_FR-2_NC_006059,SRR11190798_Plant_DH-3_NC_006059,SRR11190801_Plant_DH-2_NC_006059,SRR11190802_Plant_DH-1_NC_006059,SRR11190797_Plant_FR-1_NC_006059,Cactus_virus_X_JF937699.1,Zygocactus_virus_X_Strain_B1,Zygocactus_virus_X_JF930326.1,MG210801,Opuntia_virus_Strain_CC10,Opuntia_virus_X_KU854931,Papaya_mosaic_virus,Babaco_mosaic_virus,Senna_mosaic_virus
SRR11190798_Plant_DH-3_NC_011659,0,0,0.007928642,0,0,0,0,0.008919722,0.004955401,0.053518335,0.296333003,0.437066402,0.440039643,0.42913776,0.206144698,0.206144698,0.206144698,0.204162537,0.206144698,0.206144698,0.202180377,0.206144698,0.206144698,0.204162537,0.204162537,0.202180377,0.206144698,0.204162537,0.205153617,0.206144698,0.204162537,0.204162537,0.204162537,0.433102081,0.219028741,0.432111001,0.42814668,0.43012884,0.426164519,0.436075322,0.433102081,0.445986125,0.431119921,0.441030723,0.230921705,0.219028741,0.218037661,0.222993062,0.229930624,0.227948464,0.230921705,0.223984143,0.217046581,0.2160555,0.217046581,0.21506442,0.226957384,0.217046581,0.2160555,0.217046581,0.217046581,0.217046581,0.21407334,0.2160555,0.2160555,0.2160555,0.217046581,0.21506442,0.2160555,0.2160555,0.217046581,0.226957384,0.226957384,0.226957384,0.226957384,0.217046581,0.2160555,0.2160555,0.217046581,0.21407334,0.2160555,0.229930624,0.230921705,0.230921705,0.226957384,0.229930624,0.218037661,0.234886026,0.229930624,0.206144698,0.289395441,0.296333003,0.442021804,0.443012884,0.446977205
SRR11190801_Plant_DH-2_NC_011659,0,0,0.007928642,0,0,0,0,0.008919722,0.004955401,0.053518335,0.296333003,0.437066402,0.440039643,0.42913776,0.206144698,0.206144698,0.206144698,0.204162537,0.206144698,0.206144698,0.202180377,0.206144698,0.206144698,0.204162537,0.204162537,0.202180377,0.206144698,0.204162537,0.205153617,0.206144698,0.204162537,0.204162537,0.204162537,0.433102081,0.219028741,0.432111001,0.42814668,0.43012884,0.426164519,0.436075322,0.433102081,0.445986125,0.431119921,0.441030723,0.230921705,0.219028741,0.218037661,0.222993062,0.229930624,0.227948464,0.230921705,0.223984143,0.217046581,0.2160555,0.217046581,0.21506442,0.226957384,0.217046581,0.2160555,0.217046581,0.217046581,0.217046581,0.21407334,0.2160555,0.2160555,0.2160555,0.217046581,0.21506442,0.2160555,0.2160555,0.217046581,0.226957384,0.226957384,0.226957384,0.226957384,0.217046581,0.2160555,0.2160555,0.217046581,0.21407334,0.2160555,0.229930624,0.230921705,0.230921705,0.226957384,0.229930624,0.218037661,0.234886026,0.229930624,0.206144698,0.289395441,0.296333003,0.442021804,0.443012884,0.446977205
SRR11190802_Plant_DH-1_NC_011659,0.007928642,0.007928642,0,0.007928642,0.007928642,0.007928642,0.007928642,0.012884044,0.012884044,0.054509415,0.298315164,0.438057483,0.441030723,0.42814668,0.207135778,0.207135778,0.207135778,0.207135778,0.209117939,0.207135778,0.205153617,0.207135778,0.209117939,0.207135778,0.207135778,0.205153617,0.209117939,0.207135778,0.208126858,0.209117939,0.207135778,0.207135778,0.207135778,0.433102081,0.222001982,0.432111001,0.43012884,0.432111001,0.42814668,0.438057483,0.434093162,0.446977205,0.435084242,0.444003964,0.230921705,0.222001982,0.218037661,0.225966303,0.229930624,0.227948464,0.232903865,0.223984143,0.217046581,0.2160555,0.217046581,0.21506442,0.226957384,0.217046581,0.2160555,0.217046581,0.217046581,0.217046581,0.21407334,0.2160555,0.2160555,0.2160555,0.217046581,0.21506442,0.2160555,0.2160555,0.217046581,0.226957384,0.226957384,0.226957384,0.226957384,0.217046581,0.2160555,0.2160555,0.217046581,0.21407334,0.2160555,0.229930624,0.228939544,0.228939544,0.226957384,0.229930624,0.221010902,0.234886026,0.229930624,0.210109019,0.291377602,0.298315164,0.441030723,0.444995045,0.444995045
SRR11603187_RR-pulp-2_NC_011659,0,0,0.007928642,0,0,0,0,0.008919722,0.004955401,0.053518335,0.296333003,0.437066402,0.440039643,0.42913776,0.206144698,0.206144698,0.206144698,0.204162537,0.206144698,0.206144698,0.202180377,0.206144698,0.206144698,0.204162537,0.204162537,0.202180377,0.206144698,0.204162537,0.205153617,0.206144698,0.204162537,0.204162537,0.204162537,0.433102081,0.219028741,0.432111001,0.42814668,0.43012884,0.426164519,0.436075322,0.433102081,0.445986125,0.431119921,0.441030723,0.230921705,0.219028741,0.218037661,0.222993062,0.229930624,0.227948464,0.230921705,0.223984143,0.217046581,0.2160555,0.217046581,0.21506442,0.226957384,0.217046581,0.2160555,0.217046581,0.217046581,0.217046581,0.21407334,0.2160555,0.2160555,0.2160555,0.217046581,0.21506442,0.2160555,0.2160555,0.217046581,0.226957384,0.226957384,0.226957384,0.226957384,0.217046581,0.2160555,0.2160555,0.217046581,0.21407334,0.2160555,0.229930624,0.230921705,0.230921705,0.226957384,0.229930624,0.218037661,0.234886026,0.229930624,0.206144698,0.289395441,0.296333003,0.442021804,0.443012884,0.446977205
SRR11603184_GW-peel-1_NC_011659,0,0,0.007928642,0,0,0,0,0.008919722,0.004955401,0.053518335,0.296333003,0.437066402,0.440039643,0.42913776,0.206144698,0.206144698,0.206144698,0.204162537,0.206144698,0.206144698,0.202180377,0.206144698,0.206144698,0.204162537,0.204162537,0.202180377,0.206144698,0.204162537,0.205153617,0.206144698,0.204162537,0.204162537,0.204162537,0.433102081,0.219028741,0.432111001,0.42814668,0.43012884,0.426164519,0.436075322,0.433102081,0.445986125,0.431119921,0.441030723,0.230921705,0.219028741,0.218037661,0.222993062,0.229930624,0.227948464,0.230921705,0.223984143,0.217046581,0.2160555,0.217046581,0.21506442,0.226957384,0.217046581,0.2160555,0.217046581,0.217046581,0.217046581,0.21407334,0.2160555,0.2160555,0.2160555,0.217046581,0.21506442,0.2160555,0.2160555,0.217046581,0.226957384,0.226957384,0.226957384,0.226957384,0.217046581,0.2160555,0.2160555,0.217046581,0.21407334,0.2160555,0.229930624,0.230921705,0.230921705,0.226957384,0.229930624,0.218037661,0.234886026,0.229930624,0.206144698,0.289395441,0.296333003,0.442021804,0.443012884,0.446977205
SRR11603189_RR-peel-3_NC_011659,0,0,0.007928642,0,0,0,0,0.008919722,0.004955401,0.053518335,0.296333003,0.437066402,0.440039643,0.42913776,0.206144698,0.206144698,0.206144698,0.204162537,0.206144698,0.206144698,0.202180377,0.206144698,0.206144698,0.204162537,0.204162537,0.202180377,0.206144698,0.204162537,0.205153617,0.206144698,0.204162537,0.204162537,0.204162537,0.433102081,0.219028741,0.432111001,0.42814668,0.43012884,0.426164519,0.436075322,0.433102081,0.445986125,0.431119921,0.441030723,0.230921705,0.219028741,0.218037661,0.222993062,0.229930624,0.227948464,0.230921705,0.223984143,0.217046581,0.2160555,0.217046581,0.21506442,0.226957384,0.217046581,0.2160555,0.217046581,0.217046581,0.217046581,0.21407334,0.2160555,0.2160555,0.2160555,0.217046581,0.21506442,0.2160555,0.2160555,0.217046581,0.226957384,0.226957384,0.226957384,0.226957384,0.217046581,0.2160555,0.2160555,0.217046581,0.21407334,0.2160555,0.229930624,0.230921705,0.230921705,0.226957384,0.229930624,0.218037661,0.234886026,0.229930624,0.206144698,0.289395441,0.296333003,0.442021804,0.443012884,0.446977205
SRR11603183_GW-peel-2_NC_011659,0,0,0.007928642,0,0,0,0,0.008919722,0.004955401,0.053518335,0.296333003,0.437066402,0.440039643,0.42913776,0.206144698,0.206144698,0.206144698,0.204162537,0.206144698,0.206144698,0.202180377,0.206144698,0.206144698,0.204162537,0.204162537,0.202180377,0.206144698,0.204162537,0.205153617,0.206144698,0.204162537,0.204162537,0.204162537,0.433102081,0.219028741,0.432111001,0.42814668,0.43012884,0.426164519,0.436075322,0.433102081,0.445986125,0.431119921,0.441030723,0.230921705,0.219028741,0.218037661,0.222993062,0.229930624,0.227948464,0.230921705,0.223984143,0.217046581,0.2160555,0.217046581,0.21506442,0.226957384,0.217046581,0.2160555,0.217046581,0.217046581,0.217046581,0.21407334,0.2160555,0.2160555,0.2160555,0.217046581,0.21506442,0.2160555,0.2160555,0.217046581,0.226957384,0.226957384,0.226957384,0.226957384,0.217046581,0.2160555,0.2160555,0.217046581,0.21407334,0.2160555,0.229930624,0.230921705,0.230921705,0.226957384,0.229930624,0.218037661,0.234886026,0.229930624,0.206144698,0.289395441,0.296333003,0.442021804,0.443012884,0.446977205
Schlumbergera_virus_X_Strain_K11,0.008919722,0.008919722,0.012884044,0.008919722,0.008919722,0.008919722,0.008919722,0,0.009910803,0.054509415,0.301288404,0.439048563,0.442021804,0.435084242,0.21308226,0.21308226,0.21308226,0.211100099,0.21308226,0.21308226,0.209117939,0.21308226,0.21308226,0.211100099,0.211100099,0.209117939,0.21308226,0.211100099,0.212091179,0.21308226,0.211100099,0.211100099,0.211100099,0.437066402,0.222001982,0.435084242,0.431119921,0.433102081,0.42814668,0.439048563,0.431119921,0.447968285,0.433102081,0.442021804,0.233894945,0.222001982,0.221010902,0.225966303,0.232903865,0.230921705,0.233894945,0.227948464,0.220019822,0.219028741,0.220019822,0.218037661,0.229930624,0.220019822,0.219028741,0.220019822,0.220019822,0.220019822,0.217046581,0.219028741,0.219028741,0.219028741,0.220019822,0.218037661,0.219028741,0.219028741,0.220019822,0.229930624,0.229930624,0.229930624,0.229930624,0.220019822,0.219028741,0.219028741,0.220019822,0.217046581,0.219028741,0.232903865,0.233894945,0.233894945,0.229930624,0.232903865,0.221010902,0.237859267,0.232903865,0.21308226,0.294350842,0.301288404,0.441030723,0.443012884,0.444003964
Schlumbergera_virus_X_KP090203,0.004955401,0.004955401,0.012884044,0.004955401,0.004955401,0.004955401,0.004955401,0.009910803,0,0.054509415,0.296333003,0.438057483,0.441030723,0.432111001,0.211100099,0.211100099,0.211100099,0.209117939,0.211100099,0.211100099,0.207135778,0.211100099,0.211100099,0.209117939,0.209117939,0.207135778,0.211100099,0.209117939,0.210109019,0.211100099,0.209117939,0.209117939,0.209117939,0.438057483,0.222001982,0.431119921,0.4271556,0.42913776,0.424182359,0.435084242,0.433102081,0.446977205,0.432111001,0.442021804,0.234886026,0.222001982,0.220019822,0.223984143,0.233894945,0.231912785,0.232903865,0.226957384,0.219028741,0.218037661,0.219028741,0.217046581,0.230921705,0.219028741,0.218037661,0.219028741,0.219028741,0.219028741,0.2160555,0.218037661,0.218037661,0.218037661,0.219028741,0.217046581,0.218037661,0.218037661,0.219028741,0.230921705,0.230921705,0.230921705,0.230921705,0.219028741,0.218037661,0.218037661,0.219028741,0.2160555,0.218037661,0.233894945,0.234886026,0.234886026,0.230921705,0.233894945,0.221010902,0.238850347,0.233894945,0.211100099,0.289395441,0.296333003,0.443012884,0.443012884,0.445986125
Schlumbergera_virus_X_KU854929,0.053518335,0.053518335,0.054509415,0.053518335,0.053518335,0.053518335,0.053518335,0.054509415,0.054509415,0,0.298315164,0.43012884,0.435084242,0.434093162,0.221010902,0.221010902,0.221010902,0.219028741,0.219028741,0.221010902,0.221010902,0.221010902,0.219028741,0.219028741,0.219028741,0.221010902,0.219028741,0.219028741,0.220019822,0.221010902,0.219028741,0.219028741,0.220019822,0.443012884,0.217046581,0.420218038,0.425173439,0.426164519,0.426164519,0.435084242,0.424182359,0.442021804,0.431119921,0.436075322,0.229930624,0.218037661,0.221010902,0.221010902,0.228939544,0.228939544,0.233894945,0.227948464,0.218037661,0.219028741,0.220019822,0.218037661,0.231912785,0.218037661,0.219028741,0.220019822,0.220019822,0.220019822,0.217046581,0.219028741,0.219028741,0.219028741,0.218037661,0.218037661,0.219028741,0.219028741,0.218037661,0.231912785,0.231912785,0.231912785,0.231912785,0.218037661,0.219028741,0.219028741,0.218037661,0.217046581,0.219028741,0.230921705,0.233894945,0.233894945,0.228939544,0.230921705,0.2160555,0.233894945,0.228939544,0.221010902,0.292368682,0.298315164,0.444003964,0.42814668,0.444003964
