"","KX196173_-_CP_CDS","AY800279_-_coat_protein_CDS","AY863024_-_CP_CDS","FJ822136_-_CP_CDS","GQ179646_-_coat_protein_CDS","GQ179647_-_coat_protein_CDS","KT717325_-_CP_CDS","KU159093_-_coat_protein_CDS","KU697313_-_coat_protein_CDS","LC107515_-_CP_CDS","LC155795_-_CP_CDS","MH423501_-_coat_protein_CDS","CYMRNA_-_coat_protein_CDS","JX524226_-_capsid_protein_CDS","MF978248_-_CP_CDS","AF308158_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190795__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190796__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190797__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190801__NC_002815_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190802__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190791__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190792__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190793__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190799__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11190800__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603182__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603183__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603184__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603186__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603187__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603189__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603190__NC_002815_-_coat_protein_CDS","Hylocereus_undatus_SRR11603191__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H03_pol__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_a_-_coat_protein_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_b_-_coat_protein_CDS","Schlumbergera_truncata_15H04_pet__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H04_pol__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H04_sty__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H06_pol__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_15H06_sty__NC_002815_-_coat_protein_CDS","Schlumbergera_truncata_19JSF_sty__NC_002815_-_coat_protein_CDS","AY366207_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190795__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190796__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190797__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190798__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190801__NC_024458_-_CP_CDS","Hylocereus_polyrhizus_SRR11190802__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190791__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190792__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190793__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190799__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11190800__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603182__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603183__NC_011659_-_ORF5_CDS","Hylocereus_undatus_SRR11603183__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603184__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603186__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603187__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603189__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603190__NC_024458_-_CP_CDS","Hylocereus_undatus_SRR11603191__NC_024458_-_CP_CDS","JF930327_-_CP_CDS","KM365479_-_coat_protein_CDS","KP090203_-_ORF5_CDS","KU854929_-_CP_CDS","LC107517_-_CP_CDS","LC128411_-_coat_protein_CDS","MG210801_-_CP_CDS","AY366208_-_coat_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_006059_-_CP_CDS","Hylocereus_polyrhizus_SRR11190801__NC_006059_-_CP_CDS","Hylocereus_polyrhizus_SRR11190802__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603186__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603187__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603189__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603190__NC_006059_-_CP_CDS","Hylocereus_undatus_SRR11603191__NC_006059_-_CP_CDS","JF930326_-_CP_CDS","KM288842_-_CP_CDS","KM288843_-_CP_CDS","KM288844_-_CP_CDS","KM288845_extraction","JF937699_-_coat_protein_CDS","KM288846_-_ORF3_CDS","KM288847_-_ORF3_CDS","KX883791_-_ORF3_CDS","AY366209_-_coat_protein_CDS","KU854931_-_CP_CDS","KY348771_-_CP_CDS"
"KX196173_-_CP_CDS",0,0.484552845528455,0.3042071197411,0.305825242718447,0.302588996763754,0.3042071197411,0.489430894308943,0.491056910569106,0.469918699186992,0.299352750809061,0.499186991869919,0.300970873786408,0.473170731707317,0.297734627831715,0.318770226537217,0.483660130718954,0.486842105263158,0.482529118136439,0.483221476510067,0.485049833887043,0.486754966887417,0.484297520661157,0.486842105263158,0.47972972972973,0.488524590163934,0.486842105263158,0.486842105263158,0.488486842105263,0.485809682804674,0.484193011647255,0.490131578947368,0.489256198347107,0.489291598023064,0.490968801313629,0.490131578947368,0.493399339933993,0.492610837438424,0.492610837438424,0.49016393442623,0.489326765188834,0.489326765188834,0.490131578947368,0.487603305785124,0.488372093023256,0.486178861788618,0.478048780487805,0.48371335504886,0.482871125611745,0.477759472817133,0.478618421052632,0.475,0.476422764227642,0.484552845528455,0.484552845528455,0.476422764227642,0.476422764227642,0.471760797342193,0.490196078431373,0.472636815920398,0.470978441127695,0.481239804241436,0.48371335504886,0.48371335504886,0.48202614379085,0.48202614379085,0.479674796747967,0.494308943089431,0.492659053833605,0.497560975609756,0.461788617886179,0.491056910569106,0.476422764227642,0.471544715447154,0.47098976109215,0.47008547008547,0.476422764227642,0.470588235294118,0.470684039087948,0.473083197389886,0.470588235294118,0.472222222222222,0.469918699186992,0.469918699186992,0.465040650406504,0.473170731707317,0.47479674796748,0.48130081300813,0.478048780487805,0.476422764227642,0.486178861788618,0.477124183006536,0.477124183006536,0.477124183006536
"AY800279_-_coat_protein_CDS",0.484552845528455,0,0.500813008130081,0.495934959349593,0.497560975609756,0.494308943089431,0.219551282051282,0.221153846153846,0.203525641025641,0.484552845528455,0.198717948717949,0.494308943089431,0.512820512820513,0.498381877022654,0.47411003236246,0.499189627228525,0.504078303425775,0.498349834983498,0.502495840266223,0.502471169686985,0.504105090311987,0.49672131147541,0.504078303425775,0.498322147651007,0.505691056910569,0.504078303425775,0.504078303425775,0.500815660685155,0.498344370860927,0.496699669966997,0.508972267536705,0.504105090311987,0.506535947712418,0.50814332247557,0.507340946166395,0.51227495908347,0.511400651465798,0.511400651465798,0.504065040650406,0.503257328990228,0.503257328990228,0.504078303425775,0.504918032786885,0.505766062602965,0.519354838709677,0.52258064516129,0.520193861066236,0.519417475728155,0.52124183006536,0.522022838499184,0.517355371900826,0.520967741935484,0.529032258064516,0.529032258064516,0.520967741935484,0.520967741935484,0.522240527182867,0.518638573743922,0.519736842105263,0.518092105263158,0.52588996763754,0.526655896607431,0.526655896607431,0.526742301458671,0.525121555915721,0.524193548387097,0.508064516129032,0.524271844660194,0.506451612903226,0.42258064516129,0.508064516129032,0.519354838709677,0.484702093397746,0.496621621621622,0.495769881556684,0.50402576489533,0.496763754045307,0.496774193548387,0.497576736672052,0.496763754045307,0.495145631067961,0.500805152979066,0.489533011272142,0.491143317230274,0.499194847020934,0.520128824476651,0.519354838709677,0.516129032258065,0.519354838709677,0.52741935483871,0.490291262135922,0.488673139158576,0.488673139158576
"AY863024_-_CP_CDS",0.3042071197411,0.500813008130081,0,0.0496794871794872,0.0368589743589744,0.0368589743589744,0.508943089430894,0.510569105691057,0.499186991869919,0.208333333333333,0.508943089430894,0.0608974358974359,0.483091787439614,0.298076923076923,0.322115384615385,0.446601941747573,0.441368078175896,0.441515650741351,0.440199335548173,0.440789473684211,0.442622950819672,0.443535188216039,0.441368078175896,0.434782608695652,0.439935064935065,0.441368078175896,0.441368078175896,0.446254071661238,0.44297520661157,0.438220757825371,0.447882736156352,0.443535188216039,0.445350734094617,0.447154471544715,0.446254071661238,0.447712418300654,0.447154471544715,0.447154471544715,0.443181818181818,0.442276422764228,0.442276422764228,0.439739413680782,0.436988543371522,0.439144736842105,0.460547504025765,0.460547504025765,0.456451612903226,0.455573505654281,0.460032626427406,0.460912052117264,0.46039603960396,0.465378421900161,0.463768115942029,0.463768115942029,0.465378421900161,0.465378421900161,0.453047775947282,0.464401294498382,0.453947368421053,0.453947368421053,0.460420032310178,0.462903225806452,0.462903225806452,0.461165048543689,0.459415584415584,0.462157809983897,0.447665056360709,0.45718901453958,0.458937198067633,0.452495974235105,0.450885668276973,0.454106280193237,0.455716586151369,0.451013513513513,0.450084602368866,0.463768115942029,0.457928802588997,0.458064516129032,0.458804523424879,0.457928802588997,0.454692556634304,0.462157809983897,0.462157809983897,0.458937198067633,0.460547504025765,0.468599033816425,0.44122383252818,0.446054750402576,0.444444444444444,0.444444444444444,0.475728155339806,0.459546925566343,0.459546925566343
"FJ822136_-_CP_CDS",0.305825242718447,0.495934959349593,0.0496794871794872,0,0.0641025641025641,0.0641025641025641,0.508943089430894,0.510569105691057,0.492682926829268,0.201923076923077,0.502439024390244,0.0641025641025641,0.484702093397746,0.299679487179487,0.320512820512821,0.449838187702265,0.444625407166124,0.444810543657331,0.445182724252492,0.444078947368421,0.445901639344262,0.446808510638298,0.444625407166124,0.438127090301003,0.443181818181818,0.444625407166124,0.444625407166124,0.447882736156352,0.446280991735537,0.441515650741351,0.449511400651466,0.445171849427169,0.446982055464927,0.448780487804878,0.447882736156352,0.457516339869281,0.456910569105691,0.456910569105691,0.449675324675325,0.448780487804878,0.448780487804878,0.446254071661238,0.443535188216039,0.445723684210526,0.455716586151369,0.460547504025765,0.458064516129032,0.45718901453958,0.460032626427406,0.460912052117264,0.46039603960396,0.465378421900161,0.465378421900161,0.465378421900161,0.465378421900161,0.465378421900161,0.453047775947282,0.456310679611651,0.452302631578947,0.450657894736842,0.45718901453958,0.459677419354839,0.459677419354839,0.457928802588997,0.457792207792208,0.462157809983897,0.449275362318841,0.450726978998384,0.457326892109501,0.452495974235105,0.452495974235105,0.454106280193237,0.463768115942029,0.462837837837838,0.461928934010152,0.470209339774557,0.469255663430421,0.469354838709677,0.47172859450727,0.469255663430421,0.467637540453074,0.470209339774557,0.473429951690821,0.470209339774557,0.466988727858293,0.471819645732689,0.439613526570048,0.446054750402576,0.44122383252818,0.44122383252818,0.478964401294498,0.467637540453074,0.467637540453074
"GQ179646_-_coat_protein_CDS",0.302588996763754,0.497560975609756,0.0368589743589744,0.0641025641025641,0,0.00641025641025641,0.505691056910569,0.507317073170732,0.504065040650406,0.209935897435897,0.510569105691057,0.0753205128205128,0.478260869565217,0.294871794871795,0.330128205128205,0.448220064724919,0.44299674267101,0.441515650741351,0.441860465116279,0.442434210526316,0.444262295081967,0.443535188216039,0.44299674267101,0.436454849498328,0.441558441558442,0.44299674267101,0.44299674267101,0.45114006514658,0.446280991735537,0.438220757825371,0.449511400651466,0.445171849427169,0.446982055464927,0.448780487804878,0.447882736156352,0.452614379084967,0.452032520325203,0.452032520325203,0.444805194805195,0.44390243902439,0.44390243902439,0.44299674267101,0.440261865793781,0.444078947368421,0.458937198067633,0.458937198067633,0.454838709677419,0.453957996768982,0.458401305057096,0.45928338762215,0.457095709570957,0.463768115942029,0.462157809983897,0.462157809983897,0.463768115942029,0.463768115942029,0.451400329489292,0.459546925566343,0.452302631578947,0.452302631578947,0.458804523424879,0.461290322580645,0.461290322580645,0.459546925566343,0.457792207792208,0.460547504025765,0.449275362318841,0.449111470113086,0.455716586151369,0.460547504025765,0.452495974235105,0.452495974235105,0.460547504025765,0.459459459459459,0.458544839255499,0.468599033816425,0.459546925566343,0.459677419354839,0.462035541195477,0.459546925566343,0.457928802588997,0.466988727858293,0.466988727858293,0.463768115942029,0.470209339774557,0.476650563607085,0.446054750402576,0.450885668276973,0.447665056360709,0.449275362318841,0.480582524271845,0.464401294498382,0.464401294498382
"GQ179647_-_coat_protein_CDS",0.3042071197411,0.494308943089431,0.0368589743589744,0.0641025641025641,0.00641025641025641,0,0.502439024390244,0.504065040650406,0.504065040650406,0.211538461538462,0.51219512195122,0.0753205128205128,0.478260869565217,0.294871794871795,0.330128205128205,0.448220064724919,0.44299674267101,0.441515650741351,0.441860465116279,0.442434210526316,0.444262295081967,0.443535188216039,0.44299674267101,0.436454849498328,0.441558441558442,0.44299674267101,0.44299674267101,0.45114006514658,0.446280991735537,0.438220757825371,0.449511400651466,0.445171849427169,0.446982055464927,0.448780487804878,0.447882736156352,0.452614379084967,0.452032520325203,0.452032520325203,0.444805194805195,0.44390243902439,0.44390243902439,0.44299674267101,0.440261865793781,0.444078947368421,0.457326892109501,0.462157809983897,0.458064516129032,0.45718901453958,0.461663947797716,0.462540716612378,0.46039603960396,0.466988727858293,0.465378421900161,0.465378421900161,0.466988727858293,0.466988727858293,0.454695222405272,0.457928802588997,0.455592105263158,0.455592105263158,0.462035541195477,0.464516129032258,0.464516129032258,0.462783171521036,0.461038961038961,0.463768115942029,0.449275362318841,0.447495961227787,0.455716586151369,0.458937198067633,0.452495974235105,0.455716586151369,0.458937198067633,0.45777027027027,0.456852791878173,0.466988727858293,0.461165048543689,0.461290322580645,0.463651050080775,0.461165048543689,0.459546925566343,0.465378421900161,0.465378421900161,0.462157809983897,0.468599033816425,0.476650563607085,0.444444444444444,0.449275362318841,0.446054750402576,0.447665056360709,0.480582524271845,0.464401294498382,0.464401294498382
"KT717325_-_CP_CDS",0.489430894308943,0.219551282051282,0.508943089430894,0.508943089430894,0.505691056910569,0.502439024390244,0,0.0016025641025641,0.195512820512821,0.48130081300813,0.246794871794872,0.499186991869919,0.483974358974359,0.48705501618123,0.504854368932039,0.487844408427877,0.494290375203915,0.485148514851485,0.484193011647255,0.489291598023064,0.490968801313629,0.486885245901639,0.489396411092985,0.488255033557047,0.492682926829268,0.487765089722675,0.487765089722675,0.487765089722675,0.485099337748344,0.486798679867987,0.492659053833605,0.486042692939245,0.488562091503268,0.49185667752443,0.489396411092985,0.492635024549918,0.49185667752443,0.49185667752443,0.492682926829268,0.493485342019544,0.493485342019544,0.492659053833605,0.491803278688525,0.494233937397035,0.519354838709677,0.485483870967742,0.489499192245557,0.488673139158576,0.480392156862745,0.481239804241436,0.47603305785124,0.482258064516129,0.490322580645161,0.490322580645161,0.482258064516129,0.482258064516129,0.484349258649094,0.518638573743922,0.483552631578947,0.481907894736842,0.490291262135922,0.491114701130856,0.491114701130856,0.491085899513776,0.491085899513776,0.487096774193548,0.490322580645161,0.509708737864078,0.506451612903226,0.424193548387097,0.495161290322581,0.488709677419355,0.470209339774557,0.481418918918919,0.480541455160744,0.491143317230274,0.48705501618123,0.485483870967742,0.48626817447496,0.48705501618123,0.485436893203884,0.489533011272142,0.48792270531401,0.491143317230274,0.484702093397746,0.502415458937198,0.496774193548387,0.503225806451613,0.503225806451613,0.503225806451613,0.514563106796116,0.51294498381877,0.51294498381877
"KU159093_-_coat_protein_CDS",0.491056910569106,0.221153846153846,0.510569105691057,0.510569105691057,0.507317073170732,0.504065040650406,0.0016025641025641,0,0.193910256410256,0.48130081300813,0.245192307692308,0.500813008130081,0.485576923076923,0.48705501618123,0.504854368932039,0.486223662884927,0.492659053833605,0.483498349834984,0.482529118136439,0.487644151565074,0.489326765188834,0.485245901639344,0.487765089722675,0.486577181208054,0.491056910569106,0.486133768352365,0.486133768352365,0.486133768352365,0.483443708609272,0.485148514851485,0.491027732463295,0.48440065681445,0.486928104575163,0.490228013029316,0.487765089722675,0.490998363338789,0.490228013029316,0.490228013029316,0.491056910569106,0.49185667752443,0.49185667752443,0.491027732463295,0.49016393442623,0.492586490939044,0.517741935483871,0.483870967741935,0.487883683360259,0.48705501618123,0.478758169934641,0.479608482871126,0.474380165289256,0.480645161290323,0.488709677419355,0.488709677419355,0.480645161290323,0.480645161290323,0.482701812191104,0.517017828200972,0.481907894736842,0.480263157894737,0.488673139158576,0.489499192245557,0.489499192245557,0.489465153970827,0.489465153970827,0.485483870967742,0.488709677419355,0.508090614886731,0.504838709677419,0.424193548387097,0.493548387096774,0.487096774193548,0.471819645732689,0.483108108108108,0.482233502538071,0.492753623188406,0.485436893203884,0.483870967741935,0.484652665589661,0.485436893203884,0.483818770226537,0.491143317230274,0.489533011272142,0.492753623188406,0.486312399355878,0.50402576489533,0.495161290322581,0.501612903225806,0.501612903225806,0.501612903225806,0.51294498381877,0.511326860841424,0.511326860841424
"KU697313_-_coat_protein_CDS",0.469918699186992,0.203525641025641,0.499186991869919,0.492682926829268,0.504065040650406,0.504065040650406,0.195512820512821,0.193910256410256,0,0.466666666666667,0.219551282051282,0.499186991869919,0.482371794871795,0.5,0.478964401294498,0.487844408427877,0.494290375203915,0.493399339933993,0.494176372712146,0.492586490939044,0.494252873563218,0.49016393442623,0.491027732463295,0.488255033557047,0.492682926829268,0.491027732463295,0.491027732463295,0.491027732463295,0.486754966887417,0.485148514851485,0.492659053833605,0.48440065681445,0.486928104575163,0.49185667752443,0.487765089722675,0.490998363338789,0.490228013029316,0.490228013029316,0.489430894308943,0.490228013029316,0.490228013029316,0.489396411092985,0.488524590163934,0.490939044481054,0.512903225806452,0.511290322580645,0.510500807754443,0.509708737864078,0.506535947712418,0.507340946166395,0.504132231404959,0.509677419354839,0.514516129032258,0.514516129032258,0.509677419354839,0.509677419354839,0.510708401976936,0.513776337115073,0.508223684210526,0.506578947368421,0.516181229773463,0.516962843295638,0.516962843295638,0.517017828200972,0.513776337115073,0.512903225806452,0.496774193548387,0.509708737864078,0.508064516129032,0.417741935483871,0.493548387096774,0.509677419354839,0.471819645732689,0.478040540540541,0.477157360406091,0.489533011272142,0.478964401294498,0.479032258064516,0.479806138933764,0.478964401294498,0.478964401294498,0.483091787439614,0.479871175523349,0.481481481481481,0.489533011272142,0.497584541062802,0.491935483870968,0.498387096774194,0.498387096774194,0.496774193548387,0.511326860841424,0.506472491909385,0.506472491909385
"LC107515_-_CP_CDS",0.299352750809061,0.484552845528455,0.208333333333333,0.201923076923077,0.209935897435897,0.211538461538462,0.48130081300813,0.48130081300813,0.466666666666667,0,0.494308943089431,0.201923076923077,0.463768115942029,0.280448717948718,0.301282051282051,0.456310679611651,0.456026058631922,0.456342668863262,0.453488372093023,0.450657894736842,0.452459016393443,0.454991816693944,0.454397394136808,0.449832775919732,0.451298701298701,0.452768729641694,0.452768729641694,0.452768729641694,0.454545454545455,0.454695222405272,0.456026058631922,0.454991816693944,0.456769983686786,0.456910569105691,0.456026058631922,0.459150326797386,0.458536585365854,0.458536585365854,0.451298701298701,0.452032520325203,0.452032520325203,0.45114006514658,0.446808510638298,0.449013157894737,0.484702093397746,0.447665056360709,0.448387096774194,0.447495961227787,0.443719412724307,0.444625407166124,0.437293729372937,0.444444444444444,0.454106280193237,0.454106280193237,0.444444444444444,0.444444444444444,0.439868204283361,0.485436893203884,0.439144736842105,0.4375,0.444264943457189,0.448387096774194,0.448387096774194,0.444983818770227,0.444805194805195,0.446054750402576,0.457326892109501,0.484652665589661,0.475040257648953,0.454106280193237,0.454106280193237,0.446054750402576,0.438003220611916,0.432432432432432,0.431472081218274,0.449275362318841,0.44336569579288,0.441935483870968,0.444264943457189,0.44336569579288,0.440129449838188,0.447665056360709,0.44122383252818,0.44122383252818,0.442834138486312,0.457326892109501,0.439613526570048,0.44122383252818,0.436392914653784,0.442834138486312,0.496763754045307,0.496763754045307,0.496763754045307
