"","MG210801_-_RdRp_CDS","AY800279_-_viral_replicase_CDS","KT717325_-_RdRP_CDS","KU159093_-_RNA-dependent_RNA_polymerase_CDS","KU697313_-_RNA-dependent_RNA_polymerase_CDS","LC107517_-_RdRp_CDS","LC155795_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_19JSF_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190796__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190801__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190792__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603182__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603186__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603189__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_a_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H06_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190802__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190791__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190793__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190799__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190800__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190797__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190795__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190798__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pet__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_b_-_RNA-dependent_RNA_polymerase_CDS","KX196173_-_RdRp_CDS","MF978248_-_RdRp_CDS","Schlumbergera_truncata_15H05_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AY863024_-_ORF1_CDS","FJ822136_-_RdRp_CDS","GQ179646_-_replicase_CDS","GQ179647_-_replicase_CDS","LC107515_-_RdRp_CDS","MH423501_-_replicase_CDS","Schlumbergera_truncata_15H06_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603190__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603191__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","JF937699_-_RNA-dependent_RNA_polymerase_CDS","KX883791_-_ORF1_CDS","LC128411_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603183__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603184__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AF308158_-_RNA-dependent_RNA_polymerase_CDS","AY366208_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190796__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603189__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_006059_-_RdRp_CDS","JF930326_-_RdRp_CDS","AY366207_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190801__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190802__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603183__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603184__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603187__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603189__NC_011659_-_replication-associated_protein_CDS","KP090203_-_ORF1_CDS","KU854929_-_RdRp_CDS","JX524226_-_CDS","AY366209_-_replication-associated_protein_CDS","KU854931_-_RdRp_CDS","KY348771_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190795__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190796__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190791__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190792__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190793__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190799__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11190800__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603182__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603183__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603184__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603189__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_024458_-_RdRp_CDS","JF930327_-_similar_to_RdRp","CYMRNA_-_replicase_CDS"
"MG210801_-_RdRp_CDS",0,0.453730387447967,0.448243114909782,0.449509338398227,0.45007874015748,0.423196517412935,0.46488188976378,0.293690675600223,0.302714559912257,0.29792600896861,0.302631578947368,0.301260964912281,0.300468190581107,0.292710385589643,0.302947598253275,0.301721781907625,0.300355288330145,0.304229195088677,0.302509547190398,0.298898071625344,0.30426514534094,0.302964373130269,0.304158738787714,0.30453681064928,0.294789634995821,0.303838823849714,0.303294309828478,0.300714678394722,0.303620405924301,0.304347826086957,0.443579766536965,0.461880912632165,0.303069888961463,0.440078037904125,0.436733556298774,0.430880713489409,0.438963210702341,0.437272981279687,0.435897435897436,0.301013420980553,0.300930996714129,0.301175184476633,0.302915766738661,0.301835853131749,0.303855486654085,0.29413407821229,0.300710770913067,0.309870550161812,0.311862587224906,0.299073294018534,0.304153889043769,0.305563093622795,0.30625507717303,0.303444505194095,0.311639211450176,0.31201289975813,0.310985460420032,0.310978907517577,0.311015118790497,0.311493018259936,0.295320064550834,0.262295081967213,0.2606523655598,0.295767053114047,0.287585266030014,0.266473149492017,0.267089702913181,0.279798545047566,0.294228694714132,0.292361484669177,0.450915141430948,0.343515541264737,0.340836012861736,0.342711682743837,0.020338087691495,0.0150674068199841,0.0150674068199841,0.00807537012113055,0.00777271508978826,0.00834454912516824,0.0139989434759641,0.0150554675118859,0.0150554675118859,0.0139989434759641,0.0139989434759641,0.00861372812920592,0.00860677783754707,0.00861836789657958,0.013238019592269,0.0140397350993377,0.0140360169491525,0.0129801324503311,0.0127591706539075,0.0190174326465927,0.467219694942467
"AY800279_-_viral_replicase_CDS",0.453730387447967,0,0.232404692082111,0.229960899315738,0.217826617826618,0.382662221082329,0.224007791575359,0.438867438867439,0.441555162837667,0.438659793814433,0.441696113074205,0.43972706595906,0.439086294416244,0.43418670804241,0.440814274943453,0.443913480885312,0.442932728647014,0.440673705379588,0.440452261306533,0.439321003293641,0.44180225281602,0.441382765531062,0.441912869303956,0.442052565707134,0.436074814245452,0.44079277471149,0.442771084337349,0.439067646313656,0.441414141414141,0.440554156171285,0.447508221603845,0.453340005003753,0.437801350048216,0.431234256926952,0.431234256926952,0.429974811083123,0.43375314861461,0.430843008581524,0.429974811083123,0.440413202317964,0.443828715365239,0.445786163522013,0.446023435552231,0.445524806781351,0.446681580909769,0.437692307692308,0.440976591995973,0.449415858811832,0.435238332917395,0.420997649516845,0.424815983175605,0.428716130665991,0.429545454545455,0.425591452556601,0.43079628234112,0.431642089477631,0.43164747120681,0.430831031885513,0.429789368104313,0.433208489388265,0.453210552513688,0.430226293103448,0.429575560962422,0.450897308075773,0.447275479313824,0.429224973089343,0.430649070832211,0.442601710287639,0.448577134298552,0.443006470881035,0.436059761965054,0.446130878327942,0.444140333416273,0.442398606618562,0.445942571785268,0.443221610805403,0.4430823117338,0.439847715736041,0.440506329113924,0.440406607369759,0.442696629213483,0.45474071801166,0.444694132334582,0.442696629213483,0.442696629213483,0.440751078406496,0.440892947742263,0.440294715447154,0.442914371557336,0.443275732531931,0.443554443053817,0.442885771543086,0.442409033877039,0.444444444444444,0.444801185477896
"KT717325_-_RdRP_CDS",0.448243114909782,0.232404692082111,0,0.0130340333091962,0.221253933672234,0.378378378378378,0.243060584117789,0.437244897959184,0.444833625218914,0.437691521961185,0.444972486243122,0.441272226396193,0.439889336016097,0.435706967213115,0.439850560398506,0.441924227318046,0.441448189762796,0.441454907822621,0.443725099601594,0.439367311072056,0.440089307864054,0.443147964250248,0.440198511166253,0.440337385264202,0.436802030456853,0.441571357533565,0.443034825870647,0.439618378106955,0.444944944944945,0.441337993010484,0.450739533717724,0.454004463178775,0.44169049888783,0.438092860708937,0.433349975037444,0.432850723914129,0.436345481777334,0.433966983491746,0.431352970544184,0.443445692883895,0.441337993010484,0.441286462228871,0.44403261675315,0.445021003212256,0.445676274944568,0.435434672089476,0.440369261477046,0.448632668144863,0.431857531535988,0.422957600827301,0.425520833333333,0.427101631116688,0.427177177177177,0.428031257877489,0.427433408015932,0.429279167698786,0.4287841191067,0.427718337894999,0.42668986083499,0.433556050482554,0.452146028613715,0.430707610146862,0.430868167202572,0.4529280948851,0.445,0.430666666666667,0.431623931623932,0.440564826700899,0.449282533399307,0.448199309324124,0.439899623588457,0.45050604788941,0.450752900518391,0.449518637373488,0.442464736451373,0.442240951908775,0.442102653111827,0.43874213836478,0.438393977415307,0.439546599496222,0.443454590447909,0.449772382397572,0.442959663449641,0.443454590447909,0.443454590447909,0.436981132075472,0.437374245472837,0.436523929471033,0.442183622828784,0.442789774137503,0.442818159265691,0.441906653426018,0.441791044776119,0.44097995545657,0.441615667074663
"KU159093_-_RNA-dependent_RNA_polymerase_CDS",0.449509338398227,0.229960899315738,0.0130340333091962,0,0.218349068022271,0.378123406425293,0.240888245232923,0.436734693877551,0.443832874655992,0.436670071501532,0.443971985992996,0.440520911595292,0.439134808853119,0.435194672131148,0.439103362391034,0.441176470588235,0.440699126092385,0.440458395615346,0.442729083665339,0.43886517700226,0.439841230463905,0.44240317775571,0.439950372208437,0.440089307864054,0.436040609137056,0.44057682744903,0.442537313432836,0.43886517700226,0.443943943943944,0.440339490763854,0.449486086738531,0.455740143813538,0.440419447092469,0.439091362955567,0.434598102845731,0.433599600599101,0.437094358462307,0.434217108554277,0.432101847229156,0.442446941323346,0.440589116325512,0.44053851907255,0.445515196441809,0.446503582900914,0.444937176644494,0.434926283680732,0.439620758483034,0.448386302044839,0.430126143952511,0.421923474663909,0.425,0.425846925972396,0.425925925925926,0.427527098563146,0.425939756036843,0.427792915531335,0.427295285359801,0.426225429211247,0.424701789264414,0.432318732986884,0.451159348791317,0.430173564753004,0.430332261521972,0.453175191499876,0.44475,0.430666666666667,0.431089743589744,0.4400513478819,0.448787728847105,0.448692649235323,0.442158092848181,0.449024932115527,0.450012342631449,0.448531226857566,0.443454590447909,0.442736737729301,0.442598561864617,0.439748427672956,0.43939774153074,0.440554156171285,0.443949517446177,0.450075872534143,0.443207126948775,0.443949517446177,0.443949517446177,0.437735849056604,0.438128772635815,0.43727959697733,0.4424317617866,0.443037974683544,0.44306623666584,0.442154915590864,0.441791044776119,0.442464736451373,0.440636474908201
"KU697313_-_RNA-dependent_RNA_polymerase_CDS",0.45007874015748,0.217826617826618,0.221253933672234,0.218349068022271,0,0.359644670050761,0.232827187274042,0.427191867852605,0.434836780463494,0.429770992366412,0.434977578475336,0.429533549513594,0.42946629917314,0.422409392547218,0.431654676258993,0.434458788480636,0.433474260134295,0.433250620347395,0.434275793650794,0.428,0.432171979243884,0.429772502472799,0.432278793870489,0.432419075858661,0.426585797321203,0.433382862803368,0.431615460852329,0.429464732366183,0.434945164506481,0.433117851815017,0.439200998751561,0.458878735490244,0.424280746127095,0.439830929885629,0.436101442068623,0.437095972153158,0.440825459970164,0.43074240159442,0.433117851815017,0.433722954488933,0.434112381899552,0.435559970201142,0.43908442037903,0.438346049716958,0.437546012269939,0.426075949367089,0.431908548707753,0.437055214723926,0.427691549642769,0.418814432989691,0.422827496757458,0.422644338915271,0.423230309072782,0.419784082349987,0.42499380114059,0.425610658771281,0.425358378645576,0.424783147459727,0.425,0.426669953167365,0.451597051597052,0.433165027903269,0.432533333333333,0.454097957174502,0.44746015936255,0.43312101910828,0.432561851556265,0.443109179238047,0.450961064563825,0.447420147420147,0.441639590102474,0.444853844264309,0.442397445345124,0.442397445345124,0.44170569386246,0.44,0.439861694245493,0.435762584522915,0.435782108945527,0.435665914221219,0.440473256100567,0.450317124735729,0.440719743652946,0.440473256100567,0.440473256100567,0.43436873747495,0.434510393188079,0.434161023325809,0.438952051408799,0.439199209095403,0.439229249011858,0.438813349814586,0.438196680703493,0.440966231205324,0.440302144249513
"LC107517_-_RdRp_CDS",0.423196517412935,0.382662221082329,0.378378378378378,0.378123406425293,0.359644670050761,0,0.383697308278314,0.416855917234418,0.421639019559297,0.415571284125379,0.421782178217822,0.418483647175421,0.419716206123973,0.413985305295161,0.421000739462657,0.42314335060449,0.422924901185771,0.42085798816568,0.421389847215377,0.418737574552684,0.420574515099435,0.421621621621622,0.420677799607073,0.420820034372698,0.415160642570281,0.421013779527559,0.420236336779911,0.419980119284294,0.421495789995047,0.420948616600791,0.430932412432166,0.442755577347389,0.414128728414443,0.426003447426742,0.425018468357547,0.423540999753755,0.425510957892145,0.41820873427091,0.421078552080768,0.420909540286703,0.423029404497158,0.424063116370809,0.426621160409556,0.429546562652365,0.424774445257254,0.41559748427673,0.420390027153789,0.425018288222385,0.416890407615328,0.407871198568873,0.408483290488432,0.408516959643476,0.409382716049383,0.410843073862223,0.4114468189634,0.412469437652812,0.412095984329089,0.411345776031434,0.413581760235352,0.418070818070818,0.436966593513777,0.41897964578377,0.417506631299735,0.438202247191011,0.435029644268775,0.41948257655755,0.420121468180618,0.431651027136698,0.435069699192957,0.43306510607169,0.428536163910146,0.429302779132131,0.427352510970258,0.429302779132131,0.424841386041972,0.422635052554388,0.422493887530562,0.419722497522299,0.4199604743083,0.419890873015873,0.42606149341142,0.426909307875895,0.423865300146413,0.42606149341142,0.42606149341142,0.419930589985126,0.420074349442379,0.420203524447754,0.422314656227061,0.423152227116985,0.423434442270059,0.422314656227061,0.422124110865833,0.424353343094192,0.436527237354086
"LC155795_-_RdRp_CDS",0.46488188976378,0.224007791575359,0.243060584117789,0.240888245232923,0.232827187274042,0.383697308278314,0,0.434705284552846,0.435833540991777,0.432824427480916,0.435974090682611,0.438263906211025,0.44024054121774,0.433528961469763,0.441329694864798,0.439920556107249,0.438945535936334,0.438461538461538,0.435763888888889,0.437609402350588,0.438843587842847,0.440900098911968,0.438952051408799,0.439090684457623,0.435651074589128,0.438831104507182,0.441278493557978,0.440220110055028,0.435692921236291,0.437841869716559,0.452684144818976,0.454186218819462,0.438507745810939,0.445549477871706,0.441074092491298,0.4425658876181,0.449030333167578,0.441953163926258,0.43858776727996,0.435215120616762,0.439582297364495,0.44002979885771,0.449667733202067,0.451882845188285,0.442208588957055,0.4353000759686,0.439115308151093,0.444662576687117,0.435082532643508,0.427209482092244,0.428682572614108,0.434141464633842,0.435194416749751,0.42982676374592,0.432928341185222,0.433752775721688,0.433267424616906,0.43271375464684,0.432920792079208,0.432092679319694,0.454791154791155,0.431117021276596,0.431278356018148,0.456559192714743,0.448456175298805,0.433466135458167,0.43563829787234,0.44489900281258,0.448496796451454,0.452088452088452,0.439390152461885,0.451240481454188,0.450503561778433,0.451240481454188,0.454769534138526,0.455061728395062,0.454927142504322,0.450263091956903,0.450387403149213,0.448820873055695,0.454769534138526,0.465418302627605,0.454769534138526,0.454769534138526,0.454769534138526,0.450012528188424,0.450400801603206,0.449824385348721,0.453781512605042,0.45389369592089,0.454163577958982,0.45375865479723,0.453171456888008,0.453290608824254,0.447855750487329
"Hylocereus_undatus_SRR11603187__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",0.293690675600223,0.438867438867439,0.437244897959184,0.436734693877551,0.427191867852605,0.416855917234418,0.434705284552846,0,0.0303848750844024,0.0227377124483234,0.0303780378037804,0.00788110785859041,0.010640706361784,0.00321691176470588,0.0136832660385823,0.000224618149146451,0,0.0302962298025135,0.0304864380183815,0.00518602029312289,0.0183322155153141,0.0181208053691275,0.0181208053691275,0.0181127012522361,0.00548320767649075,0.0304727761595339,0.00919901278887144,0.0106286748077793,0.0305892937471885,0.0303302628622781,0.450993989828941,0.453727209785368,0.0160620326779286,0.437947769817425,0.435867806794546,0.432632308758955,0.437023341807257,0.430391475561733,0.430090131730991,0.0283273381294964,0.000224769611148573,0,0.209166479442822,0.209840485284206,0.00782122905027933,0.00409183905433053,0.011001347103727,0.0181046043808672,0.252250225022502,0.239033544452264,0.24333254661317,0.246129326047359,0.247216541695069,0.247542857142857,0.249660479855138,0.249887336638125,0.248475265416761,0.249717002490378,0.248643761301989,0.25078793336335,0.311541929666366,0.284387979477156,0.28343949044586,0.310212381382738,0.307692307692308,0.287591240875912,0.28879206003389,0.301657716553817,0.311793944871216,0.308160504959423,0.433988439306358,0.338202247191011,0.338202247191011,0.338651685393258,0.288253825382538,0.288288288288288,0.288288288288288,0.283394327538884,0.284215328467153,0.282997250229148,0.286228622862286,0.294799245486392,0.287578757875788,0.286228622862286,0.286228622862286,0.283588921950103,0.283687943262411,0.28355474118186,0.288903924221922,0.288487584650113,0.288969095420708,0.288808664259928,0.287299071768168,0.287353735373537,0.446669666966697
"Schlumbergera_truncata_15H04_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",0.302714559912257,0.441555162837667,0.444833625218914,0.443832874655992,0.434836780463494,0.421639019559297,0.435833540991777,0.0303848750844024,0,0.00628225263630245,0,0.0327144120247569,0.035920177383592,0.0267634384214108,0.0389010989010989,0.0429420832415767,0.0422721268163804,0.0188431200701139,0.00175246440306681,0.0323940536942534,0.0416119141480508,0.0412009642778874,0.0416301489921122,0.0416119141480508,0.0287511230907457,0.0188431200701139,0.0358320510002198,0.0363153232949513,0,0.0188431200701139,0.455266138165345,0.459746720940751,0.0334141740770682,0.44326160815402,0.442808607021518,0.439184597961495,0.442808607021518,0.434960272417707,0.435107587768969,0.00153879973620576,0.0427501101806963,0.042511013215859,0.219678626458287,0.220779220779221,0.0431355375520035,0.0298675050527734,0.036979969183359,0.0470871660096364,0.261022927689594,0.246663598711459,0.251273737841593,0.254237288135593,0.254954353150746,0.254932735426009,0.256876663708962,0.257010377566792,0.255808807258243,0.256768752774079,0.25631369073992,0.257388619320688,0.321625800751049,0.295345489443378,0.294273339749759,0.322045152722444,0.318649373881932,0.297968936678614,0.298404381995713,0.311268896014659,0.32203765227021,0.315440689198144,0.439383639247677,0.346399471482052,0.346179255670557,0.347940982162519,0.295920617420066,0.296533451092956,0.296378091872792,0.290329818263406,0.291051454138702,0.290337078651685,0.292833517089305,0.303198519693365,0.295259095920617,0.292833517089305,0.292833517089305,0.291358024691358,0.291292639138241,0.29117052347787,0.296198054818744,0.295796460176991,0.296263541896971,0.296107916850951,0.294587400177462,0.295259095920617,0.454906284454245
"Schlumbergera_truncata_19JSF_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",0.29792600896861,0.438659793814433,0.437691521961185,0.436670071501532,0.429770992366412,0.415571284125379,0.432824427480916,0.0227377124483234,0.00628225263630245,0,0.00628225263630245,0.0252821670428894,0.0276018099547511,0.0191951896392229,0.0303234501347709,0.035095613048369,0.033970753655793,0.0100783874580067,0.00559785042543663,0.0242300724637681,0.0329079919408999,0.0327060931899642,0.0329153605015674,0.0329079919408999,0.0213107241063245,0.0100783874580067,0.0280772686433064,0.0280162675101672,0.00628366247755835,0.0100874243443174,0.450231481481481,0.453872832369942,0.0264608599779493,0.438555889840315,0.437167322379079,0.434158759546401,0.437861606109697,0.43238227789376,0.429761629252488,0.00359389038634322,0.0348863380598695,0.034412955465587,0.21169853768279,0.21214848143982,0.0353625783348254,0.0220032088012835,0.0290213723284589,0.0389523169912693,0.251295920667117,0.237244298142488,0.241779039507925,0.244642042863657,0.245334547109695,0.246393405083581,0.245860739396689,0.246219814940194,0.2449672019905,0.24574540503744,0.245526613816535,0.248027057497182,0.315195303680289,0.288551115469478,0.287364798426745,0.314550803349174,0.31117203564085,0.291361639824305,0.29289007522446,0.30512041150339,0.315527387958352,0.308421765635584,0.434561037757702,0.341661039837947,0.341661039837947,0.343461625028134,0.290126239855726,0.29113067027759,0.29097065462754,0.285255675303829,0.285681610247027,0.284795590261828,0.287871956717764,0.299189189189189,0.290351668169522,0.287871956717764,0.287871956717764,0.286140431390546,0.286238532110092,0.2859439595774,0.291007681879801,0.290432028952726,0.290913200723327,0.290913200723327,0.289437896645512,0.289675383228133,0.448602344454463
