Name,Accession,Created Date,Description,Organism,Sequence Length,Size,host
AF308158,AF308158.2,Mon Jul 02 00:00:00 CDT 2001,"Cactus virus X, complete genome",Cactus virus X,6614,21 KB,Hylocereus undatus
AY366207,AY366207.2,Fri Apr 23 00:00:00 CDT 2004,"Schlumbergera virus X strain K11, complete genome",Schlumbergera virus X,6633,19 KB,
AY366208,AY366208.1,Fri Apr 23 00:00:00 CDT 2004,"Zygocactus virus X strain B1 replication-associated protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",Zygocactus virus X,6624,18 KB,
AY366209,AY366209.1,Fri Apr 23 00:00:00 CDT 2004,"Opuntia virus X strain CC10 replication-associated protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",Opuntia virus X,6653,18 KB,
AY800279,AY800279.1,Fri Jul 01 00:00:00 CDT 2005,"Nandina mosaic virus isolate PLH 1, complete genome",Nandina mosaic virus,6066,16 KB,
AY863024,AY863024.1,Fri Dec 23 00:00:00 CST 2005,"Alternanthera mosaic virus, complete genome",Alternanthera mosaic virus,6607,26 KB,Phlox stolonifera cv. Sherwood Purple
CYMRNA,D29630.1,Fri Mar 25 00:00:00 CST 1994,"Clover yellow mosaic virus genomic RNA, complete sequence",Clover yellow mosaic virus,7015,11 KB,
FJ822136,FJ822136.1,Sun Apr 05 00:00:00 CDT 2009,"Alternanthera mosaic virus from Portulaca grandiflora, complete genome",Alternanthera mosaic virus,6606,21 KB,Portulaca grandiflora
GQ179646,GQ179646.1,Wed Sep 16 00:00:00 CDT 2009,"Alternanthera mosaic virus isolate SP 3-1, complete genome",Alternanthera mosaic virus,6607,19 KB,Phlox stolonifera cv. Sherwood Purple
GQ179647,GQ179647.1,Wed Sep 16 00:00:00 CDT 2009,"Alternanthera mosaic virus isolate SP 4-7, complete genome",Alternanthera mosaic virus,6607,19 KB,Phlox stolonifera cv. Sherwood Purple
JF930326,JF930326.1,Tue Jul 01 00:00:00 CDT 2014,"Zygocactus virus X isolate P39, complete genome",Zygocactus virus X,6624,18 KB,Hylocereus sp.
JF930327,JF930327.1,Tue Jul 01 00:00:00 CDT 2014,"Pitaya virus X isolate P37, complete genome",Pitaya virus X,6677,18 KB,Hylocereus sp.
JF937699,JF937699.1,Tue Jul 01 00:00:00 CDT 2014,"Cactus virus X isolate NTU, complete genome",Cactus virus X,6627,18 KB,Hylocereus sp.
JX524226,JX524226.1,Sun Oct 28 00:00:00 CDT 2012,"Papaya mosaic virus isolate PMV-HN, complete genome",Papaya mosaic virus,6656,19 KB,Carica papaya
