Name,name_updated,# Nucleotide Sequences With Mates,# Nucleotides,# Sequences,# Source Sequences,% Identical Sites,% Of Ref Seq,% Pairwise Identity,HQ%,LQ%,MQ%,Max Sequence Length,Mean Coverage,Min Sequence Length,Ref Seq Name,Sequence Length
Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus - NC_002815 consensus sequence,SRR11190795A,280210,,,280211,4.70%,99.70%,99.30%,99.60%,0.30%,0.10%,,6280.297399,,NC_002815,6614
Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus - NC_006059 consensus sequence,SRR11190795B,1686,,,1687,89.00%,99.20%,97.00%,98.30%,0.90%,0.80%,,37.46225845,,NC_006059,6624
Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus - NC_011659 consensus sequence,SRR11190795C,9826,,,9827,75.90%,98.00%,99.50%,97.80%,2.10%,0.20%,,220.4144429,,NC_011659,6633
Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus - NC_024458 consensus sequence,SRR11190795D,98604,,,98605,18.70%,100.00%,99.40%,99.90%,0.00%,0.00%,,2192.424592,,NC_024458,6677
Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus - NC_002815 consensus sequence,SRR11190796A,93508,,,93509,23.20%,99.60%,98.90%,99.50%,0.40%,0.10%,,2099.497279,,NC_002815,6614
Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus - NC_006059 consensus sequence,SRR11190796B,3974,,,3975,85.20%,99.40%,96.70%,99.20%,0.60%,0.20%,,88.73611111,,NC_006059,6624
Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus - NC_011659 consensus sequence,SRR11190796C,26640,,,26641,62.50%,99.00%,99.60%,98.00%,1.00%,1.00%,,598.1062867,,NC_011659,6633
Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus - NC_024458 consensus sequence,SRR11190796D,250762,,,250763,6.00%,100.00%,99.20%,100.00%,0.00%,0.00%,,5579.396286,,NC_024458,6677
Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus - NC_002815 consensus sequence,SRR11190797A,108752,,,108753,3.20%,99.60%,98.20%,99.50%,0.40%,0.00%,,2426.628213,,NC_002815,6614
Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus - NC_006059 consensus sequence,SRR11190797B,4164,,,4165,72.30%,99.80%,95.60%,99.80%,0.20%,0.10%,,92.36262077,,NC_006059,6624
Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus - NC_011659 consensus sequence,SRR11190797C,48262,,,48263,23.10%,98.20%,99.30%,98.10%,1.80%,0.00%,,1077.0199,,NC_011659,6633
Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus - NC_024458 consensus sequence,SRR11190797D,174598,,,174599,0.90%,99.90%,98.50%,99.90%,0.10%,0.00%,,3855.833159,,NC_024458,6677
Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus - NC_002815 consensus sequence,SRR11190798A,46438,,,46439,13.60%,99.60%,98.10%,99.50%,0.40%,0.10%,,1035.785455,,NC_002815,6614
Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus - NC_006059 consensus sequence,SRR11190798B,10292,,,10293,61.10%,99.80%,96.30%,99.70%,0.20%,0.10%,,229.9144022,,NC_006059,6624
Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus - NC_011659 consensus sequence,SRR11190798C,74072,,,74073,12.60%,99.70%,95.70%,99.70%,0.30%,0.00%,,1654.827831,,NC_011659,6633
Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus - NC_024458 consensus sequence,SRR11190798D,271450,,,271451,0.70%,100.00%,98.20%,99.90%,0.00%,0.10%,,6005.159653,,NC_024458,6677
Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus - NC_002815 consensus sequence,SRR11190801A,45396,,,45397,12.60%,99.40%,98.30%,99.40%,0.60%,0.00%,,1011.93423,,NC_002815,6614
