Name,Accession,Description,Organism,Sequence Length,host
AF308158,AF308158.2,"Cactus virus X, complete genome",Cactus virus X,6614,Hylocereus undatus
AY366207,AY366207.2,"Schlumbergera virus X strain K11, complete genome",Schlumbergera virus X,6633,
AY366208,AY366208.1,"Zygocactus virus X strain B1 replication-associated protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",Zygocactus virus X,6624,
AY366209,AY366209.1,"Opuntia virus X strain CC10 replication-associated protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",Opuntia virus X,6653,
AY800279,AY800279.1,"Nandina mosaic virus isolate PLH 1, complete genome",Nandina mosaic virus,6066,
AY863024,AY863024.1,"Alternanthera mosaic virus, complete genome",Alternanthera mosaic virus,6607,Phlox stolonifera cv. Sherwood Purple
CYMRNA,D29630.1,"Clover yellow mosaic virus genomic RNA, complete sequence",Clover yellow mosaic virus,7015,
FJ822136,FJ822136.1,"Alternanthera mosaic virus from Portulaca grandiflora, complete genome",Alternanthera mosaic virus,6606,Portulaca grandiflora
GQ179646,GQ179646.1,"Alternanthera mosaic virus isolate SP 3-1, complete genome",Alternanthera mosaic virus,6607,Phlox stolonifera cv. Sherwood Purple
GQ179647,GQ179647.1,"Alternanthera mosaic virus isolate SP 4-7, complete genome",Alternanthera mosaic virus,6607,Phlox stolonifera cv. Sherwood Purple
JF930326,JF930326.1,"Zygocactus virus X isolate P39, complete genome",Zygocactus virus X,6624,Hylocereus sp.
JF930327,JF930327.1,"Pitaya virus X isolate P37, complete genome",Pitaya virus X,6677,Hylocereus sp.
JF937699,JF937699.1,"Cactus virus X isolate NTU, complete genome",Cactus virus X,6627,Hylocereus sp.
JX524226,JX524226.1,"Papaya mosaic virus isolate PMV-HN, complete genome",Papaya mosaic virus,6656,Carica papaya
KM288842,KM288842.1,"Zygocactus virus X isolate TW-4XB-2 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Zygocactus virus X,2403,Hylocereus sp. (pitaya)
KM288843,KM288843.1,"Zygocactus virus X isolate TW-456Y-4 triple gene block protein 1 (TGB1) gene, partial cds; and triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Zygocactus virus X,1671,Hylocereus sp. (pitaya)
KM288844,KM288844.1,"Zygocactus virus X isolate TW-5149-5 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Zygocactus virus X,2399,Hylocereus sp. (pitaya)
KM288845,KM288845.1,"Zygocactus virus X isolate TW-5149-17 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Zygocactus virus X,2397,Hylocereus sp. (pitaya)
KM288846,KM288846.1,"Cactus virus X isolate TW-5XB-1 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Cactus virus X,2418,Hylocereus sp. (pitaya)
KM288847,KM288847.1,"Cactus virus X isolate TW-456Y-1 triple gene block protein 1 (TGB1) gene, partial cds; and triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Cactus virus X,1675,Hylocereus sp. (pitaya)
KM365479,KM365479.1,"Cactus virus X isolate TW-5149-20 replication-associated protein (CVXgp1) gene, partial cds; and triple gene block protein 1 (CVXgp2), triple gene block protein 2 (CVXgp3), triple gene block protein 3 (CVXgp4), and coat protein (CVXgp5) genes, complete cds",Cactus virus X,2396,Hylocereus sp. (pitaya)
KP090203,KP090203.1,"Schlumbergera virus X isolate Palma-PE, complete genome",Schlumbergera virus X,6615,Opuntia cochenillifera
KT717325,KT717325.1,"Plantago asiatica mosaic virus isolate kr, complete genome",Plantago asiatica mosaic virus,6101,Lilium sp.
KU159093,KU159093.1,"Plantago asiatica mosaic virus isolate Ko-YS, complete genome",Plantago asiatica mosaic virus,6102,lily
KU697313,KU697313.1,"Plantago asiatica mosaic virus isolate Gunwi, complete genome",Plantago asiatica mosaic virus,6130,Plantago asiatica
KU854929,KU854929.1,"Schlumbergera virus X isolate nopal verdura 1, complete genome",Schlumbergera virus X,6646,Opuntia ficus-indica
KU854931,KU854931.1,"Opuntia virus X isolate nopal verdura-1, complete genome",Opuntia virus X,6667,Opuntia ficus-indica
