,fasta_names,key,UID,Accession,Common.Name,Description,Mean.Coverage,Organism,Ref.Seq.Name,host,hostgenus,formal_tax,group,new
1,AF308158,AF308158,AF308158,AF308158.2,,"Cactus virus X, complete genome",NA,Cactus virus X AF308158.2,,Selenicereus undatus,Selenicereus,Cactus virus X,Cactus Virus X Variant A,NA
2,AY366207,AY366207,AY366207,AY366207.2,,"Schlumbergera virus X strain K11, complete genome",NA,Schlumbergera virus X Strain K11,,Schlumbergera bridgesii,Schlumbergera,Schlumbergera virus X,Schlumbergera Virus X,NA
3,AY366208,AY366208,AY366208,AY366208.1,,"Zygocactus virus X strain B1 replication-associated protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",NA,Zygocactus virus X Strain B1,,Schlumbergera sp.,Schlumbergera,Zygocactus virus X,Zygocactus Virus X Variant B1,NA
4,AY366209,AY366209,AY366209,AY366209.1,,"Opuntia virus X strain CC10 replication-associated protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",NA,Opuntia virus Strain CC10,,Opuntia sp.,Opuntia,Opuntia virus X,Opuntia Virus X,NA
5,AY800279,AY800279,AY800279,AY800279.1,,"Nandina mosaic virus isolate PLH 1, complete genome",NA,Nandina mosaic virus,,Nandina domestica,Nandina,,,NA
6,AY863024,AY863024,AY863024,AY863024.1,AltMV,"Alternanthera mosaic virus, complete genome",NA,Alternanthera mosaic virus AY863024,,Phlox stolonifera cv. Sherwood Purple,Phlox,,,NA
7,CYMRNA,CYMRNA,CYMRNA,NA,NA,NA,NA,NA,NA,Pisum sp.,Pisum,NA,NA,NA
8,FJ822136,FJ822136,FJ822136,FJ822136.1,AltMV,"Alternanthera mosaic Portulaca grandiflora, complete genome",NA,Alternanthera mosaic virus FJ822136,,Portulaca grandiflora,Portulaca,,,NA
9,GQ179646,GQ179646,GQ179646,GQ179646.1,AltMV,"Alternanthera mosaic virus isolate SP 3-1, complete genome",NA,Alternanthera mosaic virus GQ179646,,Phlox stolonifera cv. Sherwood Purple,Phlox,,,NA
10,GQ179647,GQ179647,GQ179647,GQ179647.1,AltMV,"Alternanthera mosaic virus isolate SP 4-7, complete genome",NA,Alternanthera mosaic virus GQ179647,,Phlox stolonifera cv. Sherwood Purple,Phlox,,,NA
11,Hylocereus_polyrhizus_SRR11190795__NC_002815,11190795__NC_002815,SRR11190795A,,,"280,210 reads assembled to NC_002815",6280.297399,SRR11190795 Plant FR-3 NC_002815,NC_002815,Selenicereus polyrhizus,Selenicereus,,Cactus Virus X Variant A,TRUE
12,Hylocereus_polyrhizus_SRR11190795__NC_006059,11190795__NC_006059,SRR11190795B,,,"1,686 reads assembled to NC_006059",37.46225845,SRR11190795 Plant FR-3 NC_006059,NC_006059,Selenicereus polyrhizus,Selenicereus,,,TRUE
13,Hylocereus_polyrhizus_SRR11190795__NC_011659,11190795__NC_011659,SRR11190795C,,,"9,826 reads assembled to NC_011659",220.4144429,SRR11190795 Plant FR-3 NC_011659,NC_011659,Selenicereus polyrhizus,Selenicereus,,,TRUE
14,Hylocereus_polyrhizus_SRR11190795__NC_024458,11190795__NC_024458,SRR11190795D,,,"98,604 reads assembled to NC_024458",2192.424592,SRR11190795 Plant FR-3 NC_024458,NC_024458,Selenicereus polyrhizus,Selenicereus,,Pitaya Virus X,TRUE
15,Hylocereus_polyrhizus_SRR11190796__NC_002815,11190796__NC_002815,SRR11190796A,,,"93,508 reads assembled to NC_002815",2099.497279,SRR11190796 Plant FR-2 NC_002815,NC_002815,Selenicereus polyrhizus,Selenicereus,,Cactus Virus X Variant A,TRUE
16,Hylocereus_polyrhizus_SRR11190796__NC_006059,11190796__NC_006059,SRR11190796B,,,"3,974 reads assembled to NC_006059",88.73611111,SRR11190796 Plant FR-2 NC_006059,NC_006059,Selenicereus polyrhizus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
17,Hylocereus_polyrhizus_SRR11190796__NC_011659,11190796__NC_011659,SRR11190796C,,,"26,640 reads assembled to NC_011659",598.1062867,SRR11190796 Plant FR-2 NC_011659,NC_011659,Selenicereus polyrhizus,Selenicereus,,,TRUE
