"","MG210801_-_RdRp_CDS","AY800279_-_viral_replicase_CDS","KT717325_-_RdRP_CDS","KU159093_-_RNA-dependent_RNA_polymerase_CDS","KU697313_-_RNA-dependent_RNA_polymerase_CDS","LC107517_-_RdRp_CDS","LC155795_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_19JSF_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190796__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190801__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190792__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603182__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603186__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603189__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_a_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H06_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190802__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190791__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190793__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190799__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190800__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190797__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190795__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190798__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pet__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_b_-_RNA-dependent_RNA_polymerase_CDS","KX196173_-_RdRp_CDS","MF978248_-_RdRp_CDS","Schlumbergera_truncata_15H05_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AY863024_-_ORF1_CDS","FJ822136_-_RdRp_CDS","GQ179646_-_replicase_CDS","GQ179647_-_replicase_CDS","LC107515_-_RdRp_CDS","MH423501_-_replicase_CDS","Schlumbergera_truncata_15H06_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603190__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603191__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","JF937699_-_RNA-dependent_RNA_polymerase_CDS","KX883791_-_ORF1_CDS","LC128411_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603183__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603184__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AF308158_-_RNA-dependent_RNA_polymerase_CDS","AY366208_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190796__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603189__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_006059_-_RdRp_CDS","JF930326_-_RdRp_CDS","AY366207_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190801__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190802__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603183__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603184__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603187__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603189__NC_011659_-_replication-associated_protein_CDS","KP090203_-_ORF1_CDS","KU854929_-_RdRp_CDS","JX524226_-_CDS","AY366209_-_replication-associated_protein_CDS","KU854931_-_RdRp_CDS","KY348771_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190795__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190796__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190791__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190792__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190793__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190799__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11190800__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603182__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603183__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603184__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603189__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_024458_-_RdRp_CDS","JF930327_-_similar_to_RdRp","CYMRNA_-_replicase_CDS"
"MG210801_-_RdRp_CDS",0,1647,1611,1611,1600,1518,1600,1027,1025,1025,1024,1021,1021,1021,1021,1021,1021,1021,1021,1019,1019,1019,1019,1019,1018,1016,1015,1015,1017,1012,1210,1218,1010,1236,1236,1236,1236,1254,1236,1004,1047,1047,1007,1007,997,1043,1043,1002,966,966,966,966,966,966,966,966,966,966,966,966,988,988,988,988,988,988,988,988,988,988,1218,990,990,990,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1325
"AY800279_-_viral_replicase_CDS",1647,0,66,66,81,473,57,720,718,718,717,714,714,714,714,714,714,714,714,712,712,712,712,712,711,709,708,708,710,705,821,733,703,793,793,793,793,809,793,697,740,740,714,714,690,736,736,693,725,725,725,725,725,725,725,725,725,725,725,725,709,709,709,709,709,709,709,709,709,709,853,737,737,737,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,1022
"KT717325_-_RdRP_CDS",1611,66,0,0,45,463,21,684,682,682,681,678,678,678,678,678,678,678,678,676,676,676,676,676,675,673,672,672,674,669,785,697,667,757,757,757,757,773,757,661,704,704,678,678,654,700,700,657,689,689,689,689,689,689,689,689,689,689,689,689,673,673,673,673,673,673,673,673,673,673,817,709,709,709,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,986
"KU159093_-_RNA-dependent_RNA_polymerase_CDS",1611,66,0,0,45,463,21,684,682,682,681,678,678,678,678,678,678,678,678,676,676,676,676,676,675,673,672,672,674,669,785,697,667,757,757,757,757,773,757,661,704,704,678,678,654,700,700,657,689,689,689,689,689,689,689,689,689,689,689,689,673,673,673,673,673,673,673,673,673,673,817,709,709,709,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,986
"KU697313_-_RNA-dependent_RNA_polymerase_CDS",1600,81,45,45,0,448,30,673,671,671,670,667,667,667,667,667,667,667,667,665,665,665,665,665,664,662,661,661,663,658,774,686,656,746,746,746,746,762,746,650,693,693,667,667,643,689,689,646,678,678,678,678,678,678,678,678,678,678,678,678,662,662,662,662,662,662,662,662,662,662,806,690,690,690,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,969
"LC107517_-_RdRp_CDS",1518,473,463,463,448,0,452,621,619,619,618,615,615,615,615,615,615,615,615,613,613,613,613,613,612,610,609,609,611,606,676,626,604,668,668,668,668,684,668,598,641,641,589,589,591,637,637,594,602,602,602,602,602,602,602,602,602,602,602,602,600,600,600,600,600,600,600,600,600,600,706,628,628,628,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,953
"LC155795_-_RdRp_CDS",1600,57,21,21,30,452,0,673,671,671,670,667,667,667,667,667,667,667,667,665,665,665,665,665,664,662,661,661,663,658,774,686,656,746,746,746,746,762,746,650,693,693,667,667,643,689,689,646,678,678,678,678,678,678,678,678,678,678,678,678,662,662,662,662,662,662,662,662,662,662,806,690,690,690,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,969
"Hylocereus_undatus_SRR11603187__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1027,720,684,684,673,621,673,0,10,12,9,6,8,6,8,6,6,8,8,8,8,8,8,8,9,11,12,12,12,15,325,311,21,331,331,331,331,351,331,27,28,28,78,78,30,32,32,35,95,95,95,95,95,95,95,95,95,95,95,95,119,119,119,119,119,119,119,119,119,119,353,121,121,121,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,478
"Schlumbergera_truncata_15H04_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1025,718,682,682,671,619,671,10,0,14,1,12,10,12,10,6,6,10,10,8,8,8,8,8,7,9,10,10,18,13,323,309,19,329,329,329,329,349,329,25,30,30,76,76,28,32,32,33,93,93,93,93,93,93,93,93,93,93,93,93,117,117,117,117,117,117,117,117,117,117,351,119,119,119,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,476
"Schlumbergera_truncata_19JSF_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1025,718,682,682,671,619,671,12,14,0,13,12,4,12,4,8,8,4,4,6,6,6,6,6,7,9,10,10,18,13,323,309,19,329,329,329,329,349,329,25,32,32,76,76,28,30,30,33,93,93,93,93,93,93,93,93,93,93,93,93,117,117,117,117,117,117,117,117,117,117,351,119,119,119,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,476
"Schlumbergera_truncata_15H04_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1024,717,681,681,670,618,670,9,1,13,0,11,9,11,9,5,5,9,9,7,7,7,7,7,6,8,9,9,17,12,322,308,18,328,328,328,328,348,328,24,29,29,75,75,27,31,31,32,92,92,92,92,92,92,92,92,92,92,92,92,116,116,116,116,116,116,116,116,116,116,350,118,118,118,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,475
"Hylocereus_polyrhizus_SRR11190796__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1021,714,678,678,667,615,667,6,12,12,11,0,8,0,8,8,8,8,8,6,6,6,6,6,5,5,6,6,6,9,319,305,15,325,325,325,325,345,325,21,34,34,72,72,24,30,30,29,89,89,89,89,89,89,89,89,89,89,89,89,113,113,113,113,113,113,113,113,113,113,347,115,115,115,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,472
"Hylocereus_polyrhizus_SRR11190801__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1021,714,678,678,667,615,667,8,10,4,9,8,0,8,0,4,4,0,0,2,2,2,2,2,3,5,6,6,14,9,319,305,15,325,325,325,325,345,325,21,28,28,72,72,24,26,26,29,89,89,89,89,89,89,89,89,89,89,89,89,113,113,113,113,113,113,113,113,113,113,347,115,115,115,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,472
"Hylocereus_undatus_SRR11190792__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1021,714,678,678,667,615,667,6,12,12,11,0,8,0,8,8,8,8,8,6,6,6,6,6,5,5,6,6,6,9,319,305,15,325,325,325,325,345,325,21,34,34,72,72,24,30,30,29,89,89,89,89,89,89,89,89,89,89,89,89,113,113,113,113,113,113,113,113,113,113,347,115,115,115,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,472
