"","CYMRNA","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","Hylocereus_polyrhizus_SRR11190802__NC_011659","KP090203","AY366207","Hylocereus_polyrhizus_SRR11190798__NC_011659","Hylocereus_polyrhizus_SRR11190801__NC_011659","Hylocereus_undatus_SRR11603189__NC_011659","Hylocereus_undatus_SRR11603187__NC_011659","Hylocereus_undatus_SRR11603183__NC_011659","Hylocereus_undatus_SRR11603184__NC_011659","MG210801","Hylocereus_undatus_SRR11190800__NC_024458","Hylocereus_undatus_SRR11190791__NC_024458","Hylocereus_undatus_SRR11190799__NC_024458","Hylocereus_polyrhizus_SRR11190802__NC_024458","Hylocereus_polyrhizus_SRR11190801__NC_024458","Hylocereus_polyrhizus_SRR11190798__NC_024458","Hylocereus_polyrhizus_SRR11190795__NC_024458","JF930327","Hylocereus_undatus_SRR11603182__NC_024458","Hylocereus_undatus_SRR11603184__NC_024458","Hylocereus_undatus_SRR11603183__NC_024458","Hylocereus_undatus_SRR11190793__NC_024458","Hylocereus_polyrhizus_SRR11190796__NC_024458","Hylocereus_polyrhizus_SRR11190797__NC_024458","Hylocereus_undatus_SRR11603191__NC_024458","Hylocereus_undatus_SRR11603189__NC_024458","Hylocereus_undatus_SRR11603187__NC_024458","Hylocereus_undatus_SRR11603186__NC_024458","Hylocereus_undatus_SRR11603190__NC_024458","KM288845","Hylocereus_polyrhizus_SRR11190798__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_006059","Hylocereus_polyrhizus_SRR11190802__NC_006059","Hylocereus_polyrhizus_SRR11190796__NC_006059","Hylocereus_polyrhizus_SRR11190797__NC_006059","AY366208","KM288844","JF930326","KM288842","Hylocereus_undatus_SRR11603191__NC_006059","Hylocereus_undatus_SRR11603189__NC_006059","Hylocereus_undatus_SRR11603187__NC_006059","Hylocereus_undatus_SRR11603186__NC_006059","Hylocereus_undatus_SRR11603190__NC_006059","JF937699","KM288846","KX883791","Schlumbergera_truncata_15H03__cons","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_15H04__cons","Schlumbergera_truncata_15H06__cons","LC128411","Hylocereus_undatus_SRR11603186__NC_002815","Hylocereus_undatus_SRR11603190__NC_002815","Hylocereus_undatus_SRR11603191__NC_002815","Hylocereus_undatus_SRR11603187__NC_002815","Hylocereus_undatus_SRR11603189__NC_002815","Hylocereus_undatus_SRR11190793__NC_002815","KM365479","Hylocereus_undatus_SRR11190792__NC_002815","Hylocereus_undatus_SRR11603183__NC_002815","Hylocereus_polyrhizus_SRR11190795__NC_002815","AF308158","Hylocereus_polyrhizus_SRR11190802__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_002815","Hylocereus_polyrhizus_SRR11190797__NC_002815","Hylocereus_undatus_SRR11603184__NC_002815","Hylocereus_undatus_SRR11603182__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_002815","Hylocereus_polyrhizus_SRR11190801__NC_002815","Hylocereus_undatus_SRR11190799__NC_002815","Hylocereus_undatus_SRR11190791__NC_002815","Hylocereus_undatus_SRR11190800__NC_002815"
"CYMRNA",0,0.363333333333333,0.363333333333333,0.366666666666667,0.356666666666667,0.366666666666667,0.37,0.31,0.296666666666667,0.306666666666667,0.306666666666667,0.313333333333333,0.313333333333333,0.313333333333333,0.31,0.31,0.336666666666667,0.336666666666667,0.336666666666667,0.32,0.316666666666667,0.32,0.313333333333333,0.32,0.32,0.32,0.32,0.32,0.32,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.33,0.336666666666667,0.336666666666667,0.336666666666667,0.34,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.33,0.326666666666667,0.326666666666667,0.326666666666667,0.326666666666667,0.326666666666667,0.323333333333333,0.326666666666667,0.323333333333333,0.326666666666667,0.326666666666667,0.326666666666667,0.326666666666667,0.326666666666667,0.326666666666667,0.323333333333333,0.333333333333333,0.326666666666667,0.32,0.32,0.316666666666667,0.316666666666667,0.323333333333333,0.32,0.32,0.32,0.32,0.32,0.32,0.326666666666667,0.32,0.32,0.32,0.333333333333333,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
"LC107517",0.363333333333333,0,0.276666666666667,0.273333333333333,0.28,0.273333333333333,0.28,0.326666666666667,0.33,0.313333333333333,0.323333333333333,0.326666666666667,0.33,0.333333333333333,0.333333333333333,0.336666666666667,0.35,0.35,0.35,0.33,0.353333333333333,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.326666666666667,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.316666666666667,0.323333333333333,0.326666666666667,0.326666666666667,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.326666666666667,0.326666666666667,0.34,0.34,0.343333333333333,0.343333333333333,0.343333333333333,0.34,0.34,0.34,0.34,0.34,0.34,0.343333333333333,0.34,0.34,0.34,0.353333333333333,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
"KU697313",0.363333333333333,0.276666666666667,0,0.08,0.07,0.0433333333333333,0.0433333333333333,0.35,0.34,0.343333333333333,0.32,0.316666666666667,0.31,0.31,0.306666666666667,0.313333333333333,0.366666666666667,0.366666666666667,0.366666666666667,0.333333333333333,0.34,0.343333333333333,0.34,0.343333333333333,0.343333333333333,0.343333333333333,0.343333333333333,0.343333333333333,0.343333333333333,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.34,0.346666666666667,0.346666666666667,0.346666666666667,0.35,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.346666666666667,0.336666666666667,0.353333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.336666666666667,0.34,0.333333333333333,0.323333333333333,0.323333333333333,0.326666666666667,0.326666666666667,0.32,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.33,0.316666666666667,0.316666666666667,0.316666666666667,0.336666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667,0.316666666666667
"AY800279",0.366666666666667,0.273333333333333,0.08,0,0.06,0.106666666666667,0.1,0.363333333333333,0.336666666666667,0.323333333333333,0.316666666666667,0.32,0.32,0.316666666666667,0.316666666666667,0.32,0.35,0.35,0.35,0.34,0.346666666666667,0.346666666666667,0.35,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.353333333333333,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.343333333333333,0.35,0.34,0.34,0.34,0.34,0.34,0.343333333333333,0.35,0.34,0.346666666666667,0.346666666666667,0.343333333333333,0.343333333333333,0.35,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.353333333333333,0.346666666666667,0.346666666666667,0.346666666666667,0.363333333333333,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667
"LC155795",0.356666666666667,0.28,0.07,0.06,0,0.0966666666666667,0.1,0.363333333333333,0.326666666666667,0.326666666666667,0.336666666666667,0.323333333333333,0.32,0.32,0.316666666666667,0.323333333333333,0.37,0.37,0.37,0.35,0.343333333333333,0.343333333333333,0.346666666666667,0.343333333333333,0.343333333333333,0.343333333333333,0.343333333333333,0.343333333333333,0.343333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.356666666666667,0.36,0.36,0.36,0.36,0.36,0.356666666666667,0.366666666666667,0.363333333333333,0.366666666666667,0.36,0.36,0.36,0.36,0.36,0.353333333333333,0.356666666666667,0.35,0.34,0.34,0.336666666666667,0.336666666666667,0.343333333333333,0.34,0.34,0.34,0.34,0.34,0.34,0.356666666666667,0.34,0.34,0.34,0.353333333333333,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
"KT717325",0.366666666666667,0.273333333333333,0.0433333333333333,0.106666666666667,0.0966666666666667,0,0.00666666666666667,0.36,0.353333333333333,0.34,0.33,0.31,0.303333333333333,0.316666666666667,0.32,0.313333333333333,0.366666666666667,0.366666666666667,0.366666666666667,0.333333333333333,0.346666666666667,0.353333333333333,0.346666666666667,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.343333333333333,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.333333333333333,0.346666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.346666666666667,0.35,0.343333333333333,0.343333333333333,0.343333333333333,0.346666666666667,0.346666666666667,0.34,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.353333333333333,0.336666666666667,0.336666666666667,0.336666666666667,0.35,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667,0.336666666666667
"KU159093",0.37,0.28,0.0433333333333333,0.1,0.1,0.00666666666666667,0,0.36,0.353333333333333,0.343333333333333,0.33,0.313333333333333,0.306666666666667,0.32,0.316666666666667,0.316666666666667,0.37,0.37,0.37,0.336666666666667,0.346666666666667,0.353333333333333,0.346666666666667,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.353333333333333,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.35,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.356666666666667,0.353333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.34,0.33,0.346666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.353333333333333,0.356666666666667,0.35,0.346666666666667,0.346666666666667,0.35,0.35,0.343333333333333,0.34,0.34,0.34,0.34,0.34,0.34,0.353333333333333,0.34,0.34,0.34,0.353333333333333,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
"KX196173",0.31,0.326666666666667,0.35,0.363333333333333,0.363333333333333,0.36,0.36,0,0.17,0.186666666666667,0.206666666666667,0.216666666666667,0.213333333333333,0.2,0.206666666666667,0.203333333333333,0.38,0.38,0.38,0.353333333333333,0.36,0.36,0.356666666666667,0.36,0.36,0.36,0.36,0.36,0.36,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.323333333333333,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.333333333333333,0.326666666666667,0.333333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.323333333333333,0.326666666666667,0.326666666666667,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.32,0.32,0.326666666666667,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
"MF978248",0.296666666666667,0.33,0.34,0.336666666666667,0.326666666666667,0.353333333333333,0.353333333333333,0.17,0,0.163333333333333,0.186666666666667,0.176666666666667,0.176666666666667,0.173333333333333,0.173333333333333,0.176666666666667,0.35,0.35,0.35,0.326666666666667,0.316666666666667,0.313333333333333,0.316666666666667,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.293333333333333,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.303333333333333,0.3,0.3,0.3,0.3,0.3,0.3,0.316666666666667,0.316666666666667,0.32,0.303333333333333,0.303333333333333,0.303333333333333,0.303333333333333,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.31,0.306666666666667,0.306666666666667,0.306666666666667,0.31,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667
"JX524226",0.306666666666667,0.313333333333333,0.343333333333333,0.323333333333333,0.326666666666667,0.34,0.343333333333333,0.186666666666667,0.163333333333333,0,0.17,0.17,0.173333333333333,0.166666666666667,0.17,0.17,0.306666666666667,0.306666666666667,0.306666666666667,0.306666666666667,0.323333333333333,0.32,0.316666666666667,0.32,0.32,0.32,0.32,0.32,0.32,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.313333333333333,0.29,0.293333333333333,0.293333333333333,0.293333333333333,0.293333333333333,0.293333333333333,0.293333333333333,0.293333333333333,0.296666666666667,0.3,0.293333333333333,0.293333333333333,0.293333333333333,0.293333333333333,0.293333333333333,0.306666666666667,0.306666666666667,0.31,0.296666666666667,0.296666666666667,0.293333333333333,0.293333333333333,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.316666666666667,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
