"","Clover_yellow_mosaic_virus","Hydrangea_ringspot_virus","Plantago_asiatica_mosaic_virus__KU697313","Nandina_mosaic_virus","Plantago_asiatica_mosaic_virus__LC155795","Plantago_asiatica_mosaic_virus__KT717325","Plantago_asiatica_mosaic_virus__KU159093","Senna_mosaic_virus","Babaco_mosaic_virus","Papaya_mosaic_virus","Alternanthera_mosaic_virus__LC107515","Alternanthera_mosaic_virus__MH423501","Alternanthera_mosaic_virus__FJ822136","Alternanthera_mosaic_virus__GQ179646","Alternanthera_mosaic_virus__AY863024","Alternanthera_mosaic_virus__GQ179647","Opuntia_virus__Strain_CC10","Opuntia_virus_X__KY348771","Opuntia_virus_X__KU854931","Schlumbergera_virus_X__KU854929","SRR11190802_Plant__DH-1_NC_011659","Schlumbergera_virus_X__KP090203","Schlumbergera_virus_X__Strain_K11","SRR11190798_Plant__DH-3_NC_011659","SRR11190801_Plant__DH-2_NC_011659","SRR11603189_RR-peel-3_NC_011659","SRR11603187_RR-pulp-2_NC_011659","SRR11603183_GW-peel-2_NC_011659","SRR11603184_GW-peel-1_NC_011659","MG210801","SRR11190800_Plant__BSJ-2_NC_024458","SRR11190791_Plant__BSJ-1_NC_024458","SRR11190799_Plant__BSJ-3_NC_024458","SRR11190802_Plant__DH-1_NC_024458","SRR11190801_Plant__DH-2_NC_024458","SRR11190798_Plant__DH-3_NC_024458","SRR11190795_Plant__FR-3_NC_024458","Pitaya_virus_X","SRR11603182_GW-peel-3_NC_024458","SRR11603184_GW-peel-1_NC_024458","SRR11603183_GW-peel-2_NC_024458","SRR11190793_Plant__BR-2_NC_024458","SRR11190796_Plant__FR-2_NC_024458","SRR11190797_Plant__FR-1_NC_024458","SRR11603191_RR-peel-1_NC_024458","SRR11603189_RR-peel-3_NC_024458","SRR11603187_RR-pulp-2_NC_024458","SRR11603186_RR-pulp-3_NC_024458","SRR11603190_RR-peel-2_NC_024458","KM288845","SRR11190798_Plant__DH-3_NC_006059","SRR11190801_Plant__DH-2_NC_006059","SRR11190802_Plant__DH-1_NC_006059","SRR11190796_Plant__FR-2_NC_006059","SRR11190797_Plant__FR-1_NC_006059","Zygocactus_virus_X__Strain_B1","KM288844","Zygocactus_virus_X__JF930326.1","KM288843","KM288842","SRR11603191_RR-peel-1_NC_006059","SRR11603189_RR-peel-3_NC_006059","SRR11603187_RR-pulp-2_NC_006059","SRR11603186_RR-pulp-3_NC_006059","SRR11603190_RR-peel-2_NC_006059","Cactus_virus_X__JF937699.1","Cactus_virus_X__KM288846.1","Cactus_virus_X__SCM51431","Cactus_virus_X__KM288847.1","Schlumbergera_truncata_15H03__cons","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_15H04__cons","Schlumbergera_truncata_15H06__cons","Cactus_virus_X__LC128411.1","SRR11603186_RR-pulp-3_NC_002815","SRR11603190_RR-peel-2_NC_002815","SRR11603191_RR-peel-1_NC_002815","SRR11603187_RR-pulp-2_NC_002815","SRR11603189_RR-peel-3_NC_002815","SRR11190793_Plant__BR-2_NC_002815","Cactus_virus_X__KM365479.1","SRR11190792_Plant__BR-3_NC_002815","SRR11603183_GW-peel-2_NC_002815","SRR11190795_Plant__FR-3_NC_002815","Cactus_virus_X__AF308158.2","SRR11190802_Plant__DH-1_NC_002815","SRR11190796_Plant__FR-2_NC_002815","SRR11190797_Plant__FR-1_NC_002815","SRR11603184_GW-peel-1_NC_002815","SRR11603182_GW-peel-3_NC_002815","SRR11190798_Plant__DH-3_NC_002815","SRR11190801_Plant__DH-2_NC_002815","SRR11190799_Plant__BSJ-3_NC_002815","SRR11190791_Plant__BSJ-1_NC_002815","SRR11190800_Plant__BSJ-2_NC_002815"
"Clover_yellow_mosaic_virus",0,0.399038461538462,0.466346153846154,0.46875,0.466346153846154,0.461538461538462,0.461538461538462,0.420673076923077,0.432692307692308,0.447115384615385,0.399038461538462,0.408653846153846,0.403846153846154,0.403846153846154,0.408653846153846,0.403846153846154,0.425480769230769,0.418269230769231,0.418269230769231,0.439903846153846,0.432692307692308,0.439903846153846,0.442307692307692,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.435096153846154,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.463942307692308,0.454326923076923,0.454326923076923,0.456730769230769,0.454326923076923,0.454326923076923,0.447115384615385,0.451923076923077,0.456730769230769,0.456730769230769,0.461538461538462,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.439903846153846,0.439903846153846,0.4375,0.4375,0.442307692307692,0.439903846153846,0.435096153846154,0.435096153846154,0.444711538461538,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.439903846153846,0.442307692307692,0.442307692307692,0.442307692307692,0.454326923076923,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692
"Hydrangea_ringspot_virus",0.399038461538462,0,0.401442307692308,0.391826923076923,0.403846153846154,0.384615384615385,0.384615384615385,0.415865384615385,0.444711538461538,0.423076923076923,0.403846153846154,0.403846153846154,0.403846153846154,0.396634615384615,0.396634615384615,0.394230769230769,0.403846153846154,0.387019230769231,0.387019230769231,0.408653846153846,0.403846153846154,0.411057692307692,0.413461538461538,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.413461538461538,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.442307692307692,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.423076923076923,0.435096153846154,0.432692307692308,0.432692307692308,0.432692307692308,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.430288461538462,0.40625,0.399038461538462,0.403846153846154,0.40625,0.396634615384615,0.399038461538462,0.394230769230769,0.394230769230769,0.40625,0.403846153846154,0.403846153846154,0.403846153846154,0.403846153846154,0.403846153846154,0.401442307692308,0.399038461538462,0.401442307692308,0.401442307692308,0.401442307692308,0.40625,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308
"Plantago_asiatica_mosaic_virus__KU697313",0.466346153846154,0.401442307692308,0,0.149038461538462,0.15625,0.134615384615385,0.134615384615385,0.425480769230769,0.432692307692308,0.471153846153846,0.4375,0.447115384615385,0.444711538461538,0.447115384615385,0.442307692307692,0.447115384615385,0.471153846153846,0.46875,0.46875,0.449519230769231,0.466346153846154,0.463942307692308,0.459134615384615,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.456730769230769,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.461538461538462,0.459134615384615,0.459134615384615,0.459134615384615,0.463942307692308,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.451923076923077,0.454326923076923,0.454326923076923,0.456730769230769,0.454326923076923,0.454326923076923,0.444711538461538,0.456730769230769,0.456730769230769,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.451923076923077,0.456730769230769,0.456730769230769,0.456730769230769,0.461538461538462,0.463942307692308,0.459134615384615,0.459134615384615,0.471153846153846,0.46875,0.46875,0.46875,0.46875,0.46875,0.466346153846154,0.463942307692308,0.466346153846154,0.466346153846154,0.466346153846154,0.473557692307692,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154
"Nandina_mosaic_virus",0.46875,0.391826923076923,0.149038461538462,0,0.115384615384615,0.141826923076923,0.141826923076923,0.449519230769231,0.435096153846154,0.461538461538462,0.451923076923077,0.442307692307692,0.442307692307692,0.442307692307692,0.444711538461538,0.4375,0.449519230769231,0.454326923076923,0.454326923076923,0.459134615384615,0.461538461538462,0.463942307692308,0.461538461538462,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.473557692307692,0.478365384615385,0.478365384615385,0.478365384615385,0.478365384615385,0.478365384615385,0.478365384615385,0.478365384615385,0.480769230769231,0.478365384615385,0.478365384615385,0.478365384615385,0.485576923076923,0.478365384615385,0.478365384615385,0.480769230769231,0.480769230769231,0.480769230769231,0.480769230769231,0.480769230769231,0.456730769230769,0.461538461538462,0.461538461538462,0.459134615384615,0.454326923076923,0.454326923076923,0.444711538461538,0.459134615384615,0.456730769230769,0.451923076923077,0.451923076923077,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.459134615384615,0.451923076923077,0.463942307692308,0.459134615384615,0.456730769230769,0.456730769230769,0.451923076923077,0.451923076923077,0.463942307692308,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.459134615384615,0.456730769230769,0.459134615384615,0.459134615384615,0.459134615384615,0.463942307692308,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615
"Plantago_asiatica_mosaic_virus__LC155795",0.466346153846154,0.403846153846154,0.15625,0.115384615384615,0,0.151442307692308,0.151442307692308,0.444711538461538,0.439903846153846,0.451923076923077,0.451923076923077,0.447115384615385,0.451923076923077,0.447115384615385,0.447115384615385,0.449519230769231,0.466346153846154,0.463942307692308,0.463942307692308,0.449519230769231,0.454326923076923,0.451923076923077,0.449519230769231,0.451923076923077,0.451923076923077,0.451923076923077,0.451923076923077,0.451923076923077,0.451923076923077,0.456730769230769,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.463942307692308,0.461538461538462,0.461538461538462,0.461538461538462,0.46875,0.461538461538462,0.461538461538462,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.459134615384615,0.444711538461538,0.447115384615385,0.447115384615385,0.451923076923077,0.447115384615385,0.447115384615385,0.4375,0.442307692307692,0.444711538461538,0.447115384615385,0.447115384615385,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.459134615384615,0.456730769230769,0.461538461538462,0.459134615384615,0.447115384615385,0.447115384615385,0.442307692307692,0.442307692307692,0.451923076923077,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.447115384615385,0.449519230769231,0.449519230769231,0.449519230769231,0.461538461538462,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231
"Plantago_asiatica_mosaic_virus__KT717325",0.461538461538462,0.384615384615385,0.134615384615385,0.141826923076923,0.151442307692308,0,0,0.451923076923077,0.480769230769231,0.46875,0.459134615384615,0.456730769230769,0.456730769230769,0.459134615384615,0.456730769230769,0.454326923076923,0.466346153846154,0.46875,0.46875,0.463942307692308,0.46875,0.471153846153846,0.46875,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.46875,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.466346153846154,0.463942307692308,0.463942307692308,0.463942307692308,0.46875,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.451923076923077,0.447115384615385,0.447115384615385,0.447115384615385,0.449519230769231,0.449519230769231,0.439903846153846,0.444711538461538,0.451923076923077,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.456730769230769,0.454326923076923,0.451923076923077,0.447115384615385,0.451923076923077,0.449519230769231,0.449519230769231,0.459134615384615,0.456730769230769,0.456730769230769,0.456730769230769,0.456730769230769,0.456730769230769,0.454326923076923,0.451923076923077,0.454326923076923,0.454326923076923,0.454326923076923,0.461538461538462,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923
"Plantago_asiatica_mosaic_virus__KU159093",0.461538461538462,0.384615384615385,0.134615384615385,0.141826923076923,0.151442307692308,0,0,0.451923076923077,0.480769230769231,0.46875,0.459134615384615,0.456730769230769,0.456730769230769,0.459134615384615,0.456730769230769,0.454326923076923,0.466346153846154,0.46875,0.46875,0.463942307692308,0.46875,0.471153846153846,0.46875,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.471153846153846,0.46875,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.463942307692308,0.466346153846154,0.463942307692308,0.463942307692308,0.463942307692308,0.46875,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.466346153846154,0.451923076923077,0.447115384615385,0.447115384615385,0.447115384615385,0.449519230769231,0.449519230769231,0.439903846153846,0.444711538461538,0.451923076923077,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.449519230769231,0.456730769230769,0.454326923076923,0.451923076923077,0.447115384615385,0.451923076923077,0.449519230769231,0.449519230769231,0.459134615384615,0.456730769230769,0.456730769230769,0.456730769230769,0.456730769230769,0.456730769230769,0.454326923076923,0.451923076923077,0.454326923076923,0.454326923076923,0.454326923076923,0.461538461538462,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923,0.454326923076923
"Senna_mosaic_virus",0.420673076923077,0.415865384615385,0.425480769230769,0.449519230769231,0.444711538461538,0.451923076923077,0.451923076923077,0,0.247596153846154,0.223557692307692,0.221153846153846,0.237980769230769,0.242788461538462,0.237980769230769,0.235576923076923,0.240384615384615,0.423076923076923,0.425480769230769,0.425480769230769,0.411057692307692,0.425480769230769,0.423076923076923,0.418269230769231,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.40625,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.413461538461538,0.413461538461538,0.413461538461538,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.418269230769231,0.415865384615385,0.415865384615385,0.413461538461538,0.408653846153846,0.408653846153846,0.401442307692308,0.413461538461538,0.411057692307692,0.40625,0.411057692307692,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.403846153846154,0.403846153846154,0.408653846153846,0.40625,0.423076923076923,0.425480769230769,0.427884615384615,0.427884615384615,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.420673076923077,0.423076923076923,0.423076923076923,0.423076923076923,0.432692307692308,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923
"Babaco_mosaic_virus",0.432692307692308,0.444711538461538,0.432692307692308,0.435096153846154,0.439903846153846,0.480769230769231,0.480769230769231,0.247596153846154,0,0.233173076923077,0.223557692307692,0.247596153846154,0.254807692307692,0.252403846153846,0.252403846153846,0.252403846153846,0.432692307692308,0.430288461538462,0.430288461538462,0.430288461538462,0.432692307692308,0.430288461538462,0.425480769230769,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.418269230769231,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.427884615384615,0.420673076923077,0.420673076923077,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.425480769230769,0.413461538461538,0.413461538461538,0.413461538461538,0.413461538461538,0.413461538461538,0.40625,0.415865384615385,0.415865384615385,0.415865384615385,0.418269230769231,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.411057692307692,0.425480769230769,0.432692307692308,0.427884615384615,0.423076923076923,0.442307692307692,0.439903846153846,0.4375,0.4375,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.439903846153846,0.442307692307692,0.442307692307692,0.442307692307692,0.451923076923077,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692,0.442307692307692
"Papaya_mosaic_virus",0.447115384615385,0.423076923076923,0.471153846153846,0.461538461538462,0.451923076923077,0.46875,0.46875,0.223557692307692,0.233173076923077,0,0.194711538461538,0.209134615384615,0.206730769230769,0.211538461538462,0.209134615384615,0.211538461538462,0.427884615384615,0.430288461538462,0.430288461538462,0.432692307692308,0.432692307692308,0.430288461538462,0.430288461538462,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.432692307692308,0.391826923076923,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0.40625,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.40625,0.415865384615385,0.415865384615385,0.413461538461538,0.411057692307692,0.411057692307692,0.408653846153846,0.408653846153846,0.413461538461538,0.413461538461538,0.415865384615385,0.413461538461538,0.413461538461538,0.413461538461538,0.413461538461538,0.413461538461538,0.435096153846154,0.432692307692308,0.435096153846154,0.430288461538462,0.423076923076923,0.423076923076923,0.418269230769231,0.418269230769231,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.418269230769231,0.420673076923077,0.420673076923077,0.420673076923077,0.427884615384615,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077
"Alternanthera_mosaic_virus__LC107515",0.399038461538462,0.403846153846154,0.4375,0.451923076923077,0.451923076923077,0.459134615384615,0.459134615384615,0.221153846153846,0.223557692307692,0.194711538461538,0,0.137019230769231,0.127403846153846,0.137019230769231,0.134615384615385,0.139423076923077,0.432692307692308,0.442307692307692,0.442307692307692,0.399038461538462,0.415865384615385,0.413461538461538,0.408653846153846,0.415865384615385,0.415865384615385,0.415865384615385,0.415865384615385,0.415865384615385,0.415865384615385,0.372596153846154,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.377403846153846,0.375,0.375,0.375,0.382211538461538,0.375,0.375,0.377403846153846,0.377403846153846,0.377403846153846,0.377403846153846,0.377403846153846,0.387019230769231,0.382211538461538,0.382211538461538,0.382211538461538,0.375,0.375,0.370192307692308,0.367788461538462,0.377403846153846,0.370192307692308,0.370192307692308,0.370192307692308,0.370192307692308,0.370192307692308,0.370192307692308,0.370192307692308,0.401442307692308,0.40625,0.401442307692308,0.396634615384615,0.401442307692308,0.399038461538462,0.396634615384615,0.396634615384615,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.399038461538462,0.401442307692308,0.401442307692308,0.401442307692308,0.415865384615385,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308,0.401442307692308
"Alternanthera_mosaic_virus__MH423501",0.408653846153846,0.403846153846154,0.447115384615385,0.442307692307692,0.447115384615385,0.456730769230769,0.456730769230769,0.237980769230769,0.247596153846154,0.209134615384615,0.137019230769231,0,0.0360576923076923,0.0432692307692308,0.03125,0.0432692307692308,0.430288461538462,0.432692307692308,0.432692307692308,0.396634615384615,0.396634615384615,0.394230769230769,0.394230769230769,0.396634615384615,0.396634615384615,0.396634615384615,0.396634615384615,0.396634615384615,0.396634615384615,0.396634615384615,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.408653846153846,0.40625,0.40625,0.40625,0.411057692307692,0.403846153846154,0.403846153846154,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.408653846153846,0.425480769230769,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.420673076923077,0.411057692307692,0.418269230769231,0.423076923076923,0.418269230769231,0.420673076923077,0.418269230769231,0.418269230769231,0.418269230769231,0.418269230769231,0.418269230769231,0.387019230769231,0.394230769230769,0.391826923076923,0.387019230769231,0.413461538461538,0.408653846153846,0.408653846153846,0.408653846153846,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.403846153846154,0.40625,0.40625,0.40625,0.420673076923077,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625
