"","CYMRNA","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","Hylocereus_polyrhizus_SRR11190802__NC_011659","KP090203","AY366207","Hylocereus_polyrhizus_SRR11190798__NC_011659","Hylocereus_polyrhizus_SRR11190801__NC_011659","Hylocereus_undatus_SRR11603189__NC_011659","Hylocereus_undatus_SRR11603187__NC_011659","Hylocereus_undatus_SRR11603183__NC_011659","Hylocereus_undatus_SRR11603184__NC_011659","MG210801","Hylocereus_undatus_SRR11190800__NC_024458","Hylocereus_undatus_SRR11190791__NC_024458","Hylocereus_undatus_SRR11190799__NC_024458","Hylocereus_polyrhizus_SRR11190802__NC_024458","Hylocereus_polyrhizus_SRR11190801__NC_024458","Hylocereus_polyrhizus_SRR11190798__NC_024458","Hylocereus_polyrhizus_SRR11190795__NC_024458","JF930327","Hylocereus_undatus_SRR11603182__NC_024458","Hylocereus_undatus_SRR11603184__NC_024458","Hylocereus_undatus_SRR11603183__NC_024458","Hylocereus_undatus_SRR11190793__NC_024458","Hylocereus_polyrhizus_SRR11190796__NC_024458","Hylocereus_polyrhizus_SRR11190797__NC_024458","Hylocereus_undatus_SRR11603191__NC_024458","Hylocereus_undatus_SRR11603189__NC_024458","Hylocereus_undatus_SRR11603187__NC_024458","Hylocereus_undatus_SRR11603186__NC_024458","Hylocereus_undatus_SRR11603190__NC_024458","KM288845","Hylocereus_polyrhizus_SRR11190798__NC_006059","Hylocereus_polyrhizus_SRR11190801__NC_006059","Hylocereus_polyrhizus_SRR11190802__NC_006059","Hylocereus_polyrhizus_SRR11190796__NC_006059","Hylocereus_polyrhizus_SRR11190797__NC_006059","AY366208","KM288844","JF930326","KM288843","KM288842","Hylocereus_undatus_SRR11603191__NC_006059","Hylocereus_undatus_SRR11603189__NC_006059","Hylocereus_undatus_SRR11603187__NC_006059","Hylocereus_undatus_SRR11603186__NC_006059","Hylocereus_undatus_SRR11603190__NC_006059","JF937699","KM288846","KX883791","KM288847","Schlumbergera_truncata_15H03__cons","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_15H04__cons","Schlumbergera_truncata_15H06__cons","LC128411","Hylocereus_undatus_SRR11603186__NC_002815","Hylocereus_undatus_SRR11603190__NC_002815","Hylocereus_undatus_SRR11603191__NC_002815","Hylocereus_undatus_SRR11603187__NC_002815","Hylocereus_undatus_SRR11603189__NC_002815","Hylocereus_undatus_SRR11190793__NC_002815","KM365479","Hylocereus_undatus_SRR11190792__NC_002815","Hylocereus_undatus_SRR11603183__NC_002815","Hylocereus_polyrhizus_SRR11190795__NC_002815","AF308158","Hylocereus_polyrhizus_SRR11190802__NC_002815","Hylocereus_polyrhizus_SRR11190796__NC_002815","Hylocereus_polyrhizus_SRR11190797__NC_002815","Hylocereus_undatus_SRR11603184__NC_002815","Hylocereus_undatus_SRR11603182__NC_002815","Hylocereus_polyrhizus_SRR11190798__NC_002815","Hylocereus_polyrhizus_SRR11190801__NC_002815","Hylocereus_undatus_SRR11190799__NC_002815","Hylocereus_undatus_SRR11190791__NC_002815","Hylocereus_undatus_SRR11190800__NC_002815"
"CYMRNA",0,0.524193548387097,0.612903225806452,0.564516129032258,0.588709677419355,0.612903225806452,0.588709677419355,0.57258064516129,0.612903225806452,0.612903225806452,0.564516129032258,0.532258064516129,0.540322580645161,0.532258064516129,0.540322580645161,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.548387096774194,0.540322580645161,0.548387096774194,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.556451612903226,0.540322580645161,0.540322580645161,0.540322580645161,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.588709677419355,0.588709677419355,0.580645161290323,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.596774193548387,0.588709677419355,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.604838709677419,0.604838709677419,0.604838709677419,0.596774193548387,0.629032258064516,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.620967741935484,0.629032258064516,0.629032258064516,0.629032258064516
"LC107517",0.524193548387097,0,0.629032258064516,0.548387096774194,0.604838709677419,0.604838709677419,0.612903225806452,0.604838709677419,0.620967741935484,0.516129032258065,0.540322580645161,0.548387096774194,0.564516129032258,0.564516129032258,0.580645161290323,0.564516129032258,0.604838709677419,0.604838709677419,0.604838709677419,0.645161290322581,0.629032258064516,0.637096774193548,0.637096774193548,0.629032258064516,0.629032258064516,0.629032258064516,0.629032258064516,0.629032258064516,0.629032258064516,0.57258064516129,0.580645161290323,0.580645161290323,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.548387096774194,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.580645161290323,0.588709677419355,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.580645161290323,0.580645161290323,0.580645161290323,0.57258064516129,0.564516129032258,0.57258064516129,0.57258064516129,0.57258064516129,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.580645161290323,0.580645161290323,0.580645161290323
"KU697313",0.612903225806452,0.629032258064516,0,0.217741935483871,0.169354838709677,0.17741935483871,0.185483870967742,0.637096774193548,0.661290322580645,0.604838709677419,0.588709677419355,0.620967741935484,0.620967741935484,0.637096774193548,0.637096774193548,0.637096774193548,0.483870967741935,0.491935483870968,0.491935483870968,0.491935483870968,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.459677419354839,0.475806451612903,0.475806451612903,0.475806451612903,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.524193548387097,0.540322580645161,0.540322580645161,0.524193548387097,0.540322580645161,0.540322580645161,0.532258064516129,0.540322580645161,0.540322580645161,0.548387096774194,0.540322580645161,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.548387096774194,0.548387096774194,0.548387096774194
"AY800279",0.564516129032258,0.548387096774194,0.217741935483871,0,0.25,0.217741935483871,0.233870967741935,0.629032258064516,0.645161290322581,0.612903225806452,0.556451612903226,0.596774193548387,0.596774193548387,0.596774193548387,0.596774193548387,0.596774193548387,0.508064516129032,0.516129032258065,0.516129032258065,0.483870967741935,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.475806451612903,0.411290322580645,0.435483870967742,0.435483870967742,0.435483870967742,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.532258064516129,0.548387096774194,0.548387096774194,0.532258064516129,0.548387096774194,0.548387096774194,0.540322580645161,0.548387096774194,0.548387096774194,0.556451612903226,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.516129032258065,0.516129032258065,0.516129032258065,0.524193548387097,0.556451612903226,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.532258064516129,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.548387096774194,0.548387096774194,0.548387096774194
"LC155795",0.588709677419355,0.604838709677419,0.169354838709677,0.25,0,0.169354838709677,0.17741935483871,0.620967741935484,0.612903225806452,0.604838709677419,0.596774193548387,0.57258064516129,0.556451612903226,0.588709677419355,0.596774193548387,0.588709677419355,0.483870967741935,0.483870967741935,0.483870967741935,0.483870967741935,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.491935483870968,0.5,0.5,0.5,0.5,0.5,0.491935483870968,0.5,0.5,0.508064516129032,0.5,0.491935483870968,0.491935483870968,0.491935483870968,0.491935483870968,0.491935483870968,0.508064516129032,0.508064516129032,0.508064516129032,0.5,0.540322580645161,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.516129032258065,0.516129032258065,0.516129032258065
"KT717325",0.612903225806452,0.604838709677419,0.17741935483871,0.217741935483871,0.169354838709677,0,0.0241935483870968,0.604838709677419,0.629032258064516,0.612903225806452,0.57258064516129,0.612903225806452,0.604838709677419,0.620967741935484,0.629032258064516,0.620967741935484,0.467741935483871,0.467741935483871,0.467741935483871,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.419354838709677,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.42741935483871,0.524193548387097,0.5,0.5,0.5,0.5,0.5,0.491935483870968,0.5,0.5,0.508064516129032,0.5,0.491935483870968,0.491935483870968,0.491935483870968,0.491935483870968,0.491935483870968,0.508064516129032,0.508064516129032,0.508064516129032,0.5,0.524193548387097,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.508064516129032,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.524193548387097,0.524193548387097,0.524193548387097
"KU159093",0.588709677419355,0.612903225806452,0.185483870967742,0.233870967741935,0.17741935483871,0.0241935483870968,0,0.604838709677419,0.653225806451613,0.620967741935484,0.580645161290323,0.604838709677419,0.612903225806452,0.612903225806452,0.620967741935484,0.612903225806452,0.475806451612903,0.475806451612903,0.475806451612903,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.443548387096774,0.42741935483871,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.435483870967742,0.532258064516129,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.5,0.508064516129032,0.508064516129032,0.516129032258065,0.508064516129032,0.5,0.5,0.5,0.5,0.5,0.524193548387097,0.524193548387097,0.524193548387097,0.516129032258065,0.540322580645161,0.524193548387097,0.524193548387097,0.524193548387097,0.524193548387097,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.524193548387097,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.540322580645161,0.540322580645161,0.540322580645161
"KX196173",0.57258064516129,0.604838709677419,0.637096774193548,0.629032258064516,0.620967741935484,0.604838709677419,0.604838709677419,0,0.508064516129032,0.580645161290323,0.475806451612903,0.379032258064516,0.387096774193548,0.379032258064516,0.379032258064516,0.379032258064516,0.516129032258065,0.532258064516129,0.532258064516129,0.612903225806452,0.604838709677419,0.612903225806452,0.612903225806452,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.508064516129032,0.588709677419355,0.57258064516129,0.57258064516129,0.580645161290323,0.57258064516129,0.57258064516129,0.588709677419355,0.57258064516129,0.57258064516129,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.612903225806452,0.612903225806452,0.612903225806452,0.604838709677419,0.612903225806452,0.604838709677419,0.604838709677419,0.604838709677419,0.596774193548387,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.612903225806452,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419,0.604838709677419
"MF978248",0.612903225806452,0.620967741935484,0.661290322580645,0.645161290322581,0.612903225806452,0.629032258064516,0.653225806451613,0.508064516129032,0,0.604838709677419,0.524193548387097,0.540322580645161,0.508064516129032,0.532258064516129,0.524193548387097,0.532258064516129,0.57258064516129,0.580645161290323,0.580645161290323,0.548387096774194,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.588709677419355,0.548387096774194,0.540322580645161,0.540322580645161,0.540322580645161,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.548387096774194,0.556451612903226,0.57258064516129,0.57258064516129,0.564516129032258,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.564516129032258,0.57258064516129,0.564516129032258,0.564516129032258,0.564516129032258,0.564516129032258,0.564516129032258,0.556451612903226,0.556451612903226,0.556451612903226,0.564516129032258,0.564516129032258,0.556451612903226,0.556451612903226,0.556451612903226,0.548387096774194,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.548387096774194,0.548387096774194,0.548387096774194
"JX524226",0.612903225806452,0.516129032258065,0.604838709677419,0.612903225806452,0.604838709677419,0.612903225806452,0.620967741935484,0.580645161290323,0.604838709677419,0,0.556451612903226,0.596774193548387,0.612903225806452,0.588709677419355,0.612903225806452,0.588709677419355,0.516129032258065,0.508064516129032,0.508064516129032,0.588709677419355,0.57258064516129,0.580645161290323,0.580645161290323,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.57258064516129,0.564516129032258,0.57258064516129,0.57258064516129,0.57258064516129,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.556451612903226,0.516129032258065,0.540322580645161,0.540322580645161,0.524193548387097,0.540322580645161,0.540322580645161,0.516129032258065,0.540322580645161,0.540322580645161,0.532258064516129,0.540322580645161,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.524193548387097,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.540322580645161,0.548387096774194,0.548387096774194,0.548387096774194
