,X,Name,X..Nucleotide.Sequences.With.Mates,X..Of.Ref.Seq,X..Pairwise.Identity,Accession,Common.Name,Description,Mean.Coverage,Organism,Ref.Seq.Name,Sequence.Length,Sequence.List.Name,Size,Taxonomy,collection_date,country,db_xref,host,isolate,isolation_source,lab_host,note,strain,paper
75,75,AY863024,NA,,,AY863024.1,AltMV,"Alternanthera mosaic virus, complete genome",NA,Alternanthera mosaic virus,,6607,NA,25 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus,,USA: Pennsylvania,taxon:85454,Phlox stolonifera cv. Sherwood Purple,,,,,,
77,77,FJ822136,NA,,,FJ822136.1,AltMV,"Alternanthera mosaic virus from Portulaca grandiflora, complete genome",NA,Alternanthera mosaic virus,,6606,NA,19 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",,,taxon:85454,Portulaca grandiflora,,,,,MU,
78,78,GQ179646,NA,,,GQ179646.1,AltMV,"Alternanthera mosaic virus isolate SP 3-1, complete genome",NA,Alternanthera mosaic virus,,6607,NA,18 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2007,USA: Maryland,taxon:85454,Phlox stolonifera cv. Sherwood Purple,SP 3-1,,Nicotiana benthamiana,,,
79,79,GQ179647,NA,,,GQ179647.1,AltMV,"Alternanthera mosaic virus isolate SP 4-7, complete genome",NA,Alternanthera mosaic virus,,6607,NA,18 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2007,USA: Maryland,taxon:85454,Phlox stolonifera cv. Sherwood Purple,SP 4-7,,Nicotiana benthamiana,,,
100,100,LC107515,NA,,,LC107515.1,AltMV,"Alternanthera mosaic virus genomic RNA, complete genome, isolate: Ac",NA,Alternanthera mosaic virus,,6604,NA,20 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2015,Japan,taxon:85454,Achyranthes bidentata,Ac,,,Alternanthera mosaic virus genomic RNA excluding poly(A) tail,,
106,106,MH423501,NA,,,MH423501.1,AltMV,"Alternanthera mosaic virus isolate DH, complete genome",NA,Alternanthera mosaic virus,,6598,NA,17 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",24-Oct-15,USA,taxon:85454,Epiphyllum sp. cv. Dragon Heart,DH,,,,,
104,104,MF978248,NA,,,MF978248.1,,"Babaco mosaic virus isolate Tandapi, complete genome",NA,Babaco mosaic virus,,6692,NA,18 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus; unclassified Potexvirus,1-Mar-16,Ecuador,taxon:2060511,Vasconcellea x heilbornii,Tandapi,,,,,
70,70,AF308158,NA,,,AF308158.2,,"Cactus virus X, complete genome",NA,Cactus virus X: AF308158.2,,6614,NA,19 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus,,,taxon:112227,Hylocereus undatus,,,,,,
82,82,JF937699,NA,,,JF937699.1,,"Cactus virus X isolate NTU, complete genome",NA,Cactus virus X: JF937699.1,,6627,NA,18 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2005,Taiwan,taxon:112227,Hylocereus sp.,NTU,,,,,
88,88,KM288846,NA,,,KM288846.1,,"Cactus virus X isolate TW-5XB-1 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",NA,Cactus virus X: KM288846.1,,2418,NA,16 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",22-May-14,Taiwan,taxon:112227,Hylocereus sp. (pitaya),TW-5XB-1,,,,,
89,89,KM288847,NA,,,KM288847.1,,"Cactus virus X isolate TW-456Y-1 triple gene block protein 1 (TGB1) gene, partial cds; and triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",NA,Cactus virus X: KM288847.1,,1675,NA,13 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",23-May-14,Taiwan,taxon:112227,Hylocereus sp. (pitaya),TW-456Y-1,,,,,
90,90,KM365479,NA,,,KM365479.1,,"Cactus virus X isolate TW-5149-20 replication-associated protein (CVXgp1) gene, partial cds; and triple gene block protein 1 (CVXgp2), triple gene block protein 2 (CVXgp3), triple gene block protein 3 (CVXgp4), and coat protein (CVXgp5) genes, complete cds",NA,Cactus virus X: KM365479.1,,2396,NA,15 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",22-May-14,Taiwan,taxon:112227,Hylocereus sp. (pitaya),TW-5149-20,,,,,
98,98,KX883791,NA,,,KX883791.1,,"Cactus virus X strain SCM51431 ORF1, ORF2, ORF3, and ORF4 genes, complete cds",NA,Cactus virus X: SCM51431,,6610,NA,20 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2013,China,taxon:112227,Diptera,,,,,SCM51431,
102,102,LC128411,NA,,,LC128411.1,,"Cactus virus X genomic RNA, complete genome",NA,Cactus virus X: LC128411.1,,6618,NA,19 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",,South Korea:Jeju,taxon:112227,Hylocereus undatus,,,,,,
76,76,'D29630.1',NA,,,,,"Clover yellow mosaic virus genomic RNA, complete sequence",NA,Clover yellow mosaic virus,,7015,NA,7 KB,,,,,Pisum sp.?,,,,,,
101,101,LC107517,NA,,,LC107517.1,,"Hydrangea ringspot virus genomic RNA, complete genome, isolate: Gu2",NA,Hydrangea ringspot virus,,6196,NA,20 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2011,Japan,taxon:112228,Hydrangea macrophylla,Gu2,,,Hydrangea ringspot virus genomic RNA excluding poly(A) tail,,
105,105,'MG210801.1',NA,,,,,"Mytcor virus 1 replicative protein gene, partial cds; and protein 2 and protein 3 genes, complete cds",NA,Mytcor virus 1,,5689,NA,6 KB,,,,,Crassostrea gigas (Bivalve),,,,,,
74,74,AY800279,NA,,,AY800279.1,,"Nandina mosaic virus isolate PLH 1, complete genome",NA,Nandina mosaic virus,,6066,NA,15 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus,,USA,taxon:315713,Nandina domestica,PLH 1,,,,,Hughes et al. 2005
96,96,KU854931,NA,,,KU854931.1,,"Opuntia virus X isolate nopal verdura-1, complete genome",NA,Opuntia virus X,,6667,NA,20 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",15-Jun-15,Mexico,taxon:253702,Opuntia ficus-indica,nopal verdura-1,,,,,
99,99,KY348771,NA,,,KY348771.1,,"Opuntia virus X isolate Noptuna-Mex, complete genome",NA,Opuntia virus X,,6656,NA,19 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",20-Feb-15,Mexico,taxon:253702,Opuntia albicarpa cv. nopal tunero,Noptuna-Mex,,,,,
73,73,AY366209,NA,,,AY366209.1,,"Opuntia virus X strain CC10 replication-associated protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",NA,Opuntia virus: CC10,,6653,NA,16 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus,,,taxon:253702,Opuntia sp.,,,Chenopodium quinoa,previously Cactus virus X,CC10,Koenig et al. 2004
83,83,JX524226,NA,,,JX524226.1,,"Papaya mosaic virus isolate PMV-HN, complete genome",NA,Papaya mosaic virus,,6656,NA,18 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",1-Jan-07,China,taxon:12181,Carica papaya,PMV-HN,plant leaves,,,,
81,81,JF930327,NA,,,JF930327.1,,"Pitaya virus X isolate P37, complete genome",NA,Pitaya virus X,,6677,NA,17 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus,2006,Taiwan,taxon:1176736,Hylocereus sp.,P37,,,,,
92,92,KT717325,NA,,,KT717325.1,,"Plantago asiatica mosaic virus isolate kr, complete genome",NA,Plantago asiatica mosaic virus,,6101,NA,18 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",,South Korea,taxon:28354,Lilium sp.,kr,,,,,
93,93,KU159093,NA,,,KU159093.1,,"Plantago asiatica mosaic virus isolate Ko-YS, complete genome",NA,Plantago asiatica mosaic virus,,6102,NA,16 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2014,South Korea,taxon:28354,Lilium sp.,Ko-YS,,,,,
94,94,KU697313,NA,,,KU697313.1,,"Plantago asiatica mosaic virus isolate Gunwi, complete genome",NA,Plantago asiatica mosaic virus,,6130,NA,18 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",1-May-14,South Korea,taxon:28354,Plantago asiatica,Gunwi,,,,,
